Date,Close,MRK
08/03/2012,37.4,0.002409317
07/03/2012,37.31,-0.003478264
06/03/2012,37.44,-0.026619044
05/03/2012,38.45,0.01361634
02/03/2012,37.93,0.003697838
01/03/2012,37.79,-0.010005349
29/02/2012,38.17,-0.005486624
28/02/2012,38.38,0.006010733
27/02/2012,38.15,-0.001309758
24/02/2012,38.2,-0.008082432
23/02/2012,38.51,0.007559009
22/02/2012,38.22,0.002357565
21/02/2012,38.13,-0.011214096
17/02/2012,38.56,0.01095187
16/02/2012,38.14,0.003151263
15/02/2012,38.02,-0.004984924
14/02/2012,38.21,0.002620547
13/02/2012,38.11,0.005261785
10/02/2012,37.91,-0.006310828
09/02/2012,38.15,-0.0070524
08/02/2012,38.42,-0.005451019
07/02/2012,38.63,0.005971717
06/02/2012,38.4,0.000781555
03/02/2012,38.37,-0.00182268
02/02/2012,38.44,-0.004930593
01/02/2012,38.63,0.009362877
31/01/2012,38.27,-0.016070849
30/01/2012,38.89,0.009559561
27/01/2012,38.52,-0.006727063
26/01/2012,38.78,0.002581979
25/01/2012,38.68,-0.002581979
24/01/2012,38.78,0.000257898
23/01/2012,38.77,-0.011029995
20/01/2012,39.2,-0.001529442
19/01/2012,39.26,0.009983444
18/01/2012,38.87,0.001287167
17/01/2012,38.82,0.012963625
13/01/2012,38.32,-0.007539357
12/01/2012,38.61,0.005193468
11/01/2012,38.41,-0.002859745
10/01/2012,38.52,0.003380578
09/01/2012,38.39,-0.002081708
06/01/2012,38.47,-0.006993941
05/01/2012,38.74,0.01037892
04/01/2012,38.34,0.001043841
03/01/2012,38.3,0.015789802
30/12/2011,37.7,-0.00079544
29/12/2011,37.73,0.007983012
28/12/2011,37.43,-0.008512954
27/12/2011,37.75,-0.003965636
23/12/2011,37.9,0.009011458
22/12/2011,37.56,0.006142361
21/12/2011,37.33,0.006989276
20/12/2011,37.07,0.016318012
19/12/2011,36.47,0.006050624
16/12/2011,36.25,-0.003029888
15/12/2011,36.36,0.022247859
14/12/2011,35.56,0.016159104
13/12/2011,34.99,-0.01193196
12/12/2011,35.41,-0.007596042
09/12/2011,35.68,0.013828356
08/12/2011,35.19,-0.011864546
07/12/2011,35.61,0.005914677
06/12/2011,35.4,0.003962643
05/12/2011,35.26,-0.00621998
02/12/2011,35.48,-0.00562115
01/12/2011,35.68,-0.001959961
30/11/2011,35.75,0.036170823
29/11/2011,34.48,0.006400953
28/11/2011,34.26,0.032634163
