Date,Close,MKC
23/02/2011,46.44,0.00951976
22/02/2011,46,-0.001303498
18/02/2011,46.06,0.001955885
17/02/2011,45.97,0.007423615
16/02/2011,45.63,-0.00109517
15/02/2011,45.68,0.012778319
14/02/2011,45.1,0
11/02/2011,45.1,0.004221759
10/02/2011,44.91,0.00401607
09/02/2011,44.73,0.002014099
08/02/2011,44.64,-0.003131293
07/02/2011,44.78,-0.00378915
04/02/2011,44.95,0.006248626
03/02/2011,44.67,0.007414931
02/02/2011,44.34,-0.000901713
01/02/2011,44.38,0.004064128
31/01/2011,44.2,-0.006989094
28/01/2011,44.51,-0.014276397
27/01/2011,45.15,0.009122324
26/01/2011,44.74,-0.034705877
25/01/2011,46.32,0.006932437
24/01/2011,46,-0.010165547
21/01/2011,46.47,-0.000430293
20/01/2011,46.49,0.005175772
19/01/2011,46.25,-0.003022455
18/01/2011,46.39,0.00953007
14/01/2011,45.95,0.000217652
13/01/2011,45.94,0.00087108
12/01/2011,45.9,0.004148025
11/01/2011,45.71,0.00438501
10/01/2011,45.51,0.007056259
07/01/2011,45.19,-0.005296856
06/01/2011,45.43,-0.006144413
05/01/2011,45.71,-0.008061924
04/01/2011,46.08,-0.009073296
03/01/2011,46.5,-0.000644953
31/12/2010,46.53,-0.003646899
30/12/2010,46.7,0
29/12/2010,46.7,-0.005126026
28/12/2010,46.94,0
27/12/2010,46.94,0.001492378
23/12/2010,46.87,-0.001492378
22/12/2010,46.94,-0.001915506
21/12/2010,47.03,-0.006781124
20/12/2010,47.35,-0.0075742
17/12/2010,47.71,0.007151903
16/12/2010,47.37,0.011892262
15/12/2010,46.81,-0.000854153
14/12/2010,46.85,0.008789852
13/12/2010,46.44,-0.001506186
10/12/2010,46.51,0.001075616
09/12/2010,46.46,0.002154709
08/12/2010,46.36,-0.004089985
07/12/2010,46.55,0.008846751
06/12/2010,46.14,-0.002597404
03/12/2010,46.26,0.008030428
02/12/2010,45.89,0.033007759
01/12/2010,44.4,0.008822589
30/11/2010,44.01,-0.003176046
29/11/2010,44.15,-0.00271432
26/11/2010,44.27,-0.004507558
24/11/2010,44.47,0.013128301
23/11/2010,43.89,-0.008846604
22/11/2010,44.28,0.003619913
19/11/2010,44.12,-0.000906208
18/11/2010,44.16,0.015058464
17/11/2010,43.5,0.003223581
16/11/2010,43.36,-0.010324745
15/11/2010,43.81,0.003429751
12/11/2010,43.66,-0.008438869
11/11/2010,44.03,-0.004758137
10/11/2010,44.24,-0.004060461
09/11/2010,44.42,-0.00874151
08/11/2010,44.81,0.002457827
05/11/2010,44.7,0.002015452
04/11/2010,44.61,0.013995714
03/11/2010,43.99,-0.000681741
02/11/2010,44.02,0.001136493
01/11/2010,43.97,-0.005217206
29/10/2010,44.2,0.016193762
28/10/2010,43.49,0.012028829
27/10/2010,42.97,-0.008343038
26/10/2010,43.33,0.003236249
25/10/2010,43.19,-0.004850454
22/10/2010,43.4,0.008329525
21/10/2010,43.04,0.005591813
20/10/2010,42.8,0.00679876
19/10/2010,42.51,-0.016101153
18/10/2010,43.2,0.006502577
15/10/2010,42.92,0.008188138
14/10/2010,42.57,0.001645704
13/10/2010,42.5,0.01088253
12/10/2010,42.04,-0.000951022
11/10/2010,42.08,0.009311277
08/10/2010,41.69,0.000479846
07/10/2010,41.67,-0.000719683
06/10/2010,41.7,0.000239837
05/10/2010,41.69,0.003123126
04/10/2010,41.56,-0.00240327
01/10/2010,41.66,-0.00908011
30/09/2010,42.04,0.022613425
29/09/2010,41.1,0
28/09/2010,41.1,-0.008720986
27/09/2010,41.46,-0.006251523
24/09/2010,41.72,0.016189794
23/09/2010,41.05,-0.007765145
22/09/2010,41.37,0
21/09/2010,41.37,-0.003378382
20/09/2010,41.51,0.006525703
17/09/2010,41.24,0.006568568
16/09/2010,40.97,0.000488281
15/09/2010,40.95,0.004650602
14/09/2010,40.76,0.000490798
13/09/2010,40.74,-0.003185887
10/09/2010,40.87,-0.000978234
09/09/2010,40.91,-0.002685221
08/09/2010,41.02,0.011030875
07/09/2010,40.57,0.000493097
03/09/2010,40.55,0.000740101
02/09/2010,40.52,0.003956484
01/09/2010,40.36,0.012215034
31/08/2010,39.87,0.00276278
30/08/2010,39.76,-0.008514953
27/08/2010,40.1,0.013557828
26/08/2010,39.56,-0.000758054
25/08/2010,39.59,-0.001009846
24/08/2010,39.63,-0.022456033
23/08/2010,40.53,-0.009087622
20/08/2010,40.9,0.008347704
19/08/2010,40.56,-0.001970444
18/08/2010,40.64,0.008897735
17/08/2010,40.28,0.015007785
16/08/2010,39.68,-0.001762559
13/08/2010,39.75,-0.002763474
12/08/2010,39.86,0.008566442
11/08/2010,39.52,-0.007813524
10/08/2010,39.83,0.006043836
09/08/2010,39.59,0.006843266
06/08/2010,39.32,-0.007600746
05/08/2010,39.62,-0.017017428
04/08/2010,40.3,0.01198217
03/08/2010,39.82,0.002766253
02/08/2010,39.71,0.009615459
30/07/2010,39.33,0.010993336
29/07/2010,38.9,-0.015559554
28/07/2010,39.51,-0.010073115
27/07/2010,39.91,0.012353617
26/07/2010,39.42,0.011224608
23/07/2010,38.98,0.002825949
22/07/2010,38.87,0.004900074
21/07/2010,38.68,-0.00567158
20/07/2010,38.9,0.012676408
19/07/2010,38.41,-0.000260315
16/07/2010,38.42,-0.014727046
15/07/2010,38.99,-0.002049706
14/07/2010,39.07,0.00977374
13/07/2010,38.69,0.005962429
12/07/2010,38.46,0.004429975
09/07/2010,38.29,0.001568218
08/07/2010,38.23,-0.008594922
07/07/2010,38.56,0.016473114
06/07/2010,37.93,0.010601743
02/07/2010,37.53,-0.006109728
01/07/2010,37.76,-0.005282632
30/06/2010,37.96,-0.016201034
29/06/2010,38.58,-0.017726861
28/06/2010,39.27,0.007668749
25/06/2010,38.97,0.000256641
24/06/2010,38.96,-0.005375669
23/06/2010,39.17,-0.009654547
22/06/2010,39.55,-0.00881063
21/06/2010,39.9,-0.015912817
18/06/2010,40.54,-0.005657376
17/06/2010,40.77,0.013582132
16/06/2010,40.22,-0.00074562
15/06/2010,40.25,0.016028392
14/06/2010,39.61,-0.001765671
11/06/2010,39.68,-0.003773115
10/06/2010,39.83,0.021315194
09/06/2010,38.99,-0.000769132
08/06/2010,39.02,0.010822059
07/06/2010,38.6,-0.002845688
04/06/2010,38.71,-0.025253223
03/06/2010,39.7,0.009363601
02/06/2010,39.33,0.023409429
01/06/2010,38.42,-0.003896615
28/05/2010,38.57,-0.005687709
27/05/2010,38.79,0.018473272
26/05/2010,38.08,0.004738098
25/05/2010,37.9,-0.015966836
24/05/2010,38.51,-0.006212808
21/05/2010,38.75,0.006472515
20/05/2010,38.5,-0.016997576
19/05/2010,39.16,0.001021972
18/05/2010,39.12,-0.012700196
17/05/2010,39.62,0.008618558
14/05/2010,39.28,-0.006091389
13/05/2010,39.52,-0.001517067
12/05/2010,39.58,0.006336354
11/05/2010,39.33,0.000763068
10/05/2010,39.3,0.034955015
07/05/2010,37.95,-0.016982773
06/05/2010,38.6,-0.021528253
05/05/2010,39.44,0.001014713
04/05/2010,39.4,-0.005315795
03/05/2010,39.61,0.001010356
30/04/2010,39.57,-0.005041604
29/04/2010,39.77,0.017502032
28/04/2010,39.08,0.002049181
27/04/2010,39,-0.013751172
26/04/2010,39.54,0.001265342
23/04/2010,39.49,0.001013428
22/04/2010,39.45,0.0071229
21/04/2010,39.17,0.003580566
20/04/2010,39.03,0.006941794
19/04/2010,38.76,0.003100778
16/04/2010,38.64,0.000517732
15/04/2010,38.62,0.009365313
14/04/2010,38.26,-0.003912878
13/04/2010,38.41,0.001041938
12/04/2010,38.37,-0.0015625
09/04/2010,38.43,0.007312647
08/04/2010,38.15,-0.000524109
07/04/2010,38.17,-0.005226038
06/04/2010,38.37,0.006012304
05/04/2010,38.14,-0.011470407
01/04/2010,38.58,0.005718757
31/03/2010,38.36,0.001826485
30/03/2010,38.29,0.011557786
29/03/2010,37.85,0.005829375
26/03/2010,37.63,-0.010573717
25/03/2010,38.03,-0.034628783
24/03/2010,39.37,-0.00859894
23/03/2010,39.71,0.007837229
22/03/2010,39.4,0.007387628
19/03/2010,39.11,0.006670112
18/03/2010,38.85,-0.001029071
17/03/2010,38.89,0.006707971
16/03/2010,38.63,-0.000776297
15/03/2010,38.66,0.009094515
12/03/2010,38.31,0.000261063
11/03/2010,38.3,0.005235614
10/03/2010,38.1,0.003417908
09/03/2010,37.97,0.005546033
08/03/2010,37.76,-0.006335818
05/03/2010,38,0.002635048
04/03/2010,37.9,0.002113049
03/03/2010,37.82,0.002647605
02/03/2010,37.72,0.010393165
01/03/2010,37.33,0.005910818
26/02/2010,37.11,0.000269505
25/02/2010,37.1,-0.004303396
24/02/2010,37.26,0.002956594
23/02/2010,37.15,-0.008576842
22/02/2010,37.47,-0.007709728
19/02/2010,37.76,0.003980369
18/02/2010,37.61,0.013114065
17/02/2010,37.12,0.014654265
16/02/2010,36.58,0.013762948
12/02/2010,36.08,0.003331486
11/02/2010,35.96,0.001112966
10/02/2010,35.92,0.001950676
09/02/2010,35.85,0.008122156
08/02/2010,35.56,-0.005888143
