Date,Close,JPM
03/02/2012,38.28,0.019254188
02/02/2012,37.55,-0.001330672
01/02/2012,37.6,0.008010724
31/01/2012,37.3,0.00780518
30/01/2012,37.01,-0.005389396
27/01/2012,37.21,-0.007496688
26/01/2012,37.49,-0.00292982
25/01/2012,37.6,-0.001594473
24/01/2012,37.66,0
23/01/2012,37.66,0.00799791
20/01/2012,37.36,0.011576384
19/01/2012,36.93,0.010616678
18/01/2012,36.54,0.04563423
17/01/2012,34.91,-0.028520922
13/01/2012,35.92,-0.025561375
12/01/2012,36.85,0.005169376
11/01/2012,36.66,0.016779379
10/01/2012,36.05,0.0210239
09/01/2012,35.3,-0.001698274
06/01/2012,35.36,-0.00900907
05/01/2012,35.68,0.020671839
04/01/2012,34.95,-0.000858001
03/01/2012,34.98,0.050721702
30/12/2011,33.25,-0.005099756
29/12/2011,33.42,0.023309667
28/12/2011,32.65,-0.011571384
27/12/2011,33.03,-0.016216572
23/12/2011,33.57,0.003581024
22/12/2011,33.45,0.034365553
21/12/2011,32.32,0.00340927
20/12/2011,32.21,0.048014309
19/12/2011,30.7,-0.038029826
16/12/2011,31.89,0.004084845
15/12/2011,31.76,0.007902681
14/12/2011,31.51,0.007006398
13/12/2011,31.29,-0.023686565
12/12/2011,32.04,-0.034962163
09/12/2011,33.18,0.029359907
08/12/2011,32.22,-0.053773147
07/12/2011,34,0.022907442
06/12/2011,33.23,-0.008390819
05/12/2011,33.51,0.03584831
02/12/2011,32.33,0.059581244
01/12/2011,30.46,-0.016604647
30/11/2011,30.97,0.081011857
29/11/2011,28.56,-0.02079077
28/11/2011,29.16,0.023595821
25/11/2011,28.48,0.003517415
23/11/2011,28.38,-0.035650081
22/11/2011,29.41,-0.01685812
21/11/2011,29.91,-0.023460518
18/11/2011,30.62,0.004254629
17/11/2011,30.49,-0.03163595
16/11/2011,31.47,-0.038340367
15/11/2011,32.7,0.004597709
14/11/2011,32.55,-0.022179247
11/11/2011,33.28,0.016359044
10/11/2011,32.74,0.00612747
09/11/2011,32.54,-0.073449225
08/11/2011,35.02,0.022524776
07/11/2011,34.24,0.007916769
04/11/2011,33.97,-0.011997218
03/11/2011,34.38,0.021759165
02/11/2011,33.64,0.028034994
01/11/2011,32.71,-0.060786459
31/10/2011,34.76,-0.054036938
28/10/2011,36.69,-0.008954069
27/10/2011,37.02,0.079817629
26/10/2011,34.18,0.020393791
25/10/2011,33.49,-0.031739367
24/10/2011,34.57,0.033831731
21/10/2011,33.42,0.008715307
20/10/2011,33.13,0.026921173
19/10/2011,32.25,-0.019042344
18/10/2011,32.87,0.057283692
17/10/2011,31.04,-0.027015786
14/10/2011,31.89,0.00913536
13/10/2011,31.6,-0.049392755
12/10/2011,33.2,0.027482646
11/10/2011,32.3,0
10/10/2011,32.3,0.050804576
07/10/2011,30.7,-0.053278294
06/10/2011,32.38,0.0487284
05/10/2011,30.84,0.01898584
04/10/2011,30.26,0.054673265
03/10/2011,28.65,-0.05003596
30/09/2011,30.12,-0.041299968
29/09/2011,31.39,0.029746778
28/09/2011,30.47,-0.03546471
27/09/2011,31.57,-0.002530846
26/09/2011,31.65,0.067301682
23/09/2011,29.59,0.010873366
22/09/2011,29.27,-0.035903873
21/09/2011,30.34,-0.061051069
20/09/2011,32.25,-0.007414306
19/09/2011,32.49,-0.028521351
16/09/2011,33.43,-0.011302916
