Date,Close,FLS
18/07/2012,113.56,0.022891224
17/07/2012,110.99,0.00941439
16/07/2012,109.95,-0.006888453
13/07/2012,110.71,0.019703274
12/07/2012,108.55,-0.004595596
11/07/2012,109.05,-0.031591075
10/07/2012,112.55,-0.034150299
09/07/2012,116.46,0.001718804
06/07/2012,116.26,-0.007626103
05/07/2012,117.15,-0.001279591
03/07/2012,117.3,0.017284062
02/07/2012,115.29,0.004694844
29/06/2012,114.75,0.022472856
28/06/2012,112.2,0.009132484
27/06/2012,111.18,0.023387025
26/06/2012,108.61,0.018398586
25/06/2012,106.63,-0.00840498
22/06/2012,107.53,-0.004176146
21/06/2012,107.98,-0.024335663
20/06/2012,110.64,0.005437751
19/06/2012,110.04,0.013356708
18/06/2012,108.58,0.001197991
15/06/2012,108.45,0.021341847
14/06/2012,106.16,0.015090686
13/06/2012,104.57,-0.005150717
12/06/2012,105.11,0.01254145
11/06/2012,103.8,-0.01254145
08/06/2012,105.11,0.003144507
07/06/2012,104.78,-0.007700756
06/06/2012,105.59,0.029993597
05/06/2012,102.47,0.022801165
04/06/2012,100.16,-0.002791627
01/06/2012,100.44,-0.023030247
31/05/2012,102.78,-0.031131291
30/05/2012,106.03,-0.021460051
29/05/2012,108.33,0.022403625
25/05/2012,105.93,-0.019352729
24/05/2012,108,9.25969E-05
23/05/2012,107.99,0.007622272
22/05/2012,107.17,0.01163786
21/05/2012,105.93,0.041833394
18/05/2012,101.59,-0.011353748
17/05/2012,102.75,-0.043609347
16/05/2012,107.33,-0.013878831
15/05/2012,108.83,-0.020283564
14/05/2012,111.06,-0.016874647
11/05/2012,112.95,0.012741296
10/05/2012,111.52,0.00458366
09/05/2012,111.01,-0.000540346
08/05/2012,111.07,-0.002068625
07/05/2012,111.3,-0.009122682
04/05/2012,112.32,-0.040736521
03/05/2012,116.99,-0.00494544
02/05/2012,117.57,0.035319174
01/05/2012,113.49,-0.01260852
30/04/2012,114.93,-0.008231926
27/04/2012,115.88,0.015129408
26/04/2012,114.14,0.012785079
25/04/2012,112.69,0.006320402
24/04/2012,111.98,0.02294383
23/04/2012,109.44,-0.018827493
20/04/2012,111.52,0.00350326
19/04/2012,111.13,-0.020749665
18/04/2012,113.46,-0.006500945
17/04/2012,114.2,0.019631013
16/04/2012,111.98,0.006450479
13/04/2012,111.26,-0.011616608
12/04/2012,112.56,0.022369886
11/04/2012,110.07,0.00756923
10/04/2012,109.24,-0.031980386
09/04/2012,112.79,-0.02590501
05/04/2012,115.75,0.002595157
04/04/2012,115.45,-0.014959013
03/04/2012,117.19,-0.003747556
02/04/2012,117.63,0.018186999
30/03/2012,115.51,0.00399029
29/03/2012,115.05,-0.002170611
28/03/2012,115.3,-0.012497469
27/03/2012,116.75,0.009293587
26/03/2012,115.67,0.019379098
23/03/2012,113.45,0.020571543
22/03/2012,111.14,-0.028385798
21/03/2012,114.34,-0.007406473
20/03/2012,115.19,-0.020365903
19/03/2012,117.56,0.00332297
16/03/2012,117.17,-0.007312958
15/03/2012,118.03,0.010218943
14/03/2012,116.83,-0.004185357
13/03/2012,117.32,0.018669618
12/03/2012,115.15,-0.011913124
09/03/2012,116.53,0.01600311
08/03/2012,114.68,0.017061358
07/03/2012,112.74,0.003821378
06/03/2012,112.31,-0.036199091
05/03/2012,116.45,-0.000429277
02/03/2012,116.5,-0.014656022
01/03/2012,118.22,-0.002956208
29/02/2012,118.57,-0.00370402
28/02/2012,119.01,-0.005196123
27/02/2012,119.63,0.002846143
24/02/2012,119.29,-0.010009259
23/02/2012,120.49,0.022663384
22/02/2012,117.79,-0.000594101
21/02/2012,117.86,-0.005921682
