Date,Close,HBAN
18/01/2012,6.03,0.006655599
17/01/2012,5.99,0.003344485
13/01/2012,5.97,0
12/01/2012,5.97,0.005037794
11/01/2012,5.94,0.006756782
10/01/2012,5.9,0.006802747
09/01/2012,5.86,0.010291686
06/01/2012,5.8,0.001725626
05/01/2012,5.79,0.019181059
04/01/2012,5.68,0.008841791
03/01/2012,5.63,0.025181187
30/12/2011,5.49,-0.021622464
29/12/2011,5.61,0.025272103
28/12/2011,5.47,-0.014519311
27/12/2011,5.55,-0.017857617
23/12/2011,5.65,0.007104826
22/12/2011,5.61,0.036301627
21/12/2011,5.41,0.02621873
20/12/2011,5.27,0.050594447
19/12/2011,5.01,-0.015841915
16/12/2011,5.09,-0.005876608
15/12/2011,5.12,0.017734455
14/12/2011,5.03,-0.003968259
13/12/2011,5.05,-0.017664836
12/12/2011,5.14,-0.023077947
09/12/2011,5.26,0.030890487
08/12/2011,5.1,-0.038466281
07/12/2011,5.3,0.007575794
06/12/2011,5.26,-0.011342277
05/12/2011,5.32,0.020893448
02/12/2011,5.21,0.005774799
01/12/2011,5.18,-0.01342302
30/11/2011,5.25,0.077189639
29/11/2011,4.86,0.004123717
28/11/2011,4.84,0.025105921
25/11/2011,4.72,0.006376217
23/11/2011,4.69,-0.029413885
22/11/2011,4.83,-0.026559273
21/11/2011,4.96,-0.039530839
18/11/2011,5.16,0.015625318
17/11/2011,5.08,-0.017561427
16/11/2011,5.17,-0.007707167
15/11/2011,5.21,0
14/11/2011,5.21,-0.019011979
11/11/2011,5.31,0.026719147
10/11/2011,5.17,0.009718249
09/11/2011,5.12,-0.069773816
08/11/2011,5.49,0.027702603
07/11/2011,5.34,0.016997576
04/11/2011,5.25,-0.009478744
03/11/2011,5.3,0.005676458
02/11/2011,5.27,0.058610522
01/11/2011,4.97,-0.041385216
31/10/2011,5.18,-0.05447356
28/10/2011,5.47,0.012879663
27/10/2011,5.4,0.041593897
26/10/2011,5.18,0.033369141
25/10/2011,5.01,-0.031436773
24/10/2011,5.17,0.053637483
21/10/2011,4.9,0.004089985
20/10/2011,4.88,-0.071176278
19/10/2011,5.24,-0.015151805
18/10/2011,5.32,0.05804337
17/10/2011,5.02,-0.040981344
14/10/2011,5.23,-0.00191022
13/10/2011,5.24,-0.033774317
12/10/2011,5.42,0.033774317
11/10/2011,5.24,-0.001906578
10/10/2011,5.25,0.056822336
07/10/2011,4.96,-0.058725286
06/10/2011,5.26,0.056711187
05/10/2011,4.97,0.012145898
04/10/2011,4.91,0.05011487
03/10/2011,4.67,-0.027456846
30/09/2011,4.8,-0.038819992
29/09/2011,4.99,0.030521189
28/09/2011,4.84,-0.022472856
27/09/2011,4.95,-0.006042314
26/09/2011,4.98,0.079373588
23/09/2011,4.6,0.004357305
22/09/2011,4.58,-0.01731645
21/09/2011,4.66,-0.076404536
20/09/2011,5.03,0.014014243
19/09/2011,4.96,-0.027834799
16/09/2011,5.1,-0.005865119
15/09/2011,5.13,0.019685675
14/09/2011,5.03,0.042646056
13/09/2011,4.82,0.029475818
12/09/2011,4.68,0.017241806
09/09/2011,4.6,-0.044640781
08/09/2011,4.81,-0.032722756
07/09/2011,4.97,0.083906635
06/09/2011,4.57,-0.017354015
02/09/2011,4.65,-0.040047501
01/09/2011,4.84,-0.036515213
31/08/2011,5.02,0.018090946
30/08/2011,4.93,-0.037815451
29/08/2011,5.12,0.043919234
26/08/2011,4.9,0.014388737
25/08/2011,4.83,-0.018462063
24/08/2011,4.92,0.035163912
23/08/2011,4.75,0.047422679
22/08/2011,4.53,-0.006600684
19/08/2011,4.56,-0.038714512
18/08/2011,4.74,-0.073203404
17/08/2011,5.1,0.009852296
16/08/2011,5.05,-0.023484445
15/08/2011,5.17,0.041466948
12/08/2011,4.96,-0.033699918
11/08/2011,5.13,0.085417751
10/08/2011,4.71,-0.10472337
09/08/2011,5.23,0.05907229
08/08/2011,4.93,-0.089206397
05/08/2011,5.39,-0.011070224
04/08/2011,5.45,-0.072533995
03/08/2011,5.86,0.022434073
02/08/2011,5.73,-0.046043939
01/08/2011,6,-0.008298803
29/07/2011,6.05,0.003311261
28/07/2011,6.03,0.004987542
27/07/2011,6,-0.009950331
26/07/2011,6.06,0.006622541
25/07/2011,6.02,-0.019737483
22/07/2011,6.14,0.00817666
21/07/2011,6.09,-0.035487595
20/07/2011,6.31,0.007955491
19/07/2011,6.26,0.027532103
18/07/2011,6.09,-0.00817666
15/07/2011,6.14,-0.008110345
14/07/2011,6.19,0
13/07/2011,6.19,0
12/07/2011,6.19,-0.022365149
11/07/2011,6.33,-0.031106707
08/07/2011,6.53,-0.031652982
07/07/2011,6.74,0.030122759
06/07/2011,6.54,-0.00609758
05/07/2011,6.58,-0.007570059
01/07/2011,6.63,0.010614201
30/06/2011,6.56,0.003053437
29/06/2011,6.54,0.023202897
28/06/2011,6.39,0.01101506
27/06/2011,6.32,0.035430437
24/06/2011,6.1,-0.017872125
23/06/2011,6.21,-0.014388737
22/06/2011,6.3,-0.015748357
21/06/2011,6.4,0.012578782
20/06/2011,6.32,-0.014140063
17/06/2011,6.41,0.014140063
16/06/2011,6.32,-0.001581028
15/06/2011,6.33,0.006339165
14/06/2011,6.29,0.012800175
13/06/2011,6.21,0.001611604
10/06/2011,6.2,-0.017586385
09/06/2011,6.31,0.001586043
08/06/2011,6.3,0.014388737
07/06/2011,6.21,0.024451096
06/06/2011,6.06,-0.019608471
03/06/2011,6.18,-0.009661911
02/06/2011,6.24,-0.017474631
01/06/2011,6.35,-0.038614836
31/05/2011,6.6,0.010662706
27/05/2011,6.53,0.016988826
26/05/2011,6.42,0
25/05/2011,6.42,0.00938974
24/05/2011,6.36,0.001573564
23/05/2011,6.35,-0.003144657
20/05/2011,6.37,-0.030914363
19/05/2011,6.57,0.004576667
18/05/2011,6.54,-0.004576667
17/05/2011,6.57,0.012251302
16/05/2011,6.49,-0.013772215
13/05/2011,6.58,-0.010582109
12/05/2011,6.65,-0.007490672
11/05/2011,6.7,-0.001491425
10/05/2011,6.71,0
09/05/2011,6.71,0.010486987
06/05/2011,6.64,-0.001504891
05/05/2011,6.65,-0.016406035
04/05/2011,6.76,-0.013225762
03/05/2011,6.85,0.011747565
02/05/2011,6.77,-0.002949855
29/04/2011,6.79,-0.008797711
28/04/2011,6.85,0.011747565
27/04/2011,6.77,0.017884232
26/04/2011,6.65,0.012103022
25/04/2011,6.57,-0.016604155
21/04/2011,6.68,0.042819997
20/04/2011,6.4,-0.00623055
19/04/2011,6.44,0.003110422
18/04/2011,6.42,-0.015456258
15/04/2011,6.52,0.003072199
14/04/2011,6.5,-0.006134989
13/04/2011,6.54,-0.018182319
12/04/2011,6.66,0.00451468
11/04/2011,6.63,-0.014970339
08/04/2011,6.73,-0.010347469
07/04/2011,6.8,-0.00878483
06/04/2011,6.86,0.019132298
05/04/2011,6.73,-0.001484781
04/04/2011,6.74,-0.010332195
01/04/2011,6.81,0.025280157
31/03/2011,6.64,-0.016430541
30/03/2011,6.75,0.016430541
29/03/2011,6.64,0.010598131
28/03/2011,6.57,-0.003039516
25/03/2011,6.59,0.013751172
24/03/2011,6.5,0.006172859
23/03/2011,6.46,-0.016884515
22/03/2011,6.57,-0.012103022
21/03/2011,6.65,-0.005997019
18/03/2011,6.69,0.00900907
17/03/2011,6.63,0.018265348
16/03/2011,6.51,-0.019772507
15/03/2011,6.64,-0.006006024
14/03/2011,6.68,-0.013383099
11/03/2011,6.77,0.022405717
10/03/2011,6.62,-0.022405717
09/03/2011,6.77,-0.011747565
08/03/2011,6.85,0.047841709
07/03/2011,6.53,-0.018209911
04/03/2011,6.65,-0.007490672
03/03/2011,6.7,0.016554178
02/03/2011,6.59,0.004562746
01/03/2011,6.56,-0.041797129
28/02/2011,6.84,-0.014514043
25/02/2011,6.94,0.017442303
24/02/2011,6.82,-0.001465202
23/02/2011,6.83,-0.004382768
22/02/2011,6.86,-0.051147511
18/02/2011,7.22,-0.01784536
17/02/2011,7.35,-0.025521869
16/02/2011,7.54,-0.007926065
15/02/2011,7.6,0.002635048
14/02/2011,7.58,0.006618158
11/02/2011,7.53,0.020121403
10/02/2011,7.38,0.001355932
09/02/2011,7.37,-0.004062294
08/02/2011,7.4,-0.02139119
07/02/2011,7.56,0.013315776
04/02/2011,7.46,0.013495481
03/02/2011,7.36,0.020590981
02/02/2011,7.21,-0.001386002
01/02/2011,7.22,-0.002766253
