Date,Close,PDCO
24/06/2011,31.64,-0.016612198
23/06/2011,32.17,-0.003723244
22/06/2011,32.29,-0.015975762
21/06/2011,32.81,0.020320896
20/06/2011,32.15,0.00624027
17/06/2011,31.95,-0.002812941
16/06/2011,32.04,0.008777486
15/06/2011,31.76,-0.02210895
14/06/2011,32.47,0.011460556
13/06/2011,32.1,0.000311575
10/06/2011,32.09,-0.013618285
09/06/2011,32.53,0.025215344
08/06/2011,31.72,-0.014086944
07/06/2011,32.17,-0.004342439
06/06/2011,32.31,-0.014136683
03/06/2011,32.77,-0.017844115
02/06/2011,33.36,-0.014285957
01/06/2011,33.84,-0.021921088
31/05/2011,34.59,-0.014636508
27/05/2011,35.1,-0.00028486
26/05/2011,35.11,-0.000569476
25/05/2011,35.13,-0.002842526
24/05/2011,35.23,-0.006789276
23/05/2011,35.47,-0.008981256
20/05/2011,35.79,-0.02782932
19/05/2011,36.8,0.002176279
18/05/2011,36.72,0.014262447
17/05/2011,36.2,0.008600414
16/05/2011,35.89,0.006990103
13/05/2011,35.64,-0.006990103
12/05/2011,35.89,0.010362787
11/05/2011,35.52,-0.005054771
10/05/2011,35.7,0.004491866
09/05/2011,35.54,0.013883209
06/05/2011,35.05,0.008596041
05/05/2011,34.75,-0.008310694
04/05/2011,35.04,-0.004839867
03/05/2011,35.21,-0.005664133
02/05/2011,35.41,0.019966436
29/04/2011,34.71,0.004330886
28/04/2011,34.56,0.015748357
27/04/2011,34.02,0.006487784
26/04/2011,33.8,0.001776725
25/04/2011,33.74,-0.005025879
21/04/2011,33.91,0.0148547
20/04/2011,33.41,0.009926386
19/04/2011,33.08,0.005456212
18/04/2011,32.9,-0.015083242
15/04/2011,33.4,0.003599284
14/04/2011,33.28,0.003009331
13/04/2011,33.18,0.006956024
12/04/2011,32.95,-0.003635266
11/04/2011,33.07,0.001815981
08/04/2011,33.01,-0.009347271
07/04/2011,33.32,0.00060042
06/04/2011,33.3,0.007233305
05/04/2011,33.06,0.002422775
04/04/2011,32.98,0.003949572
01/04/2011,32.85,0.0202959
31/03/2011,32.19,0.001243395
30/03/2011,32.15,0.002491437
29/03/2011,32.07,0.008140308
28/03/2011,31.81,0.00979316
25/03/2011,31.5,-0.000951928
24/03/2011,31.53,0.007960558
23/03/2011,31.28,-0.005102052
22/03/2011,31.44,-0.009811758
21/03/2011,31.75,0.005685423
18/03/2011,31.57,0
17/03/2011,31.57,0.00476267
16/03/2011,31.42,0
15/03/2011,31.42,-0.008556541
14/03/2011,31.69,-0.010359534
11/03/2011,32.02,-0.012723213
10/03/2011,32.43,-0.013476467
09/03/2011,32.87,-0.015995512
08/03/2011,33.4,0.014171804
07/03/2011,32.93,-0.009369874
04/03/2011,33.24,-0.003603608
03/03/2011,33.36,0.013277202
02/03/2011,32.92,-0.000607349
01/03/2011,32.94,-0.013269193
28/02/2011,33.38,0.008725796
25/02/2011,33.09,0.013692592
24/02/2011,32.64,-0.003059042
23/02/2011,32.74,0.01725243
22/02/2011,32.18,-0.050593858
18/02/2011,33.85,-0.014954098
17/02/2011,34.36,0.005837728
16/02/2011,34.16,0.005872007
15/02/2011,33.96,0.002063376
14/02/2011,33.89,-0.001179593
11/02/2011,33.93,0.006801741
10/02/2011,33.7,-0.000593296
09/02/2011,33.72,-0.000889284
08/02/2011,33.75,0.003561892
07/02/2011,33.63,0.007162072
04/02/2011,33.39,0.006309169
03/02/2011,33.18,-0.002708805
02/02/2011,33.27,-0.001501727
01/02/2011,33.32,0.007833725
31/01/2011,33.06,0.002422775
28/01/2011,32.98,-0.004236012
27/01/2011,33.12,0.005146069
26/01/2011,32.95,0.004562746
25/01/2011,32.8,0.037271395
24/01/2011,31.6,0.001900539
21/01/2011,31.54,0.00859741
20/01/2011,31.27,-0.003830199
19/01/2011,31.39,-0.008248778
18/01/2011,31.65,0.007930256
14/01/2011,31.4,-0.002544531
13/01/2011,31.48,-0.000317612
12/01/2011,31.49,0.001589068
11/01/2011,31.44,0.007342411
10/01/2011,31.21,0.003852332
07/01/2011,31.09,-0.000643087
06/01/2011,31.11,0.002897153
05/01/2011,31.02,0
04/01/2011,31.02,0.000967586
03/01/2011,30.99,0.011684651
31/12/2010,30.63,-0.004885208
30/12/2010,30.78,-0.003567379
29/12/2010,30.89,0.00097166
28/12/2010,30.86,0.007480926
27/12/2010,30.63,-0.005534769
23/12/2010,30.8,-0.006472515
22/12/2010,31,-0.000644953
21/12/2010,31.02,0.001290323
20/12/2010,30.98,0.002909328
17/12/2010,30.89,-0.000970717
16/12/2010,30.92,0.020915795
15/12/2010,30.28,0.004302505
14/12/2010,30.15,0.016385586
13/12/2010,29.66,-0.003029795
10/12/2010,29.75,0.00471699
09/12/2010,29.61,-0.001349983
08/12/2010,29.65,-0.011068367
07/12/2010,29.98,-0.001333334
06/12/2010,30.02,-0.01651838
03/12/2010,30.52,0.003939598
02/12/2010,30.4,0.004946424
01/12/2010,30.25,0.017339547
30/11/2010,29.73,-0.003357962
29/11/2010,29.83,-0.009010573
26/11/2010,30.1,-0.002985572
24/11/2010,30.19,0.038836554
23/11/2010,29.04,-0.000688468
22/11/2010,29.06,0.013511378
19/11/2010,28.67,0.003844142
18/11/2010,28.56,0.011621895
17/11/2010,28.23,0.004259857
16/11/2010,28.11,-0.013427764
15/11/2010,28.49,-0.004203159
12/11/2010,28.61,-0.010431249
11/11/2010,28.91,0.01358196
10/11/2010,28.52,0.010574649
09/11/2010,28.22,0.001773365
08/11/2010,28.17,-0.004250803
05/11/2010,28.29,0.003186407
04/11/2010,28.2,0.008189471
03/11/2010,27.97,-0.003568883
02/11/2010,28.07,0.010745089
01/11/2010,27.77,0.004330573
29/10/2010,27.65,0
28/10/2010,27.65,-0.004690609
27/10/2010,27.78,-0.003593249
26/10/2010,27.88,0
25/10/2010,27.88,-0.001433692
22/10/2010,27.92,0.006828418
21/10/2010,27.73,0.002889132
20/10/2010,27.65,0.006167261
19/10/2010,27.48,-0.031521234
18/10/2010,28.36,-0.004924386
15/10/2010,28.5,0.005277057
14/10/2010,28.35,-0.002114166
13/10/2010,28.41,0.004232811
12/10/2010,28.29,-0.00388076
11/10/2010,28.4,-0.007716629
08/10/2010,28.62,0.007716629
07/10/2010,28.4,0.003174046
06/10/2010,28.31,-0.01124002
05/10/2010,28.63,0.023322612
04/10/2010,27.97,-0.023671835
01/10/2010,28.64,-0.000349101
30/09/2010,28.65,0.007005283
29/09/2010,28.45,0.003873926
28/09/2010,28.34,0.010998869
27/09/2010,28.03,-0.002494211
24/09/2010,28.1,0.023039176
23/09/2010,27.46,-0.011225901
22/09/2010,27.77,-0.006460898
21/09/2010,27.95,0.006821064
20/09/2010,27.76,0.022219089
17/09/2010,27.15,-0.017163102
16/09/2010,27.62,0.002900655
15/09/2010,27.54,0.01573683
14/09/2010,27.11,0.005177526
13/09/2010,26.97,0.013062324
10/09/2010,26.62,0.007920087
09/09/2010,26.41,0.006838932
08/09/2010,26.23,0.003437086
07/09/2010,26.14,-0.01178945
03/09/2010,26.45,0.0098785
02/09/2010,26.19,0.018886667
01/09/2010,25.7,0.016873071
31/08/2010,25.27,-0.003555208
30/08/2010,25.36,-0.001182266
27/08/2010,25.39,0.001182266
26/08/2010,25.36,-0.050366209
25/08/2010,26.67,0.006017318
24/08/2010,26.51,-0.013488402
23/08/2010,26.87,-0.002230484
20/08/2010,26.93,-0.004815716
19/08/2010,27.06,-0.0113909
18/08/2010,27.37,0.002560821
17/08/2010,27.3,0.024472857
16/08/2010,26.64,-0.000750469
13/08/2010,26.66,-0.001499251
12/08/2010,26.7,-0.00671895
11/08/2010,26.88,-0.031492899
10/08/2010,27.74,0.001082056
09/08/2010,27.71,0.000722022
06/08/2010,27.69,-0.002884964
05/08/2010,27.77,-0.002876665
04/08/2010,27.85,0.012646962
03/08/2010,27.5,0.003278094
02/08/2010,27.41,0.026993689
30/07/2010,26.68,0.023128993
29/07/2010,26.07,-0.019749977
28/07/2010,26.59,-0.017521417
27/07/2010,27.06,-0.008463712
26/07/2010,27.29,0.012537037
23/07/2010,26.95,0.002600782
22/07/2010,26.88,0.01084731
21/07/2010,26.59,-0.037642821
20/07/2010,27.61,-0.003976148
19/07/2010,27.72,-0.007189104
16/07/2010,27.92,-0.03657229
15/07/2010,28.96,-0.00688234
14/07/2010,29.16,0.001372684
13/07/2010,29.12,0.020469058
12/07/2010,28.53,-0.003149609
09/07/2010,28.62,0.000699056
08/07/2010,28.6,-0.001397624
07/07/2010,28.64,0.011942537
06/07/2010,28.3,-0.007393098
02/07/2010,28.51,-0.00768697
01/07/2010,28.73,0.006985708
30/06/2010,28.53,-0.007333715
29/06/2010,28.74,-0.034539251
28/06/2010,29.75,0.006068798
25/06/2010,29.57,0.007808561
24/06/2010,29.34,-0.020911386
23/06/2010,29.96,-0.00897165
22/06/2010,30.23,-0.013145112
21/06/2010,30.63,-0.003910073
18/06/2010,30.75,0.008819263
17/06/2010,30.48,-0.004256022
16/06/2010,30.61,0.001634789
15/06/2010,30.56,0.015831465
14/06/2010,30.08,0.004331175
11/06/2010,29.95,0.003009532
10/06/2010,29.86,0.022693607
09/06/2010,29.19,0.006530355
08/06/2010,29,-0.000344768
07/06/2010,29.01,-0.003784625
04/06/2010,29.12,-0.044989124
03/06/2010,30.46,0.012553848
02/06/2010,30.08,0.032091928
01/06/2010,29.13,-0.02072437
28/05/2010,29.74,-0.009370885
27/05/2010,30.02,0.031469354
26/05/2010,29.09,-0.004801107
25/05/2010,29.23,-0.004096967
24/05/2010,29.35,-0.007805911
21/05/2010,29.58,0.007805911
20/05/2010,29.35,-0.019234607
19/05/2010,29.92,0.00033428
18/05/2010,29.91,-0.015262406
17/05/2010,30.37,0.004289728
14/05/2010,30.24,-0.019646997
13/05/2010,30.84,-0.017995344
12/05/2010,31.4,0.019293203
11/05/2010,30.8,-0.00064914
10/05/2010,30.82,0.043773567
07/05/2010,29.5,-0.001016432
06/05/2010,29.53,-0.053728525
05/05/2010,31.16,-0.000320873
04/05/2010,31.17,-0.026279809
03/05/2010,32,0.001250782
30/04/2010,31.96,-0.02074699
29/04/2010,32.63,0.011714067
28/04/2010,32.25,0.011225562
27/04/2010,31.89,-0.013703111
26/04/2010,32.33,-0.013822982
23/04/2010,32.78,0.020339684
22/04/2010,32.12,0.004993768
21/04/2010,31.96,-0.008412575
20/04/2010,32.23,0.013431406
19/04/2010,31.8,-0.006894418
16/04/2010,32.02,0.006580002
15/04/2010,31.81,-0.000314317
14/04/2010,31.82,0.018715852
13/04/2010,31.23,0.006424693
12/04/2010,31.03,-0.003217506
09/04/2010,31.13,0.006445398
08/04/2010,30.93,0.003562757
07/04/2010,30.82,-0.007756988
06/04/2010,31.06,0.002578983
05/04/2010,30.98,0.007451841
01/04/2010,30.75,-0.009708814
31/03/2010,31.05,-0.006100517
30/03/2010,31.24,0.005778507
29/03/2010,31.06,0.01263584
26/03/2010,30.67,-0.00227976
25/03/2010,30.74,-0.001625224
24/03/2010,30.79,-0.009052761
23/03/2010,31.07,-0.002571522
22/03/2010,31.15,0.009353398
19/03/2010,30.86,-0.001618909
18/03/2010,30.91,-0.002262079
17/03/2010,30.98,0.013322699
16/03/2010,30.57,0.005247634
15/03/2010,30.41,0.000987005
12/03/2010,30.38,-0.003614264
11/03/2010,30.49,0.009556837
10/03/2010,30.2,0.002984582
09/03/2010,30.11,-0.018101531
08/03/2010,30.66,-0.003581316
05/03/2010,30.77,0.006521053
04/03/2010,30.57,-0.007170826
03/03/2010,30.79,-0.007442196
02/03/2010,31.02,0.029442755
01/03/2010,30.12,0.014715985
26/02/2010,29.68,-0.011390408
25/02/2010,30.02,-0.002329064
24/02/2010,30.09,0.014730765
23/02/2010,29.65,-0.012401701
22/02/2010,30.02,0.007691059
19/02/2010,29.79,0.00842749
18/02/2010,29.54,-0.002704532
17/02/2010,29.62,0.000337667
16/02/2010,29.61,0.029126609
