Date,Close,WY
24/09/2012,26.75,0.008258305
21/09/2012,26.53,0.010229299
20/09/2012,26.26,0.00038088
19/09/2012,26.25,-0.005319161
18/09/2012,26.39,-0.016908162
17/09/2012,26.84,-0.011483734
14/09/2012,27.15,0.008507542
13/09/2012,26.92,0.02292041
12/09/2012,26.31,0.018025416
11/09/2012,25.84,0.01442239
10/09/2012,25.47,0.000785546
07/09/2012,25.45,-0.001962709
06/09/2012,25.5,0.017405503
05/09/2012,25.06,0.000399122
04/09/2012,25.05,0.005604498
31/08/2012,24.91,0.001607071
30/08/2012,24.87,-0.00040201
29/08/2012,24.88,0.010505147
28/08/2012,24.62,0.000812678
27/08/2012,24.6,0.009393575
24/08/2012,24.37,-0.010206253
23/08/2012,24.62,0.00407001
22/08/2012,24.52,0.01148495
21/08/2012,24.24,0.008701111
20/08/2012,24.03,-0.008701111
17/08/2012,24.24,-0.008626055
16/08/2012,24.45,0.024426799
15/08/2012,23.86,0.006728369
14/08/2012,23.7,-0.001265022
13/08/2012,23.73,0.008038969
10/08/2012,23.54,0.003830607
09/08/2012,23.45,-0.002980628
08/08/2012,23.52,-0.011414201
07/08/2012,23.79,0.013542314
06/08/2012,23.47,-0.007640105
03/08/2012,23.65,0.022232639
02/08/2012,23.13,-0.001296176
01/08/2012,23.16,-0.008170331
31/07/2012,23.35,-0.006403437
30/07/2012,23.5,-0.003822472
27/07/2012,23.59,0.029249397
26/07/2012,22.91,0.005690538
25/07/2012,22.78,-0.001316078
24/07/2012,22.81,-0.010466733
23/07/2012,23.05,-0.000433745
20/07/2012,23.06,-0.000433557
19/07/2012,23.07,-0.010778289
18/07/2012,23.32,-0.006837633
17/07/2012,23.48,-0.00721412
16/07/2012,23.65,0.011909966
13/07/2012,23.37,0.025570191
12/07/2012,22.78,0.003077602
11/07/2012,22.71,0.024516494
10/07/2012,22.16,-0.013447087
09/07/2012,22.46,0.007597802
06/07/2012,22.29,-0.001792918
05/07/2012,22.33,-0.015111399
03/07/2012,22.67,0.014663671
02/07/2012,22.34,-0.000894855
29/06/2012,22.36,0.031806407
28/06/2012,21.66,0.020994473
27/06/2012,21.21,0.03746836
26/06/2012,20.43,0.010332195
25/06/2012,20.22,-0.022978278
22/06/2012,20.69,-0.002895755
21/06/2012,20.75,-0.02333995
20/06/2012,21.24,-0.00329025
19/06/2012,21.31,0.0170378
18/06/2012,20.95,0.007666544
15/06/2012,20.79,0.010152371
14/06/2012,20.58,0.010747539
13/06/2012,20.36,-0.017527226
12/06/2012,20.72,0.026407402
11/06/2012,20.18,-0.013290868
08/06/2012,20.45,0.012300278
07/06/2012,20.2,0.004465401
06/06/2012,20.11,0.037491726
