Date,Close,PPL
31/05/2012,27.37,0.002927188
30/05/2012,27.29,-0.011657691
29/05/2012,27.61,0.003265013
25/05/2012,27.52,0.004005103
24/05/2012,27.41,0.011374182
23/05/2012,27.1,-0.008085307
22/05/2012,27.32,0.007716371
21/05/2012,27.11,-0.002946595
18/05/2012,27.19,-0.004769776
17/05/2012,27.32,-0.001828488
16/05/2012,27.37,0.010282867
15/05/2012,27.09,-0.010648164
14/05/2012,27.38,-0.005100193
11/05/2012,27.52,-0.007241161
10/05/2012,27.72,0.009788006
09/05/2012,27.45,-0.004724704
08/05/2012,27.58,0.007643349
07/05/2012,27.37,0.000730994
04/05/2012,27.35,0.003663008
03/05/2012,27.25,-0.007676879
02/05/2012,27.46,-0.004360472
01/05/2012,27.58,0.008374343
30/04/2012,27.35,0.001463593
27/04/2012,27.31,-0.002559884
26/04/2012,27.38,0.010648164
25/04/2012,27.09,-0.006622541
24/04/2012,27.27,0.007730574
23/04/2012,27.06,-0.003320424
20/04/2012,27.15,0.00925076
19/04/2012,26.9,0
18/04/2012,26.9,-0.007038369
17/04/2012,27.09,0.005923749
16/04/2012,26.93,0.005959049
13/04/2012,26.77,-0.01225187
12/04/2012,27.1,0.001107624
11/04/2012,27.07,0.000369481
10/04/2012,27.06,-0.021930703
09/04/2012,27.66,0.001085187
05/04/2012,27.63,-0.009366063
04/04/2012,27.89,-0.00998938
03/04/2012,28.17,-0.001064396
02/04/2012,28.2,-0.002125399
30/03/2012,28.26,0.008885788
29/03/2012,28.01,0.003218311
28/03/2012,27.92,-0.008559253
27/03/2012,28.16,0.015027116
26/03/2012,27.74,0.002526621
23/03/2012,27.67,0
22/03/2012,27.67,-0.001444565
21/03/2012,27.71,-0.003602309
20/03/2012,27.81,-0.010017973
19/03/2012,28.09,-0.007801458
16/03/2012,28.31,0.004602593
15/03/2012,28.18,0.00284293
14/03/2012,28.1,-0.009915095
13/03/2012,28.38,-0.004570231
12/03/2012,28.51,0.008807526
09/03/2012,28.26,0.006389798
08/03/2012,28.08,0.00464038
07/03/2012,27.95,-0.010676258
06/03/2012,28.25,-0.01091368
05/03/2012,28.56,0.003507545
02/03/2012,28.46,-0.003857624
01/03/2012,28.57,0.00070028
29/02/2012,28.55,-0.00454308
28/02/2012,28.68,-0.001741857
27/02/2012,28.73,-0.00416812
24/02/2012,28.85,0.008353686
23/02/2012,28.61,0.002099371
22/02/2012,28.55,0.009502095
21/02/2012,28.28,-0.00669606
17/02/2012,28.47,0.003518652
16/02/2012,28.37,0.014915049
15/02/2012,27.95,0.003584233
14/02/2012,27.85,-0.002510312
13/02/2012,27.92,-0.018804883
10/02/2012,28.45,0.026354802
09/02/2012,27.71,-0.002522978
08/02/2012,27.78,0.002162163
07/02/2012,27.72,0.008331872
06/02/2012,27.49,-0.001817191
03/02/2012,27.54,-0.000725953
02/02/2012,27.56,-0.010826522
01/02/2012,27.86,0.002515725
31/01/2012,27.79,0.007222856
30/01/2012,27.59,-0.007582632
27/01/2012,27.8,-0.014285957
26/01/2012,28.2,-0.001063264
25/01/2012,28.23,0.021121243
24/01/2012,27.64,-0.006491188
23/01/2012,27.82,0.011569182
20/01/2012,27.5,-0.010850016
19/01/2012,27.8,-0.01037762
18/01/2012,28.09,0.005712261
17/01/2012,27.93,-0.005712261
13/01/2012,28.09,0.003209131
12/01/2012,28,-0.007472015
11/01/2012,28.21,-0.018961242
10/01/2012,28.75,-0.001042934
09/01/2012,28.78,0.009075106
06/01/2012,28.52,-0.008727582
05/01/2012,28.77,0.001391305
04/01/2012,28.73,-0.003127718
03/01/2012,28.82,-0.020605125
30/12/2011,29.42,-0.011154417
29/12/2011,29.75,0.002018843
28/12/2011,29.69,-0.003698105
27/12/2011,29.8,0.005046268
23/12/2011,29.65,0.003716848
22/12/2011,29.54,0.004410525
21/12/2011,29.41,0.024089258
20/12/2011,28.71,0.012265792
19/12/2011,28.36,-0.013310179
16/12/2011,28.74,-0.009350717
15/12/2011,29.01,0.013185479
14/12/2011,28.63,-0.007654874
13/12/2011,28.85,0.000346681
12/12/2011,28.84,-0.007943402
09/12/2011,29.07,0.005865119
08/12/2011,28.9,-0.0123798
07/12/2011,29.26,-0.017615632
06/12/2011,29.78,-0.000335739
05/12/2011,29.79,0.003699348
02/12/2011,29.68,-0.003363609
01/12/2011,29.78,-0.008026799
30/11/2011,30.02,0.026668247
29/11/2011,29.23,0.005144926
28/11/2011,29.08,0.017693436
25/11/2011,28.57,0.00561602
23/11/2011,28.41,-0.023309457
22/11/2011,29.08,-0.007536863
21/11/2011,29.3,-0.00781918
18/11/2011,29.53,0.011237986
17/11/2011,29.2,-0.007845853
16/11/2011,29.43,-0.01484007
15/11/2011,29.87,0.00033484
14/11/2011,29.86,-0.012645759
11/11/2011,30.24,0.011307071
10/11/2011,29.9,0.004021453
09/11/2011,29.78,-0.011020315
08/11/2011,30.11,0.008672503
07/11/2011,29.85,0.006048406
04/11/2011,29.67,-0.011060947
03/11/2011,30,0.019522666
02/11/2011,29.42,0.013689468
01/11/2011,29.02,-0.011988498
31/10/2011,29.37,-0.011173301
28/10/2011,29.7,0.009812293
27/10/2011,29.41,0.006139173
26/10/2011,29.23,0.014820192
25/10/2011,28.8,-0.012765397
24/10/2011,29.17,-0.008533931
21/10/2011,29.42,0.017487159
20/10/2011,28.91,0.003465007
19/10/2011,28.81,0.003825426
18/10/2011,28.7,0.007343974
17/10/2011,28.49,-0.001052447
14/10/2011,28.52,0.003512473
13/10/2011,28.42,0.003171809
12/10/2011,28.33,-0.007385298
11/10/2011,28.54,-0.00349773
10/10/2011,28.64,0.019034766
07/10/2011,28.1,0.006068196
06/10/2011,27.93,0.017335212
05/10/2011,27.45,-0.00725956
04/10/2011,27.65,-0.004330573
03/10/2011,27.77,-0.027350311
30/09/2011,28.54,-0.010803381
29/09/2011,28.85,0.005561363
28/09/2011,28.69,-0.006600684
27/09/2011,28.88,0.002079723
26/09/2011,28.82,0.011516442
23/09/2011,28.49,0.000351062
22/09/2011,28.48,-0.01740385
21/09/2011,28.98,-0.009957164
20/09/2011,29.27,0.020363085
19/09/2011,28.68,-0.004175371
16/09/2011,28.8,0.011875794
15/09/2011,28.46,0.009532288
14/09/2011,28.19,0.007477336
13/09/2011,27.98,0
12/09/2011,27.98,0.00107277
09/09/2011,27.95,-0.013504114
08/09/2011,28.33,0.000706215
07/09/2011,28.31,-0.012287323
06/09/2011,28.66,0.00419581
02/09/2011,28.54,-0.006287132
01/09/2011,28.72,-0.00555557
31/08/2011,28.88,0.016056191
30/08/2011,28.42,-0.002108964
29/08/2011,28.48,0.024166066
26/08/2011,27.8,-0.000719166
25/08/2011,27.82,-0.009658455
24/08/2011,28.09,0.017235615
23/08/2011,27.61,0.016064603
22/08/2011,27.17,-0.004773279
19/08/2011,27.3,0.000366367
18/08/2011,27.29,-0.003657649
17/08/2011,27.39,0.015452846
16/08/2011,26.97,0.011935987
15/08/2011,26.65,0.024692613
12/08/2011,26,-0.008044479
11/08/2011,26.21,0.022767721
10/08/2011,25.62,-0.029611854
09/08/2011,26.39,0.040995687
08/08/2011,25.33,-0.047416861
05/08/2011,26.56,0.001130156
04/08/2011,26.53,-0.03917722
03/08/2011,27.59,0.003267384
02/08/2011,27.5,-0.018732536
01/08/2011,28.02,0.004291852
29/07/2011,27.9,-0.019521472
28/07/2011,28.45,-0.006306959
27/07/2011,28.63,0.004551032
26/07/2011,28.5,0.003867117
25/07/2011,28.39,0.013475381
22/07/2011,28.01,-0.000713776
21/07/2011,28.03,0.012926571
20/07/2011,27.67,0.003620569
19/07/2011,27.57,0.001088732
18/07/2011,27.54,-0.008676844
15/07/2011,27.78,0.003606207
14/07/2011,27.68,-0.006840711
13/07/2011,27.87,-0.003224076
12/07/2011,27.96,0.00645858
11/07/2011,27.78,-0.008602204
08/07/2011,28.02,-0.0024951
07/07/2011,28.09,0.004996442
06/07/2011,27.95,0.002507614
05/07/2011,27.88,-0.005008955
01/07/2011,28.02,0.006803965
30/06/2011,27.83,-0.00179501
29/06/2011,27.88,0.007199455
28/06/2011,27.68,0.013091096
27/06/2011,27.32,0.008823587
24/06/2011,27.08,-0.000369208
23/06/2011,27.09,-0.002948767
22/06/2011,27.17,-0.010252745
21/06/2011,27.45,0.008781615
20/06/2011,27.21,0.004789105
17/06/2011,27.08,-0.004421525
16/06/2011,27.2,0.009233676
15/06/2011,26.95,-0.011070224
14/06/2011,27.25,0.004413394
13/06/2011,27.13,0.006656829
10/06/2011,26.95,-0.006288166
09/06/2011,27.12,0
08/06/2011,27.12,-0.018630676
07/06/2011,27.63,0.002899603
06/06/2011,27.55,-0.007953766
03/06/2011,27.77,-0.00359454
02/06/2011,27.87,-0.003224076
01/06/2011,27.96,-0.008192388
31/05/2011,28.19,0.011775337
27/05/2011,27.86,0.004316553
26/05/2011,27.74,-0.000360425
25/05/2011,27.75,-0.002159828
24/05/2011,27.81,-0.008592964
23/05/2011,28.05,-0.008166209
20/05/2011,28.28,0.003187536
19/05/2011,28.19,0.001419951
18/05/2011,28.15,-0.001419951
17/05/2011,28.19,0.015731465
16/05/2011,27.75,-0.00646554
13/05/2011,27.93,-0.003573985
12/05/2011,28.03,0.008599121
11/05/2011,27.79,0.000719942
10/05/2011,27.77,0.014874209
09/05/2011,27.36,-0.006194226
06/05/2011,27.53,0.005098336
05/05/2011,27.39,-0.006187463
04/05/2011,27.56,0.003635046
03/05/2011,27.46,-0.0003641
02/05/2011,27.47,0.001457195
29/04/2011,27.43,0
28/04/2011,27.43,0.002189782
27/04/2011,27.37,0.008807396
26/04/2011,27.13,0.006656829
25/04/2011,26.95,0.001857011
21/04/2011,26.9,-0.004080881
20/04/2011,27.01,0.009298933
19/04/2011,26.76,-0.002612429
18/04/2011,26.83,-0.006316202
15/04/2011,27,0.009302393
14/04/2011,26.75,-0.00149421
13/04/2011,26.79,-0.003353832
12/04/2011,26.88,0.045280705
11/04/2011,25.69,-0.006982185
08/04/2011,25.87,0.007371517
07/04/2011,25.68,0.00429269
06/04/2011,25.57,0.00039116
05/04/2011,25.56,-0.010120756
04/04/2011,25.82,0.004658394
