Date,Close,ICE
08/02/2011,118.22,-0.017607565
07/02/2011,120.32,-0.000498546
04/02/2011,120.38,0.009347422
03/02/2011,119.26,-0.00859951
02/02/2011,120.29,-0.009020626
01/02/2011,121.38,0.007359358
31/01/2011,120.49,0.030162354
28/01/2011,116.91,-0.008008221
27/01/2011,117.85,0.024741405
26/01/2011,114.97,-0.003733129
25/01/2011,115.4,-0.012144329
24/01/2011,116.81,0.001885176
21/01/2011,116.59,0.00896017
20/01/2011,115.55,-8.65389E-05
19/01/2011,115.56,-0.01033067
18/01/2011,116.76,0.004205473
14/01/2011,116.27,-0.000687817
13/01/2011,116.35,0.008198536
12/01/2011,115.4,0.025628926
11/01/2011,112.48,-0.014212183
10/01/2011,114.09,0.000613739
07/01/2011,114.02,-0.004026264
06/01/2011,114.48,-0.02731398
05/01/2011,117.65,-0.00271624
04/01/2011,117.97,-0.009952849
03/01/2011,119.15,0
31/12/2010,119.15,-0.002849482
30/12/2010,119.49,-0.003008275
29/12/2010,119.85,-0.008722797
28/12/2010,120.9,0.000330907
27/12/2010,120.86,0.007141108
23/12/2010,120,-0.003742986
22/12/2010,120.45,0.003076542
21/12/2010,120.08,0.00853062
20/12/2010,119.06,-0.001426833
17/12/2010,119.23,0.015808267
16/12/2010,117.36,-0.003742137
15/12/2010,117.8,0.012127572
14/12/2010,116.38,-0.011703034
13/12/2010,117.75,0.001699958
10/12/2010,117.55,-0.001445148
09/12/2010,117.72,-0.002714627
08/12/2010,118.04,0.015710706
07/12/2010,116.2,-0.014863176
06/12/2010,117.94,0.010055475
03/12/2010,116.76,-0.030200524
02/12/2010,120.34,0.040012118
01/12/2010,115.62,0.025579531
30/11/2010,112.7,-0.001950182
29/11/2010,112.92,-0.001327493
26/11/2010,113.07,-0.010206864
24/11/2010,114.23,0.021412958
23/11/2010,111.81,-0.010232772
22/11/2010,112.96,-0.015983479
19/11/2010,114.78,0.014302881
18/11/2010,113.15,0.013076733
17/11/2010,111.68,0.008271941
16/11/2010,110.76,-0.023114679
15/11/2010,113.35,0.009662767
12/11/2010,112.26,-0.021328032
11/11/2010,114.68,-0.011099663
10/11/2010,115.96,0.007183379
09/11/2010,115.13,-0.018928553
08/11/2010,117.33,-0.000937087
05/11/2010,117.44,0.023433188
04/11/2010,114.72,0.019541155
03/11/2010,112.5,-0.008761506
02/11/2010,113.49,-0.006849342
01/11/2010,114.27,-0.005236985
29/10/2010,114.87,0.002615064
28/10/2010,114.57,-0.000872448
27/10/2010,114.67,0.013167325
26/10/2010,113.17,-0.021331345
25/10/2010,115.61,-0.01058302
22/10/2010,116.84,-0.011403408
21/10/2010,118.18,0.018704905
20/10/2010,115.99,0.000172444
19/10/2010,115.97,-0.007045913
18/10/2010,116.79,0.015445322
15/10/2010,115,0.017986885
14/10/2010,112.95,8.85387E-05
13/10/2010,112.94,-0.002652756
12/10/2010,113.24,0.011189176
11/10/2010,111.98,-0.003387718
08/10/2010,112.36,0.008580675
07/10/2010,111.4,0.00549081
06/10/2010,110.79,-0.004592741
05/10/2010,111.3,0.036041585
04/10/2010,107.36,0.007573315
01/10/2010,106.55,0.017324237
30/09/2010,104.72,-0.004858309
29/09/2010,105.23,-0.005780089
28/09/2010,105.84,0.007301725
