Date,Close,NU
09/09/2010,29.48,0.011943496
08/09/2010,29.13,-0.003427008
07/09/2010,29.23,-0.008516488
03/09/2010,29.48,0.009200951
02/09/2010,29.21,-0.014613684
01/09/2010,29.64,0.022863989
31/08/2010,28.97,0.011107369
30/08/2010,28.65,-0.019699963
27/08/2010,29.22,0.022146234
26/08/2010,28.58,-0.011134423
25/08/2010,28.9,0.004160894
24/08/2010,28.78,0.004527258
23/08/2010,28.65,0.003846831
20/08/2010,28.54,-0.002100106
19/08/2010,28.6,-0.013544225
18/08/2010,28.99,-0.008586692
17/08/2010,29.24,0.013427642
16/08/2010,28.85,0.003472226
13/08/2010,28.75,0.004182648
12/08/2010,28.63,-0.009732437
11/08/2010,28.91,-0.009981153
10/08/2010,29.2,0.005838931
09/08/2010,29.03,0.002068966
06/08/2010,28.97,-0.005850989
05/08/2010,29.14,0.012778623
04/08/2010,28.77,0.016471373
03/08/2010,28.3,-0.007042283
02/08/2010,28.5,0.023430252
30/07/2010,27.84,-0.007514797
29/07/2010,28.05,-0.012048339
28/07/2010,28.39,-0.01051166
27/07/2010,28.69,0.019356578
26/07/2010,28.14,0.006774852
23/07/2010,27.95,0.005740956
22/07/2010,27.79,0.018889047
21/07/2010,27.27,-0.011666191
20/07/2010,27.59,0.012032962
19/07/2010,27.26,0.010695289
16/07/2010,26.97,-0.023452889
15/07/2010,27.61,0.011657691
14/07/2010,27.29,-0.0010987
13/07/2010,27.32,0.012152608
12/07/2010,26.99,0.004083911
09/07/2010,26.88,-0.00630449
08/07/2010,27.05,0.01077877
07/07/2010,26.76,0.028042762
06/07/2010,26.02,0.014321901
02/07/2010,25.65,0.00468934
01/07/2010,25.53,0.001960401
30/06/2010,25.48,-0.001960401
29/06/2010,25.53,-0.018242307
28/06/2010,26,0.008109718
25/06/2010,25.79,0.002717921
24/06/2010,25.72,0.00233554
23/06/2010,25.66,-0.015468213
22/06/2010,26.06,-0.022387579
21/06/2010,26.65,-0.008221272
18/06/2010,26.87,-0.004456004
17/06/2010,26.99,0.012677276
16/06/2010,26.65,0.00639942
15/06/2010,26.48,0.015220994
14/06/2010,26.08,0.002687658
11/06/2010,26.01,0
10/06/2010,26.01,0.02846751
09/06/2010,25.28,-0.009448889
08/06/2010,25.52,0.008658063
07/06/2010,25.3,-0.002368734
04/06/2010,25.36,-0.037915567
03/06/2010,26.34,0.017618227
02/06/2010,25.88,0.022666074
01/06/2010,25.3,-0.025367214
28/05/2010,25.95,0.005022224
27/05/2010,25.82,0.002714758
26/05/2010,25.75,0.008972169
25/05/2010,25.52,-0.010912033
24/05/2010,25.8,-0.011943891
21/05/2010,26.11,0.004991371
20/05/2010,25.98,-0.023960074
19/05/2010,26.61,0.004519782
18/05/2010,26.49,-0.00339175
17/05/2010,26.58,-0.000752163
14/05/2010,26.6,-0.001127184
13/05/2010,26.63,-0.011202507
12/05/2010,26.93,0.015718887
11/05/2010,26.51,0.006813047
10/05/2010,26.33,0.030854742
07/05/2010,25.53,-0.018242307
06/05/2010,26,-0.041068118
05/05/2010,27.09,-0.010648164
04/05/2010,27.38,-0.01342302
03/05/2010,27.75,-0.001440404
30/04/2010,27.79,0.007948019
29/04/2010,27.57,0.008743225
28/04/2010,27.33,0.011407667
27/04/2010,27.02,-0.023048395
26/04/2010,27.65,-0.003970408
23/04/2010,27.76,-0.000360166
22/04/2010,27.77,0.004330573
21/04/2010,27.65,0.002534856
20/04/2010,27.58,0.004360472
19/04/2010,27.46,0.00291758
16/04/2010,27.38,-0.018455382
15/04/2010,27.89,0.00071736
14/04/2010,27.87,0.004675427
13/04/2010,27.74,-0.002160606
12/04/2010,27.8,-0.000359648
09/04/2010,27.81,0.003963255
08/04/2010,27.7,-0.007910865
07/04/2010,27.92,-0.0099787
06/04/2010,28.2,0.005689916
05/04/2010,28.04,0.002499555
01/04/2010,27.97,0.011868508
31/03/2010,27.64,-0.006850577
30/03/2010,27.83,0.010475082
29/03/2010,27.54,0.019062161
26/03/2010,27.02,-0.002587324
25/03/2010,27.09,0.005181359
24/03/2010,26.95,-0.010703184
23/03/2010,27.24,0.005521825
22/03/2010,27.09,-0.002580647
19/03/2010,27.16,-0.000368121
18/03/2010,27.17,0.000368121
17/03/2010,27.16,-0.003308218
16/03/2010,27.25,0.009216655
15/03/2010,27,0.007061914
12/03/2010,26.81,0.005235614
11/03/2010,26.67,-0.002247192
10/03/2010,26.73,0.009019227
09/03/2010,26.49,-0.00339175
08/03/2010,26.58,0.002637033
05/03/2010,26.51,0.009475151
04/03/2010,26.26,0.003815342
03/03/2010,26.16,-0.002672267
02/03/2010,26.23,0.004585411
01/03/2010,26.11,0.019726031
26/02/2010,25.6,0.001172562
25/02/2010,25.57,-0.02662708
24/02/2010,26.26,-0.002662105
23/02/2010,26.33,-0.013205248
22/02/2010,26.68,0.000374883
19/02/2010,26.67,0.02007263
18/02/2010,26.14,0.011156107
17/02/2010,25.85,0.002323781
16/02/2010,25.79,0.025924468
12/02/2010,25.13,-0.003574979
11/02/2010,25.22,0.009161586
10/02/2010,24.99,-0.001998801
09/02/2010,25.04,0.01043767
08/02/2010,24.78,-0.014423327
05/02/2010,25.14,-0.003177127
04/02/2010,25.22,-0.028148848
03/02/2010,25.94,-0.00192567
02/02/2010,25.99,0.013948308
01/02/2010,25.63,0.012168943
29/01/2010,25.32,-0.005513996
28/01/2010,25.46,-0.003920036
27/01/2010,25.56,0.003920036
26/01/2010,25.46,-0.003137257
25/01/2010,25.54,0.003137257
22/01/2010,25.46,-0.019448299
21/01/2010,25.96,-0.012251302
20/01/2010,26.28,-0.004934533
19/01/2010,26.41,0.017571117
15/01/2010,25.95,-0.016813541
14/01/2010,26.39,0
13/01/2010,26.39,0.00913596
12/01/2010,26.15,-0.002291827
11/01/2010,26.21,0.0065072
08/01/2010,26.04,0.002691792
07/01/2010,25.97,-0.001539054
06/01/2010,26.01,0.012768601
05/01/2010,25.68,-0.003498546
04/01/2010,25.77,-0.000775795
31/12/2009,25.79,-0.020342287
30/12/2009,26.32,-0.000379867
29/12/2009,26.33,0.00190078
28/12/2009,26.28,0.0019044
24/12/2009,26.23,0.011117615
23/12/2009,25.94,-0.001155847
22/12/2009,25.97,-0.008817385
21/12/2009,26.2,0.004974183
18/12/2009,26.07,0.009635843
17/12/2009,25.82,-0.000387222
16/12/2009,25.83,0
15/12/2009,25.83,0.001162115
14/12/2009,25.8,0.01169604
11/12/2009,25.5,0.028238106
10/12/2009,24.79,0.007693903
09/12/2009,24.6,-0.005674924
08/12/2009,24.74,0.001618123
07/12/2009,24.7,0.004056801
04/12/2009,24.6,0.002442004
03/12/2009,24.54,-0.001221747
02/12/2009,24.57,0.008994337
01/12/2009,24.35,0.009905157
30/11/2009,24.11,0.004572862
27/11/2009,24,-0.020211041
25/11/2009,24.49,0.004501747
24/11/2009,24.38,0.005346507
23/11/2009,24.25,0.012448294
20/11/2009,23.95,0.013451233
19/11/2009,23.63,-0.014285957
18/11/2009,23.97,-0.000417101
17/11/2009,23.98,0.002923368
16/11/2009,23.91,0.008399881
13/11/2009,23.71,0.013160878
12/11/2009,23.4,-0.01020417
11/11/2009,23.64,0.003389834
10/11/2009,23.56,0.012385381
09/11/2009,23.27,0.00733236
06/11/2009,23.1,-0.003025721
05/11/2009,23.17,0.018293193
04/11/2009,22.75,0.000879508
03/11/2009,22.73,0.008394129
02/11/2009,22.54,-0.022374261
30/10/2009,23.05,-0.006486509
29/10/2009,23.2,0.01476362
28/10/2009,22.86,-0.001311476
27/10/2009,22.89,0.00306279
26/10/2009,22.82,-0.011329097
23/10/2009,23.08,-0.01973466
22/10/2009,23.54,0.004683849
21/10/2009,23.43,0.002136296
20/10/2009,23.38,-0.023669744
19/10/2009,23.94,0.013456889
16/10/2009,23.62,-0.001269304
15/10/2009,23.65,0.009772757
14/10/2009,23.42,0.005995735
13/10/2009,23.28,-0.0102565
12/10/2009,23.52,0.000850702
09/10/2009,23.5,0.002983169
08/10/2009,23.43,0.010296101
07/10/2009,23.19,-0.005161302
06/10/2009,23.31,0.002147306
05/10/2009,23.26,0.008635632
02/10/2009,23.06,-0.012497469
01/10/2009,23.35,-0.016564405
30/09/2009,23.74,-0.010892441
29/09/2009,24,-0.000832986
28/09/2009,24.02,0.007941526
25/09/2009,23.83,0.001679967
24/09/2009,23.79,0.000420433
23/09/2009,23.78,-0.006288011
22/09/2009,23.93,-0.014931841
21/09/2009,24.29,-0.007383134
18/09/2009,24.47,-0.00163332
17/09/2009,24.51,-0.008531435
16/09/2009,24.72,0.009756175
15/09/2009,24.48,0.019386047
14/09/2009,24.01,0.0138396
11/09/2009,23.68,0.008481815
10/09/2009,23.48,-0.008904023
09/09/2009,23.69,-0.000843882
08/09/2009,23.71,-0.000421674
04/09/2009,23.72,0.002532716
03/09/2009,23.66,0.000845666
02/09/2009,23.64,-0.006325132
01/09/2009,23.79,0
31/08/2009,23.79,-0.010037725
28/08/2009,24.03,-0.011584739
27/08/2009,24.31,-0.000411269
26/08/2009,24.32,-0.002053811
25/08/2009,24.37,-0.000820345
24/08/2009,24.39,0.003285424
21/08/2009,24.31,0.024147718
20/08/2009,23.73,-0.00084246
19/08/2009,23.75,0.00845671
18/08/2009,23.55,-0.003391271
17/08/2009,23.63,-0.003801483
14/08/2009,23.72,0.007192754
13/08/2009,23.55,-0.001273075
12/08/2009,23.58,0.010230268
11/08/2009,23.34,0.000857265
10/08/2009,23.32,-0.002569595
07/08/2009,23.38,0.019871064
06/08/2009,22.92,-0.00955283
05/08/2009,23.14,0.005633818
04/08/2009,23.01,-0.01209518
03/08/2009,23.29,0.01209518
31/07/2009,23.01,-0.005633818
30/07/2009,23.14,0.020961466
29/07/2009,22.66,-0.005720588
28/07/2009,22.79,-0.009172373
27/07/2009,23,0
24/07/2009,23,0.006105558
