Date,Close,WDC
30/11/2011,29.07,0.05515714
29/11/2011,27.51,0.03514325
28/11/2011,26.56,0.0605305
25/11/2011,25,-0.023325825
23/11/2011,25.59,-0.007397347
22/11/2011,25.78,-0.012719385
21/11/2011,26.11,0.002684565
18/11/2011,26.04,0.0304117
17/11/2011,25.26,-0.059925761
16/11/2011,26.82,0.06827405
15/11/2011,25.05,-0.050214869
14/11/2011,26.34,-0.010574117
11/11/2011,26.62,0.031675993
10/11/2011,25.79,-0.00849426
09/11/2011,26.01,-0.066195164
08/11/2011,27.79,0.003966113
07/11/2011,27.68,-0.009707069
04/11/2011,27.95,-0.017379405
03/11/2011,28.44,0.040543669
02/11/2011,27.31,0.030108202
01/11/2011,26.5,-0.005269113
31/10/2011,26.64,-0.024472857
28/10/2011,27.3,-0.004385972
27/10/2011,27.42,-0.017712373
26/10/2011,27.91,0.057137338
25/10/2011,26.36,-0.033205811
24/10/2011,27.25,0.048111495
21/10/2011,25.97,0.000385134
20/10/2011,25.96,0.060335758
19/10/2011,24.44,-0.097391037
18/10/2011,26.94,0.025946182
17/10/2011,26.25,-0.076608245
14/10/2011,28.34,-0.011228188
13/10/2011,28.66,0.039499887
12/10/2011,27.55,-0.047146778
11/10/2011,28.88,0.033447934
10/10/2011,27.93,0.036089209
07/10/2011,26.94,-0.019846296
06/10/2011,27.48,0.01947517
05/10/2011,26.95,0.060021835
04/10/2011,25.38,0.031215019
03/10/2011,24.6,-0.044522456
30/09/2011,25.72,-0.038891672
29/09/2011,26.74,-0.010046596
28/09/2011,27.01,-0.039206473
27/09/2011,28.09,0.010737397
26/09/2011,27.79,0.049798229
23/09/2011,26.44,0.018321123
22/09/2011,25.96,-0.063068836
21/09/2011,27.65,-0.023942541
20/09/2011,28.32,-0.032994832
19/09/2011,29.27,-0.026964896
16/09/2011,30.07,0.000332613
15/09/2011,30.06,0.015421023
14/09/2011,29.6,0.01600579
13/09/2011,29.13,0.009312018
12/09/2011,28.86,0.013956961
09/09/2011,28.46,0.005284494
08/09/2011,28.31,-0.006338049
07/09/2011,28.49,0.037551346
06/09/2011,27.44,0
02/09/2011,27.44,-0.04489532
01/09/2011,28.7,-0.0271541
31/08/2011,29.49,-0.004736139
30/08/2011,29.63,0.017705604
29/08/2011,29.11,0.028573372
26/08/2011,28.29,0.024330359
25/08/2011,27.61,-0.010807022
24/08/2011,27.91,0.012256823
23/08/2011,27.57,0.039206205
22/08/2011,26.51,0.003779294
19/08/2011,26.41,-0.052371849
18/08/2011,27.83,-0.075082806
17/08/2011,30,-0.034723436
16/08/2011,31.06,-0.013113893
15/08/2011,31.47,0.024772056
12/08/2011,30.7,0.007848307
11/08/2011,30.46,0.04533259
10/08/2011,29.11,-0.040725803
09/08/2011,30.32,0.040725803
08/08/2011,29.11,-0.047955542
05/08/2011,30.54,-0.014949905
04/08/2011,31,-0.067055512
03/08/2011,33.15,0.011224143
02/08/2011,32.78,-0.052588977
01/08/2011,34.55,0.002608319
29/07/2011,34.46,-0.025216236
28/07/2011,35.34,-0.00479888
27/07/2011,35.51,-0.026127111
26/07/2011,36.45,-0.012270093
25/07/2011,36.9,-0.030426687
22/07/2011,38.04,0.079582771
21/07/2011,35.13,-0.080633744
20/07/2011,38.08,0.009233676
19/07/2011,37.73,0.026589454
18/07/2011,36.74,-0.014322634
15/07/2011,37.27,0.005650493
14/07/2011,37.06,-0.005918769
13/07/2011,37.28,0.006998683
12/07/2011,37.02,-0.005119235
11/07/2011,37.21,-0.034600045
08/07/2011,38.52,0.000259639
07/07/2011,38.51,0.029514659
06/07/2011,37.39,0.01644907
05/07/2011,36.78,0.003813679
01/07/2011,36.64,0.007121367
30/06/2011,36.38,0.012446572
29/06/2011,35.93,0.009507902
28/06/2011,35.59,0.01957787
27/06/2011,34.9,-0.00799091
24/06/2011,35.18,-0.050710407
23/06/2011,37.01,0.068201892
22/06/2011,34.57,-0.006918448
21/06/2011,34.81,0.038359263
20/06/2011,33.5,0.000895924
17/06/2011,33.47,-0.023037049
16/06/2011,34.25,0.002631196
15/06/2011,34.16,-0.034525869
14/06/2011,35.36,0.051352834
13/06/2011,33.59,-0.010954958
10/06/2011,33.96,0.007982304
09/06/2011,33.69,-0.00029678
08/06/2011,33.7,-0.014435366
07/06/2011,34.19,-0.003795071
06/06/2011,34.32,-0.018476276
03/06/2011,34.96,-0.002000286
02/06/2011,35.03,-0.00654434
01/06/2011,35.26,-0.038664251
31/05/2011,36.65,0.025702672
27/05/2011,35.72,0.001681144
26/05/2011,35.66,-0.003918281
25/05/2011,35.8,-0.004459316
24/05/2011,35.96,0.003063643
23/05/2011,35.85,-0.008056718
20/05/2011,36.14,-0.005793919
19/05/2011,36.35,-0.012846972
18/05/2011,36.82,0.01394799
17/05/2011,36.31,-0.001925988
16/05/2011,36.38,-0.030055058
13/05/2011,37.49,-0.025284465
12/05/2011,38.45,0.000260112
11/05/2011,38.44,-0.011895667
10/05/2011,38.9,0.021830389
09/05/2011,38.06,-0.000525348
06/05/2011,38.08,0.010825188
05/05/2011,37.67,-0.008722138
04/05/2011,38,-0.01462931
03/05/2011,38.56,-0.023072031
02/05/2011,39.46,-0.008579412
29/04/2011,39.8,-0.010994614
28/04/2011,40.24,0.009488211
27/04/2011,39.86,-0.023798843
26/04/2011,40.82,0.008858326
25/04/2011,40.46,-0.019094827
21/04/2011,41.24,0.014409823
20/04/2011,40.65,0.028445032
19/04/2011,39.51,0.021489699
18/04/2011,38.67,-0.001808552
15/04/2011,38.74,0.009336167
14/04/2011,38.38,0.019203536
13/04/2011,37.65,-0.01266842
12/04/2011,38.13,-0.015871284
11/04/2011,38.74,-0.001547589
08/04/2011,38.8,0.026111144
07/04/2011,37.8,0.003445081
06/04/2011,37.67,0.017135627
05/04/2011,37.03,-0.007264932
04/04/2011,37.3,-0.023318492
01/04/2011,38.18,0.023586624
31/03/2011,37.29,-0.011200117
30/03/2011,37.71,0.01765696
29/03/2011,37.05,-0.000269869
28/03/2011,37.06,-0.008865068
25/03/2011,37.39,0.03538747
24/03/2011,36.09,0.047959254
23/03/2011,34.4,0.005538565
22/03/2011,34.21,-0.004957001
21/03/2011,34.38,0.014355014
18/03/2011,33.89,0.007404151
17/03/2011,33.64,0.023459722
16/03/2011,32.86,-0.024944945
15/03/2011,33.69,-0.002667854
14/03/2011,33.78,-0.018187653
11/03/2011,34.4,0.00232829
10/03/2011,34.32,-0.033804422
09/03/2011,35.5,-0.022009525
08/03/2011,36.29,0.045379069
07/03/2011,34.68,0.144632492
04/03/2011,30.01,-0.011595293
03/03/2011,30.36,0.020296821
02/03/2011,29.75,0.010474838
01/03/2011,29.44,-0.037991907
28/02/2011,30.58,-0.01975133
25/02/2011,31.19,0.016160662
24/02/2011,30.69,-0.001953126
23/02/2011,30.75,-0.042966036
22/02/2011,32.1,-0.03489794
18/02/2011,33.24,-0.012259086
17/02/2011,33.65,-0.002671021
16/02/2011,33.74,-0.012371292
15/02/2011,34.16,-0.014530915
14/02/2011,34.66,0.006948494
11/02/2011,34.42,-0.021271282
10/02/2011,35.16,-0.016361437
09/02/2011,35.74,-0.01719876
08/02/2011,36.36,0.000550206
07/02/2011,36.34,0.003583739
04/02/2011,36.21,0.006372095
03/02/2011,35.98,-0.011330783
02/02/2011,36.39,0.053914566
01/02/2011,34.48,0.013430859
31/01/2011,34.02,0.002354327
28/01/2011,33.94,-0.023585312
27/01/2011,34.75,0.029791923
26/01/2011,33.73,0.043320419
25/01/2011,32.3,-0.004633213
24/01/2011,32.45,0.029395487
21/01/2011,31.51,-0.008217493
20/01/2011,31.77,-0.037075609
19/01/2011,32.97,-0.028996203
18/01/2011,33.94,0.014841472
14/01/2011,33.44,0.020849826
13/01/2011,32.75,-0.006088299
12/01/2011,32.95,0.01190672
11/01/2011,32.56,-0.008562743
10/01/2011,32.84,-0.005768955
07/01/2011,33.03,0.000605694
06/01/2011,33.01,0.006686955
05/01/2011,32.79,-0.006080894
04/01/2011,32.99,-0.034265232
03/01/2011,34.14,0.007054703
31/12/2010,33.9,0.007401958
30/12/2010,33.65,0
29/12/2010,33.65,-0.005630479
28/12/2010,33.84,0.000886918
27/12/2010,33.81,-0.000591366
23/12/2010,33.83,0.00088718
22/12/2010,33.8,0.008915364
21/12/2010,33.5,0.012314317
20/12/2010,33.09,0.003633065
17/12/2010,32.97,-0.002120892
16/12/2010,33.04,-0.005132087
15/12/2010,33.21,-0.041580514
14/12/2010,34.62,-0.025382797
13/12/2010,35.51,-0.004775961
10/12/2010,35.68,0.01695914
09/12/2010,35.08,0.001711841
08/12/2010,35.02,-0.001711841
07/12/2010,35.08,0.01812217
06/12/2010,34.45,-0.006365762
03/12/2010,34.67,0.000577034
02/12/2010,34.65,0.01453514
01/12/2010,34.15,0.019217147
30/11/2010,33.5,-0.006545694
29/11/2010,33.72,-0.001185537
26/11/2010,33.76,-0.003252997
24/11/2010,33.87,0.027234962
23/11/2010,32.96,-0.022499824
22/11/2010,33.71,-0.007977587
19/11/2010,33.98,0.050395336
18/11/2010,32.31,0.029206033
17/11/2010,31.38,-0.007302779
16/11/2010,31.61,-0.012262377
15/11/2010,32,-0.0179627
12/11/2010,32.58,-0.012505882
11/11/2010,32.99,-0.01593779
10/11/2010,33.52,-0.030843978
09/11/2010,34.57,-0.006343735
08/11/2010,34.79,0.000862689
05/11/2010,34.76,0.034536649
04/11/2010,33.58,0.008974036
03/11/2010,33.28,0.00814607
02/11/2010,33.01,0.011884949
01/11/2010,32.62,0.018877243
29/10/2010,32.01,0.016060808
28/10/2010,31.5,-0.002853069
27/10/2010,31.59,0.020467616
26/10/2010,30.95,0.016615466
25/10/2010,30.44,0.000328569
22/10/2010,30.43,-0.003935722
21/10/2010,30.55,0.001638002
20/10/2010,30.5,0.009884759
19/10/2010,30.2,-0.041192787
