Date,Close,TJX
13/08/2012,44.24,-0.004960551
10/08/2012,44.46,-0.012072581
09/08/2012,45,-0.002219757
08/08/2012,45.1,-0.000886525
07/08/2012,45.14,-0.002433899
06/08/2012,45.25,0.003098719
03/08/2012,45.11,0.002219264
02/08/2012,45.01,0.025653972
01/08/2012,43.87,-0.009302393
31/07/2012,44.28,-0.013904687
30/07/2012,44.9,0.004464293
27/07/2012,44.7,0.011248713
26/07/2012,44.2,-0.001808319
25/07/2012,44.28,0.006116227
24/07/2012,44.01,-0.004534127
23/07/2012,44.21,-0.002259377
20/07/2012,44.31,-0.015007561
19/07/2012,44.98,0.000222346
18/07/2012,44.97,-0.002221236
17/07/2012,45.07,0.007572419
16/07/2012,44.73,-0.001340483
13/07/2012,44.79,0.016205621
12/07/2012,44.07,0.010492797
11/07/2012,43.61,-0.008903152
10/07/2012,44,-0.014440684
09/07/2012,44.64,0.004715401
06/07/2012,44.43,0.007681918
05/07/2012,44.09,0.036728923
03/07/2012,42.5,-0.016799275
02/07/2012,43.22,0.006732469
29/06/2012,42.93,0.031470715
28/06/2012,41.6,-0.015504187
27/06/2012,42.25,-0.019686598
26/06/2012,43.09,0.015199638
25/06/2012,42.44,-0.017749182
22/06/2012,43.2,0.018456312
21/06/2012,42.41,-0.016370805
20/06/2012,43.11,-0.008546073
19/06/2012,43.48,0.010171146
18/06/2012,43.04,0.01356746
15/06/2012,42.46,0.009465286
14/06/2012,42.06,0.015574773
13/06/2012,41.41,-0.006978731
12/06/2012,41.7,0.010850016
11/06/2012,41.25,-0.005077994
08/06/2012,41.46,-0.002409059
07/06/2012,41.56,-0.015755876
06/06/2012,42.22,0.026642642
05/06/2012,41.11,-0.000486381
04/06/2012,41.13,0.005607719
01/06/2012,40.9,-0.037432393
31/05/2012,42.46,0.026973828
30/05/2012,41.33,-0.006511539
29/05/2012,41.6,0.01770387
25/05/2012,40.87,-0.000733765
24/05/2012,40.9,0.005639343
23/05/2012,40.67,0.002461843
22/05/2012,40.57,0.005933268
21/05/2012,40.33,0.006717279
18/05/2012,40.06,-0.02172925
17/05/2012,40.94,-0.035748079
16/05/2012,42.43,-0.000471254
15/05/2012,42.45,0.066975725
14/05/2012,39.7,-0.038299925
11/05/2012,41.25,-0.013005964
10/05/2012,41.79,0.012521233
09/05/2012,41.27,-0.000484496
08/05/2012,41.29,-0.004832094
07/05/2012,41.49,-0.006007467
04/05/2012,41.74,-0.016867011
03/05/2012,42.45,-0.001882797
