Date,Close,RHI
27/01/2011,31.56,-0.065310561
26/01/2011,33.69,-0.004146925
25/01/2011,33.83,0.01489009
24/01/2011,33.33,0.01420178
21/01/2011,32.86,0.001218027
20/01/2011,32.82,-0.006075353
19/01/2011,33.02,-0.024825561
18/01/2011,33.85,0.023917433
14/01/2011,33.05,0.005156996
13/01/2011,32.88,-0.002733487
12/01/2011,32.97,0.018365989
11/01/2011,32.37,0.012121361
10/01/2011,31.98,0.007848102
07/01/2011,31.73,-0.001259843
06/01/2011,31.77,0.005681833
05/01/2011,31.59,0.036754621
04/01/2011,30.45,-0.016610055
03/01/2011,30.96,0.01169604
31/12/2010,30.6,-0.009756175
30/12/2010,30.9,0.000647459
29/12/2010,30.88,-0.00323311
28/12/2010,30.98,0.00323311
27/12/2010,30.88,-0.000647459
23/12/2010,30.9,0.000971345
22/12/2010,30.87,0.001621009
21/12/2010,30.82,0.016026508
20/12/2010,30.33,-0.002962965
17/12/2010,30.42,0.006927291
16/12/2010,30.21,-0.002974717
15/12/2010,30.3,-0.008871423
14/12/2010,30.57,0.013502593
13/12/2010,30.16,-0.001325381
10/12/2010,30.2,0.000993871
09/12/2010,30.17,0.008989573
08/12/2010,29.9,0.005701843
07/12/2010,29.73,0.003369275
06/12/2010,29.63,-0.004377848
03/12/2010,29.76,-0.002684565
02/12/2010,29.84,0.034780185
01/12/2010,28.82,0.038915416
30/11/2010,27.72,-0.009693129
29/11/2010,27.99,0.005014337
26/11/2010,27.85,-0.010003656
24/11/2010,28.13,0.036565159
23/11/2010,27.12,-0.008445066
22/11/2010,27.35,0.006971226
19/11/2010,27.16,-0.013894191
18/11/2010,27.54,0.020173066
17/11/2010,26.99,-0.000370439
16/11/2010,27,-0.021254006
15/11/2010,27.58,-0.001449276
12/11/2010,27.62,-0.00685552
11/11/2010,27.81,0.000719424
10/11/2010,27.79,0.006136096
09/11/2010,27.62,-0.017585237
08/11/2010,28.11,-0.010615811
05/11/2010,28.41,0.002466962
04/11/2010,28.34,0.017441268
03/11/2010,27.85,0.009017194
02/11/2010,27.6,0.010562837
01/11/2010,27.31,0.007350272
29/10/2010,27.11,-0.005517763
28/10/2010,27.26,0.001835873
27/10/2010,27.21,-0.006958461
26/10/2010,27.4,-0.001458789
25/10/2010,27.44,0.00291971
22/10/2010,27.36,0.009548365
21/10/2010,27.1,-0.001843318
20/10/2010,27.15,0.022724017
19/10/2010,26.54,-0.020880699
18/10/2010,27.1,0.01225187
15/10/2010,26.77,-0.008184569
14/10/2010,26.99,-0.00848557
13/10/2010,27.22,0.014804119
12/10/2010,26.82,0.008612673
11/10/2010,26.59,0.002259037
08/10/2010,26.53,0.017107431
07/10/2010,26.08,-0.004590674
06/10/2010,26.2,-0.006088299
05/10/2010,26.36,0.037886247
04/10/2010,25.38,-0.026823766
01/10/2010,26.07,0.00268869
30/09/2010,26,0.023741142
29/09/2010,25.39,0.001971221
28/09/2010,25.34,0.017918059
27/09/2010,24.89,-0.013567646
24/09/2010,25.23,0.030994632
23/09/2010,24.46,-0.010977951
22/09/2010,24.73,-0.010458663
21/09/2010,24.99,-0.003594971
20/09/2010,25.08,0.021766276
17/09/2010,24.54,0.025171537
16/09/2010,23.93,-0.004586208
15/09/2010,24.04,0.000832293
14/09/2010,24.02,-0.007052508
13/09/2010,24.19,0.021730901
10/09/2010,23.67,-0.007994993
09/09/2010,23.86,0.017759452
08/09/2010,23.44,0.004703879
07/09/2010,23.33,-0.029562964
