Date,Close,PBI
25/07/2011,22.25,-0.007165279
22/07/2011,22.41,-0.002228661
21/07/2011,22.46,0.007597802
20/07/2011,22.29,0.003595509
19/07/2011,22.21,0.015426803
18/07/2011,21.87,-0.011818319
15/07/2011,22.13,0.001809137
14/07/2011,22.09,-0.011253776
13/07/2011,22.34,-0.000894855
12/07/2011,22.36,-0.008461418
11/07/2011,22.55,-0.015401845
08/07/2011,22.9,-0.019888247
07/07/2011,23.36,0.006872879
06/07/2011,23.2,0.002589557
05/07/2011,23.14,-0.009890427
01/07/2011,23.37,0.01639381
30/06/2011,22.99,0.008737496
29/06/2011,22.79,0.01815414
28/06/2011,22.38,0.007174919
27/06/2011,22.22,0.004510608
24/06/2011,22.12,-0.024119079
23/06/2011,22.66,-0.000441209
22/06/2011,22.67,-0.004840493
21/06/2011,22.78,0.010147892
20/06/2011,22.55,0.00355398
17/06/2011,22.47,-0.003110422
16/06/2011,22.54,0.007123806
15/06/2011,22.38,-0.019031333
14/06/2011,22.81,0.014573011
13/06/2011,22.48,-0.005766261
10/06/2011,22.61,-0.010121098
09/06/2011,22.84,0
08/06/2011,22.84,-0.012617091
07/06/2011,23.13,-0.001727862
06/06/2011,23.17,-0.003016594
03/06/2011,23.24,-0.011976191
02/06/2011,23.52,0.002128113
01/06/2011,23.47,-0.017736951
31/05/2011,23.89,0.00503568
27/05/2011,23.77,0.000841751
26/05/2011,23.75,-0.000420964
25/05/2011,23.76,-0.013793322
24/05/2011,24.09,-0.00950224
23/05/2011,24.32,-0.012666155
20/05/2011,24.63,-0.00889254
19/05/2011,24.85,0.00889254
18/05/2011,24.63,0.008972328
17/05/2011,24.41,-0.005311555
16/05/2011,24.54,-0.001628665
13/05/2011,24.58,-0.007296344
12/05/2011,24.76,0.005670327
11/05/2011,24.62,-0.015716624
10/05/2011,25.01,0.010854378
09/05/2011,24.74,0.004456155
06/05/2011,24.63,-0.003242808
05/05/2011,24.71,0.000809717
04/05/2011,24.69,-0.00040494
03/05/2011,24.7,-0.002022245
02/05/2011,24.75,0.007706386
