Date,Close,DHI
23/02/2012,14.16,0.0163763
22/02/2012,13.93,-0.000717618
21/02/2012,13.94,-0.027592837
17/02/2012,14.33,-0.009722299
16/02/2012,14.47,-0.004137937
15/02/2012,14.53,-0.002062565
14/02/2012,14.56,-0.011608188
13/02/2012,14.73,0.027530989
10/02/2012,14.33,-0.012482825
09/02/2012,14.51,0.001379311
08/02/2012,14.49,0.009012193
07/02/2012,14.36,-0.006247851
06/02/2012,14.45,-0.014428282
03/02/2012,14.66,0.037530464
02/02/2012,14.12,0.002126906
01/02/2012,14.09,0.012138671
31/01/2012,13.92,-0.011428696
30/01/2012,14.08,-0.02177817
27/01/2012,14.39,0.018941289
26/01/2012,14.12,-0.025866524
25/01/2012,14.49,0.01670185
24/01/2012,14.25,0.02558775
23/01/2012,13.89,0.005052338
20/01/2012,13.82,-0.016505577
19/01/2012,14.05,-0.004969836
18/01/2012,14.12,0.026553408
17/01/2012,13.75,-0.011569182
13/01/2012,13.91,-0.0234469
12/01/2012,14.24,0.007754709
11/01/2012,14.13,0.047093091
10/01/2012,13.48,0.039339415
09/01/2012,12.96,-0.00154202
06/01/2012,12.98,-0.028855457
05/01/2012,13.36,0.018127385
04/01/2012,13.12,0.010728072
03/01/2012,12.98,0.028919561
30/12/2011,12.61,-0.0102565
29/12/2011,12.74,0.043310698
28/12/2011,12.2,-0.012220111
27/12/2011,12.35,-0.00806456
23/12/2011,12.45,-0.005606743
22/12/2011,12.52,-0.020554083
21/12/2011,12.78,0.027768543
20/12/2011,12.43,0.055408963
19/12/2011,11.76,-0.020202707
16/12/2011,12,0.006688988
15/12/2011,11.92,0.019483886
14/12/2011,11.69,-0.030330884
13/12/2011,12.05,-0.049382757
12/12/2011,12.66,0
09/12/2011,12.66,0.034555467
08/12/2011,12.23,-0.036922332
07/12/2011,12.69,0.000788333
06/12/2011,12.68,0.005535799
05/12/2011,12.61,0.058792439
02/12/2011,11.89,-0.003358525
01/12/2011,11.93,0.001677853
30/11/2011,11.91,0.053461005
29/11/2011,11.29,0.002660755
28/11/2011,11.26,0.036170308
25/11/2011,10.86,0.002766253
23/11/2011,10.83,-0.042482665
22/11/2011,11.3,0.012466769
21/11/2011,11.16,-0.008032172
18/11/2011,11.25,-0.007085946
17/11/2011,11.33,-0.018365186
16/11/2011,11.54,0.019248188
15/11/2011,11.32,0.003539827
14/11/2011,11.28,-0.015831465
11/11/2011,11.46,-0.01730147
10/11/2011,11.66,0.025185873
09/11/2011,11.37,-0.057256132
08/11/2011,12.04,0.030356462
07/11/2011,11.68,0.01119254
04/11/2011,11.55,-0.001730104
03/11/2011,11.57,0.025384295
02/11/2011,11.28,0.034268457
01/11/2011,10.9,-0.020881376
31/10/2011,11.13,-0.04222263
28/10/2011,11.61,-0.017079834
27/10/2011,11.81,0.042375557
26/10/2011,11.32,0.019625964
25/10/2011,11.1,-0.028421096
24/10/2011,11.42,0.053046143
21/10/2011,10.83,0.019581045
20/10/2011,10.62,0.017094433
19/10/2011,10.44,-0.014265577
18/10/2011,10.59,0.104416674
17/10/2011,9.54,-0.043083586
14/10/2011,9.96,0.010090903
13/10/2011,9.86,-0.018090946
12/10/2011,10.04,0.025215658
11/10/2011,9.79,0.015440348
10/10/2011,9.64,0.049983822
07/10/2011,9.17,-0.016225342
06/10/2011,9.32,0.014046692
05/10/2011,9.19,0.053644146
04/10/2011,8.71,0.030305349
03/10/2011,8.45,-0.067492733
30/09/2011,9.04,-0.043296806
29/09/2011,9.44,0.036681567
28/09/2011,9.1,-0.03137088
27/09/2011,9.39,-0.006369448
26/09/2011,9.45,0.030077455
23/09/2011,9.17,0.005467482
22/09/2011,9.12,-0.056488111
21/09/2011,9.65,-0.013381569
20/09/2011,9.78,0.022751757
19/09/2011,9.56,-0.009370188
16/09/2011,9.65,0.006237026
15/09/2011,9.59,0.002087683
14/09/2011,9.57,0.015798117
13/09/2011,9.42,-0.014752638
12/09/2011,9.56,-0.002089865
09/09/2011,9.58,-0.022704794
08/09/2011,9.8,-0.037059824
07/09/2011,10.17,0.044228314
06/09/2011,9.73,-0.024366688
02/09/2011,9.97,-0.022807136
01/09/2011,10.2,-0.030890487
