Date,Close,FTR
24/04/2012,4.12,-0.014458083
23/04/2012,4.18,0.01203384
20/04/2012,4.13,0
19/04/2012,4.13,-0.014423327
18/04/2012,4.19,-0.014218249
17/04/2012,4.25,0.019002947
16/04/2012,4.17,0.012062872
13/04/2012,4.12,-0.019231362
12/04/2012,4.2,0.021661497
11/04/2012,4.11,0
10/04/2012,4.11,-0.002430135
09/04/2012,4.12,-0.045084741
05/04/2012,4.31,-0.013825105
04/04/2012,4.37,0.018476276
03/04/2012,4.29,0.004672906
02/04/2012,4.27,0.023697791
30/03/2012,4.17,0.021819047
29/03/2012,4.08,0.014815086
28/03/2012,4.02,-0.017263067
27/03/2012,4.09,-0.019371066
26/03/2012,4.17,-0.004784698
23/03/2012,4.19,-0.018913093
22/03/2012,4.27,-0.013953715
21/03/2012,4.33,0.013953715
20/03/2012,4.27,0.009411834
19/03/2012,4.23,-0.023365549
16/03/2012,4.33,0.013953715
15/03/2012,4.27,-0.011641575
14/03/2012,4.32,-0.020619287
13/03/2012,4.41,0.011402632
12/03/2012,4.36,-0.013667639
09/03/2012,4.42,0.011376687
08/03/2012,4.37,0.004587164
07/03/2012,4.35,-0.006872879
06/03/2012,4.38,-0.006825965
05/03/2012,4.41,-0.031252544
02/03/2012,4.55,0.011049836
01/03/2012,4.5,-0.017621601
29/02/2012,4.58,-0.008695707
28/02/2012,4.62,0
27/02/2012,4.62,-0.004319661
24/02/2012,4.64,0.015201161
23/02/2012,4.57,-0.004366819
22/02/2012,4.59,-0.008676844
21/02/2012,4.63,-0.031883678
17/02/2012,4.78,0.06929178
16/02/2012,4.46,0.034210862
15/02/2012,4.31,0.059754931
14/02/2012,4.06,-0.019512814
13/02/2012,4.14,0.024451096
10/02/2012,4.04,-0.024451096
09/02/2012,4.14,-0.028573372
08/02/2012,4.26,-0.009345862
07/02/2012,4.3,-0.009259325
06/02/2012,4.34,-0.038422805
03/02/2012,4.51,0.033825096
02/02/2012,4.36,0.027908788
01/02/2012,4.24,-0.00938974
31/01/2012,4.28,0.011751017
30/01/2012,4.23,-0.018735911
27/01/2012,4.31,-0.036450505
26/01/2012,4.47,-0.060756209
25/01/2012,4.75,0
24/01/2012,4.75,-0.020834087
23/01/2012,4.85,-0.004115232
20/01/2012,4.87,0
19/01/2012,4.87,-0.016293639
18/01/2012,4.95,-0.027890254
17/01/2012,5.09,-0.001962709
13/01/2012,5.1,0.013820556
12/01/2012,5.03,-0.001986098
11/01/2012,5.04,-0.001982161
10/01/2012,5.05,0
09/01/2012,5.05,-0.011811161
06/01/2012,5.11,0.017769471
05/01/2012,5.02,-0.025566781
04/01/2012,5.15,-0.034354524
03/01/2012,5.33,0.034354524
30/12/2011,5.15,0.0275608
29/12/2011,5.01,0.040738831
