Date,Close,CF
03/10/2012,219.98,-0.009230835
02/10/2012,222.02,-0.011152782
01/10/2012,224.51,0.010162371
28/09/2012,222.24,0.009585027
27/09/2012,220.12,0.019357515
26/09/2012,215.9,0.008185331
25/09/2012,214.14,-0.012253008
24/09/2012,216.78,-0.008817913
21/09/2012,218.7,-0.005608386
20/09/2012,219.93,-0.013054957
19/09/2012,222.82,0.013600734
18/09/2012,219.81,-0.002725911
17/09/2012,220.41,-0.014771716
14/09/2012,223.69,0.014590253
13/09/2012,220.45,0.026941681
12/09/2012,214.59,0.015497633
11/09/2012,211.29,-0.004061974
10/09/2012,212.15,-0.013204912
07/09/2012,214.97,0.009769857
06/09/2012,212.88,0.021941328
05/09/2012,208.26,0.016997576
04/09/2012,204.75,-0.010977379
31/08/2012,207.01,0.0168063
30/08/2012,203.56,-0.019170538
29/08/2012,207.5,0.003379197
28/08/2012,206.8,0.004167278
27/08/2012,205.94,-0.007980116
24/08/2012,207.59,0.004151387
23/08/2012,206.73,-0.033627405
22/08/2012,213.8,0.011288925
21/08/2012,211.4,-0.019579997
20/08/2012,215.58,-0.004858759
17/08/2012,216.63,0.002495842
16/08/2012,216.09,0.021375431
15/08/2012,211.52,0.016252771
14/08/2012,208.11,-0.002926855
13/08/2012,208.72,0.003695975
10/08/2012,207.95,-0.023337006
09/08/2012,212.86,0.025840739
08/08/2012,207.43,0.006578016
07/08/2012,206.07,0.012746492
06/08/2012,203.46,0.007102723
03/08/2012,202.02,0.038500252
02/08/2012,194.39,-0.001182489
01/08/2012,194.62,-0.00584048
31/07/2012,195.76,-0.008849165
30/07/2012,197.5,-0.014027732
27/07/2012,200.29,0.028717377
26/07/2012,194.62,-0.004971692
25/07/2012,195.59,0.008317124
24/07/2012,193.97,-0.020260447
23/07/2012,197.94,-0.024108377
20/07/2012,202.77,-0.004330502
19/07/2012,203.65,-0.012540726
18/07/2012,206.22,0.012589831
17/07/2012,203.64,0.024809247
16/07/2012,198.65,0.017519808
13/07/2012,195.2,0.008798842
12/07/2012,193.49,-0.006182718
11/07/2012,194.69,0.019292202
10/07/2012,190.97,-0.024211001
09/07/2012,195.65,-0.002654282
06/07/2012,196.17,-0.018135016
05/07/2012,199.76,0.002054572
03/07/2012,199.35,0.030094687
02/07/2012,193.44,-0.001549667
29/06/2012,193.74,0.019282478
28/06/2012,190.04,-0.001840024
27/06/2012,190.39,0.007698024
26/06/2012,188.93,0.028290354
25/06/2012,183.66,0.033045763
22/06/2012,177.69,0.014797447
21/06/2012,175.08,-0.02470933
20/06/2012,179.46,-0.007770909
19/06/2012,180.86,0.056586149
18/06/2012,170.91,0.034525184
15/06/2012,165.11,0.007904699
14/06/2012,163.81,-0.002012503
13/06/2012,164.14,-0.027639347
12/06/2012,168.74,0.013844355
11/06/2012,166.42,-0.024337878
08/06/2012,170.52,0.024758589
07/06/2012,166.35,-0.015331228
06/06/2012,168.92,0.012389961
05/06/2012,166.84,0.043425176
04/06/2012,159.75,-0.014541643
01/06/2012,162.09,-0.053277874
31/05/2012,170.96,-0.009431286
30/05/2012,172.58,-0.003586099
29/05/2012,173.2,0.039091391
25/05/2012,166.56,-0.009084452
24/05/2012,168.08,0.00453191
23/05/2012,167.32,0.035526851
22/05/2012,161.48,-0.028509699
21/05/2012,166.15,0.056581497
18/05/2012,157.01,0.017734835
17/05/2012,154.25,-0.039906178
16/05/2012,160.53,-0.018699055
15/05/2012,163.56,-0.013481713
14/05/2012,165.78,-0.037878833
11/05/2012,172.18,5.80804E-05
10/05/2012,172.17,-0.017388738
09/05/2012,175.19,-0.043068456
08/05/2012,182.9,-0.005506952
07/05/2012,183.91,0
04/05/2012,183.91,-0.071190806
03/05/2012,197.48,-0.013329842
02/05/2012,200.13,0.024891253
01/05/2012,195.21,0.011074881
30/04/2012,193.06,-0.025114483
27/04/2012,197.97,0.02547713
26/04/2012,192.99,0.003893783
25/04/2012,192.24,0.058040054
24/04/2012,181.4,-0.005003997
23/04/2012,182.31,-0.023633817
20/04/2012,186.67,0.004671526
19/04/2012,185.8,-0.002526408
