Date,Close,TWC
08/12/2011,61,-0.025412066
07/12/2011,62.57,-0.001756487
06/12/2011,62.68,-0.000478507
05/12/2011,62.71,-0.017232266
02/12/2011,63.8,0.046191662
01/12/2011,60.92,0.007248796
30/11/2011,60.48,0.045150961
29/11/2011,57.81,0.006943267
28/11/2011,57.41,-0.003998267
25/11/2011,57.64,-0.000520336
23/11/2011,57.67,-0.026184434
22/11/2011,59.2,-0.009582321
21/11/2011,59.77,-0.010981808
18/11/2011,60.43,-0.002314051
17/11/2011,60.57,0.000165112
16/11/2011,60.56,-0.016702533
15/11/2011,61.58,0.015712271
14/11/2011,60.62,-0.006740675
11/11/2011,61.03,0.014856662
10/11/2011,60.13,0.000665447
09/11/2011,60.09,-0.037721837
08/11/2011,62.4,0.002888784
07/11/2011,62.22,0.015059794
04/11/2011,61.29,-0.02274475
03/11/2011,62.7,-0.0028667
02/11/2011,62.88,-0.011856909
01/11/2011,63.63,-0.000942507
31/10/2011,63.69,0.019181059
28/10/2011,62.48,-0.042152735
27/10/2011,65.17,-0.080455743
26/10/2011,70.63,0.004540947
25/10/2011,70.31,-0.021527388
24/10/2011,71.84,0.013594211
21/10/2011,70.87,0.01535648
20/10/2011,69.79,0.010080731
19/10/2011,69.09,0.001448436
18/10/2011,68.99,0.009612658
17/10/2011,68.33,-0.021571593
14/10/2011,69.82,0.014426101
13/10/2011,68.82,-0.001597097
12/10/2011,68.93,0.008157365
11/10/2011,68.37,-0.016104809
10/10/2011,69.48,0.028615091
07/10/2011,67.52,-0.008847006
06/10/2011,68.12,0.02587505
05/10/2011,66.38,0.021316276
04/10/2011,64.98,0.034283705
03/10/2011,62.79,0.001912961
30/09/2011,62.67,-0.032496384
29/09/2011,64.74,-0.004930673
28/09/2011,65.06,-0.029233433
27/09/2011,66.99,0.013223333
26/09/2011,66.11,0.020168751
23/09/2011,64.79,0.014301503
22/09/2011,63.87,0.000626468
21/09/2011,63.83,-0.02613214
20/09/2011,65.52,0.001680288
19/09/2011,65.41,-0.00381476
16/09/2011,65.66,-0.00106553
15/09/2011,65.73,0.016567337
14/09/2011,64.65,0.042176353
13/09/2011,61.98,0.005662987
12/09/2011,61.63,0.012736946
09/09/2011,60.85,-0.037575976
08/09/2011,63.18,-0.014144507
07/09/2011,64.08,0.018904155
06/09/2011,62.88,-0.01059885
02/09/2011,63.55,-0.028695261
01/09/2011,65.4,-0.001527884
31/08/2011,65.5,-0.00015266
30/08/2011,65.51,0.007661699
29/08/2011,65.01,0.02334373
26/08/2011,63.51,0.014112658
25/08/2011,62.62,-0.01332507
24/08/2011,63.46,0.009817973
23/08/2011,62.84,0.03070204
22/08/2011,60.94,-0.013366132
19/08/2011,61.76,-0.009026496
18/08/2011,62.32,-0.041489294
17/08/2011,64.96,0.010989972
16/08/2011,64.25,-0.011913191
15/08/2011,65.02,-0.007507888
12/08/2011,65.51,0.011823554
11/08/2011,64.74,0.038257322
10/08/2011,62.31,-0.049011766
09/08/2011,65.44,0.038951801
08/08/2011,62.94,-0.077325814
05/08/2011,68,0.013472704
04/08/2011,67.09,-0.034860003
03/08/2011,69.47,-0.005598235
02/08/2011,69.86,-0.043006838
01/08/2011,72.93,-0.005196948
29/07/2011,73.31,-0.001635546
28/07/2011,73.43,-0.048770709
27/07/2011,77.1,-0.010964315
26/07/2011,77.95,-0.006393884
25/07/2011,78.45,-0.004197678
22/07/2011,78.78,0.004707687
21/07/2011,78.41,0.023615524
20/07/2011,76.58,-0.008452037
19/07/2011,77.23,0.012115044
18/07/2011,76.3,-0.012891643
15/07/2011,77.29,-0.002197093
14/07/2011,77.46,-0.005407506
13/07/2011,77.88,0.000899223
12/07/2011,77.81,-0.000257003
11/07/2011,77.83,-0.017954261
08/07/2011,79.24,-0.009420405
07/07/2011,79.99,0.004510721
06/07/2011,79.63,-0.004260658
05/07/2011,79.97,0.005894543
01/07/2011,79.5,0.018535506
30/06/2011,78.04,0.008234735
29/06/2011,77.4,-0.003353544
28/06/2011,77.66,0.017536333
27/06/2011,76.31,0.024004866
24/06/2011,74.5,-0.00026842
23/06/2011,74.52,-0.012800175
22/06/2011,75.48,-0.005944143
21/06/2011,75.93,0.020355921
20/06/2011,74.4,-0.003220615
17/06/2011,74.64,0.019754397
16/06/2011,73.18,-0.009519996
15/06/2011,73.88,-0.015045958
14/06/2011,75,0.017213981
13/06/2011,73.72,-0.001220091
10/06/2011,73.81,-0.024094326
09/06/2011,75.61,0.009434659
08/06/2011,74.9,-0.009434659
07/06/2011,75.61,0.005437319
06/06/2011,75.2,-0.007947062
03/06/2011,75.8,-0.015707129
02/06/2011,77,0.007430133
01/06/2011,76.43,-0.010283202
31/05/2011,77.22,-0.00090609
27/05/2011,77.29,0.01276059
26/05/2011,76.31,0.002624329
25/05/2011,76.11,-0.005895085
24/05/2011,76.56,-0.014008011
23/05/2011,77.64,-0.004497855
20/05/2011,77.99,0.008627959
19/05/2011,77.32,-0.004001296
18/05/2011,77.63,0.013748595
17/05/2011,76.57,0.000261233
16/05/2011,76.55,-0.009232235
13/05/2011,77.26,-0.010429503
12/05/2011,78.07,-0.004855619
11/05/2011,78.45,-0.000127462
10/05/2011,78.46,0.018913397
09/05/2011,76.99,0.003643465
06/05/2011,76.71,0.010747155
05/05/2011,75.89,-0.015429176
04/05/2011,77.07,0.008600522
03/05/2011,76.41,-0.019312375
02/05/2011,77.9,-0.002948153
29/04/2011,78.13,0.024225552
28/04/2011,76.26,0.012535626
27/04/2011,75.31,0.00465829
26/04/2011,74.96,0.004412067
25/04/2011,74.63,0.008477478
21/04/2011,74,0.008277407
20/04/2011,73.39,0.013443275
19/04/2011,72.41,0.000828958
18/04/2011,72.35,-0.006337855
15/04/2011,72.81,0.014665454
14/04/2011,71.75,-0.008603994
13/04/2011,72.37,0.003183173
12/04/2011,72.14,-0.00910728
11/04/2011,72.8,-0.000686577
08/04/2011,72.85,0.004540147
07/04/2011,72.52,0.000689703
06/04/2011,72.47,0.002210251
05/04/2011,72.31,0.000553327
04/04/2011,72.27,0.001939059
01/04/2011,72.13,0.011012867
31/03/2011,71.34,-0.001260769
30/03/2011,71.43,0.013814711
29/03/2011,70.45,0.007694538
28/03/2011,69.91,-0.010812454
25/03/2011,70.67,0.005533891
24/03/2011,70.28,0.013032766
23/03/2011,69.37,0.004189244
22/03/2011,69.08,-0.000144749
21/03/2011,69.09,0.017815892
18/03/2011,67.87,0.005911056
17/03/2011,67.47,-0.003255404
16/03/2011,67.69,-0.011895287
15/03/2011,68.5,0.006150261
14/03/2011,68.08,-0.010374901
11/03/2011,68.79,0.002474348
10/03/2011,68.62,-0.023903226
09/03/2011,70.28,-0.010051759
08/03/2011,70.99,-0.001126285
07/03/2011,71.07,-0.013139691
04/03/2011,72.01,-0.006505663
03/03/2011,72.48,0.036245012
02/03/2011,69.9,-0.009256029
01/03/2011,70.55,-0.022841321
28/02/2011,72.18,0.012406934
25/02/2011,71.29,0.005485632
24/02/2011,70.9,0.021671792
23/02/2011,69.38,-0.007037731
22/02/2011,69.87,-0.0285008
18/02/2011,71.89,-0.002223149
17/02/2011,72.05,-0.002633587
16/02/2011,72.24,0.013658749
15/02/2011,71.26,0.014417211
14/02/2011,70.24,-0.012310025
11/02/2011,71.11,0.011171721
10/02/2011,70.32,0.011729501
09/02/2011,69.5,-0.001294126
08/02/2011,69.59,0.001294126
