Date,Close,FLR
27/09/2011,51.77,0.015181296
26/09/2011,50.99,0.013425671
23/09/2011,50.31,0.015827236
22/09/2011,49.52,-0.082153068
21/09/2011,53.76,-0.061324657
20/09/2011,57.16,-0.024197517
19/09/2011,58.56,-0.033747851
16/09/2011,60.57,-0.000990099
15/09/2011,60.63,0.026744031
14/09/2011,59.03,0.011072424
13/09/2011,58.38,0.014840652
12/09/2011,57.52,0.000173868
09/09/2011,57.51,-0.040049657
08/09/2011,59.86,-0.005331569
07/09/2011,60.18,0.038795413
06/09/2011,57.89,-0.004137224
02/09/2011,58.13,-0.027152525
01/09/2011,59.73,-0.016438726
31/08/2011,60.72,0.00214327
30/08/2011,60.59,0.016642088
29/08/2011,59.59,0.037617703
26/08/2011,57.39,0.022199643
25/08/2011,56.13,-0.02533117
24/08/2011,57.57,0.019469176
23/08/2011,56.46,0.035331721
22/08/2011,54.5,0.005888865
19/08/2011,54.18,-0.017563569
18/08/2011,55.14,-0.093594064
17/08/2011,60.55,0.016485262
16/08/2011,59.56,-0.014335968
15/08/2011,60.42,0.027348404
12/08/2011,58.79,0.023579098
11/08/2011,57.42,0.063818938
10/08/2011,53.87,-0.020213845
09/08/2011,54.97,0.092367452
08/08/2011,50.12,-0.130559103
05/08/2011,57.11,0.045128517
04/08/2011,54.59,-0.100144518
03/08/2011,60.34,-0.003143876
02/08/2011,60.53,-0.036497442
01/08/2011,62.78,-0.011875684
29/07/2011,63.53,0.003311
28/07/2011,63.32,-0.016757107
27/07/2011,64.39,-0.038539535
26/07/2011,66.92,-0.010110107
25/07/2011,67.6,0.003259745
22/07/2011,67.38,0.002972654
21/07/2011,67.18,0.02440983
20/07/2011,65.56,-0.002893917
19/07/2011,65.75,0.02230004
18/07/2011,64.3,-0.013132672
15/07/2011,65.15,0.013288205
14/07/2011,64.29,-0.009135312
13/07/2011,64.88,0.012251064
12/07/2011,64.09,-0.013945066
11/07/2011,64.99,-0.030309943
08/07/2011,66.99,0.00313972
07/07/2011,66.78,0.028093868
06/07/2011,64.93,0.004321661
05/07/2011,64.65,0.00869976
01/07/2011,64.09,-0.008854427
30/06/2011,64.66,0.017001111
29/06/2011,63.57,0.005362789
28/06/2011,63.23,0.02514345
27/06/2011,61.66,0.008796278
24/06/2011,61.12,-0.012357881
23/06/2011,61.88,-0.006282743
22/06/2011,62.27,-0.006083912
21/06/2011,62.65,0.018363918
20/06/2011,61.51,0.016887031
17/06/2011,60.48,-0.015748357
16/06/2011,61.44,-0.015183622
15/06/2011,62.38,-0.023918143
14/06/2011,63.89,0.032127445
13/06/2011,61.87,-0.001292199
10/06/2011,61.95,-0.01505956
09/06/2011,62.89,-0.008865026
08/06/2011,63.45,0.000472925
07/06/2011,63.42,0.002684142
06/06/2011,63.25,-0.038764543
03/06/2011,65.75,-0.010740592
02/06/2011,66.46,0.006945521
01/06/2011,66,-0.043436755
31/05/2011,68.93,0.013583792
27/05/2011,68,0.010050336
26/05/2011,67.32,0.001932942
25/05/2011,67.19,0.017415243
24/05/2011,66.03,0.004097433
23/05/2011,65.76,-0.023594152
20/05/2011,67.33,-0.006808789
19/05/2011,67.79,-0.008811924
18/05/2011,68.39,0.006601652
17/05/2011,67.94,-0.025862258
16/05/2011,69.72,0.010380716
13/05/2011,69,-0.026740708
12/05/2011,70.87,-0.012480005
11/05/2011,71.76,-0.011362184
10/05/2011,72.58,0.004972386
09/05/2011,72.22,0.018869803
06/05/2011,70.87,0.075900506
05/05/2011,65.69,-0.007733756
04/05/2011,66.2,-0.028590393
03/05/2011,68.12,0.000881187
02/05/2011,68.06,-0.027248063
29/04/2011,69.94,0.035954677
28/04/2011,67.47,-0.003698503
