Date,Close,STX
01/02/2012,25.53,0.188687251
31/01/2012,21.14,0.011896405
30/01/2012,20.89,0.005760938
27/01/2012,20.77,0.0478277
26/01/2012,19.8,0.001516301
25/01/2012,19.77,0.001012146
24/01/2012,19.75,0.0035506
23/01/2012,19.68,-0.017128882
20/01/2012,20.02,0.009031672
19/01/2012,19.84,0.004546611
18/01/2012,19.75,0.016335228
17/01/2012,19.43,-0.005645383
13/01/2012,19.54,0.008738169
12/01/2012,19.37,0.035736856
11/01/2012,18.69,0.004827041
10/01/2012,18.6,0.022289588
09/01/2012,18.19,-0.006029067
06/01/2012,18.3,0.022100347
05/01/2012,17.9,0.062232058
04/01/2012,16.82,0.023459722
03/01/2012,16.43,0.001827597
30/12/2011,16.4,0.034111835
29/12/2011,15.85,0.016539817
28/12/2011,15.59,-0.014645279
27/12/2011,15.82,-0.021264091
23/12/2011,16.16,0.009950331
22/12/2011,16,0.00250313
21/12/2011,15.96,0.013880349
20/12/2011,15.74,0.04349923
19/12/2011,15.07,-0.023607654
16/12/2011,15.43,0.003245702
15/12/2011,15.38,-0.005834701
14/12/2011,15.47,-0.023004209
13/12/2011,15.83,-0.032932457
12/12/2011,16.36,0.012300278
09/12/2011,16.16,0.028878341
08/12/2011,15.7,-0.038730637
07/12/2011,16.32,-0.004889985
06/12/2011,16.4,-0.010915815
05/12/2011,16.58,0.025039476
02/12/2011,16.17,-0.073312533
01/12/2011,17.4,0.017391743
30/11/2011,17.1,0.030881314
29/11/2011,16.58,0.036233623
28/11/2011,15.99,0.053303147
25/11/2011,15.16,-0.017653286
23/11/2011,15.43,-0.03564986
22/11/2011,15.99,-0.009956523
21/11/2011,16.15,0.008706523
18/11/2011,16.01,-0.045781568
17/11/2011,16.76,-0.025332724
16/11/2011,17.19,-0.019015266
15/11/2011,17.52,-0.013605652
14/11/2011,17.76,-0.010084119
11/11/2011,17.94,0.02426071
10/11/2011,17.51,0.021940834
09/11/2011,17.13,-0.042851457
08/11/2011,17.88,-0.025946805
07/11/2011,18.35,0.000545108
04/11/2011,18.34,0.058956167
03/11/2011,17.29,0.026371291
02/11/2011,16.84,0.0356641
01/11/2011,16.25,0.006172859
31/10/2011,16.15,-0.014751343
28/10/2011,16.39,0.003667486
27/10/2011,16.33,0.005526572
26/10/2011,16.24,0.0395656
25/10/2011,15.61,-0.008293508
24/10/2011,15.74,0.020539875
21/10/2011,15.42,0.245771177
20/10/2011,12.06,0.000829531
19/10/2011,12.05,-0.004140793
18/10/2011,12.1,0.068402727
17/10/2011,11.3,-0.043296806
14/10/2011,11.8,-0.002539147
13/10/2011,11.83,0.055618156
12/10/2011,11.19,0.001788909
11/10/2011,11.17,0.008089932
10/10/2011,11.08,0.033963797
07/10/2011,10.71,-0.000933271
06/10/2011,10.72,0.053652713
05/10/2011,10.16,0.051500527
04/10/2011,9.65,0.016719303
03/10/2011,9.49,-0.079961647
30/09/2011,10.28,-0.040977624
29/09/2011,10.71,-0.036667719
28/09/2011,11.11,-0.032760787
27/09/2011,11.48,0.021127546
26/09/2011,11.24,0.04457309
23/09/2011,10.75,0.007469689
22/09/2011,10.67,-0.046690402
21/09/2011,11.18,-0.020363696
20/09/2011,11.41,-0.025098678
19/09/2011,11.7,-0.026983087
16/09/2011,12.02,0.011715615
15/09/2011,11.88,-0.001682086
14/09/2011,11.9,0.042925045
13/09/2011,11.4,0.015024587
12/09/2011,11.23,0.004462301
09/09/2011,11.18,0.013507634
08/09/2011,11.03,-0.025068457
07/09/2011,11.31,0.064833289
06/09/2011,10.6,-0.010323883
02/09/2011,10.71,-0.04830096
01/09/2011,11.24,-0.029800628
31/08/2011,11.58,-0.001725626
30/08/2011,11.6,-0.006016348
29/08/2011,11.67,0.050977645
26/08/2011,11.09,0.026497667
25/08/2011,10.8,-0.016529302
24/08/2011,10.98,0.018382871
23/08/2011,10.78,0.056285718
22/08/2011,10.19,0.010853585
19/08/2011,10.08,-0.049356897
18/08/2011,10.59,-0.099678682
17/08/2011,11.7,-0.038563035
16/08/2011,12.16,0.01241224
15/08/2011,12.01,0.014256007
12/08/2011,11.84,0.023932766
11/08/2011,11.56,0.042409182
10/08/2011,11.08,-0.020545609
09/08/2011,11.31,0.038761049
08/08/2011,10.88,-0.10296795
05/08/2011,12.06,-0.000828844
04/08/2011,12.07,-0.055592243
03/08/2011,12.76,-0.033901552
02/08/2011,13.2,-0.047346121
01/08/2011,13.84,-0.003606207
29/07/2011,13.89,-0.026289258
28/07/2011,14.26,-0.004896827
27/07/2011,14.33,-0.030242855
26/07/2011,14.77,0.008157761
25/07/2011,14.65,0.005475715
22/07/2011,14.57,0.030664424
21/07/2011,14.13,-0.184324739
20/07/2011,16.99,0.00353774
19/07/2011,16.93,0.023910284
18/07/2011,16.53,-0.016797036
15/07/2011,16.81,0.00776355
14/07/2011,16.68,-0.008952611
13/07/2011,16.83,0.013760313
12/07/2011,16.6,-0.006604647
11/07/2011,16.71,-0.013670347
08/07/2011,16.94,0.017868254
07/07/2011,16.64,0.019418086
06/07/2011,16.32,0.007380107
05/07/2011,16.2,-0.009828089
01/07/2011,16.36,0.012300278
30/06/2011,16.16,0.037193067
29/06/2011,15.57,0.016839776
28/06/2011,15.31,0.005895857
27/06/2011,15.22,-0.008505122
24/06/2011,15.35,-0.023818313
23/06/2011,15.72,0.048885589
22/06/2011,14.97,0.012773283
21/06/2011,14.78,0.028132215
20/06/2011,14.37,0.008385793
17/06/2011,14.25,-0.022207713
16/06/2011,14.57,-0.022396593
15/06/2011,14.9,-0.04526847
14/06/2011,15.59,0.029950155
13/06/2011,15.13,-0.008555498
10/06/2011,15.26,-0.007832938
09/06/2011,15.38,-0.004541039
08/06/2011,15.45,-0.004520511
07/06/2011,15.52,-0.003216471
06/06/2011,15.57,-0.020973123
03/06/2011,15.9,-0.023618251
02/06/2011,16.28,-0.002453989
01/06/2011,16.32,-0.028987537
31/05/2011,16.8,0.020445691
27/05/2011,16.46,-0.013277202
26/05/2011,16.68,-0.004784698
25/05/2011,16.76,-0.009501259
24/05/2011,16.92,0.009501259
23/05/2011,16.76,-0.010092101
20/05/2011,16.93,0.021493365
19/05/2011,16.57,-0.017350121
18/05/2011,16.86,0.014939029
17/05/2011,16.61,-0.005403796
16/05/2011,16.7,-0.026006194
13/05/2011,17.14,-0.002912906
12/05/2011,17.19,-0.01386504
11/05/2011,17.43,-0.018192656
10/05/2011,17.75,0.01991531
09/05/2011,17.4,0.004031102
06/05/2011,17.33,0.01336064
05/05/2011,17.1,-0.012205906
04/05/2011,17.31,0.007538453
03/05/2011,17.18,-0.020167782
02/05/2011,17.53,-0.005120922
29/04/2011,17.62,-0.010163837
28/04/2011,17.8,-0.008948606
27/04/2011,17.96,-0.009972382
26/04/2011,18.14,-0.003302149
25/04/2011,18.2,0.002751033
21/04/2011,18.15,-0.003849331
20/04/2011,18.22,0.016044604
19/04/2011,17.93,0.00503216
18/04/2011,17.84,0.011274077
15/04/2011,17.64,0.031675553
14/04/2011,17.09,0.039384565
13/04/2011,16.43,0.02028966
12/04/2011,16.1,0.022614029
11/04/2011,15.74,-0.006333143
08/04/2011,15.84,0.075371396
07/04/2011,14.69,-0.004753829
06/04/2011,14.76,0.006116227
05/04/2011,14.67,0.00546823
04/04/2011,14.59,-0.023705817
01/04/2011,14.94,0.03611977
31/03/2011,14.41,-0.020605125
30/03/2011,14.71,0.029667578
29/03/2011,14.28,-0.002098637
28/03/2011,14.31,-0.007657538
25/03/2011,14.42,0.016078641
24/03/2011,14.19,0.041732675
23/03/2011,13.61,0.011082492
22/03/2011,13.46,-0.002967361
21/03/2011,13.5,0.023230719
18/03/2011,13.19,-0.003028011
17/03/2011,13.23,0.028365259
16/03/2011,12.86,-0.011596574
15/03/2011,13.01,-0.010703466
14/03/2011,13.15,-0.029226509
11/03/2011,13.54,0.004441162
10/03/2011,13.48,-0.015458534
09/03/2011,13.69,-0.018813869
08/03/2011,13.95,0.028355226
07/03/2011,13.56,0.086207195
04/03/2011,12.44,-0.016740128
03/03/2011,12.65,0.009531446
02/03/2011,12.53,0.019339845
01/03/2011,12.29,-0.03281607
28/02/2011,12.7,-0.010184185
25/02/2011,12.83,0.007039528
24/02/2011,12.74,0.001571092
23/02/2011,12.72,-0.040821995
22/02/2011,13.25,-0.03485707
18/02/2011,13.72,-0.010152371
17/02/2011,13.86,-0.001441961
16/02/2011,13.88,-0.024200469
15/02/2011,14.22,-0.004910568
14/02/2011,14.29,-0.006973529
11/02/2011,14.39,0
10/02/2011,14.39,-0.002082611
09/02/2011,14.42,-0.001386002
08/02/2011,14.44,0.004163781
07/02/2011,14.38,0.00348311
04/02/2011,14.33,0.00700283
03/02/2011,14.23,-0.002106003
02/02/2011,14.26,0.021978907
01/02/2011,13.95,-0.003577821
31/01/2011,14,0.014388737
28/01/2011,13.8,-0.014388737
27/01/2011,14,0.02239169
26/01/2011,13.69,0.013975954
25/01/2011,13.5,-0.001480385
24/01/2011,13.52,0.017910927
21/01/2011,13.28,-0.002256488
20/01/2011,13.31,-0.059784564
19/01/2011,14.13,-0.03135053
18/01/2011,14.58,0.022192312
14/01/2011,14.26,0.012703064
13/01/2011,14.08,-0.008486614
12/01/2011,14.2,0.005649733
11/01/2011,14.12,-0.014064929
10/01/2011,14.32,-0.010420379
07/01/2011,14.47,-0.019165542
06/01/2011,14.75,0.003395589
05/01/2011,14.7,-0.005427422
04/01/2011,14.78,-0.012773283
03/01/2011,14.97,-0.004000005
31/12/2010,15.03,0.001998003
30/12/2010,15,-0.004655812
29/12/2010,15.07,-0.010561154
28/12/2010,15.23,0.013218963
27/12/2010,15.03,0.015421023
23/12/2010,14.8,-0.003372684
22/12/2010,14.85,0.006079046
21/12/2010,14.76,0.004753829
20/12/2010,14.69,-0.000680504
17/12/2010,14.7,0.007511131
16/12/2010,14.59,0.005498296
15/12/2010,14.51,-0.013689468
14/12/2010,14.71,-0.020189111
13/12/2010,15.01,-0.01651838
10/12/2010,15.26,0.007894778
09/12/2010,15.14,0.004634235
08/12/2010,15.07,-0.005954368
07/12/2010,15.16,0.020660515
06/12/2010,14.85,-0.008716113
03/12/2010,14.98,0.030500501
02/12/2010,14.53,0.042888823
01/12/2010,13.92,0.037325958
30/11/2010,13.41,-0.033006296
29/11/2010,13.86,-0.002162163
26/11/2010,13.89,-0.012875714
24/11/2010,14.07,0.018651904
23/11/2010,13.81,-0.037659868
22/11/2010,14.34,-0.040319776
19/11/2010,14.93,0.048723187
18/11/2010,14.22,0.019887019
17/11/2010,13.94,0.006477173
16/11/2010,13.85,-0.014337163
15/11/2010,14.05,-0.00284293
12/11/2010,14.09,-0.023150806
11/11/2010,14.42,0
10/11/2010,14.42,-0.015141377
09/11/2010,14.64,-0.028284714
08/11/2010,15.06,-0.017116942
05/11/2010,15.32,0.02645657
04/11/2010,14.92,0.016216572
03/11/2010,14.68,-0.007465254
02/11/2010,14.79,0.016360283
01/11/2010,14.55,-0.010936541
29/10/2010,14.71,0.053765129
28/10/2010,13.94,-0.087847947
27/10/2010,15.22,-0.007853444
26/10/2010,15.34,0.035161168
25/10/2010,14.81,-0.024676144
22/10/2010,15.18,-0.003288395
21/10/2010,15.23,0.001314061
