Date,Close,C
27/10/2010,4.17,-0.002395211
26/10/2010,4.18,-0.007151401
25/10/2010,4.21,0.024039619
22/10/2010,4.11,0.009780029
21/10/2010,4.07,-0.009780029
20/10/2010,4.11,0.012240055
19/10/2010,4.06,-0.026733062
18/10/2010,4.17,0.054200457
15/10/2010,3.95,-0.027467395
14/10/2010,4.06,-0.045736009
13/10/2010,4.25,0.002355714
12/10/2010,4.24,0.014252023
11/10/2010,4.18,-0.002389487
08/10/2010,4.19,0.002389487
07/10/2010,4.18,0.019324273
06/10/2010,4.1,-0.007290433
05/10/2010,4.13,0.024511031
04/10/2010,4.03,-0.014778594
01/10/2010,4.09,0.045007596
30/09/2010,3.91,-0.00255428
29/09/2010,3.92,0.0102565
28/09/2010,3.88,0.002580647
27/09/2010,3.87,-0.007722046
24/09/2010,3.9,0.025975486
23/09/2010,3.8,-0.020834087
22/09/2010,3.88,-0.01534557
21/09/2010,3.94,-0.012610508
20/09/2010,3.99,0.010075652
17/09/2010,3.95,-0.005050516
16/09/2010,3.97,0.012674441
15/09/2010,3.92,-0.00508907
14/09/2010,3.94,-0.012610508
13/09/2010,3.99,0.020253857
10/09/2010,3.91,0
09/09/2010,3.91,0.018065007
08/09/2010,3.84,0.002607563
07/09/2010,3.83,-0.020672571
03/09/2010,3.91,0.00770222
02/09/2010,3.88,0.007762005
01/09/2010,3.85,0.037041272
31/08/2010,3.71,0.010840215
30/08/2010,3.67,-0.024227295
27/08/2010,3.76,0.02695581
26/08/2010,3.66,-0.005449605
25/08/2010,3.68,-0.008119124
24/08/2010,3.71,-0.010723963
23/08/2010,3.75,0
20/08/2010,3.75,-0.010610179
19/08/2010,3.79,-0.018301164
18/08/2010,3.86,0.002594035
17/08/2010,3.85,-0.005181359
16/08/2010,3.87,-0.002580647
13/08/2010,3.88,0.002580647
12/08/2010,3.87,0.005181359
11/08/2010,3.85,-0.038221213
10/08/2010,4,-0.019802627
09/08/2010,4.08,0.004914015
06/08/2010,4.06,-0.009804
05/08/2010,4.1,-0.009708814
04/08/2010,4.14,0.002418381
03/08/2010,4.13,-0.014423327
02/08/2010,4.19,0.02171376
30/07/2010,4.1,-0.00486619
29/07/2010,4.12,0.007308193
28/07/2010,4.09,-0.016970104
27/07/2010,4.16,0.00240674
26/07/2010,4.15,0.031826432
23/07/2010,4.02,-0.017263067
22/07/2010,4.09,0.037364247
21/07/2010,3.94,-0.012610508
20/07/2010,3.99,0.002509412
19/07/2010,3.98,0.020305266
16/07/2010,3.9,-0.064538521
15/07/2010,4.16,-0.011947573
14/07/2010,4.21,-0.021152375
13/07/2010,4.3,0.045191994
12/07/2010,4.11,0.017178337
09/07/2010,4.04,0.017478597
08/07/2010,3.97,0.017789542
07/07/2010,3.9,0.028610534
06/07/2010,3.79,0
02/07/2010,3.79,0.002642009
01/07/2010,3.78,0.005305052
30/06/2010,3.76,0.008010724
29/06/2010,3.73,-0.069886127
28/06/2010,4,0.015113638
25/06/2010,3.94,0.041456714
24/06/2010,3.78,-0.028685148
23/06/2010,3.89,-0.012771566
22/06/2010,3.94,-0.020101179
21/06/2010,4.02,0.002490661
18/06/2010,4.01,0.012547216
17/06/2010,3.96,-0.007547206
16/06/2010,3.99,0
15/06/2010,3.99,0.027956077
14/06/2010,3.88,0
11/06/2010,3.88,-0.0051414
10/06/2010,3.9,0.007722046
09/06/2010,3.87,0.039530839
08/06/2010,3.72,0.021739987
07/06/2010,3.64,-0.040382337
04/06/2010,3.79,-0.043878006
03/06/2010,3.96,0.010152371
02/06/2010,3.92,0.018018506
01/06/2010,3.85,-0.028170877
28/05/2010,3.96,-0.015037877
27/05/2010,4.02,0.040614719
26/05/2010,3.86,0.020943174
25/05/2010,3.78,0
24/05/2010,3.78,0.00796817
21/05/2010,3.75,0.032523192
20/05/2010,3.63,-0.048396541
19/05/2010,3.81,0.021220955
18/05/2010,3.73,-0.03425895
17/05/2010,3.86,-0.030614636
14/05/2010,3.98,-0.027263151
13/05/2010,4.09,-0.021766276
12/05/2010,4.18,0.002395211
11/05/2010,4.17,-0.011919092
10/05/2010,4.22,0.053540767
07/05/2010,4,-0.009950331
06/05/2010,4.04,-0.034066555
05/05/2010,4.18,-0.018957914
04/05/2010,4.26,-0.034605529
03/05/2010,4.41,0.00911168
30/04/2010,4.37,-0.042559614
29/04/2010,4.56,0.024418527
28/04/2010,4.45,0.025029748
27/04/2010,4.34,-0.060353509
26/04/2010,4.61,-0.052810581
23/04/2010,4.86,-0.002055499
22/04/2010,4.87,-0.012245051
21/04/2010,4.93,-0.008080852
20/04/2010,4.97,0.01827462
19/04/2010,4.88,0.067822596
16/04/2010,4.56,-0.053374461
15/04/2010,4.81,-0.024641904
14/04/2010,4.93,0.064944283
13/04/2010,4.62,-0.004319661
12/04/2010,4.64,0.019587133
09/04/2010,4.55,0.017738824
08/04/2010,4.47,0.024916351
07/04/2010,4.36,0.016185324
06/04/2010,4.29,0.007017573
05/04/2010,4.26,0.018957914
01/04/2010,4.18,0.031594365
31/03/2010,4.05,-0.009828089
30/03/2010,4.09,-0.021766276
29/03/2010,4.18,-0.030626658
26/03/2010,4.31,0.009324077
25/03/2010,4.27,0.028505493
24/03/2010,4.15,0.004830927
23/03/2010,4.13,0.022032715
22/03/2010,4.04,0.035268139
19/03/2010,3.9,-0.030305349
18/03/2010,4.02,-0.007434978
17/03/2010,4.05,0
16/03/2010,4.05,0.040307723
15/03/2010,3.89,-0.020356937
12/03/2010,3.97,-0.051545152
11/03/2010,4.18,0.054067221
10/03/2010,3.96,0.035993603
09/03/2010,3.82,0.070489878
08/03/2010,3.56,0.016997576
05/03/2010,3.5,0.020202707
04/03/2010,3.43,0.00878483
03/03/2010,3.4,0
02/03/2010,3.4,0.00294551
01/03/2010,3.39,-0.00294551
26/02/2010,3.4,0.00294551
25/02/2010,3.39,-0.01754431
24/02/2010,3.45,0.029413885
23/02/2010,3.35,-0.032308243
22/02/2010,3.46,0.011628038
19/02/2010,3.42,-0.00291971
18/02/2010,3.43,0.00584797
17/02/2010,3.41,0.029764102
16/02/2010,3.31,0.040066993
12/02/2010,3.18,-0.00938974
11/02/2010,3.21,0.003120127
10/02/2010,3.2,0.006269613
09/02/2010,3.18,0.009478744
08/02/2010,3.15,-0.021978907
05/02/2010,3.22,0.012500163
04/02/2010,3.18,-0.058031548
03/02/2010,3.37,-0.011799547
02/02/2010,3.41,0.020741484
01/02/2010,3.34,0.006006024
29/01/2010,3.32,0.024391453
28/01/2010,3.24,0.01242252
27/01/2010,3.2,0.015748357
26/01/2010,3.15,-0.025079684
25/01/2010,3.23,-0.006172859
22/01/2010,3.25,-0.006134989
21/01/2010,3.27,-0.056478604
20/01/2010,3.46,-0.022858138
19/01/2010,3.54,0.034486176
15/01/2010,3.42,-0.025975486
14/01/2010,3.51,0.002853069
13/01/2010,3.5,-0.005698021
12/01/2010,3.52,-0.030771659
11/01/2010,3.63,0.011080446
08/01/2010,3.59,-0.016574965
07/01/2010,3.65,0.002743486
06/01/2010,3.64,0.030685811
05/01/2010,3.53,0.037522439
04/01/2010,3.4,0.026827242
31/12/2009,3.31,-0.003016594
30/12/2009,3.32,-0.014947961
29/12/2009,3.37,-0.005917177
28/12/2009,3.39,0.011869576
24/12/2009,3.35,0.018072781
23/12/2009,3.29,-0.015083242
22/12/2009,3.34,-0.023669744
21/12/2009,3.42,0.005865119
