Date,Close,HIG
05/12/2012,21.54,0.028728135
04/12/2012,20.93,-0.009036922
03/12/2012,21.12,-0.002836881
30/11/2012,21.18,0.00189036
29/11/2012,21.14,0.003791474
28/11/2012,21.06,0.008104931
27/11/2012,20.89,-0.014730606
26/11/2012,21.2,-0.005175264
23/11/2012,21.31,0.006119106
21/11/2012,21.18,0.010918694
20/11/2012,20.95,0.004305197
19/11/2012,20.86,0.024261258
16/11/2012,20.36,-0.003921574
15/11/2012,20.44,0.010327114
14/11/2012,20.23,-0.01569429
13/11/2012,20.55,-0.016409635
12/11/2012,20.89,0.003836935
09/11/2012,20.81,0.017939875
08/11/2012,20.44,-0.01649722
07/11/2012,20.78,-0.044242509
06/11/2012,21.72,0.012975159
05/11/2012,21.44,0.008430963
02/11/2012,21.26,-0.030572089
01/11/2012,21.92,0.009626478
31/10/2012,21.71,0
26/10/2012,21.71,-0.034853041
25/10/2012,22.48,0.017501008
24/10/2012,22.09,0.010924096
23/10/2012,21.85,-0.010018299
22/10/2012,22.07,-0.000453001
19/10/2012,22.08,-0.019731582
18/10/2012,22.52,0.019278786
17/10/2012,22.09,0.008638381
16/10/2012,21.9,0.015646891
15/10/2012,21.56,0.010725214
12/10/2012,21.33,-0.007938403
11/10/2012,21.5,0.02257857
10/10/2012,21.02,0.001904762
09/10/2012,20.98,-0.014667876
08/10/2012,21.29,0.004236297
05/10/2012,21.2,0.021454935
04/10/2012,20.75,0.04434224
03/10/2012,19.85,0.008093114
02/10/2012,19.69,0.014322495
01/10/2012,19.41,-0.001544402
28/09/2012,19.44,0.007227703
27/09/2012,19.3,0.032651663
26/09/2012,18.68,-0.006935211
25/09/2012,18.81,-0.028303776
24/09/2012,19.35,-0.00206505
21/09/2012,19.39,0.007246409
20/09/2012,19.25,-0.021583572
19/09/2012,19.67,-0.000508259
18/09/2012,19.68,-0.017128882
17/09/2012,20.02,-0.015857617
14/09/2012,20.34,0.021367273
13/09/2012,19.91,0.029563825
12/09/2012,19.33,0.00570689
11/09/2012,19.22,0.009409374
10/09/2012,19.04,-0.02233279
07/09/2012,19.47,0.044638548
06/09/2012,18.62,0.031090587
05/09/2012,18.05,0.019581045
04/09/2012,17.7,-0.012910648
31/08/2012,17.93,0.010089772
30/08/2012,17.75,-0.003374581
29/08/2012,17.81,0.00056164
28/08/2012,17.8,-0.007834399
27/08/2012,17.94,-0.011637704
24/08/2012,18.15,0.007743402
23/08/2012,18.01,-0.01214143
22/08/2012,18.23,-0.0174012
21/08/2012,18.55,0.023453488
20/08/2012,18.12,0.022886849
17/08/2012,17.71,-0.003944778
16/08/2012,17.78,0.013590243
15/08/2012,17.54,0.014934224
14/08/2012,17.28,-0.004618946
13/08/2012,17.36,-0.002876045
10/08/2012,17.41,0.006338252
09/08/2012,17.3,0.013383965
08/08/2012,17.07,-0.005258557
07/08/2012,17.16,0.002333723
06/08/2012,17.12,0.012342208
03/08/2012,16.91,0.04536611
02/08/2012,16.16,-0.009852296
01/08/2012,16.32,-0.007934128
31/07/2012,16.45,0.004264399
30/07/2012,16.38,-0.004264399
27/07/2012,16.45,0.017786424
26/07/2012,16.16,0.011827091
25/07/2012,15.97,0.002507838
24/07/2012,15.93,-0.00937214
23/07/2012,16.08,-0.011746657
20/07/2012,16.27,-0.035621031
19/07/2012,16.86,-0.001185537
18/07/2012,16.88,0.00237248
17/07/2012,16.84,0.017370907
16/07/2012,16.55,-0.019743387
13/07/2012,16.88,0.031290158
12/07/2012,16.36,-0.020569388
11/07/2012,16.7,0.000598982
10/07/2012,16.69,-0.007758917
