Date,Close,CME
17/10/2011,253.2,-0.025385934
14/10/2011,259.71,0.013216991
13/10/2011,256.3,-0.012793351
12/10/2011,259.6,0.0100659
11/10/2011,257,-0.034645762
10/10/2011,266.06,0.04658445
07/10/2011,253.95,-0.048049211
06/10/2011,266.45,0.040087292
05/10/2011,255.98,0.014242677
04/10/2011,252.36,0.015413794
03/10/2011,248.5,0.008486614
30/09/2011,246.4,-0.042819997
29/09/2011,257.18,0.011182912
28/09/2011,254.32,-0.030857445
27/09/2011,262.29,-0.006763458
26/09/2011,264.07,0.023332157
23/09/2011,257.98,-0.003366681
22/09/2011,258.85,0.003366681
21/09/2011,257.98,-0.021778332
20/09/2011,263.66,-0.008083752
19/09/2011,265.8,-0.02331524
16/09/2011,272.07,0.000772158
15/09/2011,271.86,0.008273668
14/09/2011,269.62,0.019172309
13/09/2011,264.5,0.016236969
12/09/2011,260.24,0.016700313
09/09/2011,255.93,-0.009953039
08/09/2011,258.49,-0.028451313
07/09/2011,265.95,0.042868645
06/09/2011,254.79,-0.015229413
02/09/2011,258.7,-0.026359978
01/09/2011,265.61,-0.005668928
31/08/2011,267.12,0.006723661
30/08/2011,265.33,0.005328307
29/08/2011,263.92,0.050511864
26/08/2011,250.92,0.01850266
25/08/2011,246.32,-0.03034837
24/08/2011,253.91,0.01404005
23/08/2011,250.37,0.045556193
22/08/2011,239.22,0.008606447
19/08/2011,237.17,-0.014774161
18/08/2011,240.7,-0.054255252
17/08/2011,254.12,-0.010023576
16/08/2011,256.68,-0.015079743
15/08/2011,260.58,0.021842468
12/08/2011,254.95,-0.007658382
11/08/2011,256.91,0.071384002
10/08/2011,239.21,-0.106342434
09/08/2011,266.05,0.072637382
08/08/2011,247.41,-0.085224621
05/08/2011,269.42,0.014242433
04/08/2011,265.61,-0.052153208
03/08/2011,279.83,-0.001464103
02/08/2011,280.24,-0.026688906
01/08/2011,287.82,-0.004748627
29/07/2011,289.19,0.018708444
28/07/2011,283.83,0.018921502
27/07/2011,278.51,-0.023386031
26/07/2011,285.1,0.001087929
25/07/2011,284.79,-0.003190243
22/07/2011,285.7,-0.003459183
21/07/2011,286.69,0.004159464
20/07/2011,285.5,-0.013567785
19/07/2011,289.4,0.012062789
18/07/2011,285.93,-0.022546686
15/07/2011,292.45,0.010864067
14/07/2011,289.29,-0.000691109
13/07/2011,289.49,0.001382696
12/07/2011,289.09,0.006594041
11/07/2011,287.19,-0.025134985
08/07/2011,294.5,-0.015131125
07/07/2011,298.99,0.00886894
06/07/2011,296.35,-0.001180339
05/07/2011,296.7,-6.74059E-05
01/07/2011,296.72,0.017440227
30/06/2011,291.59,0.012318784
29/06/2011,288.02,0.014126109
28/06/2011,283.98,0.010513557
27/06/2011,281.01,0.002850934
24/06/2011,280.21,0.003002254
23/06/2011,279.37,-0.006991289
