Date,Close,WEC
10/03/2011,29.99,-0.029568514
09/03/2011,30.89,0.006169852
08/03/2011,30.7,0.02106727
07/03/2011,30.06,0.008351477
04/03/2011,29.81,-0.004017414
03/03/2011,29.93,0.028810669
02/03/2011,29.08,-0.701366405
01/03/2011,58.64,-0.009504484
28/02/2011,59.2,0.006609633
25/02/2011,58.81,0.009396157
24/02/2011,58.26,0.001030397
23/02/2011,58.2,-0.00889503
22/02/2011,58.72,-0.000170285
18/02/2011,58.73,-0.001531264
17/02/2011,58.82,-0.001359158
16/02/2011,58.9,0.003401364
15/02/2011,58.7,0.005980368
14/02/2011,58.35,-0.003763261
11/02/2011,58.57,0.00102494
10/02/2011,58.51,-0.014254441
09/02/2011,59.35,-0.002188001
08/02/2011,59.48,0.007255579
07/02/2011,59.05,0.009357788
04/02/2011,58.5,-0.007323545
03/02/2011,58.93,-0.011305275
02/02/2011,59.6,-0.023546105
01/02/2011,61.02,0.012035427
31/01/2011,60.29,0.004321815
28/01/2011,60.03,-0.011099261
27/01/2011,60.7,0.009933857
26/01/2011,60.1,-0.003653882
25/01/2011,60.32,-0.000497224
24/01/2011,60.35,0.011499168
21/01/2011,59.66,0.00504118
20/01/2011,59.36,-0.000168449
19/01/2011,59.37,-0.000673514
18/01/2011,59.41,0.001853256
14/01/2011,59.3,0.003378382
13/01/2011,59.1,-0.002534856
12/01/2011,59.25,0.009326053
11/01/2011,58.7,0.002729446
10/01/2011,58.54,0.002736916
07/01/2011,58.38,0.007565373
06/01/2011,57.94,0.003457818
05/01/2011,57.74,-0.005526784
04/01/2011,58.06,-0.012664896
03/01/2011,58.8,-0.001019888
31/12/2010,58.86,-0.002884046
30/12/2010,59.03,-0.003213533
29/12/2010,59.22,-0.003371547
28/12/2010,59.42,0.005230755
27/12/2010,59.11,0.000338409
23/12/2010,59.09,-0.002704075
22/12/2010,59.25,-0.005050516
21/12/2010,59.55,0.003027248
20/12/2010,59.37,0.004050638
17/12/2010,59.13,0.005766637
16/12/2010,58.79,0.006655883
15/12/2010,58.4,-0.0142811
14/12/2010,59.24,0.001689475
13/12/2010,59.14,0.00440604
10/12/2010,58.88,0.003061748
09/12/2010,58.7,0.000511204
08/12/2010,58.67,-0.012197339
07/12/2010,59.39,-0.008717574
06/12/2010,59.91,-0.006488668
03/12/2010,60.3,0.003655096
02/12/2010,60.08,-0.00315746
01/12/2010,60.27,0.000829944
30/11/2010,60.22,0.003659961
29/11/2010,60,-0.00332779
26/11/2010,60.2,-0.001825575
24/11/2010,60.31,0.010333425
23/11/2010,59.69,-0.009669965
22/11/2010,60.27,0.006993035
19/11/2010,59.85,0.009400774
18/11/2010,59.29,0.008128749
17/11/2010,58.81,0.002724333
16/11/2010,58.65,-0.012201473
15/11/2010,59.37,0.004558124
12/11/2010,59.1,-0.004894938
11/11/2010,59.39,0.004556585
10/11/2010,59.12,0.002710029
09/11/2010,58.96,-0.015650298
08/11/2010,59.89,-0.009968516
05/11/2010,60.49,0.0081335
04/11/2010,60,0.00836825
03/11/2010,59.5,-0.006366247
02/11/2010,59.88,0.004183756
01/11/2010,59.63,0.001510448
29/10/2010,59.54,-0.002516147
28/10/2010,59.69,0.007398722
27/10/2010,59.25,-0.005889794
26/10/2010,59.6,0.000671366
25/10/2010,59.56,0.001175977
22/10/2010,59.49,-0.001175977
21/10/2010,59.56,0
20/10/2010,59.56,0.015055685
19/10/2010,58.67,-0.001022147
18/10/2010,58.73,0.002728049
15/10/2010,58.57,0.008917912
14/10/2010,58.05,-0.001205131
13/10/2010,58.12,0.002584203
12/10/2010,57.97,-0.003959719
11/10/2010,58.2,-0.000343584
08/10/2010,58.22,0.001203059
07/10/2010,58.15,-0.000515774
06/10/2010,58.18,-0.006680967
05/10/2010,58.57,0.011677962
04/10/2010,57.89,-0.006371093
01/10/2010,58.26,0.007926976
30/09/2010,57.8,-0.002246609
29/09/2010,57.93,-0.009107375
28/09/2010,58.46,0.006865801
27/09/2010,58.06,-0.000344412
24/09/2010,58.08,0.018243925
23/09/2010,57.03,-0.014276008
22/09/2010,57.85,0.002076485
