Date,Close,TAP
23/11/2011,38.16,-0.014310118
22/11/2011,38.71,-0.001806685
21/11/2011,38.78,-0.020166606
18/11/2011,39.57,0.002277041
17/11/2011,39.48,-0.007570059
16/11/2011,39.78,-0.028010259
15/11/2011,40.91,0.005146439
14/11/2011,40.7,-0.00783166
11/11/2011,41.02,0.024180798
10/11/2011,40.04,0.010544913
09/11/2011,39.62,-0.014284167
08/11/2011,40.19,0.014284167
07/11/2011,39.62,0.019111296
04/11/2011,38.87,-0.007177678
03/11/2011,39.15,0.003838776
02/11/2011,39,-0.033533963
01/11/2011,40.33,-0.048636657
31/10/2011,42.34,-0.014537184
28/10/2011,42.96,0.021410064
27/10/2011,42.05,0.003334924
26/10/2011,41.91,0.011277864
25/10/2011,41.44,-0.008649742
24/10/2011,41.8,0.002395211
21/10/2011,41.7,0.019860183
20/10/2011,40.88,-0.006582981
19/10/2011,41.15,-0.018539113
18/10/2011,41.92,0.018053204
17/10/2011,41.17,-0.01470792
14/10/2011,41.78,0
13/10/2011,41.78,-0.00239063
12/10/2011,41.88,-0.003099299
11/10/2011,42.01,-0.003801383
10/10/2011,42.17,0.027893128
07/10/2011,41.01,-0.003893896
06/10/2011,41.17,0.027581162
05/10/2011,40.05,0.013828002
04/10/2011,39.5,0.029806934
03/10/2011,38.34,-0.032587874
30/09/2011,39.61,-0.017269857
29/09/2011,40.3,0.030740642
28/09/2011,39.08,-0.042090381
27/09/2011,40.76,0.023583071
26/09/2011,39.81,0.017228701
23/09/2011,39.13,-0.004589503
22/09/2011,39.31,-0.033027771
21/09/2011,40.63,-0.041933855
20/09/2011,42.37,0.003072925
19/09/2011,42.24,-0.013404081
16/09/2011,42.81,0.00046729
15/09/2011,42.79,0.016969533
14/09/2011,42.07,0.005482078
13/09/2011,41.84,0.008400385
12/09/2011,41.49,-0.007443905
09/09/2011,41.8,-0.016137037
08/09/2011,42.48,-0.008672268
07/09/2011,42.85,0.013391484
06/09/2011,42.28,-0.008947552
02/09/2011,42.66,-0.01373552
01/09/2011,43.25,-0.011494379
31/08/2011,43.75,0.007801783
30/08/2011,43.41,0.002537194
29/08/2011,43.3,0.014656538
26/08/2011,42.67,0.002581252
25/08/2011,42.56,-0.013303966
24/08/2011,43.13,-0.005087893
23/08/2011,43.35,0.007641579
22/08/2011,43.02,0.003492843
19/08/2011,42.87,-0.012517549
18/08/2011,43.41,-0.019391505
17/08/2011,44.26,0.003621552
16/08/2011,44.1,-0.004299135
15/08/2011,44.29,0.023761685
12/08/2011,43.25,0.017257891
11/08/2011,42.51,0.038609279
10/08/2011,40.9,-0.050302584
09/08/2011,43.01,0.05348613
08/08/2011,40.77,-0.042263192
05/08/2011,42.53,0.012778215
04/08/2011,41.99,-0.051293294
03/08/2011,44.2,-0.00293686
02/08/2011,44.33,-0.00674463
01/08/2011,44.63,-0.009366705
29/07/2011,45.05,-0.004650656
28/07/2011,45.26,-0.003969134
27/07/2011,45.44,-0.008109633
26/07/2011,45.81,-0.003921574
25/07/2011,45.99,-0.011888176
22/07/2011,46.54,0.001935693
21/07/2011,46.45,0.021983691
20/07/2011,45.44,0.013738306
19/07/2011,44.82,0.013025111
18/07/2011,44.24,-0.013025111
15/07/2011,44.82,0.005593481
14/07/2011,44.57,0.012189767
13/07/2011,44.03,0.007294311
12/07/2011,43.71,0.004815971
11/07/2011,43.5,-0.023851216
08/07/2011,44.55,-0.01116083
07/07/2011,45.05,0.001110494
06/07/2011,45,-0.001332445
05/07/2011,45.06,-0.005753501
01/07/2011,45.32,0.01288048
30/06/2011,44.74,-0.000670316
29/06/2011,44.77,0.008073603
28/06/2011,44.41,0.002931561
27/06/2011,44.28,-0.00022581
24/06/2011,44.29,-0.017679771
23/06/2011,45.08,-0.003100778
22/06/2011,45.22,0.00687898
21/06/2011,44.91,0.004686985
20/06/2011,44.7,0.001343184
17/06/2011,44.64,0.01035812
16/06/2011,44.18,0.000679271
15/06/2011,44.15,-0.01305149
14/06/2011,44.73,0.010563083
13/06/2011,44.26,0.000904159
10/06/2011,44.22,-0.011690781
09/06/2011,44.74,0.005603511
08/06/2011,44.49,0.006992247
07/06/2011,44.18,0.003173886
06/06/2011,44.04,-0.003400207
03/06/2011,44.19,-0.003839643
02/06/2011,44.36,-0.038040854
01/06/2011,46.08,-0.012293911
31/05/2011,46.65,0.000428816
27/05/2011,46.63,0.015125612
26/05/2011,45.93,0.000217746
25/05/2011,45.92,-0.002175333
24/05/2011,46.02,-0.001302932
23/05/2011,46.08,-0.009073296
20/05/2011,46.5,0.002152853
19/05/2011,46.4,0.002805656
18/05/2011,46.27,0.000432339
17/05/2011,46.25,0.0052027
16/05/2011,46.01,-0.00021732
13/05/2011,46.02,0.003919012
12/05/2011,45.84,0.009204536
11/05/2011,45.42,-0.017027261
10/05/2011,46.2,0.009132484
09/05/2011,45.78,0.016740479
06/05/2011,45.02,0.011392952
05/05/2011,44.51,-0.010281718
04/05/2011,44.97,-0.012156189
03/05/2011,45.52,-0.061348024
02/05/2011,48.4,-0.007205384
29/04/2011,48.75,-0.01020417
28/04/2011,49.25,-0.002838607
27/04/2011,49.39,0.01283767
26/04/2011,48.76,0.015917649
25/04/2011,47.99,-0.00083316
21/04/2011,48.03,0.008363001
20/04/2011,47.63,-0.010650618
19/04/2011,48.14,0.007924963
18/04/2011,47.76,-0.002091613
15/04/2011,47.86,0.012404238
14/04/2011,47.27,0.011703506
13/04/2011,46.72,0.001928228
12/04/2011,46.63,-0.006839095
11/04/2011,46.95,0.003627444
08/04/2011,46.78,-0.015905329
07/04/2011,47.53,-0.001261565
06/04/2011,47.59,0.008652581
05/04/2011,47.18,-0.000847458
04/04/2011,47.22,-0.00042346
01/04/2011,47.24,0.007436558
31/03/2011,46.89,-0.001491742
30/03/2011,46.96,0.013506476
29/03/2011,46.33,0.026020928
28/03/2011,45.14,0.000443164
25/03/2011,45.12,0.02173268
24/03/2011,44.15,-0.003165991
23/03/2011,44.29,0.000677583
22/03/2011,44.26,-0.003158135
21/03/2011,44.4,0.026242236
18/03/2011,43.25,0.000462535
17/03/2011,43.23,0.008362418
16/03/2011,42.87,-0.016426049
15/03/2011,43.58,0
14/03/2011,43.58,-0.011861453
11/03/2011,44.1,0.008196767
10/03/2011,43.74,-0.023275257
09/03/2011,44.77,0.006049083
08/03/2011,44.5,0.021809133
07/03/2011,43.54,-0.015949301
04/03/2011,44.24,-0.008552832
03/03/2011,44.62,-0.002685767
02/03/2011,44.74,-0.011997478
01/03/2011,45.28,-0.009889104
28/02/2011,45.73,0.016092048
25/02/2011,45,0.007584243
24/02/2011,44.66,-0.013345394
23/02/2011,45.26,-0.003088465
22/02/2011,45.4,-0.004395611
18/02/2011,45.6,-0.006775242
17/02/2011,45.91,0.010290184
16/02/2011,45.44,0.010842013
15/02/2011,44.95,0.000890274
14/02/2011,44.91,-0.003112497
11/02/2011,45.05,-0.009499685
10/02/2011,45.48,-0.044929642
09/02/2011,47.57,-0.016057065
08/02/2011,48.34,0.003938237
07/02/2011,48.15,0.014223206
04/02/2011,47.47,-0.012352298
03/02/2011,48.06,0.007309211
02/02/2011,47.71,0.003779929
01/02/2011,47.53,0.013983279
31/01/2011,46.87,0.007710469
28/01/2011,46.51,-0.018954885
27/01/2011,47.4,-0.023147734
26/01/2011,48.51,0.008903672
25/01/2011,48.08,-0.00807876
24/01/2011,48.47,-0.006375343
21/01/2011,48.78,0.016744577
20/01/2011,47.97,-0.006441581
19/01/2011,48.28,-0.003308522
18/01/2011,48.44,0.015394521
14/01/2011,47.7,-0.004810215
13/01/2011,47.93,0.003134471
12/01/2011,47.78,-0.001463976
11/01/2011,47.85,0.015161377
10/01/2011,47.13,-0.007188192
07/01/2011,47.47,-0.009852296
06/01/2011,47.94,-0.011613569
05/01/2011,48.5,-0.006985851
04/01/2011,48.84,-0.022072375
03/01/2011,49.93,-0.005193779
31/12/2010,50.19,-0.004373764
30/12/2010,50.41,0.001389578
29/12/2010,50.34,0.000596125
28/12/2010,50.31,-0.003967472
27/12/2010,50.51,-0.008280804
23/12/2010,50.93,0.001178782
22/12/2010,50.87,0.003347448
21/12/2010,50.7,-0.002954212
20/12/2010,50.85,0.000983768
17/12/2010,50.8,-0.001180405
16/12/2010,50.86,0.01127051
15/12/2010,50.29,0.010996812
14/12/2010,49.74,0.010103137
13/12/2010,49.24,-0.00121778
10/12/2010,49.3,0.007533376
09/12/2010,48.93,-0.015413
08/12/2010,49.69,0.007676805
07/12/2010,49.31,0.006102541
06/12/2010,49.01,-0.007116021
03/12/2010,49.36,0.016340233
02/12/2010,48.56,0.002061431
01/12/2010,48.46,0.016856085
30/11/2010,47.65,-0.007734961
29/11/2010,48.02,-0.013650677
26/11/2010,48.68,-0.018722566
24/11/2010,49.6,0.012170536
23/11/2010,49,-0.000612058
22/11/2010,49.03,-0.001630324
19/11/2010,49.11,0
18/11/2010,49.11,0.020572624
17/11/2010,48.11,0.0024974
16/11/2010,47.99,-0.02184753
15/11/2010,49.05,0.000611808
12/11/2010,49.02,-0.005695703
11/11/2010,49.3,0.003861401
10/11/2010,49.11,-0.010129746
09/11/2010,49.61,-0.013414957
08/11/2010,50.28,0.000596837
05/11/2010,50.25,0.008393335
04/11/2010,49.83,0.015165592
03/11/2010,49.08,0.038634088
02/11/2010,47.22,-0.008855213
01/11/2010,47.64,0.008643461
29/10/2010,47.23,0.016007171
28/10/2010,46.48,-0.00686109
27/10/2010,46.8,-0.018838529
26/10/2010,47.69,-0.01704823
25/10/2010,48.51,-0.000412201
22/10/2010,48.53,0.018509419
21/10/2010,47.64,0.013312399
20/10/2010,47.01,0.000851245
19/10/2010,46.97,-0.017098042
18/10/2010,47.78,-0.019277206
15/10/2010,48.71,-0.001436045
14/10/2010,48.78,-0.001433986
13/10/2010,48.85,0.003280708
12/10/2010,48.69,-0.009810011
11/10/2010,49.17,0.000203397
08/10/2010,49.16,0.009195937
07/10/2010,48.71,-0.003279363
06/10/2010,48.87,0.011111225
05/10/2010,48.33,0.015219725
04/10/2010,47.6,-0.003774381
