Date,Close,GM
31/01/2012,24.02,-0.008704718
30/01/2012,24.23,-0.005761333
27/01/2012,24.37,-0.014259765
26/01/2012,24.72,-0.008058061
25/01/2012,24.92,0.005230348
24/01/2012,24.79,-0.005230348
23/01/2012,24.92,-0.003205131
20/01/2012,25,0.007226045
19/01/2012,24.82,0.012568582
18/01/2012,24.51,0.012728564
17/01/2012,24.2,-0.00371211
13/01/2012,24.29,-0.015523188
12/01/2012,24.67,0.008140053
11/01/2012,24.47,0.051572945
10/01/2012,23.24,0.017361547
09/01/2012,22.84,-0.003496507
06/01/2012,22.92,0.033269868
05/01/2012,22.17,0.047100118
04/01/2012,21.15,0.004739345
03/01/2012,21.05,0.0377586
30/12/2011,20.27,0.002964429
29/12/2011,20.21,0.017469873
28/12/2011,19.86,-0.01151452
27/12/2011,20.09,-0.020202707
23/12/2011,20.5,-0.009708814
22/12/2011,20.7,0.018528078
21/12/2011,20.32,0.03149473
20/12/2011,19.69,0.033043791
19/12/2011,19.05,-0.056137187
16/12/2011,20.15,0.002484473
15/12/2011,20.1,0.031844996
14/12/2011,19.47,-0.032342384
13/12/2011,20.11,-0.033735783
12/12/2011,20.8,-0.016686919
09/12/2011,21.15,0.008070303
08/12/2011,20.98,-0.044741852
07/12/2011,21.94,0.011921278
06/12/2011,21.68,0.004159932
05/12/2011,21.59,0.01446258
02/12/2011,21.28,0.015151805
01/12/2011,20.96,-0.015621619
30/11/2011,21.29,0.047124103
29/11/2011,20.31,-0.020950827
28/11/2011,20.74,0.019474812
25/11/2011,20.34,0.004928546
23/11/2011,20.24,-0.023921082
22/11/2011,20.73,-0.015318634
21/11/2011,21.05,-0.029489616
18/11/2011,21.68,-0.005060972
17/11/2011,21.79,-0.038708703
16/11/2011,22.65,-0.030437132
15/11/2011,23.35,0.015537645
14/11/2011,22.99,0.021099684
11/11/2011,22.51,-0.00840527
10/11/2011,22.7,0.017329916
09/11/2011,22.31,-0.115439538
08/11/2011,25.04,0.042004136
07/11/2011,24.01,0.016800059
04/11/2011,23.61,-0.017632699
03/11/2011,24.03,0.035150771
02/11/2011,23.2,-0.005587807
01/11/2011,23.33,-0.102570515
31/10/2011,25.85,-0.022945557
28/10/2011,26.45,0.004927052
27/10/2011,26.32,0.051853362
26/10/2011,24.99,0.005215659
25/10/2011,24.86,-0.004815419
24/10/2011,24.98,0.025543655
21/10/2011,24.35,0.058778278
20/10/2011,22.96,-0.005646052
19/10/2011,23.09,-0.019301478
18/10/2011,23.54,0.015411264
17/10/2011,23.18,-0.041408535
14/10/2011,24.16,0.042703593
13/10/2011,23.15,-0.011168501
12/10/2011,23.41,0.039647972
11/10/2011,22.5,-0.005319161
10/10/2011,22.62,0.027337575
07/10/2011,22.01,-0.015329426
06/10/2011,22.35,0.00358584
05/10/2011,22.27,0.038915416
04/10/2011,21.42,0.082184745
03/10/2011,19.73,-0.022551695
30/09/2011,20.18,-0.028336043
29/09/2011,20.76,0.017003081
28/09/2011,20.41,-0.037504395
27/09/2011,21.19,0.005204649
26/09/2011,21.08,0.003802286
23/09/2011,21,0.036861593
22/09/2011,20.24,-0.05010682
21/09/2011,21.28,-0.052631684
20/09/2011,22.43,-0.027266421
19/09/2011,23.05,0.019273483
16/09/2011,22.61,-0.003972638
15/09/2011,22.7,0.023173943
14/09/2011,22.18,0.008148529
13/09/2011,22,0.005926619
12/09/2011,21.87,0.005042413
09/09/2011,21.76,-0.032552603
08/09/2011,22.48,-0.016762633
07/09/2011,22.86,0.064130322
06/09/2011,21.44,-0.028960884
02/09/2011,22.07,-0.042578494
01/09/2011,23.03,-0.042505336
31/08/2011,24.03,0.018904155
30/08/2011,23.58,-0.008866429
29/08/2011,23.79,0.039439316
26/08/2011,22.87,0.02523933
25/08/2011,22.3,-0.003134097
24/08/2011,22.37,0.013954762
23/08/2011,22.06,0.01599303
22/08/2011,21.71,-0.020515878
19/08/2011,22.16,-0.06295785
18/08/2011,23.6,-0.055226228
17/08/2011,24.94,-0.035063667
16/08/2011,25.83,-0.022584692
15/08/2011,26.42,0.025686672
12/08/2011,25.75,-0.002327387
11/08/2011,25.81,0.076047085
10/08/2011,23.92,-0.065530922
09/08/2011,25.54,0.038719664
08/08/2011,24.57,-0.068422909
05/08/2011,26.31,0.012237246
04/08/2011,25.99,-0.044401575
03/08/2011,27.17,0.004426418
02/08/2011,27.05,-0.037014385
01/08/2011,28.07,0.01399126
29/07/2011,27.68,-0.015059446
28/07/2011,28.1,-0.001422475
27/07/2011,28.14,-0.033202421
26/07/2011,29.09,-0.013995791
25/07/2011,29.5,-0.020134908
22/07/2011,30.1,0.004662013
21/07/2011,29.96,0.024325524
20/07/2011,29.24,-0.003073248
19/07/2011,29.33,0.007872709
18/07/2011,29.1,-0.022427036
15/07/2011,29.76,-0.011359962
14/07/2011,30.1,-0.021364822
13/07/2011,30.75,0.002279018
12/07/2011,30.68,-0.002279018
11/07/2011,30.75,-0.026634015
08/07/2011,31.58,-0.006942281
07/07/2011,31.8,0.019368759
06/07/2011,31.19,0.010636684
05/07/2011,30.86,0.009114646
01/07/2011,30.58,0.007220248
30/06/2011,30.36,0.00197824
29/06/2011,30.3,-0.006578971
28/06/2011,30.5,0.007899975
27/06/2011,30.26,0.011299555
24/06/2011,29.92,-0.00732604
23/06/2011,30.14,0.005656312
22/06/2011,29.97,0.012760415
21/06/2011,29.59,0.002368467
20/06/2011,29.52,0.01777217
17/06/2011,29,0.014238824
16/06/2011,28.59,-0.012513198
15/06/2011,28.95,-0.005511554
14/06/2011,29.11,0.018024751
13/06/2011,28.59,-0.009052987
10/06/2011,28.85,-0.020583917
09/06/2011,29.45,0.020237357
08/06/2011,28.86,0.002775852
07/06/2011,28.78,0.007673564
06/06/2011,28.56,-0.019418086
03/06/2011,29.12,-0.016349138
02/06/2011,29.6,-0.021060447
01/06/2011,30.23,-0.050945897
31/05/2011,31.81,0.01680179
27/05/2011,31.28,0.019367939
26/05/2011,30.68,-0.019048195
25/05/2011,31.27,0.01417093
24/05/2011,30.83,-0.004207807
23/05/2011,30.96,-0.007080815
20/05/2011,31.18,-0.009257847
19/05/2011,31.47,-0.001587554
18/05/2011,31.52,0.013414446
17/05/2011,31.1,0
16/05/2011,31.1,0.000965096
13/05/2011,31.07,-0.011201909
12/05/2011,31.42,0.003826535
11/05/2011,31.3,-0.009855429
10/05/2011,31.61,0.006984155
09/05/2011,31.39,-0.016430069
06/05/2011,31.91,-0.003441267
05/05/2011,32.02,-0.031358241
04/05/2011,33.04,0.001514463
03/05/2011,32.99,0.024859344
02/05/2011,32.18,0.002800686
29/04/2011,32.09,0.005625015
28/04/2011,31.91,0.004082279
27/04/2011,31.78,0.01617799
26/04/2011,31.27,0.004166005
25/04/2011,31.14,0.006120167
21/04/2011,30.95,0.033511677
20/04/2011,29.93,0.011424855
19/04/2011,29.59,-0.012760415
18/04/2011,29.97,-0.00896867
15/04/2011,30.24,-0.011180649
14/04/2011,30.58,-0.009114646
13/04/2011,30.86,-0.009353398
12/04/2011,31.15,0.012274056
11/04/2011,30.77,-0.024082076
08/04/2011,31.52,-0.024754515
07/04/2011,32.31,-0.017183608
06/04/2011,32.87,0
05/04/2011,32.87,0.014710654
04/04/2011,32.39,-0.000617284
01/04/2011,32.41,0.043512539
31/03/2011,31.03,-0.016619111
30/03/2011,31.55,0.01436577
29/03/2011,31.1,0.008071069
28/03/2011,30.85,-0.019897961
25/03/2011,31.47,0.00254534
24/03/2011,31.39,0.00735415
23/03/2011,31.16,0.013570483
22/03/2011,30.74,-0.017414178
21/03/2011,31.28,-0.018058466
18/03/2011,31.85,0.012956414
17/03/2011,31.44,-0.010756194
16/03/2011,31.78,-0.01777686
15/03/2011,32.35,0.023773406
14/03/2011,31.59,-0.010705392
11/03/2011,31.93,0.016101374
10/03/2011,31.42,-0.02607341
09/03/2011,32.25,-0.014468468
08/03/2011,32.72,0.031669831
07/03/2011,31.7,-0.021533052
04/03/2011,32.39,-0.019566506
03/03/2011,33.03,0.004551669
02/03/2011,32.88,-0.002126691
01/03/2011,32.95,-0.0174493
28/02/2011,33.53,0.008385793
25/02/2011,33.25,0.006941329
24/02/2011,33.02,-0.046451184
23/02/2011,34.59,-0.03354493
22/02/2011,35.77,-0.020476642
18/02/2011,36.51,0.003841937
17/02/2011,36.37,-0.010393967
16/02/2011,36.75,0.01756839
15/02/2011,36.11,-0.004972386
14/02/2011,36.29,-0.004399237
11/02/2011,36.45,0.015761421
