Date,Close,LB
08/07/2010,24.21,0.022134961
07/07/2010,23.68,0.046238524
06/07/2010,22.61,0.001327728
02/07/2010,22.58,-0.005740797
01/07/2010,22.71,0.028586136
30/06/2010,22.07,0.004541334
29/06/2010,21.97,-0.04364005
28/06/2010,22.95,-0.006081687
25/06/2010,23.09,0.006517512
24/06/2010,22.94,-0.020708246
23/06/2010,23.42,0.009869207
22/06/2010,23.19,-0.040149064
21/06/2010,24.14,-0.021312282
18/06/2010,24.66,-0.014892608
17/06/2010,25.03,-0.013492268
16/06/2010,25.37,-0.023374652
15/06/2010,25.97,0.017087794
14/06/2010,25.53,0.017783515
11/06/2010,25.08,0.005597776
10/06/2010,24.94,0.030120307
09/06/2010,24.2,0.014568416
08/06/2010,23.85,-0.001675744
07/06/2010,23.89,-0.033343282
04/06/2010,24.7,-0.061243625
03/06/2010,26.26,0.011875259
02/06/2010,25.95,0.028137847
01/06/2010,25.23,0.014773677
28/05/2010,24.86,-0.022669493
27/05/2010,25.43,0.044219423
26/05/2010,24.33,-0.013877774
25/05/2010,24.67,-0.003237558
24/05/2010,24.75,-0.002824291
21/05/2010,24.82,0.038608491
20/05/2010,23.88,-0.025223582
19/05/2010,24.49,0.000816994
18/05/2010,24.47,-0.036119496
17/05/2010,25.37,-0.003148369
14/05/2010,25.45,-0.020996106
13/05/2010,25.99,-0.048075348
12/05/2010,27.27,0.004041894
11/05/2010,27.16,0.008875798
10/05/2010,26.92,0.076797607
07/05/2010,24.93,-0.007990454
06/05/2010,25.13,-0.053082381
05/05/2010,26.5,-0.01386569
04/05/2010,26.87,-0.034025598
03/05/2010,27.8,0.036634133
30/04/2010,26.8,-0.027600648
29/04/2010,27.55,0.014625489
28/04/2010,27.15,-0.021858794
27/04/2010,27.75,-0.029121376
26/04/2010,28.57,0.00315513
23/04/2010,28.48,-0.00385492
22/04/2010,28.59,0.019781641
21/04/2010,28.03,0.015821977
20/04/2010,27.59,0.012032962
19/04/2010,27.26,0.006994323
16/04/2010,27.07,-0.017939343
15/04/2010,27.56,0.019418086
14/04/2010,27.03,-0.005901898
13/04/2010,27.19,0.011094788
12/04/2010,26.89,0.010091657
09/04/2010,26.62,0.012854619
08/04/2010,26.28,0.023095715
07/04/2010,25.68,-0.001556421
06/04/2010,25.72,-0.000388727
05/04/2010,25.73,0.036813973
01/04/2010,24.8,0.007284532
31/03/2010,24.62,-0.049911349
30/03/2010,25.88,0.003871472
29/03/2010,25.78,0.009353147
26/03/2010,25.54,0.007861676
25/03/2010,25.34,0.01430867
24/03/2010,24.98,-0.019033088
23/03/2010,25.46,0.006699532
22/03/2010,25.29,0.02482113
19/03/2010,24.67,-0.003237558
18/03/2010,24.75,0.00283229
17/03/2010,24.68,-0.001214821
16/03/2010,24.71,0.04131112
15/03/2010,23.71,-0.001264489
12/03/2010,23.74,0.005491038
11/03/2010,23.61,0.005095552
10/03/2010,23.49,-0.004248095
09/03/2010,23.59,0.005099884
08/03/2010,23.47,0.008128387
05/03/2010,23.28,0.01297035
04/03/2010,22.98,0.01446442
03/03/2010,22.65,0.009760503
02/03/2010,22.43,-0.004448406
01/03/2010,22.53,0.01881776
26/02/2010,22.11,-0.001807502
25/02/2010,22.15,0.027925825
24/02/2010,21.54,0.023961682
23/02/2010,21.03,-0.022102945
22/02/2010,21.5,0.004662013
19/02/2010,21.4,0.002807676
18/02/2010,21.34,0.013682686
17/02/2010,21.05,0.010506305
16/02/2010,20.83,0.016945455
12/02/2010,20.48,0.00685941
11/02/2010,20.34,0.012367212
10/02/2010,20.09,-0.012367212
09/02/2010,20.34,0.016357242
08/02/2010,20.01,-0.022728251
05/02/2010,20.47,0.02172925
04/02/2010,20.03,-0.011417349
03/02/2010,20.26,-0.002957124
02/02/2010,20.32,0.033528284
01/02/2010,19.65,0.032586281
29/01/2010,19.02,-0.00993992
28/01/2010,19.21,-0.025695144
27/01/2010,19.71,0.015853055
26/01/2010,19.4,0.042111485
25/01/2010,18.6,0.011898464
22/01/2010,18.38,-0.016190316
21/01/2010,18.68,-0.011708489
20/01/2010,18.9,-0.023013568
19/01/2010,19.34,-0.002581979
15/01/2010,19.39,-0.026966783
14/01/2010,19.92,-0.015442399
13/01/2010,20.23,-0.009837758
12/01/2010,20.43,-0.001467352
11/01/2010,20.46,0.043452529
08/01/2010,19.59,0.043292288
07/01/2010,18.76,-0.016389476
06/01/2010,19.07,0.020662987
05/01/2010,18.68,-0.033169664
04/01/2010,19.31,0.003631651
31/12/2009,19.24,-0.0149603
30/12/2009,19.53,-0.002046037
29/12/2009,19.57,0.001534135
28/12/2009,19.54,0.000511902
24/12/2009,19.53,0.001537279
23/12/2009,19.5,-0.016277063
22/12/2009,19.82,0.028142046
21/12/2009,19.27,0.01938756
18/12/2009,18.9,0.005837109
17/12/2009,18.79,-0.01006098
16/12/2009,18.98,0.003694911
15/12/2009,18.91,-0.005274274
14/12/2009,19.01,0.018582961
11/12/2009,18.66,0.01620781
10/12/2009,18.36,0.028731258
09/12/2009,17.84,-0.011702558
08/12/2009,18.05,-0.009374207
07/12/2009,18.22,-0.005473467
04/12/2009,18.32,0.009322799
03/12/2009,18.15,0.021158919
02/12/2009,17.77,0.012457692
01/12/2009,17.55,0.056253846
30/11/2009,16.59,-0.01969625
27/11/2009,16.92,-0.033704527
25/11/2009,17.5,0.050391446
24/11/2009,16.64,-0.034842615
23/11/2009,17.23,-0.001160093
20/11/2009,17.25,-0.024621914
19/11/2009,17.68,-0.032826313
18/11/2009,18.27,0.013223333
17/11/2009,18.03,-0.018681862
16/11/2009,18.37,0.0153596
13/11/2009,18.09,0.019537323
12/11/2009,17.74,-0.03544114
11/11/2009,18.38,-0.0188634
10/11/2009,18.73,0
09/11/2009,18.73,0.029804428
06/11/2009,18.18,0.016080191
05/11/2009,17.89,0.006167667
04/11/2009,17.78,-0.009515885
03/11/2009,17.95,0.003348217
02/11/2009,17.89,0.016342995
30/10/2009,17.6,-0.035718083
29/10/2009,18.24,0.066880443
28/10/2009,17.06,-0.048622674
27/10/2009,17.91,-0.084542297
26/10/2009,19.49,0.01395011
23/10/2009,19.22,-0.010352059
22/10/2009,19.42,0.032978649
21/10/2009,18.79,-0.014791606
20/10/2009,19.07,-0.018701844
19/10/2009,19.43,0.031366921
16/10/2009,18.83,-0.011615759
15/10/2009,19.05,-0.015108388
14/10/2009,19.34,0.046569261
13/10/2009,18.46,-0.009166956
12/10/2009,18.63,0.020060309
09/10/2009,18.26,-0.014678165
08/10/2009,18.53,0.038508608
07/10/2009,17.83,-0.005034976
