Date,Close,SJM
19/01/2012,81.04,-0.000123388
18/01/2012,81.05,0.009919486
17/01/2012,80.25,0.017853127
13/01/2012,78.83,-0.003166363
12/01/2012,79.08,0.003420106
11/01/2012,78.81,0.000126896
10/01/2012,78.8,0.010717122
09/01/2012,77.96,0.006950729
06/01/2012,77.42,-0.003352679
05/01/2012,77.68,0.005162634
04/01/2012,77.28,-0.000258766
03/01/2012,77.3,-0.011191987
30/12/2011,78.17,-0.005867364
29/12/2011,78.63,0.003439713
28/12/2011,78.36,-0.00458366
27/12/2011,78.72,-0.001015744
23/12/2011,78.8,0.003814372
22/12/2011,78.5,-0.002671587
21/12/2011,78.71,0.004073844
20/12/2011,78.39,0.022838229
19/12/2011,76.62,-0.001825532
16/12/2011,76.76,0.003131527
15/12/2011,76.52,0.001700347
14/12/2011,76.39,0.001441017
13/12/2011,76.28,-0.002618488
12/12/2011,76.48,-0.012215876
09/12/2011,77.42,0.016540066
08/12/2011,76.15,-0.005761441
07/12/2011,76.59,-0.001043978
06/12/2011,76.67,0.008645587
05/12/2011,76.01,0.01471102
02/12/2011,74.9,-0.002400321
01/12/2011,75.08,-0.011915936
30/11/2011,75.98,0.024649839
29/11/2011,74.13,0.001214821
28/11/2011,74.04,0.013735172
25/11/2011,73.03,0.007559654
23/11/2011,72.48,-0.015198485
22/11/2011,73.59,-0.007311162
21/11/2011,74.13,-0.002156044
18/11/2011,74.29,0.033395741
17/11/2011,71.85,-0.018341547
16/11/2011,73.18,-0.033063084
15/11/2011,75.64,-0.004089985
14/11/2011,75.95,-0.012040454
11/11/2011,76.87,-0.000780234
10/11/2011,76.93,0.012952363
09/11/2011,75.94,-0.031370038
08/11/2011,78.36,-0.008134259
07/11/2011,79,0.005203388
04/11/2011,78.59,-0.006594824
03/11/2011,79.11,0.013874085
02/11/2011,78.02,0.009788847
01/11/2011,77.26,0.003111229
31/10/2011,77.02,0.00246994
28/10/2011,76.83,-0.00078064
27/10/2011,76.89,0.007571838
26/10/2011,76.31,0.003018573
25/10/2011,76.08,-0.012539349
24/10/2011,77.04,0.006772623
21/10/2011,76.52,0.013816918
20/10/2011,75.47,0.009719802
19/10/2011,74.74,-0.011043955
18/10/2011,75.57,0.015469038
17/10/2011,74.41,-0.013216934
14/10/2011,75.4,0.002789032
