Date,Close,XRX
30/08/2011,8.07,0.001239926
29/08/2011,8.06,0.043099192
26/08/2011,7.72,0.024919322
25/08/2011,7.53,-0.040343793
24/08/2011,7.84,0.027150989
23/08/2011,7.63,0.029257406
22/08/2011,7.41,0.012220111
19/08/2011,7.32,-0.046706287
18/08/2011,7.67,-0.078938899
17/08/2011,8.3,0.009685306
16/08/2011,8.22,-0.0060643
15/08/2011,8.27,0.031943748
12/08/2011,8.01,0.002500001
11/08/2011,7.99,0.035672572
10/08/2011,7.71,-0.057950721
09/08/2011,8.17,0.05924858
08/08/2011,7.7,-0.102369033
05/08/2011,8.53,-0.004678371
04/08/2011,8.57,-0.037783544
03/08/2011,8.9,0.009029407
02/08/2011,8.82,-0.034543825
01/08/2011,9.13,-0.02166932
29/07/2011,9.33,-0.009600074
28/07/2011,9.42,-0.016842503
27/07/2011,9.58,-0.021683865
26/07/2011,9.79,-0.011173301
25/07/2011,9.9,-0.018018506
22/07/2011,10.08,-0.021590633
21/07/2011,10.3,0.023576731
20/07/2011,10.06,-0.012839683
19/07/2011,10.19,0.026853926
18/07/2011,9.92,-0.009031672
15/07/2011,10.01,-0.005976113
14/07/2011,10.07,-0.014785878
13/07/2011,10.22,0.001958864
12/07/2011,10.2,-0.004889985
11/07/2011,10.25,-0.039220713
08/07/2011,10.66,-0.001874415
07/07/2011,10.68,0.010353034
06/07/2011,10.57,0
05/07/2011,10.57,-0.013158085
01/07/2011,10.71,0.028411002
30/06/2011,10.41,0.015489177
29/06/2011,10.25,0.015732871
28/06/2011,10.09,0.018000486
27/06/2011,9.91,0.002020203
24/06/2011,9.89,-0.018036561
23/06/2011,10.07,0.007976114
22/06/2011,9.99,0.001001502
21/06/2011,9.98,0.011083237
20/06/2011,9.87,0.002028398
17/06/2011,9.85,0.013285837
16/06/2011,9.72,0.00826451
15/06/2011,9.64,-0.019517826
14/06/2011,9.83,0.018481019
13/06/2011,9.65,0.026248226
10/06/2011,9.4,-0.016878038
09/06/2011,9.56,0.010515344
08/06/2011,9.46,-0.014690715
07/06/2011,9.6,-0.016529302
06/06/2011,9.76,-0.024292693
03/06/2011,10,-0.004987542
02/06/2011,10.05,0.004987542
01/06/2011,10,-0.020782539
31/05/2011,10.21,0.020782539
27/05/2011,10,0.002002003
26/05/2011,9.98,0.015144156
25/05/2011,9.83,-0.002032521
24/05/2011,9.85,-0.012109129
23/05/2011,9.97,-0.013944449
20/05/2011,10.11,-0.014727807
19/05/2011,10.26,0
18/05/2011,10.26,0.018692133
17/05/2011,10.07,-0.009881503
16/05/2011,10.17,-0.003925422
13/05/2011,10.21,-0.008776263
12/05/2011,10.3,0.002916871
11/05/2011,10.27,-0.018331435
10/05/2011,10.46,0.027133448
09/05/2011,10.18,-0.006852694
06/05/2011,10.25,0.009804
05/05/2011,10.15,0.002960042
04/05/2011,10.12,-0.006893183
03/05/2011,10.19,0.007881814
02/05/2011,10.11,0.001980199
29/04/2011,10.09,-0.003956484
28/04/2011,10.13,0.001976285
27/04/2011,10.11,0.00297177
26/04/2011,10.08,0.004972661
25/04/2011,10.03,-0.018765983
21/04/2011,10.22,-0.059818495
20/04/2011,10.85,0.02803922
19/04/2011,10.55,-0.011310205
18/04/2011,10.67,-0.005607491
15/04/2011,10.73,-0.001862198
14/04/2011,10.75,0.001862198
13/04/2011,10.73,-0.002791998
12/04/2011,10.76,-0.002784225
11/04/2011,10.79,0.008376038
08/04/2011,10.7,-0.013921339
07/04/2011,10.85,0
06/04/2011,10.85,0.000922084
05/04/2011,10.84,0
04/04/2011,10.84,-0.003683245
01/04/2011,10.88,0.021366349
31/03/2011,10.65,-0.000938527
30/03/2011,10.66,0.000938527
29/03/2011,10.65,0.000939408
28/03/2011,10.64,-0.002815581
25/03/2011,10.67,0.039183226
24/03/2011,10.26,0.00292826
23/03/2011,10.23,0.008836582
22/03/2011,10.14,-0.010789707
21/03/2011,10.25,0.012764042
18/03/2011,10.12,-0.001974334
17/03/2011,10.14,0.026988145
16/03/2011,9.87,-0.030925158
15/03/2011,10.18,-0.014627272
14/03/2011,10.33,-0.006753523
11/03/2011,10.4,0.006753523
10/03/2011,10.33,-0.014416396
09/03/2011,10.48,-0.008551121
08/03/2011,10.57,0.017175995
07/03/2011,10.39,-0.009578617
04/03/2011,10.49,-0.017013643
03/03/2011,10.67,0.012258522
02/03/2011,10.54,-0.007561473
01/03/2011,10.62,-0.012166739
28/02/2011,10.75,0.002794599
25/02/2011,10.72,0.010314203
24/02/2011,10.61,-0.006575881
23/02/2011,10.68,-0.017633868
22/02/2011,10.87,-0.040564372
18/02/2011,11.32,-0.004407235
17/02/2011,11.37,0
16/02/2011,11.37,0.026739561
15/02/2011,11.07,0.003619913
14/02/2011,11.03,0.005454559
11/02/2011,10.97,0.011921278
10/02/2011,10.84,-0.004601941
09/02/2011,10.89,0.003679857
08/02/2011,10.85,-0.002761161
07/02/2011,10.88,0.002761161
04/02/2011,10.85,-0.00551472
03/02/2011,10.91,0.004593485
02/02/2011,10.86,-0.001839927
01/02/2011,10.88,0.024187226
31/01/2011,10.62,0.006613156
28/01/2011,10.55,-0.022493919
