Date,Close,PM
02/04/2012,89.38,0.008652225
30/03/2012,88.61,0.022367702
29/03/2012,86.65,-0.003686215
28/03/2012,86.97,-0.006304107
27/03/2012,87.52,-0.00717257
26/03/2012,88.15,0.015087725
23/03/2012,86.83,-0.000115161
22/03/2012,86.84,0.008325673
21/03/2012,86.12,-0.004865062
20/03/2012,86.54,0.002313745
19/03/2012,86.34,0.00615744
16/03/2012,85.81,-0.001048279
15/03/2012,85.9,0.005252419
14/03/2012,85.45,-0.003038095
13/03/2012,85.71,0.01374471
12/03/2012,84.54,-0.000827668
09/03/2012,84.61,-0.000118182
08/03/2012,84.62,0.00652086
07/03/2012,84.07,0.000118956
06/03/2012,84.06,-0.016049436
05/03/2012,85.42,0.01023719
02/03/2012,84.55,0.003791923
01/03/2012,84.23,0.008465028
29/02/2012,83.52,-0.004062618
28/02/2012,83.86,0.00910404
27/02/2012,83.1,0.000963159
24/02/2012,83.02,0.010291271
23/02/2012,82.17,-0.001459322
22/02/2012,82.29,0.000243072
21/02/2012,82.27,0.006463043
17/02/2012,81.74,-0.002443794
16/02/2012,81.94,0.004770943
15/02/2012,81.55,-0.00122549
14/02/2012,81.65,0.000490016
13/02/2012,81.61,0.014440239
10/02/2012,80.44,0.004735211
09/02/2012,80.06,0.027607173
08/02/2012,77.88,0.003601753
07/02/2012,77.6,0.009711957
06/02/2012,76.85,0.002997331
03/02/2012,76.62,0.010232281
02/02/2012,75.84,0.001187414
01/02/2012,75.75,0.013021709
31/01/2012,74.77,-0.001737156
30/01/2012,74.9,-0.007448824
27/01/2012,75.46,-0.012118167
26/01/2012,76.38,-0.005613958
25/01/2012,76.81,0.035244771
24/01/2012,74.15,-0.009529634
23/01/2012,74.86,0.004552157
20/01/2012,74.52,0.009979854
19/01/2012,73.78,0.007072935
18/01/2012,73.26,-0.035401927
17/01/2012,75.9,-0.01853597
13/01/2012,77.32,0.011315722
12/01/2012,76.45,-0.001960144
11/01/2012,76.6,-0.009355578
10/01/2012,77.32,0.005967069
09/01/2012,76.86,-0.002858258
06/01/2012,77.08,-0.014553673
