Date,Close,JCI
08/11/2011,32.62,0.004609011
07/11/2011,32.47,-0.002460783
04/11/2011,32.55,-0.007955978
03/11/2011,32.81,0.032840622
02/11/2011,31.75,0.018436632
01/11/2011,31.17,-0.054928003
31/10/2011,32.93,-0.020737032
28/10/2011,33.62,0.011066361
27/10/2011,33.25,0.019742479
26/10/2011,32.6,0.00677134
25/10/2011,32.38,-0.026213022
24/10/2011,33.24,0.016684749
21/10/2011,32.69,0.034861918
20/10/2011,31.57,-0.006944472
19/10/2011,31.79,-0.017153079
18/10/2011,32.34,0.034285478
17/10/2011,31.25,-0.034285478
14/10/2011,32.34,0.031728749
13/10/2011,31.33,-0.012371292
12/10/2011,31.72,0.051094204
11/10/2011,30.14,0.011680426
10/10/2011,29.79,0.042866155
07/10/2011,28.54,-0.014608955
06/10/2011,28.96,0.034425598
05/10/2011,27.98,0.015124523
04/10/2011,27.56,0.079649703
03/10/2011,25.45,-0.035511257
30/09/2011,26.37,-0.038316013
29/09/2011,27.4,0.025504986
28/09/2011,26.71,-0.050731549
27/09/2011,28.1,0.029982379
26/09/2011,27.27,0.020000667
23/09/2011,26.73,0.004875314
22/09/2011,26.6,-0.048790164
21/09/2011,27.93,-0.051293294
20/09/2011,29.4,-0.023862668
19/09/2011,30.11,-0.002653401
16/09/2011,30.19,-0.00791822
15/09/2011,30.43,0.039891329
14/09/2011,29.24,0.017247754
13/09/2011,28.74,0.001392758
12/09/2011,28.7,-0.006944472
09/09/2011,28.9,-0.02965958
08/09/2011,29.77,-0.027825578
07/09/2011,30.61,0.026482845
06/09/2011,29.81,-0.001675884
02/09/2011,29.86,-0.031644038
01/09/2011,30.82,-0.033815024
31/08/2011,31.88,0.015489483
30/08/2011,31.39,-0.004132894
29/08/2011,31.52,0.041126081
26/08/2011,30.25,0.019022766
25/08/2011,29.68,-0.041899581
24/08/2011,30.95,0.0285125
23/08/2011,30.08,0.039327102
22/08/2011,28.92,0.003116886
19/08/2011,28.83,-0.030403708
18/08/2011,29.72,-0.070472261
17/08/2011,31.89,-0.014012373
16/08/2011,32.34,-0.016863806
15/08/2011,32.89,0.013468217
12/08/2011,32.45,0.01240326
11/08/2011,32.05,0.055819492
10/08/2011,30.31,-0.049559691
09/08/2011,31.85,0.048240865
08/08/2011,30.35,-0.088246199
05/08/2011,33.15,-0.03381105
04/08/2011,34.29,-0.058065296
03/08/2011,36.34,0.008567138
02/08/2011,36.03,-0.040255639
01/08/2011,37.51,0.015041917
29/07/2011,36.95,-0.007011895
28/07/2011,37.21,0.000268781
27/07/2011,37.2,-0.042111485
26/07/2011,38.8,-0.018386626
25/07/2011,39.52,-0.01232255
22/07/2011,40.01,0.000249969
21/07/2011,40,0.007780187
20/07/2011,39.69,-0.044835095
19/07/2011,41.51,0.022412631
18/07/2011,40.59,-0.00638509
15/07/2011,40.85,0.002205613
14/07/2011,40.76,-0.00757672
13/07/2011,41.07,-0.001702956
12/07/2011,41.14,-0.002912623
11/07/2011,41.26,-0.028904437
08/07/2011,42.47,-0.005635141
07/07/2011,42.71,0.01700159
06/07/2011,41.99,-0.006172859
05/07/2011,42.25,-0.003544008
01/07/2011,42.4,0.017606926
30/06/2011,41.66,0.007227206
29/06/2011,41.36,0.029442755
28/06/2011,40.16,0.016064603
27/06/2011,39.52,0.008895725
24/06/2011,39.17,0
23/06/2011,39.17,0.007431168
22/06/2011,38.88,0.008783317
21/06/2011,38.54,0.030293374
20/06/2011,37.39,0.007516814
17/06/2011,37.11,0.02261985
16/06/2011,36.28,0.00055142
15/06/2011,36.26,-0.02317127
14/06/2011,37.11,0.02842498
13/06/2011,36.07,0.007234311
10/06/2011,35.81,-0.021001048
09/06/2011,36.57,0.013489537
08/06/2011,36.08,-0.021930703
07/06/2011,36.88,-0.014803123
06/06/2011,37.43,-0.005860432
03/06/2011,37.65,-0.003711563
02/06/2011,37.79,-0.003961447
01/06/2011,37.94,-0.042823154
31/05/2011,39.6,0.013730193
27/05/2011,39.06,0.027775958
26/05/2011,37.99,0.003691987
25/05/2011,37.85,0.013298068
24/05/2011,37.35,-0.015145766
23/05/2011,37.92,-0.01127585
20/05/2011,38.35,-0.012438616
19/05/2011,38.83,0.002062388
18/05/2011,38.75,0.013510208
17/05/2011,38.23,0
16/05/2011,38.23,-0.010149729
13/05/2011,38.62,-0.019487796
12/05/2011,39.38,0.008927492
11/05/2011,39.03,-0.015508128
10/05/2011,39.64,-0.002519528
09/05/2011,39.74,0.003024196
06/05/2011,39.62,0.003793152
05/05/2011,39.47,-0.005810298
04/05/2011,39.7,-0.019950786
03/05/2011,40.5,-0.004680388
02/05/2011,40.69,-0.007589705
29/04/2011,41,-0.006321441
28/04/2011,41.26,0.002426597
27/04/2011,41.16,0.010747539
26/04/2011,40.72,0.027890254
25/04/2011,39.6,-0.028135803
21/04/2011,40.73,0.014840737
20/04/2011,40.13,0.046152231
19/04/2011,38.32,0.005757671
18/04/2011,38.1,-0.027441536
15/04/2011,39.16,0.004607124
14/04/2011,38.98,-0.012238807
13/04/2011,39.46,0.003808561
12/04/2011,39.31,-0.016149733
11/04/2011,39.95,-0.008722797
08/04/2011,40.3,-0.011595048
07/04/2011,40.77,-0.014367713
06/04/2011,41.36,-0.000483442
05/04/2011,41.38,-0.009141271
04/04/2011,41.76,-0.007633625
01/04/2011,42.08,0.012193815
31/03/2011,41.57,-0.000721414
30/03/2011,41.6,-0.007901394
29/03/2011,41.93,0.017563305
28/03/2011,41.2,-0.004842624
25/03/2011,41.4,0.003387373
24/03/2011,41.26,0.028517173
23/03/2011,40.1,0.003998006
22/03/2011,39.94,-0.012935504
21/03/2011,40.46,0.02401316
18/03/2011,39.5,-0.007314953
17/03/2011,39.79,0.022364337
16/03/2011,38.91,-0.024623658
15/03/2011,39.88,-0.018139397
14/03/2011,40.61,-0.003686867
11/03/2011,40.76,-0.014371213
10/03/2011,41.35,-0.012735965
09/03/2011,41.88,0.014188046
08/03/2011,41.29,0.006560587
07/03/2011,41.02,-0.007044849
04/03/2011,41.31,0.017582871
03/03/2011,40.59,0.008660205
02/03/2011,40.24,0.008485202
01/03/2011,39.9,-0.022305758
28/02/2011,40.8,0.00294551
25/02/2011,40.68,0.014859114
24/02/2011,40.08,0.003499129
23/02/2011,39.94,-0.041682916
22/02/2011,41.64,-0.018087118
18/02/2011,42.4,0.007813465
17/02/2011,42.07,-0.00118779
16/02/2011,42.12,0.012903405
15/02/2011,41.58,0.004338402
14/02/2011,41.4,-0.000241517
11/02/2011,41.41,0.018769594
10/02/2011,40.64,0.011383444
09/02/2011,40.18,0.005740687
08/02/2011,39.95,0.021506205
