Date,Close,FDX
14/02/2011,93.99,-0.015099806
11/02/2011,95.42,0.010323488
10/02/2011,94.44,0.030533441
09/02/2011,91.6,-0.004900636
08/02/2011,92.05,0.006430189
07/02/2011,91.46,-0.003056771
04/02/2011,91.74,0.003056771
03/02/2011,91.46,0.007242433
02/02/2011,90.8,-0.020601306
01/02/2011,92.69,0.025901672
31/01/2011,90.32,-0.001769912
28/01/2011,90.48,-0.041988423
27/01/2011,94.36,0.000530026
26/01/2011,94.31,0.003398835
25/01/2011,93.99,-0.004034832
24/01/2011,94.37,0.010974486
21/01/2011,93.34,-0.001819642
20/01/2011,93.51,-0.008836895
19/01/2011,94.34,-0.015357407
18/01/2011,95.8,-0.000313103
14/01/2011,95.83,0.00208921
13/01/2011,95.63,0.006609687
12/01/2011,95,0.017949608
11/01/2011,93.31,-0.008005593
10/01/2011,94.06,0.009721779
07/01/2011,93.15,0.000536913
06/01/2011,93.1,-0.008236662
05/01/2011,93.87,0.008021862
04/01/2011,93.12,-0.000751436
03/01/2011,93.19,0.001933406
31/12/2010,93.01,0.000537721
30/12/2010,92.96,0.001722653
29/12/2010,92.8,-0.002367884
28/12/2010,93.02,-0.000107498
27/12/2010,93.03,0.000215008
23/12/2010,93.01,-0.00386308
22/12/2010,93.37,-0.003421365
21/12/2010,93.69,0.001388518
20/12/2010,93.56,0.005251044
17/12/2010,93.07,-0.012280575
16/12/2010,94.22,0.019613726
15/12/2010,92.39,-0.010122852
14/12/2010,93.33,-0.010445629
13/12/2010,94.31,0.003505235
10/12/2010,93.98,-0.001169777
09/12/2010,94.09,0.013697378
08/12/2010,92.81,0.001617513
07/12/2010,92.66,-0.006776041
06/12/2010,93.29,-0.018163971
03/12/2010,95,-0.002208087
02/12/2010,95.21,0.012896585
01/12/2010,93.99,0.031011074
30/11/2010,91.12,-0.005144776
29/11/2010,91.59,0.045683302
26/11/2010,87.5,-0.011024718
24/11/2010,88.47,0.026689632
23/11/2010,86.14,-0.013834668
22/11/2010,87.34,0.00631714
19/11/2010,86.79,-0.003450659
18/11/2010,87.09,0.016906378
17/11/2010,85.63,-0.002798836
16/11/2010,85.87,-0.006037404
15/11/2010,86.39,-0.010707603
12/11/2010,87.32,-0.007529984
11/11/2010,87.98,-0.005667022
10/11/2010,88.48,0.004077016
09/11/2010,88.12,-0.024548674
08/11/2010,90.31,0.003438526
05/11/2010,90,0.01342302
04/11/2010,88.8,0.015433806
03/11/2010,87.44,0.004699957
02/11/2010,87.03,0.007033756
01/11/2010,86.42,-0.014930793
29/10/2010,87.72,-0.012574507
28/10/2010,88.83,0.007911434
27/10/2010,88.13,-0.016988652
26/10/2010,89.64,0.000892857
25/10/2010,89.56,0.007846694
22/10/2010,88.86,0.003268898
21/10/2010,88.57,-0.003943889
20/10/2010,88.92,0.020221068
19/10/2010,87.14,-0.026387353
18/10/2010,89.47,-0.001675136
15/10/2010,89.62,0.00256969
14/10/2010,89.39,-0.004019208
13/10/2010,89.75,0.019918511
12/10/2010,87.98,-0.004762454
11/10/2010,88.4,-0.003275174
08/10/2010,88.69,0.022232005
07/10/2010,86.74,-0.007351285
06/10/2010,87.38,-0.005136704
05/10/2010,87.83,0.027705801
04/10/2010,85.43,-0.002455137
01/10/2010,85.64,0.001636088
30/09/2010,85.5,-0.010124017
29/09/2010,86.37,0.019406735
28/09/2010,84.71,0.007583873
27/09/2010,84.07,-0.001901367
24/09/2010,84.23,0.018815343
23/09/2010,82.66,-0.019646056
22/09/2010,84.3,0.007979558
21/09/2010,83.63,0.008646625
20/09/2010,82.91,0.007627617
17/09/2010,82.28,-0.005333346
16/09/2010,82.72,-0.038187968
15/09/2010,85.94,0.009939858
14/09/2010,85.09,0.005538875
13/09/2010,84.62,0.005450896
10/09/2010,84.16,-0.00142484
09/09/2010,84.28,0.005592257
08/09/2010,83.81,0.022077017
07/09/2010,81.98,-0.009348699
03/09/2010,82.75,0.012525244
02/09/2010,81.72,0.004292115
01/09/2010,81.37,0.041657008
31/08/2010,78.05,-0.009309511
30/08/2010,78.78,-0.021101009
27/08/2010,80.46,0.021354913
26/08/2010,78.76,0.000126976
25/08/2010,78.75,-0.004308167
24/08/2010,79.09,-0.029280108
23/08/2010,81.44,0.002581916
20/08/2010,81.23,-0.004299497
19/08/2010,81.58,-0.029708742
18/08/2010,84.04,0.003337309
17/08/2010,83.76,0.033753356
16/08/2010,80.98,0.002225245
13/08/2010,80.8,-0.014010307
12/08/2010,81.94,-0.014418375
11/08/2010,83.13,-0.046651236
10/08/2010,87.1,-0.002179025
09/08/2010,87.29,0.022827015
06/08/2010,85.32,-0.005027192
05/08/2010,85.75,-0.002445986
04/08/2010,85.96,0.027479764
03/08/2010,83.63,-0.011531959
02/08/2010,84.6,0.024530096
30/07/2010,82.55,0.005831629
29/07/2010,82.07,-0.009338495
28/07/2010,82.84,0.005689744
27/07/2010,82.37,-0.012307105
26/07/2010,83.39,0.054587003
23/07/2010,78.96,0.005460678
