Date,Close,ROP
04/03/2010,55.7,-0.00107662
03/03/2010,55.76,0.001256169
02/03/2010,55.69,-0.000179549
01/03/2010,55.7,0.004678792
26/02/2010,55.44,0.011246264
25/02/2010,54.82,-0.004368409
24/02/2010,55.06,0.010589838
23/02/2010,54.48,-0.013129291
22/02/2010,55.2,-0.005780363
19/02/2010,55.52,0.012323462
18/02/2010,54.84,0.017103865
17/02/2010,53.91,0.001299304
16/02/2010,53.84,0.017613346
12/02/2010,52.9,-0.001133573
11/02/2010,52.96,0.023112479
10/02/2010,51.75,-0.009424053
09/02/2010,52.24,0.008458336
08/02/2010,51.8,-0.0138039
05/02/2010,52.52,-0.01060616
04/02/2010,53.08,-0.009748859
03/02/2010,53.6,0.042105467
02/02/2010,51.39,0.017668304
01/02/2010,50.49,0.00815357
29/01/2010,50.08,-0.005376892
28/01/2010,50.35,-0.0063354
27/01/2010,50.67,-0.006491613
26/01/2010,51,-0.005085088
25/01/2010,51.26,0.002930548
22/01/2010,51.11,-0.022251087
21/01/2010,52.26,-0.019705071
20/01/2010,53.3,-0.010080354
19/01/2010,53.84,0.040365499
15/01/2010,51.71,-0.015161983
14/01/2010,52.5,0.001334223
13/01/2010,52.43,-0.003617329
12/01/2010,52.62,-0.000759878
11/01/2010,52.66,0.004186495
08/01/2010,52.44,0.007080692
07/01/2010,52.07,-0.003833626
06/01/2010,52.27,0.007682004
05/01/2010,51.87,-0.012834196
04/01/2010,52.54,0.003240876
31/12/2009,52.37,-0.0155365
30/12/2009,53.19,-0.011217168
29/12/2009,53.79,0.004285055
28/12/2009,53.56,0.006556172
24/12/2009,53.21,0.003954435
23/12/2009,53,-0.004705891
22/12/2009,53.25,-0.026317308
21/12/2009,54.67,0.008818723
18/12/2009,54.19,0.001292586
17/12/2009,54.12,-0.01685639
16/12/2009,55.04,0.032499167
15/12/2009,53.28,-0.013978422
14/12/2009,54.03,-0.005905166
11/12/2009,54.35,0.010357037
10/12/2009,53.79,0.014795663
09/12/2009,53,0.004917733
08/12/2009,52.74,-0.015615029
07/12/2009,53.57,-0.002982295
04/12/2009,53.73,0.018407732
03/12/2009,52.75,-0.006989733
02/12/2009,53.12,-0.004320473
01/12/2009,53.35,0.024861324
30/11/2009,52.04,-0.003835831
27/11/2009,52.24,-0.012554854
25/11/2009,52.9,-0.004150166
24/11/2009,53.12,-0.008808978
23/11/2009,53.59,0.013337288
20/11/2009,52.88,0.00740252
19/11/2009,52.49,-0.021485938
18/11/2009,53.63,-0.006504995
