Date,Close,MJN
04/11/2011,71.26,-0.001822643
03/11/2011,71.39,0.010561247
02/11/2011,70.64,0.006105805
01/11/2011,70.21,-0.023089861
31/10/2011,71.85,-0.021343323
28/10/2011,73.4,0.008757582
27/10/2011,72.76,0.013003365
26/10/2011,71.82,0.000278513
25/10/2011,71.8,-0.010115793
24/10/2011,72.53,-0.003715686
21/10/2011,72.8,0.008691508
20/10/2011,72.17,0.009326997
19/10/2011,71.5,-0.026362716
18/10/2011,73.41,0.000681338
17/10/2011,73.36,-0.009631764
14/10/2011,74.07,0.00460082
13/10/2011,73.73,0.02568999
12/10/2011,71.86,-0.01010739
11/10/2011,72.59,0.017369991
10/10/2011,71.34,0.002385799
07/10/2011,71.17,0.016719007
06/10/2011,69.99,0.009042042
05/10/2011,69.36,0.018479973
04/10/2011,68.09,-0.000293686
03/10/2011,68.11,-0.010515651
30/09/2011,68.83,-0.033993562
29/09/2011,71.21,-0.012004611
28/09/2011,72.07,-0.035038688
27/09/2011,74.64,-0.007873531
26/09/2011,75.23,0.010422328
23/09/2011,74.45,0.019805314
22/09/2011,72.99,-0.016845936
21/09/2011,74.23,-0.016036693
20/09/2011,75.43,-0.004893219
19/09/2011,75.8,-0.003818558
16/09/2011,76.09,0.010835201
15/09/2011,75.27,0.000265745
14/09/2011,75.25,0.036953518
13/09/2011,72.52,0.016265042
12/09/2011,71.35,0.017104099
09/09/2011,70.14,-0.023948179
08/09/2011,71.84,-0.005137116
07/09/2011,72.21,0.028230229
06/09/2011,70.2,-0.00014244
02/09/2011,70.21,-0.008791889
01/09/2011,70.83,-0.005912179
31/08/2011,71.25,0.008739836
30/08/2011,70.63,0.011677717
29/08/2011,69.81,0.024359621
26/08/2011,68.13,0.011960275
25/08/2011,67.32,-0.009903266
24/08/2011,67.99,-0.006888998
23/08/2011,68.46,0.032663236
22/08/2011,66.26,-0.00706823
19/08/2011,66.73,-0.047269023
18/08/2011,69.96,-0.015178673
17/08/2011,71.03,0.006497198
16/08/2011,70.57,0.021484642
15/08/2011,69.07,-0.00159132
12/08/2011,69.18,0.035457926
11/08/2011,66.77,0.010993259
10/08/2011,66.04,-0.033063324
09/08/2011,68.26,0.045711112
08/08/2011,65.21,-0.05533358
05/08/2011,68.92,0.005674806
04/08/2011,68.53,-0.027773567
03/08/2011,70.46,0.0058359
02/08/2011,70.05,-0.016143086
01/08/2011,71.19,-0.002525254
29/07/2011,71.37,-0.005449605
28/07/2011,71.76,0.06149596
27/07/2011,67.48,-0.019953714
26/07/2011,68.84,-0.001741655
25/07/2011,68.96,-0.001738627
22/07/2011,69.08,-0.009938865
21/07/2011,69.77,0.011822514
20/07/2011,68.95,-0.012825307
19/07/2011,69.84,0.018643506
18/07/2011,68.55,-0.010448506
15/07/2011,69.27,0.006953526
14/07/2011,68.79,-0.002468241
13/07/2011,68.96,0.002613621
12/07/2011,68.78,0.005393992
11/07/2011,68.41,-0.010759045
08/07/2011,69.15,0.002171554
07/07/2011,69,-0.000434688
06/07/2011,69.03,-0.012953549
05/07/2011,69.93,0.012808695
01/07/2011,69.04,0.021817982
30/06/2011,67.55,0.008175445
29/06/2011,67,0.009598154
28/06/2011,66.36,0.007563188
27/06/2011,65.86,0.007467839
24/06/2011,65.37,0.002297267
23/06/2011,65.22,0.002148888
22/06/2011,65.08,-0.00521074
21/06/2011,65.42,0.002295509
20/06/2011,65.27,0.004760817
17/06/2011,64.96,0.002774782
16/06/2011,64.78,-0.000617284
15/06/2011,64.82,-0.011046446
14/06/2011,65.54,0.006736094
13/06/2011,65.1,0.018761695
10/06/2011,63.89,-0.017070557
09/06/2011,64.99,-0.007358611
08/06/2011,65.47,-0.00045812
07/06/2011,65.5,-0.001220629
06/06/2011,65.58,-0.013931176
03/06/2011,66.5,-0.011066361
02/06/2011,67.24,0.004172882
01/06/2011,66.96,-0.012319265
31/05/2011,67.79,-0.00851944
27/05/2011,68.37,0.01191804
26/05/2011,67.56,0.018072331
25/05/2011,66.35,0.001810228
24/05/2011,66.23,-0.001056365
23/05/2011,66.3,-0.014970339
20/05/2011,67.3,-0.00813915
19/05/2011,67.85,0.005616332
18/05/2011,67.47,0.002968683
17/05/2011,67.27,0.00163654
16/05/2011,67.16,-0.016831934
13/05/2011,68.3,0.008528209
12/05/2011,67.72,0.020287092
11/05/2011,66.36,-0.001505798
10/05/2011,66.46,0.011044821
09/05/2011,65.73,-0.010141614
06/05/2011,66.4,0.00573933
05/05/2011,66.02,-0.000908403
04/05/2011,66.08,-0.000302618
03/05/2011,66.1,0.006374282
02/05/2011,65.68,-0.018105504
29/04/2011,66.88,0.026207665
28/04/2011,65.15,0.049719222
27/04/2011,61.99,0.005824317
26/04/2011,61.63,0.00569524
25/04/2011,61.28,0.007534843
21/04/2011,60.82,-0.008839475
20/04/2011,61.36,-0.002116403
19/04/2011,61.49,0.020040092
18/04/2011,60.27,-0.010727061
15/04/2011,60.92,0.011058956
14/04/2011,60.25,0.010679227
13/04/2011,59.61,0.003697483
12/04/2011,59.39,0.000673741
11/04/2011,59.35,0.005914677
08/04/2011,59,0.00254561
07/04/2011,58.85,-0.002884536
06/04/2011,59.02,0.009362567
05/04/2011,58.47,0.003598051
04/04/2011,58.26,-0.001200789
01/04/2011,58.33,0.006881156
31/03/2011,57.93,-0.008080505
30/03/2011,58.4,0.004461995
29/03/2011,58.14,-0.003776829
28/03/2011,58.36,-0.007341049
25/03/2011,58.79,0.020622831
24/03/2011,57.59,0.009771496
23/03/2011,57.03,0.004569428
22/03/2011,56.77,-0.005445775
