Date,Close,PNR
02/07/2012,38.72,0.011428696
29/06/2012,38.28,0.031041092
28/06/2012,37.11,-0.006446437
27/06/2012,37.35,0.00536914
26/06/2012,37.15,-0.006974277
25/06/2012,37.41,-0.031055127
22/06/2012,38.59,-0.010312027
21/06/2012,38.99,-0.022318958
20/06/2012,39.87,-0.005502765
19/06/2012,40.09,0.018376854
18/06/2012,39.36,0.009701378
15/06/2012,38.98,0
14/06/2012,38.98,0.003598051
13/06/2012,38.84,-0.018115051
12/06/2012,39.55,0.016057437
11/06/2012,38.92,-0.02260988
08/06/2012,39.81,0.014166693
07/06/2012,39.25,-0.006855429
06/06/2012,39.52,0.00940645
05/06/2012,39.15,0.000510986
04/06/2012,39.13,-0.018232969
01/06/2012,39.85,-0.022578803
31/05/2012,40.76,-0.002450381
30/05/2012,40.86,-0.027756096
29/05/2012,42.01,0.009807518
25/05/2012,41.6,-0.023754086
24/05/2012,42.6,-0.002344667
23/05/2012,42.7,0.008702866
22/05/2012,42.33,0.029974669
21/05/2012,41.08,0.013478944
18/05/2012,40.53,0.001481482
17/05/2012,40.47,-0.028019862
16/05/2012,41.62,-0.019274838
15/05/2012,42.43,0.008758489
14/05/2012,42.06,-0.032973875
11/05/2012,43.47,0.018340619
10/05/2012,42.68,0.000468713
09/05/2012,42.66,-0.008635834
08/05/2012,43.03,0.010043294
07/05/2012,42.6,-0.001641844
04/05/2012,42.67,-0.013963457
03/05/2012,43.27,-0.006909286
02/05/2012,43.57,0.00413984
01/05/2012,43.39,0.001153004
30/04/2012,43.34,-0.006898165
27/04/2012,43.64,-0.004572482
26/04/2012,43.84,-0.010438034
25/04/2012,44.3,0.005659325
24/04/2012,44.05,-0.001361162
23/04/2012,44.11,-0.015521625
20/04/2012,44.8,0.012578782
19/04/2012,44.24,-0.003610112
18/04/2012,44.4,0.006099646
17/04/2012,44.13,0.004542365
16/04/2012,43.93,-0.002727894
13/04/2012,44.05,-0.00249405
12/04/2012,44.16,0.008413921
11/04/2012,43.79,0.005495778
10/04/2012,43.55,-0.034972543
09/04/2012,45.1,-0.014528101
05/04/2012,45.76,-0.007619499
04/04/2012,46.11,-0.012928428
03/04/2012,46.71,-0.008739265
02/04/2012,47.12,-0.010345284
30/03/2012,47.61,0.009920926
29/03/2012,47.14,0.017548064
28/03/2012,46.32,0.140215413
27/03/2012,40.26,0.009232754
26/03/2012,39.89,0.025902921
23/03/2012,38.87,-0.005388082
22/03/2012,39.08,-0.009169703
21/03/2012,39.44,-0.002532288
20/03/2012,39.54,-0.011066511
19/03/2012,39.98,0.003758932
16/03/2012,39.83,-0.001755927
15/03/2012,39.9,0.010328849
14/03/2012,39.49,-0.006562366
13/03/2012,39.75,0.020844679
12/03/2012,38.93,0.006183993
09/03/2012,38.69,0.011699081
08/03/2012,38.24,0.018741475
07/03/2012,37.53,0.010176842
06/03/2012,37.15,-0.027348047
05/03/2012,38.18,-0.004703432
02/03/2012,38.36,-0.007013927
01/03/2012,38.63,0.003370935
29/02/2012,38.5,-0.008792402
28/02/2012,38.84,-0.01126484
27/02/2012,39.28,0.01152234
24/02/2012,38.83,-0.005137437
23/02/2012,39.03,0.010301405
22/02/2012,38.63,-0.012604668
21/02/2012,39.12,-0.000255591
17/02/2012,39.13,0.00204656
16/02/2012,39.05,0.0115906
15/02/2012,38.6,-0.005940867
14/02/2012,38.83,0.005163967
13/02/2012,38.63,0.014602606
10/02/2012,38.07,-0.015378903
09/02/2012,38.66,0.002590004
08/02/2012,38.56,0.003116886
07/02/2012,38.44,0.009672014
06/02/2012,38.07,-0.004978394
03/02/2012,38.26,0.01607201
02/02/2012,37.65,-0.00767301
01/02/2012,37.94,0.029964789
31/01/2012,36.82,-0.005687219
30/01/2012,37.03,0.009224157
27/01/2012,36.69,0.000272591
26/01/2012,36.68,-0.014345895
25/01/2012,37.21,0.009721924
24/01/2012,36.85,-0.002980628
23/01/2012,36.96,-0.007010004
20/01/2012,37.22,-0.010955353
19/01/2012,37.63,0.011492843
18/01/2012,37.2,0.008639363
17/01/2012,36.88,0.010905233
13/01/2012,36.48,-0.007646132
12/01/2012,36.76,0.011216094
11/01/2012,36.35,0.007455509
10/01/2012,36.08,0.013393057
09/01/2012,35.6,0.009880109
06/01/2012,35.25,-0.005939771
05/01/2012,35.46,0.024840678
04/01/2012,34.59,0.0136809
03/01/2012,34.12,0.024626671
30/12/2011,33.29,-0.007779812
29/12/2011,33.55,0.018956488
28/12/2011,32.92,-0.019254506
27/12/2011,33.56,0.00149098
23/12/2011,33.51,0.017156177
22/12/2011,32.94,-0.007560901
21/12/2011,33.19,-0.007205075
20/12/2011,33.43,0.024528103
19/12/2011,32.62,-0.017323029
16/12/2011,33.19,-0.010490131
15/12/2011,33.54,-0.011266055
14/12/2011,33.92,-0.059791867
13/12/2011,36.01,-0.003603608
12/12/2011,36.14,-0.016465795
09/12/2011,36.74,0.019236647
08/12/2011,36.04,-0.021411743
07/12/2011,36.82,-0.00433605
06/12/2011,36.98,-0.009955686
05/12/2011,37.35,0.006446437
02/12/2011,37.11,-0.003228413
01/12/2011,37.23,-0.021260434
30/11/2011,38.03,0.059589791
29/11/2011,35.83,0.007001849
28/11/2011,35.58,0.028797428
25/11/2011,34.57,-0.000578369
23/11/2011,34.59,-0.039120635
22/11/2011,35.97,-0.002221606
21/11/2011,36.05,-0.021405867
18/11/2011,36.83,0.003808492
17/11/2011,36.69,-0.025031586
16/11/2011,37.62,-0.01346555
15/11/2011,38.13,0.017727677
14/11/2011,37.46,-0.007976644
11/11/2011,37.76,0.034760336
10/11/2011,36.47,0.01102851
09/11/2011,36.07,-0.036743826
08/11/2011,37.42,0.013451911
07/11/2011,36.92,-0.001082837
04/11/2011,36.96,-0.0013519
03/11/2011,37.01,0.048438969
02/11/2011,35.26,0.022659796
01/11/2011,34.47,-0.042039704
31/10/2011,35.95,-0.024183646
28/10/2011,36.83,-0.008112538
27/10/2011,37.13,0.009199199
26/10/2011,36.79,0.004085529
25/10/2011,36.64,-0.022666918
24/10/2011,37.48,0.031714272
21/10/2011,36.31,0.031047103
20/10/2011,35.2,-0.004817921
19/10/2011,35.37,-0.007885144
18/10/2011,35.65,0.012419014
17/10/2011,35.21,-0.03158893
14/10/2011,36.34,0.027337825
13/10/2011,35.36,-0.022372298
12/10/2011,36.16,0.02350416
11/10/2011,35.32,0.007673762
10/10/2011,35.05,0.026013027
07/10/2011,34.15,-0.00961686
06/10/2011,34.48,0.026746635
05/10/2011,33.57,0.025646299
04/10/2011,32.72,0.054967518
03/10/2011,30.97,-0.03302936
30/09/2011,32.01,-0.017343265
29/09/2011,32.57,0.008324389
28/09/2011,32.3,-0.030490167
27/09/2011,33.3,0.022780028
26/09/2011,32.55,0.027723314
23/09/2011,31.66,0.002530046
22/09/2011,31.58,-0.036989454
21/09/2011,32.77,-0.025310179
20/09/2011,33.61,-0.010065212
19/09/2011,33.95,-0.000588928
16/09/2011,33.97,-0.005284804
15/09/2011,34.15,0.024604769
14/09/2011,33.32,0.026149255
13/09/2011,32.46,0.024954508
12/09/2011,31.66,0.011116519
09/09/2011,31.31,-0.040067958
08/09/2011,32.59,-0.021551904
07/09/2011,33.3,0.04044669
06/09/2011,31.98,-0.005301743
02/09/2011,32.15,-0.038143449
01/09/2011,33.4,-0.027172375
31/08/2011,34.32,-0.008703275
30/08/2011,34.62,0.002024
29/08/2011,34.55,0.045597004
26/08/2011,33.01,0.034518065
25/08/2011,31.89,-0.031787895
24/08/2011,32.92,0.024912868
23/08/2011,32.11,0.04230238
22/08/2011,30.78,0.01703842
19/08/2011,30.26,-0.022546291
18/08/2011,30.95,-0.057140464
17/08/2011,32.77,-0.008508104
16/08/2011,33.05,-0.018288622
15/08/2011,33.66,0.024662904
12/08/2011,32.84,0.008869916
11/08/2011,32.55,0.06210421
10/08/2011,30.59,-0.044750196
09/08/2011,31.99,0.061562855
08/08/2011,30.08,-0.108580061
05/08/2011,33.53,-0.006836109
04/08/2011,33.76,-0.050537677
03/08/2011,35.51,0.003950344
02/08/2011,35.37,-0.033090743
01/08/2011,36.56,-0.006814801
29/07/2011,36.81,-0.011076704
28/07/2011,37.22,-0.017577017
27/07/2011,37.88,-0.026570982
26/07/2011,38.9,-0.045970671
25/07/2011,40.73,0.006156897
22/07/2011,40.48,-0.006402386
21/07/2011,40.74,0.002703701
20/07/2011,40.63,-0.001967053
19/07/2011,40.71,0.020097439
18/07/2011,39.9,-0.015666117
15/07/2011,40.53,0.004203245
14/07/2011,40.36,-0.015976744
13/07/2011,41.01,0
12/07/2011,41.01,-0.005107636
11/07/2011,41.22,-0.020173595
08/07/2011,42.06,-0.004507184
07/07/2011,42.25,0.019116472
06/07/2011,41.45,0
05/07/2011,41.45,0.004352038
01/07/2011,41.27,0.022296648
30/06/2011,40.36,0.01976794
29/06/2011,39.57,0.005321183
28/06/2011,39.36,0.013556928
27/06/2011,38.83,0.002320486
24/06/2011,38.74,-0.011804089
23/06/2011,39.2,0.007682496
22/06/2011,38.9,-0.001797869
21/06/2011,38.97,0.020480301
20/06/2011,38.18,0.010267301
17/06/2011,37.79,0.00530646
16/06/2011,37.59,0.0029306
15/06/2011,37.48,-0.010879768
14/06/2011,37.89,0.02080075
13/06/2011,37.11,0.002968562
10/06/2011,37,-0.021920151
09/06/2011,37.82,0.015186118
08/06/2011,37.25,-0.005888668
07/06/2011,37.47,-0.005854194
06/06/2011,37.69,-0.015010157
03/06/2011,38.26,-0.016332184
02/06/2011,38.89,-0.001541624
01/06/2011,38.95,-0.038529253
31/05/2011,40.48,0.01568562
27/05/2011,39.85,0.012372333
26/05/2011,39.36,-0.001269519
25/05/2011,39.41,0.026483101
24/05/2011,38.38,-0.002342226
23/05/2011,38.47,-0.013939307
20/05/2011,39.01,-0.014253232
19/05/2011,39.57,0.004813182
18/05/2011,39.38,0.013549996
17/05/2011,38.85,-0.00896867
16/05/2011,39.2,-0.005342844
13/05/2011,39.41,-0.01310833
12/05/2011,39.93,0.014377849
11/05/2011,39.36,-0.016129382
10/05/2011,40,0.014352506
09/05/2011,39.43,0.009172039
06/05/2011,39.07,0.002049706
05/05/2011,38.99,-0.008428092
04/05/2011,39.32,-0.012636003
03/05/2011,39.82,-0.010740705
02/05/2011,40.25,0.002238528
29/04/2011,40.16,0.005493147
28/04/2011,39.94,0.008296716
27/04/2011,39.61,-0.001513623
26/04/2011,39.67,0.019086977
25/04/2011,38.92,0.005151995
21/04/2011,38.72,0.011428696
20/04/2011,38.28,0.020053442
19/04/2011,37.52,0.013956211
18/04/2011,37,-0.022448832
15/04/2011,37.84,0.00370665
14/04/2011,37.7,-0.00713628
13/04/2011,37.97,-0.001052909
12/04/2011,38.01,-0.016438726
11/04/2011,38.64,-0.006449139
08/04/2011,38.89,-0.008959487
07/04/2011,39.24,-0.00609758
06/04/2011,39.48,0.00584277
05/04/2011,39.25,0.019293203
04/04/2011,38.5,0.013072082
01/04/2011,38,0.005541642
31/03/2011,37.79,0.001588983
30/03/2011,37.73,0.002388219
29/03/2011,37.64,0.008805927
28/03/2011,37.31,0.000536193
25/03/2011,37.29,0.001610306
24/03/2011,37.23,0.009987936
23/03/2011,36.86,-0.005950788
22/03/2011,37.08,0
21/03/2011,37.08,0.026231012
18/03/2011,36.12,0.006388023
17/03/2011,35.89,0.012617579
16/03/2011,35.44,-0.00786963
15/03/2011,35.72,-0.007252473
14/03/2011,35.98,-0.004990307
11/03/2011,36.16,0.006102654
10/03/2011,35.94,-0.02608963
09/03/2011,36.89,-0.005676458
08/03/2011,37.1,0.028987537
07/03/2011,36.04,-0.018147322
04/03/2011,36.7,-0.017556157
03/03/2011,37.35,0.022199071
02/03/2011,36.53,0.00274123
01/03/2011,36.43,-0.01768513
28/02/2011,37.08,-0.003499802
25/02/2011,37.21,0.018443702
24/02/2011,36.53,-0.007635707
23/02/2011,36.81,-0.013223779
22/02/2011,37.3,-0.033740681
18/02/2011,38.58,0.001037344
17/02/2011,38.54,0.012795579
16/02/2011,38.05,0
15/02/2011,38.05,-0.003148782
14/02/2011,38.17,0.000786267
11/02/2011,38.14,0.004730626
10/02/2011,37.96,0.006342516
09/02/2011,37.72,-0.009498752
08/02/2011,38.08,-0.001049869
07/02/2011,38.12,-0.00157274
04/02/2011,38.18,0.012386507
03/02/2011,37.71,0.001326788
02/02/2011,37.66,0.010141533
01/02/2011,37.28,0.030226944
31/01/2011,36.17,0.011120493
28/01/2011,35.77,-0.018008521
27/01/2011,36.42,-0.006568168
26/01/2011,36.66,0.000545703
25/01/2011,36.64,0.005199081
24/01/2011,36.45,0.024438872
21/01/2011,35.57,-0.007003811
20/01/2011,35.82,-0.018531854
19/01/2011,36.49,-0.017387018
18/01/2011,37.13,0.004048042
14/01/2011,36.98,-0.001891126
13/01/2011,37.05,0.004056801
12/01/2011,36.9,0.010625355
11/01/2011,36.51,0.012679332
10/01/2011,36.05,-0.012953192
07/01/2011,36.52,-0.001641587
06/01/2011,36.58,0.004658181
05/01/2011,36.41,0.000549451
04/01/2011,36.39,-0.016083214
03/01/2011,36.98,0.01279103
31/12/2010,36.51,-0.006824102
30/12/2010,36.76,0.003815758
29/12/2010,36.62,-0.003543686
28/12/2010,36.75,0.004363247
27/12/2010,36.59,0.000820232
23/12/2010,36.56,0.001642486
22/12/2010,36.5,-0.017651511
21/12/2010,37.15,0.01957116
20/12/2010,36.43,0.001098599
17/12/2010,36.39,0.000274839
16/12/2010,36.38,0.021954474
15/12/2010,35.59,-0.005324379
14/12/2010,35.78,-0.002790959
13/12/2010,35.88,0.010647341
10/12/2010,35.5,0.008486614
09/12/2010,35.2,0.005698021
08/12/2010,35,0.004294924
07/12/2010,34.85,0.016782801
06/12/2010,34.27,0.006734032
03/12/2010,34.04,0.001764187
02/12/2010,33.98,0.013928214
01/12/2010,33.51,0.018371244
30/11/2010,32.9,0.003349067
29/11/2010,32.79,-0.009711761
26/11/2010,33.11,0.00060423
24/11/2010,33.09,0.017683388
