Date,Close,NRG
27/01/2012,16.68,-0.023697791
26/01/2012,17.08,-0.014530915
25/01/2012,17.33,0.049078723
24/01/2012,16.5,-0.007847912
23/01/2012,16.63,0.029288244
20/01/2012,16.15,-0.016580054
19/01/2012,16.42,-0.048732161
18/01/2012,17.24,0
17/01/2012,17.24,-0.025767243
13/01/2012,17.69,0.003397512
12/01/2012,17.63,0.002271438
11/01/2012,17.59,-0.002271438
10/01/2012,17.63,0.005118009
09/01/2012,17.54,-0.008515521
06/01/2012,17.69,-0.020146177
05/01/2012,18.05,0.003885656
04/01/2012,17.98,0.000556328
03/01/2012,17.97,-0.0083126
30/12/2011,18.12,-0.007148779
29/12/2011,18.25,0.004393198
28/12/2011,18.17,-0.022313851
27/12/2011,18.58,0.000538358
23/12/2011,18.57,-0.00483482
22/12/2011,18.66,0.001072386
21/12/2011,18.64,0.001073537
20/12/2011,18.62,0.05804337
19/12/2011,17.57,-0.041254456
16/12/2011,18.31,0.005476465
15/12/2011,18.21,0.011599136
14/12/2011,18,-0.021435281
13/12/2011,18.39,0.005452576
12/12/2011,18.29,-0.034393503
09/12/2011,18.93,0.017048895
08/12/2011,18.61,-0.048252674
07/12/2011,19.53,0.008226267
06/12/2011,19.37,-0.000516129
05/12/2011,19.38,0.000516129
02/12/2011,19.37,-0.015369155
01/12/2011,19.67,-0.000508259
30/11/2011,19.68,0.034637735
29/11/2011,19.01,0
28/11/2011,19.01,0.015907016
25/11/2011,18.71,-0.00320171
23/11/2011,18.77,-0.056447808
22/11/2011,19.86,-0.014992785
21/11/2011,20.16,-0.017699577
18/11/2011,20.52,-0.010664182
17/11/2011,20.74,-0.006248518
16/11/2011,20.87,-0.023207293
15/11/2011,21.36,-0.01071023
14/11/2011,21.59,-0.014712909
11/11/2011,21.91,0.0123997
10/11/2011,21.64,0.000924642
09/11/2011,21.62,-0.043002779
08/11/2011,22.57,0.027398974
07/11/2011,21.96,0.020239881
04/11/2011,21.52,-0.00786859
03/11/2011,21.69,0.032328887
02/11/2011,21,0.023609866
01/11/2011,20.51,-0.043412493
31/10/2011,21.42,-0.013447919
28/10/2011,21.71,-0.009626478
27/10/2011,21.92,0.051965822
26/10/2011,20.81,-0.005271999
25/10/2011,20.92,-0.02641663
24/10/2011,21.48,0.00233046
21/10/2011,21.43,0.02408617
20/10/2011,20.92,0.001435064
19/10/2011,20.89,-0.006679414
18/10/2011,21.03,0.024549969
17/10/2011,20.52,-0.02976696
14/10/2011,21.14,0.010939467
13/10/2011,20.91,-0.00381862
12/10/2011,20.99,0.010055148
11/10/2011,20.78,-0.00527959
10/10/2011,20.89,0.023735675
07/10/2011,20.4,-0.020859354
06/10/2011,20.83,0.015481683
05/10/2011,20.51,0.046914791
04/10/2011,19.57,-0.018228353
03/10/2011,19.93,-0.062246634
30/09/2011,21.21,-0.020070685
29/09/2011,21.64,0.019128178
28/09/2011,21.23,-0.021896985
27/09/2011,21.7,-0.010087202
26/09/2011,21.92,0.00732604
23/09/2011,21.76,0.002761161
22/09/2011,21.7,-0.030408515
21/09/2011,22.37,-0.02777344
20/09/2011,23,0.001305199
19/09/2011,22.97,-0.020254948
16/09/2011,23.44,-0.01482136
15/09/2011,23.79,0.025544173
14/09/2011,23.19,0.000431313
13/09/2011,23.18,0.010407726
12/09/2011,22.94,0.010076756
09/09/2011,22.71,-0.035895746
08/09/2011,23.54,-0.000424719
07/09/2011,23.55,0.032365285
06/09/2011,22.8,-0.015666117
02/09/2011,23.16,-0.016699168
01/09/2011,23.55,0.004681856
31/08/2011,23.44,0.036051678
30/08/2011,22.61,-0.001325967
29/08/2011,22.64,0.0327751
26/08/2011,21.91,0.014712909
25/08/2011,21.59,-0.032804764
24/08/2011,22.31,0.026801513
23/08/2011,21.72,0.024704123
22/08/2011,21.19,-0.008926533
19/08/2011,21.38,-0.018995243
18/08/2011,21.79,-0.021340197
17/08/2011,22.26,-0.008053735
16/08/2011,22.44,-0.018980927
15/08/2011,22.87,0.026585527
12/08/2011,22.27,-0.008050133
11/08/2011,22.45,0.065816249
10/08/2011,21.02,-0.021647904
09/08/2011,21.48,0.054041358
08/08/2011,20.35,-0.08520795
05/08/2011,22.16,0
04/08/2011,22.16,-0.065496997
03/08/2011,23.66,-0.00126716
02/08/2011,23.69,-0.031168116
01/08/2011,24.44,-0.003267977
29/07/2011,24.52,-0.013368641
28/07/2011,24.85,-0.010806589
27/07/2011,25.12,-0.001988468
26/07/2011,25.17,-0.009489988
25/07/2011,25.41,0.026317308
22/07/2011,24.75,-0.008048333
21/07/2011,24.95,0.015347636
20/07/2011,24.57,-0.00891416
19/07/2011,24.79,0.024501021
18/07/2011,24.19,-0.004537026
15/07/2011,24.3,0.008679534
14/07/2011,24.09,0.00415974
13/07/2011,23.99,0.011740177
12/07/2011,23.71,0.013588319
11/07/2011,23.39,-0.034044053
08/07/2011,24.2,-0.001238902
07/07/2011,24.23,0.009121125
06/07/2011,24.01,-0.008708328
05/07/2011,24.22,-0.023664915
01/07/2011,24.8,0.008910549
30/06/2011,24.58,0.011868361
29/06/2011,24.29,0.015767962
28/06/2011,23.91,0.036197267
27/06/2011,23.06,0.011338979
24/06/2011,22.8,-0.018684011
23/06/2011,23.23,-0.007291476
22/06/2011,23.4,-0.013582552
21/06/2011,23.72,0.009743775
20/06/2011,23.49,0.007692346
17/06/2011,23.31,0.014693436
16/06/2011,22.97,-0.003910498
15/06/2011,23.06,-0.029061874
14/06/2011,23.74,0.004644298
13/06/2011,23.63,-0.006748233
10/06/2011,23.79,-0.012946516
09/06/2011,24.1,-0.001658375
08/06/2011,24.14,0.009991757
07/06/2011,23.9,0.004192878
06/06/2011,23.8,-0.003774381
03/06/2011,23.89,-0.005843088
02/06/2011,24.03,-0.011584739
01/06/2011,24.31,-0.018341659
31/05/2011,24.76,0.006889592
27/05/2011,24.59,-0.004868164
26/05/2011,24.71,0.000404776
25/05/2011,24.7,0.004463387
24/05/2011,24.59,-0.004463387
23/05/2011,24.7,-0.022814678
20/05/2011,25.27,0.013947227
19/05/2011,24.92,0.005633818
18/05/2011,24.78,0.005665738
17/05/2011,24.64,-0.002027165
16/05/2011,24.69,0.006909192
13/05/2011,24.52,-0.010144132
12/05/2011,24.77,-0.004029014
11/05/2011,24.87,-0.003211564
10/05/2011,24.95,0.023520955
09/05/2011,24.37,0.011556051
06/05/2011,24.09,0.015478242
05/05/2011,23.72,-0.003787086
04/05/2011,23.81,-0.000839631
03/05/2011,23.83,-0.012096081
02/05/2011,24.12,-0.003311261
29/04/2011,24.2,0.011219731
28/04/2011,23.93,0.001254443
27/04/2011,23.9,0.024138373
26/04/2011,23.33,0.032675527
25/04/2011,22.58,-0.0123241
21/04/2011,22.86,0.017652709
20/04/2011,22.46,0.026162972
19/04/2011,21.88,0.017985267
18/04/2011,21.49,-0.007879531
15/04/2011,21.66,0.014883996
14/04/2011,21.34,0.0014068
13/04/2011,21.31,-0.0014068
12/04/2011,21.34,-0.006073366
11/04/2011,21.47,-0.002326123
08/04/2011,21.52,-0.012927235
07/04/2011,21.8,0.02226437
06/04/2011,21.32,0.00942514
05/04/2011,21.12,-0.012235447
04/04/2011,21.38,-0.012549549
01/04/2011,21.65,0.005093783
31/03/2011,21.54,-0.013831479
30/03/2011,21.84,0.011049836
29/03/2011,21.6,0.01492565
28/03/2011,21.28,-0.002346868
25/03/2011,21.33,0.008947552
24/03/2011,21.14,0.002842257
23/03/2011,21.08,-0.000948317
22/03/2011,21.1,0.011439591
21/03/2011,20.86,0.006734032
18/03/2011,20.72,0.010674531
17/03/2011,20.5,0.014247355
16/03/2011,20.21,0.003966292
15/03/2011,20.13,-0.001985112
14/03/2011,20.17,0.019019592
11/03/2011,19.79,0.025589933
10/03/2011,19.29,-0.025084499
09/03/2011,19.78,0.01169604
08/03/2011,19.55,0.017023883
07/03/2011,19.22,-0.008290203
04/03/2011,19.38,-0.002576657
03/03/2011,19.43,0.003609182
02/03/2011,19.36,-0.008230499
01/03/2011,19.52,-0.023792568
28/02/2011,19.99,0.022256862
25/02/2011,19.55,0.012870191
24/02/2011,19.3,-0.025576842
23/02/2011,19.8,-0.00854921
22/02/2011,19.97,-0.045039428
18/02/2011,20.89,0.002396359
17/02/2011,20.84,0.003846159
16/02/2011,20.76,-0.005763705
15/02/2011,20.88,0.012045436
14/02/2011,20.63,-0.013002832
11/02/2011,20.9,0.001915709
10/02/2011,20.86,0.0086664
09/02/2011,20.68,-0.002897153
08/02/2011,20.74,-0.020520882
07/02/2011,21.17,0.021003159
04/02/2011,20.73,-0.026185738
03/02/2011,21.28,0.024739606
02/02/2011,20.76,-0.006242517
01/02/2011,20.89,0.006724329
31/01/2011,20.75,-0.011499887
28/01/2011,20.99,-0.025401178
27/01/2011,21.53,0.021597084
26/01/2011,21.07,0.01049628
25/01/2011,20.85,0.006737273
24/01/2011,20.71,0.004840281
21/01/2011,20.61,0.007304634
20/01/2011,20.46,0.020242607
19/01/2011,20.05,-0.007453451
18/01/2011,20.2,-0.00197824
14/01/2011,20.24,0.000494193
13/01/2011,20.23,0.005452306
12/01/2011,20.12,-0.00297767
11/01/2011,20.18,0.020526378
10/01/2011,19.77,0.007106629
07/01/2011,19.63,0.005619427
06/01/2011,19.52,-0.006128722
05/01/2011,19.64,-0.010131799
04/01/2011,19.84,0.000504159
03/01/2011,19.83,0.014732296
31/12/2010,19.54,-0.00051164
30/12/2010,19.55,-0.000511378
29/12/2010,19.56,0.017015105
28/12/2010,19.23,0.003125003
27/12/2010,19.17,-0.001042753
23/12/2010,19.19,0.004700975
22/12/2010,19.1,0.021699714
21/12/2010,18.69,-0.000534902
20/12/2010,18.7,0.001605566
17/12/2010,18.67,0.019470599
16/12/2010,18.31,-0.010863768
15/12/2010,18.51,-0.009142306
14/12/2010,18.68,-0.003206844
13/12/2010,18.74,0.002136753
10/12/2010,18.7,-0.002670229
09/12/2010,18.75,0.007494682
08/12/2010,18.61,-0.012813843
07/12/2010,18.85,-0.012651724
06/12/2010,19.09,-0.003138078
03/12/2010,19.15,-0.002086594
02/12/2010,19.19,0.001564537
01/12/2010,19.16,-0.011416834
30/11/2010,19.38,-0.00873368
29/11/2010,19.55,-0.003574168
26/11/2010,19.62,-0.007110238
24/11/2010,19.76,0.018386626
23/11/2010,19.4,-0.009235571
22/11/2010,19.58,0.011816218
19/11/2010,19.35,-0.008747162
18/11/2010,19.52,0.002564762
17/11/2010,19.47,0.00154202
16/11/2010,19.44,-0.017843961
15/11/2010,19.79,0.009137119
12/11/2010,19.61,-0.027660803
11/11/2010,20.16,0.00447428
10/11/2010,20.07,-0.006951369
09/11/2010,20.21,0.001981179
08/11/2010,20.17,0.003476537
05/11/2010,20.1,0.008493681
04/11/2010,19.93,-0.005504142
03/11/2010,20.04,0.007513183
02/11/2010,19.89,0.007570059
01/11/2010,19.74,-0.008575084
29/10/2010,19.91,0.006045358
28/10/2010,19.79,-0.006045358
27/10/2010,19.91,-0.011485769
26/10/2010,20.14,-0.001984128
25/10/2010,20.18,-0.002968829
22/10/2010,20.24,-0.004928546
21/10/2010,20.34,-0.01027155
20/10/2010,20.55,0.00438918
19/10/2010,20.46,-0.019361689
18/10/2010,20.86,0
15/10/2010,20.86,-0.001915709
14/10/2010,20.9,-0.015194974
13/10/2010,21.22,0.01137453
12/10/2010,20.98,-0.007597377
11/10/2010,21.14,-0.008009466
08/10/2010,21.31,-0.008411265
07/10/2010,21.49,0.001863065
06/10/2010,21.45,0.008897272
05/10/2010,21.26,0.021874386
04/10/2010,20.8,-0.013846008
01/10/2010,21.09,0.012884931
30/09/2010,20.82,0.000480423
29/09/2010,20.81,-0.003836935
28/09/2010,20.89,0.009136875
27/09/2010,20.7,-0.002412546
24/09/2010,20.75,0.007255171
23/09/2010,20.6,-0.019707439
22/09/2010,21.01,-0.004748347
21/09/2010,21.11,-0.007080511
20/09/2010,21.26,-0.013084299
17/09/2010,21.54,-0.001391789
16/09/2010,21.57,-0.004163781
15/09/2010,21.66,0.000461787
14/09/2010,21.65,-0.010567523
13/09/2010,21.88,0.001829827
10/09/2010,21.84,0.002292002
09/09/2010,21.79,0.01946308
08/09/2010,21.37,0.00469044
07/09/2010,21.27,-0.017707825
03/09/2010,21.65,0.00277521
02/09/2010,21.59,0.025804857
01/09/2010,21.04,0.034819765
31/08/2010,20.32,0
30/08/2010,20.32,-0.015140704
27/08/2010,20.63,0.018097828
26/08/2010,20.26,-0.010311901
25/08/2010,20.47,0.007354777
24/08/2010,20.32,-0.023828018
23/08/2010,20.81,0.003851714
20/08/2010,20.73,-0.026655552
19/08/2010,21.29,-0.02321367
18/08/2010,21.79,-0.007315991
17/08/2010,21.95,0.001367677
16/08/2010,21.92,-0.001823155
13/08/2010,21.96,-0.020284671
12/08/2010,22.41,-0.007114303
11/08/2010,22.57,-0.022778033
10/08/2010,23.09,0.00260191
09/08/2010,23.03,0.001738375
06/08/2010,22.99,-0.010385208
05/08/2010,23.23,0.001723396
04/08/2010,23.19,-0.002153781
03/08/2010,23.24,0.010380716
02/08/2010,23,0.014010737
30/07/2010,22.68,0.011530061
29/07/2010,22.42,-0.032904921
