Date,Close,TWX
18/01/2012,37.39,0.002141902
17/01/2012,37.31,0.001072674
13/01/2012,37.27,-0.009081259
12/01/2012,37.61,0.006669359
11/01/2012,37.36,0.01049384
10/01/2012,36.97,0.004337226
09/01/2012,36.81,0.007088361
06/01/2012,36.55,-0.006544883
05/01/2012,36.79,0.008187819
04/01/2012,36.49,0.004394404
03/01/2012,36.33,0.005243561
30/12/2011,36.14,-0.006618888
29/12/2011,36.38,0.013281878
28/12/2011,35.9,-0.002225933
27/12/2011,35.98,0.000556019
23/12/2011,35.96,0.018807572
22/12/2011,35.29,0.008251576
21/12/2011,35,0.008032172
20/12/2011,34.72,0.034577133
19/12/2011,33.54,-0.030825867
16/12/2011,34.59,0.020739753
15/12/2011,33.88,0.002068253
14/12/2011,33.81,-0.000591366
13/12/2011,33.83,-0.012046568
12/12/2011,34.24,-0.010459131
09/12/2011,34.6,0.019554103
08/12/2011,33.93,-0.02761402
07/12/2011,34.88,0.004597709
06/12/2011,34.72,0.004329636
05/12/2011,34.57,0.004639034
02/12/2011,34.41,0.005829221
01/12/2011,34.21,-0.017673935
30/11/2011,34.82,0.042235016
29/11/2011,33.38,0.002099266
28/11/2011,33.31,0.02893456
25/11/2011,32.36,0.005888751
23/11/2011,32.17,-0.017257747
22/11/2011,32.73,-0.013655196
21/11/2011,33.18,-0.012876357
18/11/2011,33.61,0.008665824
17/11/2011,33.32,-0.019614299
16/11/2011,33.98,-0.022695184
15/11/2011,34.76,0.004035751
14/11/2011,34.62,-0.016898583
11/11/2011,35.21,0.030274764
10/11/2011,34.16,0.012371292
09/11/2011,33.74,-0.044632154
08/11/2011,35.28,0.0102565
07/11/2011,34.92,0.013841051
04/11/2011,34.44,0.001162115
03/11/2011,34.4,0.024423753
02/11/2011,33.57,-0.008010724
01/11/2011,33.84,-0.033418772
31/10/2011,34.99,-0.013624962
28/10/2011,35.47,-0.009260625
27/10/2011,35.8,0.03293881
26/10/2011,34.64,0.018354485
25/10/2011,34.01,-0.026118722
24/10/2011,34.91,0.004018375
21/10/2011,34.77,0.034824294
20/10/2011,33.58,0.003878865
19/10/2011,33.45,-0.009224883
18/10/2011,33.76,0.023678613
17/10/2011,32.97,-0.016842503
14/10/2011,33.53,0.016539243
13/10/2011,32.98,0.002124754
12/10/2011,32.91,0.014384334
11/10/2011,32.44,0.009602056
10/10/2011,32.13,0.040653423
07/10/2011,30.85,-0.014161807
06/10/2011,31.29,0.011248713
05/10/2011,30.94,0.029187184
04/10/2011,30.05,0.036947093
03/10/2011,28.96,-0.034281314
30/09/2011,29.97,-0.024065773
29/09/2011,30.7,-0.002602474
28/09/2011,30.78,-0.030082268
27/09/2011,31.72,0.031057403
26/09/2011,30.75,0.028366018
23/09/2011,29.89,0.03333642
22/09/2011,28.91,-0.036676437
21/09/2011,29.99,-0.040194922
20/09/2011,31.22,0.014518726
19/09/2011,30.77,-0.006155859
16/09/2011,30.96,0.002263542
15/09/2011,30.89,0.032239634
14/09/2011,29.91,0.015838579
13/09/2011,29.44,0.008185585
12/09/2011,29.2,0.010673195
09/09/2011,28.89,-0.032354261
08/09/2011,29.84,-0.029064133
07/09/2011,30.72,0.024049916
06/09/2011,29.99,-0.020136016
02/09/2011,30.6,-0.022618089
01/09/2011,31.3,-0.011435957
31/08/2011,31.66,0.012714729
30/08/2011,31.26,0.007707167
29/08/2011,31.02,0.036105005
26/08/2011,29.92,0.024016037
25/08/2011,29.21,-0.021338659
24/08/2011,29.84,0.032700461
23/08/2011,28.88,0.040273899
22/08/2011,27.74,-0.005751274
19/08/2011,27.9,-0.024080484
18/08/2011,28.58,-0.06403542
17/08/2011,30.47,0.002958096
16/08/2011,30.38,0.001647175
15/08/2011,30.33,0.016287546
12/08/2011,29.84,0.003693138
11/08/2011,29.73,0.022449922
10/08/2011,29.07,-0.047364016
09/08/2011,30.48,0.019546755
08/08/2011,29.89,-0.060053739
05/08/2011,31.74,-0.008782992
04/08/2011,32.02,-0.047272103
03/08/2011,33.57,-0.012727714
02/08/2011,34,-0.031270643
01/08/2011,35.08,-0.002277905
29/07/2011,35.16,-0.016920877
28/07/2011,35.76,-0.013609431
27/07/2011,36.25,-0.012064857
26/07/2011,36.69,-0.000272517
25/07/2011,36.7,0
22/07/2011,36.7,0.010408201
21/07/2011,36.32,0.023963253
20/07/2011,35.46,0.000282048
19/07/2011,35.45,0.018505866
18/07/2011,34.8,-0.023570593
15/07/2011,35.63,-0.003641971
14/07/2011,35.76,-0.001397234
13/07/2011,35.81,0.011515364
12/07/2011,35.4,-0.014860781
