Date,Close,LLTC
23/05/2013,37.04,-0.006994917
22/05/2013,37.3,-0.009073988
21/05/2013,37.64,-0.001857997
20/05/2013,37.71,-0.009238551
17/05/2013,38.06,0.008443322
16/05/2013,37.74,-0.005021816
15/05/2013,37.93,-0.005259018
14/05/2013,38.13,0.007106228
13/05/2013,37.86,-0.013641345
10/05/2013,38.38,0.006797412
09/05/2013,38.12,0.000787298
08/05/2013,38.09,0.006849342
07/05/2013,37.83,0.001057921
06/05/2013,37.79,0.01278313
03/05/2013,37.31,0.009154614
02/05/2013,36.97,0.023813908
01/05/2013,36.1,-0.011019395
30/04/2013,36.5,0.019643736
29/04/2013,35.79,0.008699367
26/04/2013,35.48,-0.007021515
25/04/2013,35.73,0.004488086
24/04/2013,35.57,0.003943667
23/04/2013,35.43,0.012210857
22/04/2013,35,0.011205404
19/04/2013,34.61,-0.002308803
18/04/2013,34.69,-0.012319308
17/04/2013,35.12,-0.043460879
16/04/2013,36.68,0.017602215
15/04/2013,36.04,-0.017874806
12/04/2013,36.69,-0.005436273
11/04/2013,36.89,0.004891314
10/04/2013,36.71,0.015925652
09/04/2013,36.13,0.007222254
08/04/2013,35.87,0.006432689
05/04/2013,35.64,-0.001401935
04/04/2013,35.69,-0.000840219
03/04/2013,35.72,-0.030873455
02/04/2013,36.84,-0.004603935
01/04/2013,37.01,-0.036087758
28/03/2013,38.37,0.0110064
27/03/2013,37.95,0.001318392
26/03/2013,37.9,0.015689725
25/03/2013,37.31,-0.002141902
22/03/2013,37.39,0.011026063
21/03/2013,36.98,-0.014230338
20/03/2013,37.51,0.008298803
19/03/2013,37.2,-0.001074691
18/03/2013,37.24,-0.012807005
15/03/2013,37.72,-0.018647947
14/03/2013,38.43,0.004694844
13/03/2013,38.25,0.000523013
12/03/2013,38.23,-0.001568218
11/03/2013,38.29,-0.003389392
08/03/2013,38.42,0.001562907
07/03/2013,38.36,-0.003123376
06/03/2013,38.48,0.002341617
05/03/2013,38.39,0.016546668
04/03/2013,37.76,-0.003964588
01/03/2013,37.91,-0.008928631
28/02/2013,38.25,0.000261472
27/02/2013,38.24,0.012366951
26/02/2013,37.77,0.010379335
25/02/2013,37.38,-0.01381531
22/02/2013,37.9,0.014618201
21/02/2013,37.35,-0.019881371
20/02/2013,38.1,-0.012519725
19/02/2013,38.58,0.016991652
15/02/2013,37.93,0.00184721
14/02/2013,37.86,0.001321528
13/02/2013,37.81,0.002118084
12/02/2013,37.73,0.001060727
11/02/2013,37.69,0.001327493
08/02/2013,37.64,0.017960542
07/02/2013,36.97,-0.006201988
06/02/2013,37.2,-0.00053749
05/02/2013,37.22,0.011892032
04/02/2013,36.78,-0.006504088
01/02/2013,37.02,0.010863768
31/01/2013,36.62,-0.005446637
30/01/2013,36.82,0.005992935
29/01/2013,36.6,-0.004362057
28/01/2013,36.76,0.001633542
25/01/2013,36.7,0.008757582
24/01/2013,36.38,-0.00548247
23/01/2013,36.58,0.00548247
