Date,Close,EBAY
17/05/2011,32.65,0.008612788
16/05/2011,32.37,-0.036400743
13/05/2011,33.57,-0.000297841
12/05/2011,33.58,0.008072999
11/05/2011,33.31,-0.018441927
10/05/2011,33.93,0.024162249
09/05/2011,33.12,0.012150818
06/05/2011,32.72,0.001223242
05/05/2011,32.68,-0.010047276
04/05/2011,33.01,-0.015928211
03/05/2011,33.54,-0.002977079
02/05/2011,33.64,-0.022049989
29/04/2011,34.39,0.0114053
28/04/2011,34,-0.000881964
27/04/2011,34.03,0.028313618
26/04/2011,33.08,0.003634165
25/04/2011,32.96,0.031122524
21/04/2011,31.95,0.005964544
20/04/2011,31.76,0.019393391
19/04/2011,31.15,0
18/04/2011,31.15,-0.014659281
15/04/2011,31.61,0.024336776
14/04/2011,30.85,0.005851772
13/04/2011,30.67,-0.000977676
12/04/2011,30.7,-0.015834876
11/04/2011,31.19,0.001604364
08/04/2011,31.14,-0.012446307
07/04/2011,31.53,-0.010097908
06/04/2011,31.85,0.000314021
05/04/2011,31.84,0.01423399
04/04/2011,31.39,0.000956175
01/04/2011,31.36,0.0102565
31/03/2011,31.04,-0.018829342
30/03/2011,31.63,0.017541512
29/03/2011,31.08,0.024097552
28/03/2011,30.34,-0.043849707
25/03/2011,31.7,-0.001890955
24/03/2011,31.76,0.034922658
23/03/2011,30.67,0.014781021
22/03/2011,30.22,-0.011842244
21/03/2011,30.58,0.003603608
18/03/2011,30.47,0.017213268
17/03/2011,29.95,0.007372688
16/03/2011,29.73,-0.023600896
15/03/2011,30.44,-0.010782656
14/03/2011,30.77,-0.004863034
11/03/2011,30.92,-0.005161302
10/03/2011,31.08,-0.008011579
09/03/2011,31.33,-0.010793756
08/03/2011,31.67,0.005382315
07/03/2011,31.5,-0.016060808
04/03/2011,32.01,-0.028335742
03/03/2011,32.93,0.007620826
02/03/2011,32.68,0.012005685
01/03/2011,32.29,-0.037086317
28/02/2011,33.51,-0.003574624
25/02/2011,33.63,0.016187404
24/02/2011,33.09,0.007279377
23/02/2011,32.85,-0.024061311
22/02/2011,33.65,-0.025815455
18/02/2011,34.53,-0.00462295
17/02/2011,34.69,0.00665223
16/02/2011,34.46,0
15/02/2011,34.46,0.017564854
14/02/2011,33.86,-0.01901476
11/02/2011,34.51,0.00057971
10/02/2011,34.49,0.076497246
09/02/2011,31.95,-0.021366349
08/02/2011,32.64,0.012330612
07/02/2011,32.24,0.000930954
04/02/2011,32.21,0.00497978
03/02/2011,32.05,0.005318329
02/02/2011,31.88,0.007556711
01/02/2011,31.64,0.04129619
31/01/2011,30.36,0.001648261
28/01/2011,30.31,-0.021218358
27/01/2011,30.96,-0.003224769
26/01/2011,31.06,0.004841062
25/01/2011,30.91,0.013025257
24/01/2011,30.51,0.016190673
21/01/2011,30.02,-0.025001302
20/01/2011,30.78,0.056126954
19/01/2011,29.1,-0.011955736
18/01/2011,29.45,0.009210367
14/01/2011,29.18,0.016238049
13/01/2011,28.71,-0.004171018
12/01/2011,28.83,0.01643681
11/01/2011,28.36,0.003532324
10/01/2011,28.26,0.020014964
07/01/2011,27.7,-0.025660709
06/01/2011,28.42,-0.01084875
05/01/2011,28.73,0.009090972
04/01/2011,28.47,-0.007349114
03/01/2011,28.68,0.03008544
31/12/2010,27.83,-0.010722047
30/12/2010,28.13,-0.008143079
29/12/2010,28.36,0.000352671
28/12/2010,28.35,0.001411931
27/12/2010,28.31,-0.00035317
23/12/2010,28.32,-0.008788947
22/12/2010,28.57,-0.002796227
21/12/2010,28.65,-0.031945014
20/12/2010,29.58,-0.008080852
17/12/2010,29.82,-0.023530497
16/12/2010,30.53,0.011199063
15/12/2010,30.19,-0.018379251
14/12/2010,30.75,0.015402566
13/12/2010,30.28,-0.01344944
10/12/2010,30.69,0.011140351
09/12/2010,30.35,0.006611594
08/12/2010,30.15,0.004987542
07/12/2010,30,0.017146159
06/12/2010,29.49,-0.004060919
03/12/2010,29.61,-0.010080731
02/12/2010,29.91,0.021971477
01/12/2010,29.26,0.004109595
30/11/2010,29.14,-0.036723008
29/11/2010,30.23,-0.029979436
26/11/2010,31.15,-0.001924311
24/11/2010,31.21,0.033559103
23/11/2010,30.18,-0.015126892
22/11/2010,30.64,0.011158632
19/11/2010,30.3,-0.008871423
18/11/2010,30.57,0.014165943
17/11/2010,30.14,0.012352018
16/11/2010,29.77,-0.009694209
15/11/2010,30.06,-0.002657809
12/11/2010,30.14,-0.021336769
11/11/2010,30.79,-0.004536625
10/11/2010,30.93,0.01301678
09/11/2010,30.53,-0.010102742
08/11/2010,30.84,-0.00097229
05/11/2010,30.87,0.023599915
04/11/2010,30.15,0.001327581
03/11/2010,30.11,0.001329345
02/11/2010,30.07,0.023894793
01/11/2010,29.36,-0.016886588
29/10/2010,29.86,0.004699572
28/10/2010,29.72,0.014915531
