Date,Close,ADP
29/09/2010,42.12,-0.00851069
28/09/2010,42.48,0.008985636
27/09/2010,42.1,-0.012745039
24/09/2010,42.64,0.024211959
23/09/2010,41.62,-0.006943641
22/09/2010,41.91,0.003585518
21/09/2010,41.76,-0.006444705
20/09/2010,42.03,0.01679502
17/09/2010,41.33,0.004850846
16/09/2010,41.13,-0.001700474
15/09/2010,41.2,0.015902476
14/09/2010,40.55,0.003458501
13/09/2010,40.41,0.007700945
10/09/2010,40.1,0.004498883
09/09/2010,39.92,0.006534328
08/09/2010,39.66,-0.000504159
07/09/2010,39.68,-0.010030174
03/09/2010,40.08,0.00977819
02/09/2010,39.69,0.008095162
01/09/2010,39.37,0.019492795
31/08/2010,38.61,-0.005681833
30/08/2010,38.83,-0.013556928
27/08/2010,39.36,0.015619316
26/08/2010,38.75,-0.004634406
25/08/2010,38.93,0.003087216
24/08/2010,38.81,-0.006164931
23/08/2010,39.05,-0.00892294
20/08/2010,39.4,-0.001268231
19/08/2010,39.45,-0.019330337
18/08/2010,40.22,-0.00322701
17/08/2010,40.35,0.00696347
16/08/2010,40.07,0.0070123
13/08/2010,39.79,-0.00526383
12/08/2010,40,-0.009950331
11/08/2010,40.4,-0.023484445
10/08/2010,41.36,-0.009864148
09/08/2010,41.77,0.004799625
06/08/2010,41.57,-0.008622808
05/08/2010,41.93,-0.004995847
04/08/2010,42.14,0.003089723
03/08/2010,42.01,0.001429252
02/08/2010,41.95,0.016342589
30/07/2010,41.27,-0.0012108
29/07/2010,41.32,-0.018701096
28/07/2010,42.1,0.001426195
27/07/2010,42.04,-0.00023784
26/07/2010,42.05,0.003812251
23/07/2010,41.89,0.010318028
22/07/2010,41.46,0.029619103
21/07/2010,40.25,-0.028895252
20/07/2010,41.43,0.009945503
19/07/2010,41.02,0.009553043
16/07/2010,40.63,-0.02647392
15/07/2010,41.72,0.000479501
14/07/2010,41.7,0.005048694
13/07/2010,41.49,0.012368292
12/07/2010,40.98,0.006364771
09/07/2010,40.72,0.008632437
08/07/2010,40.37,0.003971214
07/07/2010,40.21,0.02009613
06/07/2010,39.41,-0.000507357
02/07/2010,39.43,-0.007076097
01/07/2010,39.71,-0.013755375
30/06/2010,40.26,-0.003223809
29/06/2010,40.39,-0.013036712
28/06/2010,40.92,0.001467352
25/06/2010,40.86,0.006876255
24/06/2010,40.58,-0.011759077
23/06/2010,41.06,-0.001946473
22/06/2010,41.14,-0.013520245
21/06/2010,41.7,-0.013813032
18/06/2010,42.28,-0.003070022
17/06/2010,42.41,0
16/06/2010,42.41,-0.005174047
15/06/2010,42.63,0.017511096
14/06/2010,41.89,0.00143335
11/06/2010,41.83,-0.00453191
10/06/2010,42.02,0.027994106
09/06/2010,40.86,-0.005369796
08/06/2010,41.08,0.026391962
07/06/2010,40.01,-0.011184409
04/06/2010,40.46,-0.036402952
03/06/2010,41.96,0.011746509
02/06/2010,41.47,0.023915244
01/06/2010,40.49,-0.009585916
28/05/2010,40.88,-0.006825965
27/05/2010,41.16,0.030839992
26/05/2010,39.91,-0.005746424
25/05/2010,40.14,-0.003481724
24/05/2010,40.28,-0.008405488
21/05/2010,40.62,0.007412932
20/05/2010,40.32,-0.03101213
19/05/2010,41.59,-0.003360541
18/05/2010,41.73,-0.009302393
17/05/2010,42.12,0.007626348
14/05/2010,41.8,-0.015430573
13/05/2010,42.45,-0.013338211
12/05/2010,43.02,0.012161048
11/05/2010,42.5,0.000470699
10/05/2010,42.48,0.021895211
07/05/2010,41.56,0.003615769
06/05/2010,41.41,-0.029739315
05/05/2010,42.66,-0.004677277
04/05/2010,42.86,-0.018722377
03/05/2010,43.67,0.00689341
30/04/2010,43.37,-0.023246261
29/04/2010,44.39,0.005647818
28/04/2010,44.14,-0.006323418
27/04/2010,44.42,-0.020279246
26/04/2010,45.33,-0.003303604
23/04/2010,45.48,0.009055832
22/04/2010,45.07,0.000221902
21/04/2010,45.06,0.000666001
20/04/2010,45.03,0.006908105
19/04/2010,44.72,0.009661911
16/04/2010,44.29,-0.008767056
15/04/2010,44.68,0.011253776
14/04/2010,44.18,0.005219574
13/04/2010,43.95,-0.005898384
12/04/2010,44.21,-0.001130327
09/04/2010,44.26,0.008622699
08/04/2010,43.88,-0.001138823
07/04/2010,43.93,-0.00816146
06/04/2010,44.29,-0.002255301
05/04/2010,44.39,0.004742021
01/04/2010,44.18,-0.006542607
31/03/2010,44.47,-0.002694814
30/03/2010,44.59,0.001121957
29/03/2010,44.54,0.006758305
26/03/2010,44.24,0.005894372
25/03/2010,43.98,-0.008152219
24/03/2010,44.34,-0.012773283
23/03/2010,44.91,0.001782929
22/03/2010,44.83,0.005143699
19/03/2010,44.6,-0.00268697
18/03/2010,44.72,0.000671066
17/03/2010,44.69,0.009894391
16/03/2010,44.25,0.000226014
15/03/2010,44.24,0.009767255
12/03/2010,43.81,-0.002735356
11/03/2010,43.93,0.001138823
10/03/2010,43.88,0.004797268
09/03/2010,43.67,0.01197895
08/03/2010,43.15,-0.000695008
05/03/2010,43.18,0.034636517
04/03/2010,41.71,-0.004783554
03/03/2010,41.91,0.001432665
02/03/2010,41.85,-0.00286328
01/03/2010,41.97,0.008614554
26/02/2010,41.61,-0.002400385
25/02/2010,41.71,-0.012626731
24/02/2010,42.24,0.024929383
23/02/2010,41.2,-0.009661911
22/02/2010,41.6,0.000962001
19/02/2010,41.56,0.008942658
18/02/2010,41.19,-0.006533599
17/02/2010,41.46,0.003866607
16/02/2010,41.3,0.017340769
12/02/2010,40.59,-0.007608332
11/02/2010,40.9,0.005393492
10/02/2010,40.68,-0.000491521
09/02/2010,40.7,0.007398307
08/02/2010,40.4,0.002974717
05/02/2010,40.28,-0.002479545
04/02/2010,40.38,-0.010347469
03/02/2010,40.8,-0.00927062
02/02/2010,41.18,0.002674774
01/02/2010,41.07,0.006840975
29/01/2010,40.79,0.002700382
28/01/2010,40.68,-0.008323181
27/01/2010,41.02,-0.000974659
26/01/2010,41.06,-0.005101432
25/01/2010,41.27,0.002426008
22/01/2010,41.17,-0.023524849
21/01/2010,42.15,-0.004497581
20/01/2010,42.34,-0.013372633
19/01/2010,42.91,0.015027284
15/01/2010,42.27,-0.005426461
14/01/2010,42.5,-0.002819551
13/01/2010,42.62,0.007300162
12/01/2010,42.31,-0.007065503
11/01/2010,42.61,0.004469018
08/01/2010,42.42,-0.001413428
07/01/2010,42.48,-0.000470699
06/01/2010,42.5,-0.002350177
05/01/2010,42.6,-0.005384538
04/01/2010,42.83,0.000233508
31/12/2009,42.82,-0.010223137
30/12/2009,43.26,0.000925069
29/12/2009,43.22,0.001157542
28/12/2009,43.17,0.003713163
24/12/2009,43.01,0.004894544
23/12/2009,42.8,-0.002566796
22/12/2009,42.91,0.003267977
21/12/2009,42.77,0.009632402
18/12/2009,42.36,0.00189036
17/12/2009,42.28,-0.014324538
16/12/2009,42.89,-0.000233127
15/12/2009,42.9,-0.004651171
14/12/2009,43.1,0.001393081
11/12/2009,43.04,-0.003710579
10/12/2009,43.2,0.002781643
09/12/2009,43.08,0.001393728
08/12/2009,43.02,-0.019793512
07/12/2009,43.88,0.004339392
04/12/2009,43.69,0.011510256
03/12/2009,43.19,-0.01402483
02/12/2009,43.8,-0.000912825
01/12/2009,43.84,0.008935791
30/11/2009,43.45,-0.001839504
27/11/2009,43.53,-0.010739278
25/11/2009,44,0.000227299
24/11/2009,43.99,-0.005667022
23/11/2009,44.24,0.018018506
20/11/2009,43.45,0.000230176
19/11/2009,43.44,-0.008481426
