Date,Close,RDC
14/06/2011,36.97,0.024922555
13/06/2011,36.06,-0.015137209
10/06/2011,36.61,-0.027214397
09/06/2011,37.62,0.028034181
08/06/2011,36.58,-0.012766709
07/06/2011,37.05,0.002161579
06/06/2011,36.97,-0.038991811
03/06/2011,38.44,-0.003894591
02/06/2011,38.59,0.011467418
01/06/2011,38.15,-0.03856519
31/05/2011,39.65,-0.002015622
27/05/2011,39.73,-0.006022603
26/05/2011,39.97,-0.0015
25/05/2011,40.03,0.029921096
24/05/2011,38.85,0.015041777
23/05/2011,38.27,-0.027829675
20/05/2011,39.35,0.002289786
19/05/2011,39.26,-0.004827858
18/05/2011,39.45,0.044578513
17/05/2011,37.73,-0.00607744
16/05/2011,37.96,-0.002105264
13/05/2011,38.04,0.003951013
12/05/2011,37.89,0.010612994
11/05/2011,37.49,-0.028659777
10/05/2011,38.58,0.010946161
09/05/2011,38.16,0.014252023
06/05/2011,37.62,0.000797766
05/05/2011,37.59,-0.00874062
04/05/2011,37.92,-0.020619287
03/05/2011,38.71,-0.045944476
02/05/2011,40.53,-0.028458688
29/04/2011,41.7,0.018149319
28/04/2011,40.95,0.001710864
27/04/2011,40.88,-0.019860183
26/04/2011,41.7,-0.002634417
25/04/2011,41.81,-0.009521614
21/04/2011,42.21,0.004035614
20/04/2011,42.04,0.019940601
19/04/2011,41.21,0.031803494
18/04/2011,39.92,-0.02008747
15/04/2011,40.73,-0.001472032
14/04/2011,40.79,0.001717581
13/04/2011,40.72,0.002212662
12/04/2011,40.63,-0.015144403
11/04/2011,41.25,-0.031263732
08/04/2011,42.56,0.000705136
07/04/2011,42.53,-0.006094721
06/04/2011,42.79,-0.026975699
05/04/2011,43.96,0.000455063
04/04/2011,43.94,-0.005673452
01/04/2011,44.19,0.000226321
31/03/2011,44.18,0.029633499
30/03/2011,42.89,-0.013202276
29/03/2011,43.46,0.050736373
28/03/2011,41.31,-0.00096782
25/03/2011,41.35,-0.008908209
24/03/2011,41.72,0.00842465
23/03/2011,41.37,-0.019390195
22/03/2011,42.18,-0.011081099
21/03/2011,42.65,0.05345519
18/03/2011,40.43,-0.026362278
17/03/2011,41.51,0.046600321
