Date,Close,VNO
08/02/2011,87,-0.00264019
07/02/2011,87.23,0.011646139
04/02/2011,86.22,-0.010269519
03/02/2011,87.11,0.000574152
02/02/2011,87.06,-0.013689468
01/02/2011,88.26,0.001927985
31/01/2011,88.09,0.010384072
28/01/2011,87.18,-0.016833883
27/01/2011,88.66,0.017637141
26/01/2011,87.11,-0.000459084
25/01/2011,87.15,0.008874604
24/01/2011,86.38,-0.002659115
21/01/2011,86.61,0.000924108
20/01/2011,86.53,0.010689076
19/01/2011,85.61,-0.015991071
18/01/2011,86.99,0.009587137
14/01/2011,86.16,0.020994145
13/01/2011,84.37,0.003800028
12/01/2011,84.05,0.011728234
11/01/2011,83.07,-0.00408458
10/01/2011,83.41,-0.003112284
07/01/2011,83.67,-0.00095568
06/01/2011,83.75,-0.006664311
05/01/2011,84.31,0.003683683
04/01/2011,84,-0.016763467
03/01/2011,85.42,0.024771637
31/12/2010,83.33,-0.004549816
30/12/2010,83.71,-0.003458354
29/12/2010,84,0.008848557
28/12/2010,83.26,0.002766253
27/12/2010,83.03,0.011142177
23/12/2010,82.11,-0.004738482
22/12/2010,82.5,0.008765578
21/12/2010,81.78,0.01391391
20/12/2010,80.65,0.009342952
17/12/2010,79.9,-0.002250282
16/12/2010,80.08,-0.003117015
15/12/2010,80.33,-0.015195796
14/12/2010,81.56,-0.006599071
13/12/2010,82.1,0.004027588
10/12/2010,81.77,0.003552837
09/12/2010,81.48,-0.009162608
08/12/2010,82.23,-0.01580536
07/12/2010,83.54,0.011558039
06/12/2010,82.58,-0.003264223
03/12/2010,82.85,0.003991056
02/12/2010,82.52,0.006199497
01/12/2010,82.01,0.005257057
30/11/2010,81.58,-0.003426337
29/11/2010,81.86,0.001222345
26/11/2010,81.76,-0.005488823
24/11/2010,82.21,0.018290573
23/11/2010,80.72,-0.002968829
22/11/2010,80.96,0.009182345
19/11/2010,80.22,0.012922832
18/11/2010,79.19,0.002402176
17/11/2010,79,-0.001644217
16/11/2010,79.13,-0.035383245
15/11/2010,81.98,-0.013449043
12/11/2010,83.09,-0.005520897
11/11/2010,83.55,-0.019438801
10/11/2010,85.19,0.008369236
09/11/2010,84.48,-0.040481027
08/11/2010,87.97,-0.021145766
05/11/2010,89.85,0.009055906
04/11/2010,89.04,0.004276878
03/11/2010,88.66,-0.006968669
02/11/2010,89.28,0.013532006
01/11/2010,88.08,0.007864633
29/10/2010,87.39,-0.004680641
28/10/2010,87.8,-0.010874597
27/10/2010,88.76,-0.015427919
26/10/2010,90.14,-0.010374224
25/10/2010,91.08,0.000219611
22/10/2010,91.06,0.002969483
21/10/2010,90.79,0.010964172
20/10/2010,89.8,0.026060474
19/10/2010,87.49,-0.014186245
18/10/2010,88.74,0.017391743
15/10/2010,87.21,-0.007425635
14/10/2010,87.86,-0.002387314
13/10/2010,88.07,0.005921894
12/10/2010,87.55,0.006646827
11/10/2010,86.97,0.000229991
08/10/2010,86.95,-0.001608826
07/10/2010,87.09,-0.000688705
06/10/2010,87.15,-0.013788607
05/10/2010,88.36,0.016431223
04/10/2010,86.92,0.011106084
