Date,Close,BXP
11/11/2011,98.09,0.027911673
10/11/2011,95.39,-0.004288934
09/11/2011,95.8,-0.047397406
08/11/2011,100.45,0.015550853
07/11/2011,98.9,0.000910424
04/11/2011,98.81,-0.005953299
03/11/2011,99.4,0.010822945
02/11/2011,98.33,0.01176424
01/11/2011,97.18,-0.018453906
31/10/2011,98.99,-0.00855007
28/10/2011,99.84,0.00693505
27/10/2011,99.15,0.052169544
26/10/2011,94.11,0.01197235
25/10/2011,92.99,-0.021174383
24/10/2011,94.98,0.021281927
21/10/2011,92.98,0.023174621
20/10/2011,90.85,0.008622649
19/10/2011,90.07,-0.028133868
18/10/2011,92.64,0.022708399
17/10/2011,90.56,-0.019464803
14/10/2011,92.34,0.026779476
13/10/2011,89.9,-0.000222445
12/10/2011,89.92,0.011858289
11/10/2011,88.86,-0.01861919
10/10/2011,90.53,0.05751585
07/10/2011,85.47,-0.025756462
06/10/2011,87.7,0.025873469
05/10/2011,85.46,-0.012558305
04/10/2011,86.54,0.021255034
03/10/2011,84.72,-0.050407633
30/09/2011,89.1,-0.039393365
29/09/2011,92.68,0.020383288
28/09/2011,90.81,-0.025549033
27/09/2011,93.16,0.001718952
26/09/2011,93,0.006256088
23/09/2011,92.42,-0.001405634
22/09/2011,92.55,-0.02665403
21/09/2011,95.05,-0.046859492
20/09/2011,99.61,0.000903932
19/09/2011,99.52,-0.02950417
16/09/2011,102.5,-0.002533374
15/09/2011,102.76,0.021641608
14/09/2011,100.56,0.008187764
13/09/2011,99.74,-0.007093291
12/09/2011,100.45,0.001893279
09/09/2011,100.26,-0.032287776
08/09/2011,103.55,-0.005297388
07/09/2011,104.1,0.02263661
06/09/2011,101.77,0.005122659
02/09/2011,101.25,-0.011684555
01/09/2011,102.44,-0.017898219
31/08/2011,104.29,0.007893765
30/08/2011,103.47,-0.00164164
29/08/2011,103.64,0.029771098
26/08/2011,100.6,0.010693151
25/08/2011,99.53,-0.015848824
24/08/2011,101.12,0.00804254
23/08/2011,100.31,0.023399958
22/08/2011,97.99,-0.008029722
19/08/2011,98.78,-0.012674951
18/08/2011,100.04,-0.039685804
17/08/2011,104.09,0.010332765
16/08/2011,103.02,-0.002326935
15/08/2011,103.26,0.030381337
12/08/2011,100.17,-0.001396648
11/08/2011,100.31,0.047465153
10/08/2011,95.66,-0.015147089
09/08/2011,97.12,0.086187993
08/08/2011,89.1,-0.084023378
05/08/2011,96.91,-0.015054819
04/08/2011,98.38,-0.047055827
03/08/2011,103.12,-0.003484999
02/08/2011,103.48,-0.023683307
01/08/2011,105.96,-0.013126009
29/07/2011,107.36,0.001398145
28/07/2011,107.21,0.002054156
27/07/2011,106.99,-0.031102986
26/07/2011,110.37,-0.004970863
25/07/2011,110.92,-0.012097464
22/07/2011,112.27,-0.000801318
21/07/2011,112.36,0.015245565
20/07/2011,110.66,-0.00297767
19/07/2011,110.99,0.026383383
18/07/2011,108.1,-0.012502461
15/07/2011,109.46,0.013705775
14/07/2011,107.97,-0.004528031
13/07/2011,108.46,-0.004691174
12/07/2011,108.97,0.003493293
11/07/2011,108.59,-0.019696087
08/07/2011,110.75,-0.006569794
07/07/2011,111.48,0.007744298
06/07/2011,110.62,0.007804741
05/07/2011,109.76,0.017740251
01/07/2011,107.83,0.015608523
30/06/2011,106.16,0.004247894
29/06/2011,105.71,0.013428134
28/06/2011,104.3,0.004227524
27/06/2011,103.86,0.012108445
24/06/2011,102.61,-0.010277383
23/06/2011,103.67,-0.029370547
22/06/2011,106.76,0.000281044
21/06/2011,106.73,0.009886621
20/06/2011,105.68,0.016698065
17/06/2011,103.93,0.011516071
16/06/2011,102.74,0.016685047
15/06/2011,101.04,-0.020667761
14/06/2011,103.15,0.014648699
13/06/2011,101.65,0.004535602
10/06/2011,101.19,-0.019281243
09/06/2011,103.16,-0.012235809
08/06/2011,104.43,-0.000574383
07/06/2011,104.49,0.012325625
06/06/2011,103.21,-0.012134201
03/06/2011,104.47,-0.000191424
02/06/2011,104.49,-0.004678483
01/06/2011,104.98,-0.031596872
31/05/2011,108.35,0.018819262
27/05/2011,106.33,0.005186
26/05/2011,105.78,0.01600949
25/05/2011,104.1,0.008005058
24/05/2011,103.27,-0.002417913
23/05/2011,103.52,-0.00951793
20/05/2011,104.51,-0.016888447
19/05/2011,106.29,0.005471712
18/05/2011,105.71,0.012374039
17/05/2011,104.41,-0.001722488
16/05/2011,104.59,0.015221874
13/05/2011,103.01,-0.009564828
12/05/2011,104,-0.004987542
11/05/2011,104.52,-0.011321055
10/05/2011,105.71,0.016885686
09/05/2011,103.94,0.005886059
06/05/2011,103.33,-0.008288405
05/05/2011,104.19,-0.003066605
04/05/2011,104.51,0.006913134
03/05/2011,103.79,-0.002982349
02/05/2011,104.1,-0.004122136
29/04/2011,104.53,0.007200838
28/04/2011,103.78,0.018379474
27/04/2011,101.89,0.009268455
26/04/2011,100.95,0.007257575
25/04/2011,100.22,0.013157424
21/04/2011,98.91,0.008019126
20/04/2011,98.12,0.009832115
19/04/2011,97.16,0.008786949
18/04/2011,96.31,-0.008581081
15/04/2011,97.14,0.014203753
14/04/2011,95.77,0.018016607
13/04/2011,94.06,-0.004031836
12/04/2011,94.44,-0.003488191
11/04/2011,94.77,0.009116027
08/04/2011,93.91,-0.00995982
07/04/2011,94.85,-0.010696411
06/04/2011,95.87,-0.007689148
05/04/2011,96.61,-0.000206996
04/04/2011,96.63,0.000931822
01/04/2011,96.54,0.017660734
31/03/2011,94.85,0.009640416
30/03/2011,93.94,0.004480963
29/03/2011,93.52,0.003427595
28/03/2011,93.2,0.003331724
25/03/2011,92.89,0.015842345
24/03/2011,91.43,0.004714146
23/03/2011,91,-0.013100624
22/03/2011,92.2,-0.001950374
21/03/2011,92.38,0.009352977
18/03/2011,91.52,-0.001528551
17/03/2011,91.66,0.013731198
16/03/2011,90.41,-0.016998819
15/03/2011,91.96,-0.000869565
14/03/2011,92.04,-0.012846293
11/03/2011,93.23,0.017965851
10/03/2011,91.57,-0.020322827
09/03/2011,93.45,0.000856439
08/03/2011,93.37,0.011092677
07/03/2011,92.34,-0.004214628
04/03/2011,92.73,-0.013815481
03/03/2011,94.02,0.014246934
02/03/2011,92.69,-0.010303837
01/03/2011,93.65,-0.023950082
28/02/2011,95.92,0.023096202
25/02/2011,93.73,0.013750351
24/02/2011,92.45,-0.005931535
23/02/2011,93,-0.010695289
22/02/2011,94,-0.010476841
18/02/2011,94.99,0.005065974
17/02/2011,94.51,-0.007379329
16/02/2011,95.21,-0.002727084
15/02/2011,95.47,0.001047998
14/02/2011,95.37,-0.005541918
11/02/2011,95.9,0.005541918
10/02/2011,95.37,0.00652222
09/02/2011,94.75,-0.001265689
08/02/2011,94.87,0.001899135
07/02/2011,94.69,0.014359657
04/02/2011,93.34,-0.006833253
03/02/2011,93.98,0.006083588
02/02/2011,93.41,-0.00384657
01/02/2011,93.77,-0.006378251
31/01/2011,94.37,0.017746884
28/01/2011,92.71,-0.010835272
27/01/2011,93.72,0.014942498
