Date,Close,PSX
05/12/2012,50.69,-0.017017526
04/12/2012,51.56,0
03/12/2012,51.56,-0.01558773
30/11/2012,52.37,0.01558773
29/11/2012,51.56,0.010920545
28/11/2012,51,0.018603347
27/11/2012,50.06,0.010038229
26/11/2012,49.56,-0.005232453
23/11/2012,49.82,0.008668535
21/11/2012,49.39,0.006703936
20/11/2012,49.06,0.019346148
19/11/2012,48.12,0.050069036
16/11/2012,45.77,0.00943921
15/11/2012,45.34,-0.009220702
14/11/2012,45.76,-0.023754086
13/11/2012,46.86,-0.010402387
12/11/2012,47.35,-0.001266357
09/11/2012,47.41,-0.032987121
08/11/2012,49,-0.009343964
07/11/2012,49.46,-0.011658424
06/11/2012,50.04,0.046634217
05/11/2012,47.76,0.032992244
02/11/2012,46.21,-0.025003974
01/11/2012,47.38,0.004654123
31/10/2012,47.16,-0.007183635
26/10/2012,47.5,0.053400777
25/10/2012,45.03,0.005567323
24/10/2012,44.78,-0.003121519
23/10/2012,44.92,-0.014585894
22/10/2012,45.58,0.020838706
19/10/2012,44.64,-0.020399821
18/10/2012,45.56,-0.023642789
17/10/2012,46.65,0.003435692
16/10/2012,46.49,0.046448318
15/10/2012,44.38,0.01041912
12/10/2012,43.92,-0.015364062
11/10/2012,44.6,-0.012256421
10/10/2012,45.15,-0.020605727
09/10/2012,46.09,0.003477508
08/10/2012,45.93,-0.001957586
05/10/2012,46.02,0.013784268
04/10/2012,45.39,0.005080077
03/10/2012,45.16,-0.027518662
02/10/2012,46.42,-0.003011403
01/10/2012,46.56,0.004089105
28/09/2012,46.37,-0.003444567
27/09/2012,46.53,0.021725817
26/09/2012,45.53,-0.00983507
25/09/2012,45.98,-0.01639381
24/09/2012,46.74,-0.001710133
21/09/2012,46.82,0.022463148
20/09/2012,45.78,0.004597709
19/09/2012,45.57,0.001097815
18/09/2012,45.52,-0.013528463
17/09/2012,46.14,-0.012706104
14/09/2012,46.73,0.001927815
13/09/2012,46.64,0.00774864
12/09/2012,46.28,0.015021508
11/09/2012,45.59,0.023300732
10/09/2012,44.54,0.006306327
07/09/2012,44.26,0.01916117
06/09/2012,43.42,0.039460263
05/09/2012,41.74,-0.015924282
04/09/2012,42.41,0.009714565
31/08/2012,42,-0.011363759
30/08/2012,42.48,0.011840063
29/08/2012,41.98,0.000476531
28/08/2012,41.96,0.021438856
27/08/2012,41.07,-0.007036302
24/08/2012,41.36,0.000725602
23/08/2012,41.33,-0.003622755
22/08/2012,41.48,-0.001686138
21/08/2012,41.55,-0.035929178
20/08/2012,43.07,0.006989777
17/08/2012,42.77,0.037884221
16/08/2012,41.18,0.020113506
15/08/2012,40.36,0.010711274
14/08/2012,39.93,-0.005494519
13/08/2012,40.15,0.003742986
10/08/2012,40,-0.00796817
09/08/2012,40.32,0.004225183
08/08/2012,40.15,0.009509581
07/08/2012,39.77,-0.007515065
06/08/2012,40.07,0.01003269
03/08/2012,39.67,0.035145338
02/08/2012,38.3,0.000783597
01/08/2012,38.27,0.017662249
31/07/2012,37.6,-0.001328904
30/07/2012,37.65,0.030472899
27/07/2012,36.52,0.015452846
26/07/2012,35.96,0.015695389
25/07/2012,35.4,0.004813828
24/07/2012,35.23,0.005978665
23/07/2012,35.02,-0.008530049
20/07/2012,35.32,-0.007896262
19/07/2012,35.6,-0.041271332
18/07/2012,37.1,0.011112731
17/07/2012,36.69,0.016211373
16/07/2012,36.1,0.032660561
13/07/2012,34.94,0.056821759
12/07/2012,33.01,-0.0141377
11/07/2012,33.48,0.024184976
10/07/2012,32.68,-0.017291497
09/07/2012,33.25,-0.003602526
06/07/2012,33.37,-0.01280351
05/07/2012,33.8,-0.012933749
03/07/2012,34.24,0.007034027
02/07/2012,34,0.022606555
29/06/2012,33.24,0.02837719
28/06/2012,32.31,0.013084299
27/06/2012,31.89,-0.021406122
26/06/2012,32.58,-0.008861785
25/06/2012,32.87,-0.038494981
22/06/2012,34.16,0.020107123
21/06/2012,33.48,-0.034638039
20/06/2012,34.66,0.023351908
19/06/2012,33.86,0
18/06/2012,33.86,-0.030252453
15/06/2012,34.9,0.040046269
14/06/2012,33.53,0.022927098
13/06/2012,32.77,-0.021733424
12/06/2012,33.49,0.026934598
11/06/2012,32.6,0.014833399
08/06/2012,32.12,0.009069648
07/06/2012,31.83,0.009469768
06/06/2012,31.53,0.053080993
05/06/2012,29.9,0.012451785
04/06/2012,29.53,-0.013120457
01/06/2012,29.92,-0.003669729
31/05/2012,30.03,-0.013560651
30/05/2012,30.44,-0.0185522
29/05/2012,31.01,-0.009308364
25/05/2012,31.3,0.005446113
24/05/2012,31.13,-0.008954329
23/05/2012,31.41,-0.006979724
22/05/2012,31.63,-0.017549808
21/05/2012,32.19,0.025485098
18/05/2012,31.38,0.003831422
17/05/2012,31.26,-0.026516705
16/05/2012,32.1,0.01348617
15/05/2012,31.67,0.011112989
14/05/2012,31.32,-0.01615237
11/05/2012,31.83,-0.020215274
10/05/2012,32.48,-0.000307834
09/05/2012,32.49,0.076407178
08/05/2012,30.1,0.025232625
07/05/2012,29.35,-0.027223997
04/05/2012,30.16,-0.039972828
03/05/2012,31.39,-0.019246532
02/05/2012,32,-0.023472356
01/05/2012,32.76,-0.038621774
30/04/2012,34.05,-0.001760564
27/04/2012,34.11,-0.024327872
26/04/2012,34.95,0.005738897
25/04/2012,34.75,0
24/04/2012,34.75,-0.026410736
23/04/2012,35.68,-0.017778246
20/04/2012,36.32,0.008849615
19/04/2012,36,0
18/04/2012,36,0
17/04/2012,36,-0.015162248
16/04/2012,36.55,-0.012236726
13/04/2012,37,0.084557388
12/04/2012,34,
