Date,Close,HD
14/02/2011,37.58,0.002664537
11/02/2011,37.48,0.00454607
10/02/2011,37.31,0.003759403
09/02/2011,37.17,0.00026907
08/02/2011,37.16,0.015184674
07/02/2011,36.6,-0.005449605
04/02/2011,36.8,0.00272109
03/02/2011,36.7,0.003822008
02/02/2011,36.56,-0.011692859
01/02/2011,36.99,0.005965311
31/01/2011,36.77,0.00190554
28/01/2011,36.7,-0.03428295
27/01/2011,37.98,0.014854385
26/01/2011,37.42,0.006972407
25/01/2011,37.16,0.013819486
24/01/2011,36.65,0.003827233
21/01/2011,36.51,0.000547945
20/01/2011,36.49,0.023850271
19/01/2011,35.63,-0.01088636
18/01/2011,36.02,0.003615635
14/01/2011,35.89,0.017425961
13/01/2011,35.27,0.01255366
12/01/2011,34.83,-0.000860956
11/01/2011,34.86,0.013574216
10/01/2011,34.39,0.000290824
07/01/2011,34.38,-0.001162791
06/01/2011,34.42,-0.004059153
05/01/2011,34.56,-0.003177816
04/01/2011,34.67,-0.01829145
03/01/2011,35.31,0.00710533
31/12/2010,35.06,0.005720839
30/12/2010,34.86,-0.000860215
29/12/2010,34.89,-0.005715934
28/12/2010,35.09,-0.004265611
27/12/2010,35.24,0.004265611
23/12/2010,35.09,-0.00256155
22/12/2010,35.18,0.002846572
21/12/2010,35.08,-0.003414915
20/12/2010,35.2,0.002844952
17/12/2010,35.1,-0.000569638
16/12/2010,35.12,0.00944078
15/12/2010,34.79,0.002014099
14/12/2010,34.72,0.004618946
13/12/2010,34.56,0.00464038
10/12/2010,34.4,0.00232829
09/12/2010,34.32,0.008485786
08/12/2010,34.03,0.014205625
07/12/2010,33.55,0.006278986
06/12/2010,33.34,-0.004190368
03/12/2010,33.48,0.003590668
02/12/2010,33.36,0.053884051
01/12/2010,31.61,0.045300531
30/11/2010,30.21,-0.015763873
29/11/2010,30.69,-0.010050336
26/11/2010,31,-0.005148017
24/11/2010,31.16,0.008055465
