Date,Close,HSP
15/12/2011,28.84,0.022086787
14/12/2011,28.21,0.004975135
13/12/2011,28.07,0.005358112
12/12/2011,27.92,-0.005358112
09/12/2011,28.07,0.028181056
08/12/2011,27.29,-0.020671634
07/12/2011,27.86,-0.010000083
06/12/2011,28.14,0.007848774
05/12/2011,27.92,0.010079279
02/12/2011,27.64,-0.023244386
01/12/2011,28.29,0.00354108
30/11/2011,28.19,0.000709723
29/11/2011,28.17,-0.095084253
28/11/2011,30.98,0.029813838
25/11/2011,30.07,-0.003651456
23/11/2011,30.18,-0.012839683
22/11/2011,30.57,-0.006521053
21/11/2011,30.77,-0.004215995
18/11/2011,30.9,0.000971345
17/11/2011,30.87,-0.003556996
16/11/2011,30.98,-0.00899749
15/11/2011,31.26,0.00192123
14/11/2011,31.2,-0.037431638
11/11/2011,32.39,0.023743696
10/11/2011,31.63,0.006979724
09/11/2011,31.41,-0.047864947
08/11/2011,32.95,0.029880554
07/11/2011,31.98,0.021173172
04/11/2011,31.31,-0.019921607
03/11/2011,31.94,0.015142245
02/11/2011,31.46,0.017313674
01/11/2011,30.92,-0.016995759
31/10/2011,31.45,-0.008233105
28/10/2011,31.71,0.016855225
27/10/2011,31.18,0.039579982
26/10/2011,29.97,-0.011610679
25/10/2011,30.32,-0.010825102
24/10/2011,30.65,0.041978182
21/10/2011,29.39,0.024803201
20/10/2011,28.67,-0.033273521
19/10/2011,29.64,0.004395611
18/10/2011,29.51,-0.235871424
17/10/2011,37.36,-0.018825957
14/10/2011,38.07,0.001314233
13/10/2011,38.02,-0.01927645
12/10/2011,38.76,0.009331327
11/10/2011,38.4,-0.005194817
10/10/2011,38.6,0.035331911
07/10/2011,37.26,-0.013065111
06/10/2011,37.75,0.014945568
05/10/2011,37.19,0.012718342
04/10/2011,36.72,0.026491615
03/10/2011,35.76,-0.034087962
30/09/2011,37,-0.017946109
29/09/2011,37.67,0.000796707
28/09/2011,37.64,-0.020250528
27/09/2011,38.41,0.030397477
26/09/2011,37.26,-0.004017683
23/09/2011,37.41,0.082719369
22/09/2011,34.44,-0.048181606
21/09/2011,36.14,-0.046494861
20/09/2011,37.86,-0.016763096
19/09/2011,38.5,-0.024375806
16/09/2011,39.45,-0.00202583
15/09/2011,39.53,-0.003031071
14/09/2011,39.65,0.003537144
13/09/2011,39.51,-0.026967926
12/09/2011,40.59,-0.015644416
09/09/2011,41.23,-0.049448275
08/09/2011,43.32,-0.051512569
07/09/2011,45.61,0.030723699
06/09/2011,44.23,-0.008554757
02/09/2011,44.61,-0.036967906
01/09/2011,46.29,0.001946157
31/08/2011,46.2,0.005208345
30/08/2011,45.96,0.004361106
29/08/2011,45.76,0.027921158
26/08/2011,44.5,0.014942547
25/08/2011,43.84,-0.020544802
24/08/2011,44.75,0.004479291
23/08/2011,44.55,0.038906509
22/08/2011,42.85,0.003975219
19/08/2011,42.68,-0.005840456
18/08/2011,42.93,-0.043529716
17/08/2011,44.84,0.006937479
16/08/2011,44.53,-0.018687974
15/08/2011,45.37,0.015548958
12/08/2011,44.67,0.00246554
11/08/2011,44.56,0.040298493
10/08/2011,42.8,-0.057430962
09/08/2011,45.33,0.020729596
08/08/2011,44.4,-0.069173035
05/08/2011,47.58,0.010139504
04/08/2011,47.1,-0.033200669
03/08/2011,48.69,0.018029708
02/08/2011,47.82,-0.038158476
01/08/2011,49.68,-0.028573372
29/07/2011,51.12,-0.009152045
28/07/2011,51.59,-0.015578736
27/07/2011,52.4,0.005741643
26/07/2011,52.1,-0.008600149
25/07/2011,52.55,-0.005692615
22/07/2011,52.85,-0.014277906
21/07/2011,53.61,0.019399799
20/07/2011,52.58,-0.013600512
19/07/2011,53.3,0.01113114
18/07/2011,52.71,-0.01412852
15/07/2011,53.46,0.014697834
14/07/2011,52.68,-0.005489839
13/07/2011,52.97,-0.00282779
12/07/2011,53.12,0.000941708
11/07/2011,53.07,-0.011614968
08/07/2011,53.69,-0.00982308
07/07/2011,54.22,0.004806813
06/07/2011,53.96,-0.003145529
05/07/2011,54.13,-0.028052841
01/07/2011,55.67,-0.017627092
30/06/2011,56.66,0.006906961
29/06/2011,56.27,0.000533286
28/06/2011,56.24,0.014507284
27/06/2011,55.43,0.012160963
24/06/2011,54.76,-0.007821777
23/06/2011,55.19,-0.000362319
22/06/2011,55.21,-0.005238924
21/06/2011,55.5,0.011963166
20/06/2011,54.84,0.013216051
17/06/2011,54.12,-0.000369481
16/06/2011,54.14,0.006113961
15/06/2011,53.81,-0.006113961
14/06/2011,54.14,0.000554273
13/06/2011,54.11,0.001479564
10/06/2011,54.03,-0.01214143
09/06/2011,54.69,0.017523274
08/06/2011,53.74,-0.009445389
07/06/2011,54.25,0.006472515
06/06/2011,53.9,0
03/06/2011,53.9,-0.007393749
02/06/2011,54.3,-0.010806956
01/06/2011,54.89,-0.007260878
31/05/2011,55.29,0.004895305
27/05/2011,55.02,0.006564575
26/05/2011,54.66,0.008266787
25/05/2011,54.21,0.002770852
24/05/2011,54.06,0.001480933
23/05/2011,53.98,-0.019446586
20/05/2011,55.04,0.009125816
19/05/2011,54.54,-0.009852296
18/05/2011,55.08,0.009119159
17/05/2011,54.58,-0.007120067
16/05/2011,54.97,-0.009415242
13/05/2011,55.49,-0.012357997
12/05/2011,56.18,0.004281134
11/05/2011,55.94,-0.017718394
10/05/2011,56.94,0.002990065
09/05/2011,56.77,0.004767379
06/05/2011,56.5,0.010139729
05/05/2011,55.93,0.001252348
04/05/2011,55.86,-0.018798213
03/05/2011,56.92,-0.001404495
02/05/2011,57,0.004748096
29/04/2011,56.73,-0.005098912
28/04/2011,57.02,-0.000876501
27/04/2011,57.07,-0.004894259
26/04/2011,57.35,-0.013509038
25/04/2011,58.13,0.006039187
21/04/2011,57.78,0.007993092
20/04/2011,57.32,0.014585972
19/04/2011,56.49,0.009247798
18/04/2011,55.97,-0.000535858
15/04/2011,56,0.005012542
14/04/2011,55.72,-0.015316417
13/04/2011,56.58,0.007450806
12/04/2011,56.16,0.005535234
11/04/2011,55.85,0.001971503
08/04/2011,55.74,-0.01035169
07/04/2011,56.32,0.00498399
06/04/2011,56.04,-0.009059481
05/04/2011,56.55,0.004430667
04/04/2011,56.3,0.002311729
01/04/2011,56.17,0.017419853
31/03/2011,55.2,0.00272109
30/03/2011,55.05,0.009490854
29/03/2011,54.53,0.009581794
28/03/2011,54.01,0
25/03/2011,54.01,0
24/03/2011,54.01,0.021711502
23/03/2011,52.85,0.017561054
22/03/2011,51.93,-0.004227524
21/03/2011,52.15,0.006927101
18/03/2011,51.79,-0.00443118
17/03/2011,52.02,0.002694901
16/03/2011,51.88,-0.021358554
15/03/2011,53,-0.023495394
14/03/2011,54.26,-0.012818341
11/03/2011,54.96,0.000546001
10/03/2011,54.93,0.006575366
09/03/2011,54.57,0.017375668
08/03/2011,53.63,0.005797118
07/03/2011,53.32,-0.015261789
04/03/2011,54.14,0.002033836
03/03/2011,54.03,0.019247534
02/03/2011,53,0.019432884
01/03/2011,51.98,-0.016598683
28/02/2011,52.85,-0.008666219
25/02/2011,53.31,0.016072956
24/02/2011,52.46,-0.005891873
23/02/2011,52.77,-0.007739538
22/02/2011,53.18,-0.02653463
18/02/2011,54.61,0.001282639
17/02/2011,54.54,-0.007489303
16/02/2011,54.95,0.000364033
15/02/2011,54.93,0.015965107
14/02/2011,54.06,-0.003692766
11/02/2011,54.26,0.018789503
10/02/2011,53.25,-0.002438339
09/02/2011,53.38,0.017003999
08/02/2011,52.48,-0.003044142
07/02/2011,52.64,0.00552435
04/02/2011,52.35,0.007285308
03/02/2011,51.97,0.017861084
02/02/2011,51.05,-0.075436319
01/02/2011,55.05,-0.003264421
31/01/2011,55.23,0.011472401
28/01/2011,54.6,-0.019766715
27/01/2011,55.69,-0.010005443
26/01/2011,56.25,0.01162284
25/01/2011,55.6,0.005591141
24/01/2011,55.29,0.000904732
21/01/2011,55.24,-0.007394749
20/01/2011,55.65,-0.012500163
19/01/2011,56.35,-0.007954085
18/01/2011,56.8,0.009019426
14/01/2011,56.29,0.001600143
13/01/2011,56.2,-0.000533665
