Date,Close,AET
30/06/2011,44.09,-0.010603596
29/06/2011,44.56,-0.002241651
28/06/2011,44.66,0.030925611
27/06/2011,43.3,0.000462
24/06/2011,43.28,-0.008054353
23/06/2011,43.63,-0.014336347
22/06/2011,44.26,-0.008324944
21/06/2011,44.63,-0.003131994
20/06/2011,44.77,0.035466322
17/06/2011,43.21,-0.003234753
16/06/2011,43.35,0.006944472
15/06/2011,43.05,-0.030426687
14/06/2011,44.38,0.037419722
13/06/2011,42.75,-0.002569795
10/06/2011,42.86,-0.024430807
09/06/2011,43.92,0.034985614
08/06/2011,42.41,-0.0042353
07/06/2011,42.59,0.001409775
06/06/2011,42.53,-0.015630786
03/06/2011,43.2,-0.013564986
02/06/2011,43.79,0.013333531
01/06/2011,43.21,-0.010818381
31/05/2011,43.68,0.002062565
27/05/2011,43.59,-0.001375516
26/05/2011,43.65,0.005052836
25/05/2011,43.43,0.004847095
24/05/2011,43.22,-0.026710868
23/05/2011,44.39,-0.014980716
20/05/2011,45.06,-0.018470182
19/05/2011,45.9,0.010732772
18/05/2011,45.41,0.030180004
17/05/2011,44.06,-0.013525905
16/05/2011,44.66,0.018303528
13/05/2011,43.85,0.023535927
12/05/2011,42.83,0.001869596
11/05/2011,42.75,-0.00233645
10/05/2011,42.85,0.007260835
09/05/2011,42.54,0.016114093
06/05/2011,41.86,0.001434377
05/05/2011,41.8,0.01348768
04/05/2011,41.24,-0.004837939
03/05/2011,41.44,-0.0150883
02/05/2011,42.07,0.016537225
29/04/2011,41.38,-0.001690209
28/04/2011,41.45,0.040369745
27/04/2011,39.81,0.00301887
26/04/2011,39.69,0.022936785
25/04/2011,38.79,-0.006936444
21/04/2011,39.06,0.053640618
20/04/2011,37.02,0.005960462
19/04/2011,36.8,0.007637789
18/04/2011,36.52,-0.024612466
15/04/2011,37.43,-0.001601709
14/04/2011,37.49,0.001334579
13/04/2011,37.44,-0.00612437
12/04/2011,37.67,0.02092351
11/04/2011,36.89,0.003802286
08/04/2011,36.75,-0.007860184
07/04/2011,37.04,-0.008334502
06/04/2011,37.35,-0.009327183
05/04/2011,37.7,-0.00634587
04/04/2011,37.94,0.006876515
01/04/2011,37.68,0.006656928
31/03/2011,37.43,-0.004531528
30/03/2011,37.6,0.015815904
29/03/2011,37.01,0.003247635
28/03/2011,36.89,0.002714442
25/03/2011,36.79,0.009558997
24/03/2011,36.44,0.026416106
23/03/2011,35.49,0.001692048
22/03/2011,35.43,-0.003943667
21/03/2011,35.57,0.013016596
18/03/2011,35.11,0.008868603
17/03/2011,34.8,0.001437815
16/03/2011,34.75,-0.034783657
15/03/2011,35.98,-0.001666204
14/03/2011,36.04,-0.012682828
11/03/2011,36.5,-0.009814692
10/03/2011,36.86,-0.031774132
09/03/2011,38.05,0.007650743
08/03/2011,37.76,0.003183027
07/03/2011,37.64,-0.018426423
04/03/2011,38.34,-0.013729007
03/03/2011,38.87,0.030827938
02/03/2011,37.69,0.009329669
01/03/2011,37.34,-0.000535475
28/02/2011,37.36,0.00080332
25/02/2011,37.33,-0.015945063
24/02/2011,37.93,0.023474004
23/02/2011,37.05,-0.005920362
22/02/2011,37.27,-0.027000052
18/02/2011,38.29,-0.001826485
17/02/2011,38.36,0.009955545
16/02/2011,37.98,0.021826791
15/02/2011,37.16,-0.007239608
14/02/2011,37.43,-0.005860432
11/02/2011,37.65,0.005059257
10/02/2011,37.46,0.003744321
