Date,Close,XEL
20/09/2012,27.43,0.000364631
19/09/2012,27.42,-0.001093494
18/09/2012,27.45,-0.014466798
17/09/2012,27.85,-0.010359085
14/09/2012,28.14,-0.006729262
13/09/2012,28.33,0.014219934
12/09/2012,27.93,-0.002860209
11/09/2012,28.01,-0.003563796
10/09/2012,28.11,0.000355809
07/09/2012,28.1,-0.008504658
06/09/2012,28.34,0.010998869
05/09/2012,28.03,-0.001782214
04/09/2012,28.08,0.006789378
31/08/2012,27.89,0.001794366
30/08/2012,27.84,-0.003943364
29/08/2012,27.95,0
28/08/2012,27.95,-0.000715308
27/08/2012,27.97,0.001431127
24/08/2012,27.93,0.010075652
23/08/2012,27.65,-0.018986779
22/08/2012,28.18,-0.003188665
21/08/2012,28.27,-0.007400915
20/08/2012,28.48,-0.000351062
17/08/2012,28.49,-0.002804068
16/08/2012,28.57,-0.001748558
15/08/2012,28.62,-0.005227403
14/08/2012,28.77,0.00069541
13/08/2012,28.75,-0.003818786
10/08/2012,28.86,0.00451468
09/08/2012,28.73,-0.004861121
08/08/2012,28.87,-0.00276721
07/08/2012,28.95,-0.011334485
06/08/2012,29.28,-0.001365188
03/08/2012,29.32,0.012699673
02/08/2012,28.95,-0.009967431
01/08/2012,29.24,-0.002049881
31/07/2012,29.3,-0.009510941
30/07/2012,29.58,0.004404547
27/07/2012,29.45,0.010925339
26/07/2012,29.13,0.015568555
25/07/2012,28.68,-0.001393728
24/07/2012,28.72,-0.006939653
23/07/2012,28.92,-0.009635312
20/07/2012,29.2,0.005838931
19/07/2012,29.03,-0.004468129
18/07/2012,29.16,0.004123717
17/07/2012,29.04,0.005524876
16/07/2012,28.88,-0.0003462
13/07/2012,28.89,0.004509982
12/07/2012,28.76,-0.001389854
11/07/2012,28.8,0.005571045
10/07/2012,28.64,-0.000349101
09/07/2012,28.65,0.002096437
06/07/2012,28.59,-0.001747336
05/07/2012,28.64,-0.002789402
03/07/2012,28.72,-0.000348129
02/07/2012,28.73,0.011200677
29/06/2012,28.41,0.012396121
28/06/2012,28.06,0.001069709
27/06/2012,28.03,0.008959028
26/06/2012,27.78,-0.002516629
25/06/2012,27.85,-0.000717875
22/06/2012,27.87,0.000717875
21/06/2012,27.85,-0.010714388
20/06/2012,28.15,-0.017606089
19/06/2012,28.65,-0.012831804
18/06/2012,29.02,0.005182254
15/06/2012,28.87,0.004165226
14/06/2012,28.75,0.010138175
13/06/2012,28.46,0.001054667
12/06/2012,28.43,-0.004912291
11/06/2012,28.57,0.004912291
08/06/2012,28.43,0.00070373
07/06/2012,28.41,-0.004565416
06/06/2012,28.54,0.009151771
05/06/2012,28.28,0.005673774
04/06/2012,28.12,0.00570615
01/06/2012,27.96,-0.002143624
31/05/2012,28.02,0.015102768
30/05/2012,27.6,-0.009735069
29/05/2012,27.87,0.002514821
25/05/2012,27.8,0.000719683
24/05/2012,27.78,0.002883924
23/05/2012,27.7,-0.003603608
22/05/2012,27.8,0.017416986
21/05/2012,27.32,0.002198608
18/05/2012,27.26,0.000366905
17/05/2012,27.25,-0.007312647
16/05/2012,27.45,0.010252745
15/05/2012,27.17,-0.011708879
14/05/2012,27.49,-0.000363702
11/05/2012,27.5,0
10/05/2012,27.5,0.011704596
09/05/2012,27.18,-0.004038926
08/05/2012,27.29,0.013279428
07/05/2012,26.93,-0.001854944
04/05/2012,26.98,0.002597886
03/05/2012,26.91,0
02/05/2012,26.91,-0.005558658
01/05/2012,27.06,0
30/04/2012,27.06,-0.000369481
27/04/2012,27.07,0.004442806
26/04/2012,26.95,0.000742391
25/04/2012,26.93,0.00820288
24/04/2012,26.71,0.007893294
23/04/2012,26.5,-0.009763502
20/04/2012,26.76,0.01695914
19/04/2012,26.31,-0.002277905
18/04/2012,26.37,-0.00529502
17/04/2012,26.51,0.00453687
16/04/2012,26.39,0.014119677
13/04/2012,26.02,-0.004983717
12/04/2012,26.15,0.005752652
11/04/2012,26,-0.002305034
10/04/2012,26.06,-0.012583579
09/04/2012,26.39,-0.003404581
05/04/2012,26.48,-0.005648669
04/04/2012,26.63,-0.004869835
03/04/2012,26.76,0.006749182
02/04/2012,26.58,0.004147037
30/03/2012,26.47,0.003405869
29/03/2012,26.38,0.003417509
28/03/2012,26.29,-0.006823377
27/03/2012,26.47,0.003785016
26/03/2012,26.37,0.00723124
23/03/2012,26.18,-0.003051108
22/03/2012,26.26,-0.000380735
21/03/2012,26.27,-0.001521491
20/03/2012,26.31,0.003045301
19/03/2012,26.23,-0.006460216
16/03/2012,26.4,0.00037886
15/03/2012,26.39,-0.008677662
14/03/2012,26.62,-0.018977314
13/03/2012,27.13,0.003322875
12/03/2012,27.04,0.013028288
09/03/2012,26.69,0.006766943
08/03/2012,26.51,0.006053745
07/03/2012,26.35,0.003802286
06/03/2012,26.25,-0.007212026
05/03/2012,26.44,0.004548909
02/03/2012,26.32,-0.002656044
01/03/2012,26.39,-0.003782153
29/02/2012,26.49,0.003024577
28/02/2012,26.41,-0.004533442
27/02/2012,26.53,0.001886437
24/02/2012,26.48,0
23/02/2012,26.48,0
22/02/2012,26.48,0.001890002
21/02/2012,26.43,0.002652019
17/02/2012,26.36,0.000379435
16/02/2012,26.35,0.004945797
15/02/2012,26.22,-0.006841532
14/02/2012,26.4,-0.001514005
13/02/2012,26.44,-0.002266718
10/02/2012,26.5,-0.002638027
09/02/2012,26.57,-0.000376294
08/02/2012,26.58,0.000752729
07/02/2012,26.56,0.005663598
06/02/2012,26.41,-0.004156439
03/02/2012,26.52,0.00643089
02/02/2012,26.35,-0.009442941
01/02/2012,26.6,0
31/01/2012,26.6,0.001881468
30/01/2012,26.55,-0.016066103
27/01/2012,26.98,-0.01581206
26/01/2012,27.41,0.012112462
25/01/2012,27.08,0.020896283
24/01/2012,26.52,-0.00301205
23/01/2012,26.6,0
20/01/2012,26.6,0.000376011
19/01/2012,26.59,-0.008612673
18/01/2012,26.82,0.004484312
17/01/2012,26.7,-0.001870908
13/01/2012,26.75,0.00224551
12/01/2012,26.69,-0.014875693
11/01/2012,27.09,-0.012837147
10/01/2012,27.44,0.008049806
09/01/2012,27.22,0.000735024
06/01/2012,27.2,-0.00293686
05/01/2012,27.28,0.00440853
04/01/2012,27.16,-0.006605529
03/01/2012,27.34,-0.010913168
30/12/2011,27.64,-0.00252936
29/12/2011,27.71,0.009062959
28/12/2011,27.46,-0.005809748
27/12/2011,27.62,0.015323175
23/12/2011,27.2,0.007380107
22/12/2011,27,-0.016164937
21/12/2011,27.44,0.012099139
20/12/2011,27.11,0.029573557
19/12/2011,26.32,-0.00341362
16/12/2011,26.41,-0.000378573
15/12/2011,26.42,0.021037303
14/12/2011,25.87,-0.003472896
13/12/2011,25.96,0.001927897
12/12/2011,25.91,-0.002698017
09/12/2011,25.98,0.01278344
08/12/2011,25.65,-0.015858
07/12/2011,26.06,-0.001150527
06/12/2011,26.09,0.00384025
05/12/2011,25.99,0.00578817
02/12/2011,25.84,-0.01345398
01/12/2011,26.19,-0.00381098
30/11/2011,26.29,0.022308617
29/11/2011,25.71,0.013312648
28/11/2011,25.37,0.006723379
25/11/2011,25.2,0.010371054
23/11/2011,24.94,-0.012749177
22/11/2011,25.26,-0.015711242
21/11/2011,25.66,-0.010081512
18/11/2011,25.92,0.01242252
17/11/2011,25.6,-0.008944256
16/11/2011,25.83,-0.013841051
15/11/2011,26.19,0.00959148
14/11/2011,25.94,-0.014162916
11/11/2011,26.31,0.012237246
10/11/2011,25.99,0.010442949
09/11/2011,25.72,-0.023819797
08/11/2011,26.34,0.005711038
07/11/2011,26.19,0.004976087
04/11/2011,26.06,-0.005357839
03/11/2011,26.2,0.014222804
02/11/2011,25.83,0.024295866
01/11/2011,25.21,-0.02506986
31/10/2011,25.85,-0.002318394
28/10/2011,25.91,-0.011130416
27/10/2011,26.2,0.02786558
26/10/2011,25.48,0.00748477
25/10/2011,25.29,-0.009445171
24/10/2011,25.53,-0.006636761
21/10/2011,25.7,0.010561412
20/10/2011,25.43,0.01027677
19/10/2011,25.17,0.003582093
18/10/2011,25.08,0.01203384
17/10/2011,24.78,-0.004027392
14/10/2011,24.88,0.007665965
13/10/2011,24.69,0
12/10/2011,24.69,0.002433091
11/10/2011,24.63,-0.012106685
10/10/2011,24.93,0.012919033
07/10/2011,24.61,-0.002029633
06/10/2011,24.66,0.021312282
05/10/2011,24.14,0.008319516
04/10/2011,23.94,-0.01492565
03/10/2011,24.3,-0.015921953
30/09/2011,24.69,-0.008871026
29/09/2011,24.91,0.012116465
28/09/2011,24.61,-0.008899735
27/09/2011,24.83,-0.000402658
26/09/2011,24.84,0.006056954
23/09/2011,24.69,0.007725186
22/09/2011,24.5,-0.014586969
21/09/2011,24.86,-0.01556607
20/09/2011,25.25,0.002379065
19/09/2011,25.19,-0.003170831
16/09/2011,25.27,0.009942416
15/09/2011,25.02,0.012062872
14/09/2011,24.72,0.010164755
13/09/2011,24.47,0.020644829
12/09/2011,23.97,0.008378767
09/09/2011,23.77,-0.01957988
08/09/2011,24.24,-0.003705996
07/09/2011,24.33,0.01157516
06/09/2011,24.05,-0.006630774
02/09/2011,24.21,-0.010273359
01/09/2011,24.46,-0.0085488
31/08/2011,24.67,0.009776045
30/08/2011,24.43,0.002459018
29/08/2011,24.37,0.014466051
26/08/2011,24.02,-0.003325024
25/08/2011,24.1,-0.012371292
24/08/2011,24.4,0.014032422
23/08/2011,24.06,0.025253867
22/08/2011,23.46,0.00641439
19/08/2011,23.31,-0.003426128
18/08/2011,23.39,-0.011054534
17/08/2011,23.65,0.008066272
16/08/2011,23.46,-0.003404259
15/08/2011,23.54,0.028000968
12/08/2011,22.89,0.001749017
11/08/2011,22.85,0.046124137
10/08/2011,21.82,-0.021759698
09/08/2011,22.3,0.015819539
08/08/2011,21.95,-0.056677407
05/08/2011,23.23,0.01824551
04/08/2011,22.81,-0.027671459
03/08/2011,23.45,-0.003830607
02/08/2011,23.54,-0.021018008
01/08/2011,24.04,0.001665279
29/07/2011,24,-0.010362787
28/07/2011,24.25,-0.009848254
27/07/2011,24.49,0
26/07/2011,24.49,-0.000816327
25/07/2011,24.51,-0.001223242
22/07/2011,24.54,-0.004472461
21/07/2011,24.65,0.016772739
20/07/2011,24.24,0.010367084
19/07/2011,23.99,0.009633582
18/07/2011,23.76,-0.011299555
15/07/2011,24.03,0
14/07/2011,24.03,-0.007875688
13/07/2011,24.22,-0.00370905
12/07/2011,24.31,0.005361943
11/07/2011,24.18,-0.012739026
08/07/2011,24.49,-0.00651203
07/07/2011,24.65,0.001624036
06/07/2011,24.61,0.003663753
05/07/2011,24.52,-0.005693387
01/07/2011,24.66,0.014706147
30/06/2011,24.3,-0.003286774
29/06/2011,24.38,0
28/06/2011,24.38,0.006997353
27/06/2011,24.21,0.007878954
