Date,Close,TRV
16/09/2011,50.61,0.015331311
15/09/2011,49.84,0.018222816
14/09/2011,48.94,0
13/09/2011,48.94,-0.00040858
12/09/2011,48.96,0.016890206
09/09/2011,48.14,-0.024621679
08/09/2011,49.34,-0.017678243
07/09/2011,50.22,0.03423119
06/09/2011,48.53,-0.006981548
02/09/2011,48.87,-0.027050499
01/09/2011,50.21,-0.004966733
31/08/2011,50.46,0.004966733
30/08/2011,50.21,-0.010697408
29/08/2011,50.75,0.049480057
26/08/2011,48.3,0.006438905
25/08/2011,47.99,-0.031182014
24/08/2011,49.51,0.003236903
23/08/2011,49.35,0.004671482
22/08/2011,49.12,-0.006897978
19/08/2011,49.46,-0.006649899
18/08/2011,49.79,-0.047268334
17/08/2011,52.2,0.004223466
16/08/2011,51.98,-0.005563564
15/08/2011,52.27,0.022051184
12/08/2011,51.13,-0.005072192
11/08/2011,51.39,0.046807309
10/08/2011,49.04,-0.052628048
09/08/2011,51.69,0.062052416
08/08/2011,48.58,-0.078933691
05/08/2011,52.57,-0.013978316
04/08/2011,53.31,-0.016925913
03/08/2011,54.22,0.001107215
02/08/2011,54.16,-0.008274388
01/08/2011,54.61,-0.009477016
29/07/2011,55.13,-0.006688988
28/07/2011,55.5,-0.013778513
27/07/2011,56.27,-0.009374792
26/07/2011,56.8,0.002644338
25/07/2011,56.65,-0.016283298
22/07/2011,57.58,-0.001908563
21/07/2011,57.69,0.010980502
20/07/2011,57.06,0.000525901
19/07/2011,57.03,0.008982887
18/07/2011,56.52,-0.024122827
15/07/2011,57.9,0.002940416
14/07/2011,57.73,-0.012736833
13/07/2011,58.47,0.002397261
12/07/2011,58.33,0.001372448
11/07/2011,58.25,-0.007013971
08/07/2011,58.66,-0.004083027
07/07/2011,58.9,0.00493576
06/07/2011,58.61,0.001365887
05/07/2011,58.53,-0.009860672
01/07/2011,59.11,0.012426749
30/06/2011,58.38,-0.003249255
29/06/2011,58.57,0.017568485
28/06/2011,57.55,0.005750648
27/06/2011,57.22,0.009482073
24/06/2011,56.68,-0.008432938
23/06/2011,57.16,-0.00279525
22/06/2011,57.32,-0.013171768
21/06/2011,58.08,0.008819772
20/06/2011,57.57,-0.006061149
17/06/2011,57.92,0.002766253
16/06/2011,57.76,0.003816136
15/06/2011,57.54,-0.019107217
14/06/2011,58.65,-0.001873776
13/06/2011,58.76,-0.007629095
10/06/2011,59.21,-0.031094034
09/06/2011,61.08,0.006405541
08/06/2011,60.69,-0.008858326
07/06/2011,61.23,0.002780278
06/06/2011,61.06,-0.001963351
03/06/2011,61.18,0
02/06/2011,61.18,-0.000326851
01/06/2011,61.2,-0.014276686
31/05/2011,62.08,0.009061551
27/05/2011,61.52,0.00505175
26/05/2011,61.21,-0.004075982
25/05/2011,61.46,0.007184877
24/05/2011,61.02,-0.00685941
23/05/2011,61.44,-0.013097447
20/05/2011,62.25,-0.008955761
19/05/2011,62.81,-0.00302043
18/05/2011,63,0.006848796
17/05/2011,62.57,-0.005895962
16/05/2011,62.94,0.009739041
13/05/2011,62.33,-0.024093732
12/05/2011,63.85,0.009441455
11/05/2011,63.25,-0.00959806
10/05/2011,63.86,0.007387067
09/05/2011,63.39,-0.000630815
06/05/2011,63.43,0.006802209
05/05/2011,63,-0.008534902
04/05/2011,63.54,-0.0079944
03/05/2011,64.05,0.008309211
02/05/2011,63.52,0.003785493
29/04/2011,63.28,0.003482669
28/04/2011,63.06,0.012928119
27/04/2011,62.25,0.01391158
26/04/2011,61.39,-0.006332732
25/04/2011,61.78,0.007473633
21/04/2011,61.32,0.036367644
20/04/2011,59.13,0.016196757
19/04/2011,58.18,-0.014165268
18/04/2011,59.01,-0.01329874
15/04/2011,59.8,0.002846858
14/04/2011,59.63,-0.005018411
13/04/2011,59.93,0.004012712
12/04/2011,59.69,-0.012155674
11/04/2011,60.42,0.014000229
08/04/2011,59.58,-0.003518476
07/04/2011,59.79,-0.002505639
