Date,Close,PLL
19/05/2011,55.5,0.006688988
18/05/2011,55.13,0.017751404
17/05/2011,54.16,-0.011747565
16/05/2011,54.8,-0.010347737
13/05/2011,55.37,-0.007915134
12/05/2011,55.81,-0.001074499
11/05/2011,55.87,-0.012804728
10/05/2011,56.59,0.012983731
09/05/2011,55.86,0.01569721
06/05/2011,54.99,-0.008150004
05/05/2011,55.44,-0.01343745
04/05/2011,56.19,-0.02165387
03/05/2011,57.42,-0.01589529
02/05/2011,58.34,-0.001712622
29/04/2011,58.44,0.002055499
28/04/2011,58.32,0.000857707
27/04/2011,58.27,0.004471972
26/04/2011,58.01,0.019847448
25/04/2011,56.87,-0.01153859
21/04/2011,57.53,0.008203205
20/04/2011,57.06,0.02143382
19/04/2011,55.85,0.008089932
18/04/2011,55.4,-0.033371929
15/04/2011,57.28,0.004023446
14/04/2011,57.05,0.000350631
13/04/2011,57.03,-0.001926952
12/04/2011,57.14,-0.014593727
11/04/2011,57.98,-0.012852546
08/04/2011,58.73,-0.006111036
07/04/2011,59.09,0.003560231
06/04/2011,58.88,0.004766778
05/04/2011,58.6,0.000512076
04/04/2011,58.57,0.010124497
01/04/2011,57.98,0.00640196
31/03/2011,57.61,0.01433591
30/03/2011,56.79,-0.003691014
29/03/2011,57,0.015915455
28/03/2011,56.1,-0.008696479
25/03/2011,56.59,0.012804728
24/03/2011,55.87,-0.015099319
23/03/2011,56.72,-0.000352547
22/03/2011,56.74,-0.012435575
21/03/2011,57.45,0.014376124
18/03/2011,56.63,0.014048422
17/03/2011,55.84,0.01188989
16/03/2011,55.18,-0.017782238
15/03/2011,56.17,-0.003199434
14/03/2011,56.35,-0.011819843
11/03/2011,57.02,0.060175319
10/03/2011,53.69,-0.028279519
09/03/2011,55.23,0.00271961
08/03/2011,55.08,0.008386558
07/03/2011,54.62,-0.01183015
04/03/2011,55.27,-0.003612068
03/03/2011,55.47,0.025562831
02/03/2011,54.07,0.011719974
01/03/2011,53.44,-0.01706906
28/02/2011,54.36,-0.007331411
25/02/2011,54.76,0.020478531
24/02/2011,53.65,0.018625315
23/02/2011,52.66,-0.018065979
22/02/2011,53.62,-0.040747393
18/02/2011,55.85,0.006286505
17/02/2011,55.5,0
16/02/2011,55.5,0.009777373
15/02/2011,54.96,-0.01552658
14/02/2011,55.82,0.012438196
11/02/2011,55.13,0.009293917
10/02/2011,54.62,0.006428528
09/02/2011,54.27,-0.011905993
08/02/2011,54.92,0.008594732
07/02/2011,54.45,0.004971013
04/02/2011,54.18,0.001662511
03/02/2011,54.09,0.008540713
02/02/2011,53.63,-0.005949079
01/02/2011,53.95,-0.026702391
31/01/2011,55.41,0.129902746
28/01/2011,48.66,-0.028564689
27/01/2011,50.07,0
26/01/2011,50.07,0.02058184
25/01/2011,49.05,-0.003866115
24/01/2011,49.24,0.008156652
21/01/2011,48.84,-0.006530635
20/01/2011,49.16,-0.016942721
19/01/2011,50,-0.014494446
18/01/2011,50.73,0.007121692
14/01/2011,50.37,0.006573074
13/01/2011,50.04,-0.008160061
12/01/2011,50.45,0.001388476
11/01/2011,50.38,0.004376375
10/01/2011,50.16,0.003194891
07/01/2011,50,0.008233805
06/01/2011,49.59,-0.004627309
05/01/2011,49.82,-0.002806175
04/01/2011,49.96,0.003609388
03/01/2011,49.78,0.00402577
31/12/2010,49.58,0.002827713
