Date,Close,EMC
25/09/2012,27.17,-0.021482712
24/09/2012,27.76,-0.009322405
21/09/2012,28.02,0.018005528
20/09/2012,27.52,-0.007601847
19/09/2012,27.73,0.002166066
18/09/2012,27.67,0.003257921
17/09/2012,27.58,-0.010101096
14/09/2012,27.86,0.012278955
13/09/2012,27.52,0.007660078
12/09/2012,27.31,-0.000366099
11/09/2012,27.32,-0.002193785
10/09/2012,27.38,-0.011619593
07/09/2012,27.7,0.006882838
06/09/2012,27.51,0.040806849
05/09/2012,26.41,0.002274451
04/09/2012,26.35,0.002279636
31/08/2012,26.29,0.000761035
30/08/2012,26.27,-0.023326867
29/08/2012,26.89,0.017254742
28/08/2012,26.43,0.000757002
27/08/2012,26.41,-0.010171495
24/08/2012,26.68,0.02658721
23/08/2012,25.98,-0.014141264
22/08/2012,26.35,0.008001567
21/08/2012,26.14,-0.016692345
20/08/2012,26.58,-0.010106768
17/08/2012,26.85,0.022218952
16/08/2012,26.26,0.03172413
15/08/2012,25.44,-0.010557283
14/08/2012,25.71,-0.03928055
13/08/2012,26.74,-0.009305855
10/08/2012,26.99,-0.000740741
09/08/2012,27.01,0.00780528
08/08/2012,26.8,-0.004839019
07/08/2012,26.93,0.011578094
06/08/2012,26.62,-0.006739075
03/08/2012,26.8,0.02723315
02/08/2012,26.08,-0.002297971
01/08/2012,26.14,-0.002674309
31/07/2012,26.21,-0.003808078
30/07/2012,26.31,-0.009080653
27/07/2012,26.55,0.030206846
26/07/2012,25.76,0.023567469
25/07/2012,25.16,-0.007128743
24/07/2012,25.34,0.021540522
23/07/2012,24.8,-0.010030174
20/07/2012,25.05,-0.016234766
19/07/2012,25.46,0.015037877
18/07/2012,25.08,0.090060824
17/07/2012,22.92,-0.016014192
16/07/2012,23.29,-0.015339031
13/07/2012,23.65,0.014051753
12/07/2012,23.32,-0.009814459
11/07/2012,23.55,-0.000424538
10/07/2012,23.56,-0.005502659
09/07/2012,23.69,-0.015913234
06/07/2012,24.07,-0.047463786
05/07/2012,25.24,-0.015333503
03/07/2012,25.63,0.015729778
02/07/2012,25.23,-0.015729778
29/06/2012,25.63,0.07786664
28/06/2012,23.71,-0.020455733
27/06/2012,24.2,0.010384309
26/06/2012,23.95,0.005862663
25/06/2012,23.81,-0.03710236
22/06/2012,24.71,0.021682175
21/06/2012,24.18,-0.047252885
20/06/2012,25.35,-0.004329863
19/06/2012,25.46,0.031115394
18/06/2012,24.68,-0.000810045
15/06/2012,24.7,0.029583094
14/06/2012,23.98,-0.013256201
13/06/2012,24.3,-0.010235504
12/06/2012,24.55,0.008590767
11/06/2012,24.34,-0.012250051
08/06/2012,24.64,0.002438035
07/06/2012,24.58,0.00816998
06/06/2012,24.38,0.041882168
05/06/2012,23.38,0.022929839
04/06/2012,22.85,-0.014338721
01/06/2012,23.18,-0.028494379
31/05/2012,23.85,-0.007518832
30/05/2012,24.03,-0.007875688
29/05/2012,24.22,-0.000825423
25/05/2012,24.24,0.000412626
24/05/2012,24.23,-0.049517058
23/05/2012,25.46,-0.005093057
22/05/2012,25.59,-0.006232977
21/05/2012,25.75,0.031961687
18/05/2012,24.94,-0.02142089
17/05/2012,25.48,-0.003525959
16/05/2012,25.57,-0.020898593
15/05/2012,26.11,0.000383068
14/05/2012,26.1,-0.009912395
11/05/2012,26.36,0.008381001
10/05/2012,26.14,-0.049627792
09/05/2012,27.47,0.003646977
08/05/2012,27.37,-0.012345836
07/05/2012,27.71,-0.003242662
04/05/2012,27.8,-0.014994926
03/05/2012,28.22,-0.010223956
02/05/2012,28.51,-0.005596377
01/05/2012,28.67,0.016174755
30/04/2012,28.21,-0.003891744
27/04/2012,28.32,-0.00598488
26/04/2012,28.49,0.011295567
25/04/2012,28.17,0.024071577
24/04/2012,27.5,-0.005801322
23/04/2012,27.66,-0.008639363
20/04/2012,27.9,-0.007142888
19/04/2012,28.1,-0.036342224
18/04/2012,29.14,-0.006499082
17/04/2012,29.33,0.017888334
16/04/2012,28.81,-0.002080445
13/04/2012,28.87,-0.011365716
12/04/2012,29.2,0.020761991
11/04/2012,28.6,0.01231326
10/04/2012,28.25,-0.013710884
09/04/2012,28.64,-0.010420379
05/04/2012,28.94,-0.008258822
04/04/2012,29.18,-0.022701297
03/04/2012,29.85,0.00470115
02/04/2012,29.71,-0.005705671
30/03/2012,29.88,0.010090903
29/03/2012,29.58,0.001014713
28/03/2012,29.55,0
27/03/2012,29.55,-0.002028398
26/03/2012,29.61,0.015657229
23/03/2012,29.15,0.000686342
22/03/2012,29.13,-0.002057614
21/03/2012,29.19,0.011369632
20/03/2012,28.86,-0.004839277
19/03/2012,29,0.003800316
16/03/2012,28.89,-0.004145084
15/03/2012,29.01,-0.003097576
14/03/2012,29.1,-0.017711635
13/03/2012,29.62,0.020120031
12/03/2012,29.03,0.00068918
09/03/2012,29.01,0.017035003
08/03/2012,28.52,0.01733023
07/03/2012,28.03,0.012565234
06/03/2012,27.68,-0.015770936
05/03/2012,28.12,-0.016226106
02/03/2012,28.58,0.010552331
01/03/2012,28.28,0.021083504
29/02/2012,27.69,-0.010418632
28/02/2012,27.98,0.005375394
27/02/2012,27.83,0.011201562
24/02/2012,27.52,0.009859492
23/02/2012,27.25,0.006627417
22/02/2012,27.07,-0.006627417
21/02/2012,27.25,0.005519793
17/02/2012,27.1,-0.015379285
16/02/2012,27.52,0.031748698
15/02/2012,26.66,0.009800305
14/02/2012,26.4,-0.001892148
13/02/2012,26.45,0.009496748
10/02/2012,26.2,-0.006846737
09/02/2012,26.38,0.001897174
08/02/2012,26.33,0.006859783
07/02/2012,26.15,-0.004197678
06/02/2012,26.26,-0.004938282
03/02/2012,26.39,0.014504071
02/02/2012,26.01,0.01121218
01/02/2012,25.72,-0.001554002
31/01/2012,25.76,0.000388274
30/01/2012,25.75,-0.00310198
27/01/2012,25.83,0.007382975
26/01/2012,25.64,-0.001948179
25/01/2012,25.69,0.021641608
24/01/2012,25.14,0.070016238
23/01/2012,23.44,0.008138833
20/01/2012,23.25,0.003878479
19/01/2012,23.16,0.020061728
18/01/2012,22.7,0.02137214
17/01/2012,22.22,-0.001349224
13/01/2012,22.25,-0.010284016
12/01/2012,22.48,0.017501008
11/01/2012,22.09,0.00955204
10/01/2012,21.88,-0.005014827
09/01/2012,21.99,-0.000909091
06/01/2012,22.01,0.005010259
05/01/2012,21.9,0.003201466
04/01/2012,21.83,0.005051675
03/01/2012,21.72,0.008321823
30/12/2011,21.54,-0.002318573
29/12/2011,21.59,0.007438435
28/12/2011,21.43,-0.009751644
27/12/2011,21.64,-0.008741717
23/12/2011,21.83,0.00597291
22/12/2011,21.7,0.007864949
21/12/2011,21.53,-0.041397769
20/12/2011,22.44,0.022077941
19/12/2011,21.95,-0.015819539
16/12/2011,22.3,0.000448531
15/12/2011,22.29,0.004947165
14/12/2011,22.18,-0.022292497
13/12/2011,22.68,-0.018349139
12/12/2011,23.1,-0.019293203
09/12/2011,23.55,0.013250888
08/12/2011,23.24,-0.01537178
07/12/2011,23.6,0.000847817
06/12/2011,23.58,0.000848536
05/12/2011,23.56,0.012815212
02/12/2011,23.26,0.003876809
01/12/2011,23.17,0.006929434
30/11/2011,23.01,0.027314473
29/11/2011,22.39,-0.006677078
28/11/2011,22.54,0.029718531
25/11/2011,21.88,-0.008193036
23/11/2011,22.06,-0.018415072
22/11/2011,22.47,-0.011944402
21/11/2011,22.74,-0.014407584
18/11/2011,23.07,-0.012920076
17/11/2011,23.37,-0.035312622
16/11/2011,24.21,-0.013946083
15/11/2011,24.55,0.003672724
14/11/2011,24.46,-0.007332008
11/11/2011,24.64,0.023820428
10/11/2011,24.06,-0.00083091
09/11/2011,24.08,-0.036293484
08/11/2011,24.97,0.014928661
07/11/2011,24.6,-0.002841488
04/11/2011,24.67,-0.013287894
03/11/2011,25,0.027988037
02/11/2011,24.31,0.022042897
01/11/2011,23.78,-0.030236306
31/10/2011,24.51,-0.020993908
28/10/2011,25.03,0.006010838
27/10/2011,24.88,0.044798944
26/10/2011,23.79,-0.003357116
25/10/2011,23.87,-0.018676617
24/10/2011,24.32,0.011996007
21/10/2011,24.03,0.009197389
20/10/2011,23.81,0.003787086
19/10/2011,23.72,-0.011318503
18/10/2011,23.99,0.056153598
17/10/2011,22.68,-0.017916145
14/10/2011,23.09,0.01615403
13/10/2011,22.72,-0.005705523
12/10/2011,22.85,-0.008280718
11/10/2011,23.04,0.006094925
10/10/2011,22.9,0.02252248
07/10/2011,22.39,0.003131293
06/10/2011,22.32,0.032326967
05/10/2011,21.61,0.031494965
04/10/2011,20.94,0.027597975
03/10/2011,20.37,-0.029982904
30/09/2011,20.99,-0.016068399
