Date,Close,INTU
07/06/2011,51.56,0.007397347
06/06/2011,51.18,-0.004678371
03/06/2011,51.42,-0.020404943
02/06/2011,52.48,-0.015879351
01/06/2011,53.32,-0.012116841
31/05/2011,53.97,0.011179546
27/05/2011,53.37,-0.004486827
26/05/2011,53.61,0.010123821
25/05/2011,53.07,0.005100606
24/05/2011,52.8,-0.002459095
23/05/2011,52.93,-0.037999197
20/05/2011,54.98,-0.016594897
19/05/2011,55.9,0.029408545
18/05/2011,54.28,-0.00825617
17/05/2011,54.73,0.007887778
16/05/2011,54.3,-0.019152432
13/05/2011,55.35,-0.009708814
12/05/2011,55.89,0.026286295
11/05/2011,54.44,-0.008232005
10/05/2011,54.89,0.013757898
09/05/2011,54.14,0.006671633
06/05/2011,53.78,-0.003711957
05/05/2011,53.98,-0.010504105
04/05/2011,54.55,-0.012388572
03/05/2011,55.23,0.001993657
02/05/2011,55.12,-0.007950891
29/04/2011,55.56,-0.000719683
28/04/2011,55.6,-0.002514821
27/04/2011,55.74,0.013546672
26/04/2011,54.99,-0.000727141
25/04/2011,55.03,-0.005798168
21/04/2011,55.35,-0.012924251
20/04/2011,56.07,0.029134423
19/04/2011,54.46,0.005708514
18/04/2011,54.15,-0.005708514
15/04/2011,54.46,0.003310652
14/04/2011,54.28,0.021225895
13/04/2011,53.14,0.006797609
12/04/2011,52.78,-0.01467019
11/04/2011,53.56,0.00787258
08/04/2011,53.14,-0.010483061
07/04/2011,53.7,0.000745157
06/04/2011,53.66,0.003173124
05/04/2011,53.49,-0.010969711
04/04/2011,54.08,0.00240674
01/04/2011,53.95,0.015692457
31/03/2011,53.11,0.017665955
30/03/2011,52.18,0.008274848
29/03/2011,51.75,0.01342302
28/03/2011,51.06,-0.006052933
25/03/2011,51.37,0.004096368
24/03/2011,51.16,0.014570055
23/03/2011,50.42,0.012172155
22/03/2011,49.81,-0.012965176
21/03/2011,50.46,0.010759219
18/03/2011,49.92,0.030302268
17/03/2011,48.43,-0.001650506
16/03/2011,48.51,-0.009642089
15/03/2011,48.98,-0.009145476
14/03/2011,49.43,-0.000606735
11/03/2011,49.46,-0.007854234
10/03/2011,49.85,-0.035665291
09/03/2011,51.66,-0.008673081
08/03/2011,52.11,0.003460211
07/03/2011,51.93,-0.016803909
04/03/2011,52.81,-0.001702772
03/03/2011,52.9,0.021399365
02/03/2011,51.78,0.006976772
01/03/2011,51.42,-0.022308617
28/02/2011,52.58,0.003429228
25/02/2011,52.4,0.013835732
24/02/2011,51.68,-0.006172859
23/02/2011,52,-0.016024761
22/02/2011,52.84,-0.023750532
18/02/2011,54.11,0.070234501
17/02/2011,50.44,0.006364381
16/02/2011,50.12,0.006806833
15/02/2011,49.78,-0.020086188
14/02/2011,50.79,0.00335273
11/02/2011,50.62,0.001581653
10/02/2011,50.54,0.033601391
09/02/2011,48.87,-0.003268644
08/02/2011,49.03,0.004906982
07/02/2011,48.79,0.00802556
04/02/2011,48.4,0.004140793
03/02/2011,48.2,0.008124198
02/02/2011,47.81,0.005032512
01/02/2011,47.57,0.013545181
31/01/2011,46.93,0.003415158
28/01/2011,46.77,-0.011479718
27/01/2011,47.31,0.00402415
26/01/2011,47.12,0.013245227
25/01/2011,46.5,-0.013245227
24/01/2011,47.12,0.005533106
21/01/2011,46.86,-0.006805641
20/01/2011,47.18,-0.004652155
19/01/2011,47.4,0.001055409
18/01/2011,47.35,0.00784484
14/01/2011,46.98,0.013284961
13/01/2011,46.36,-0.004734246
12/01/2011,46.58,-0.010039602
11/01/2011,47.05,-0.014768201
10/01/2011,47.75,-0.013314114
07/01/2011,48.39,0.00186162
06/01/2011,48.3,-0.009068488
05/01/2011,48.74,-0.011221173
04/01/2011,49.29,-0.010895992
03/01/2011,49.83,0.010693131
31/12/2010,49.3,-0.004654466
30/12/2010,49.53,-0.008443958
29/12/2010,49.95,0.003610112
28/12/2010,49.77,0.000200944
27/12/2010,49.76,-0.000602712
23/12/2010,49.79,-0.002407223
22/12/2010,49.91,-0.003400343
21/12/2010,50.08,0.009026237
20/12/2010,49.63,0.004847515
17/12/2010,49.39,0.000810209
16/12/2010,49.35,0.029613515
15/12/2010,47.91,-0.011827091
14/12/2010,48.48,0.003719781
13/12/2010,48.3,-0.00186162
10/12/2010,48.39,0.013942584
09/12/2010,47.72,0.000419199
08/12/2010,47.7,0.019689426
07/12/2010,46.77,-0.000854884
06/12/2010,46.81,-0.002560274
03/12/2010,46.93,0.010926729
02/12/2010,46.42,0.004534176
01/12/2010,46.21,0.028981172
30/11/2010,44.89,-0.012397768
29/11/2010,45.45,-0.002197803
26/11/2010,45.55,-0.002192983
24/11/2010,45.65,0.021925361
23/11/2010,44.66,-0.019732377
22/11/2010,45.55,0.013704901
19/11/2010,44.93,-0.070253298
18/11/2010,48.2,0.013577232
17/11/2010,47.55,0.013977356
16/11/2010,46.89,-0.028176801
15/11/2010,48.23,0.003947237
12/11/2010,48.04,-0.015696316
11/11/2010,48.8,-0.000614565
10/11/2010,48.83,0.006368794
09/11/2010,48.52,-0.000618111
08/11/2010,48.55,0.002061856
05/11/2010,48.45,-0.005146692
04/11/2010,48.7,0.010735033
03/11/2010,48.18,-0.005381921
02/11/2010,48.44,0.005797118
01/11/2010,48.16,0.003744544
29/10/2010,47.98,-0.005196977
28/10/2010,48.23,0.010840215
27/10/2010,47.71,0.001678205
26/10/2010,47.63,0.009280809
25/10/2010,47.19,-0.000423729
22/10/2010,47.21,0.023359039
21/10/2010,46.12,0.002170611
20/10/2010,46.02,0.003700886
19/10/2010,45.85,-0.003048783
18/10/2010,45.99,-0.013820129
15/10/2010,46.63,-0.014477579
14/10/2010,47.31,-0.005480621
13/10/2010,47.57,0.013758287
12/10/2010,46.92,0.022850746
11/10/2010,45.86,0.000654379
08/10/2010,45.83,-0.00174406
07/10/2010,45.91,0.021799828
06/10/2010,44.92,-0.011949689
05/10/2010,45.46,0.029239891
04/10/2010,44.15,-0.01706756
01/10/2010,44.91,0.024798385
30/09/2010,43.81,-0.01450286
29/09/2010,44.45,-0.008066367
28/09/2010,44.81,-0.003341877
27/09/2010,44.96,-0.011059613
24/09/2010,45.46,0.008615982
23/09/2010,45.07,-0.013662619
22/09/2010,45.69,-0.003059443
21/09/2010,45.83,0.006787109
20/09/2010,45.52,0.014159529
17/09/2010,44.88,0.000222841
16/09/2010,44.87,0.017309638
15/09/2010,44.1,0.004545462
14/09/2010,43.9,-0.004091845
13/09/2010,44.08,0.01393512
10/09/2010,43.47,-0.01166394
09/09/2010,43.98,-0.007926664
08/09/2010,44.33,-0.001803021
07/09/2010,44.41,0.009047788
03/09/2010,44.01,0.000227247
02/09/2010,44,0.008673873
01/09/2010,43.62,0.020380511
31/08/2010,42.74,0.012241207
30/08/2010,42.22,-0.01690975
27/08/2010,42.94,0.014544005
26/08/2010,42.32,-0.006594466
25/08/2010,42.6,-0.001876173
24/08/2010,42.68,-0.003508365
23/08/2010,42.83,-0.040495067
20/08/2010,44.6,0.140087107
