Date,Close,PEG
01/03/2011,31.91,-0.024455638
28/02/2011,32.7,0.008599562
25/02/2011,32.42,0.00587782
24/02/2011,32.23,-0.002169534
23/02/2011,32.3,0.002169534
22/02/2011,32.23,0.015319981
18/02/2011,31.74,-0.010343299
17/02/2011,32.07,-0.001557875
16/02/2011,32.12,-0.010221554
15/02/2011,32.45,-0.00399816
14/02/2011,32.58,-0.008861785
11/02/2011,32.87,-0.000608273
10/02/2011,32.89,-0.003944778
09/02/2011,33.02,0.008515867
08/02/2011,32.74,0.003978582
07/02/2011,32.61,0.012031612
04/02/2011,32.22,-0.016315584
03/02/2011,32.75,0.004897469
02/02/2011,32.59,-0.016131837
01/02/2011,33.12,0.021053409
31/01/2011,32.43,0
28/01/2011,32.43,-0.00614819
27/01/2011,32.63,0.001840491
26/01/2011,32.57,0.00215153
25/01/2011,32.5,-0.006134989
24/01/2011,32.7,0.007366516
21/01/2011,32.46,0.008974221
20/01/2011,32.17,0.012511893
19/01/2011,31.77,0.014265577
18/01/2011,31.32,-0.009532961
14/01/2011,31.62,0.000949217
13/01/2011,31.59,-0.017882829
12/01/2011,32.16,0.008117435
11/01/2011,31.9,0.009448889
10/01/2011,31.6,0.000316506
07/01/2011,31.59,0.010821239
06/01/2011,31.25,-0.002237495
05/01/2011,31.32,-0.008267138
04/01/2011,31.58,-0.006942281
03/01/2011,31.8,-0.000314416
31/12/2010,31.81,0.013291335
30/12/2010,31.39,0.000956175
29/12/2010,31.36,-0.005723386
28/12/2010,31.54,0.003493731
27/12/2010,31.43,0
23/12/2010,31.43,-0.00539427
22/12/2010,31.6,0.011457796
21/12/2010,31.24,-0.007653099
20/12/2010,31.48,-0.005069719
17/12/2010,31.64,-0.007242986
16/12/2010,31.87,0.021567598
15/12/2010,31.19,-0.008619367
14/12/2010,31.46,0.008940034
13/12/2010,31.18,0.001926164
10/12/2010,31.12,-0.005447858
09/12/2010,31.29,0.005126573
08/12/2010,31.13,-0.004487187
07/12/2010,31.27,-0.005421796
06/12/2010,31.44,-0.009496748
03/12/2010,31.74,0.00790768
02/12/2010,31.49,0.000953137
01/12/2010,31.46,0.020228656
30/11/2010,30.83,-0.000324307
29/11/2010,30.84,0.006832628
26/11/2010,30.63,-0.009746666
24/11/2010,30.93,0.009420242
23/11/2010,30.64,-0.005857485
22/11/2010,30.82,0.001948685
19/11/2010,30.76,-0.012920076
18/11/2010,31.16,-0.002564104
17/11/2010,31.24,-0.006381643
16/11/2010,31.44,-0.016404153
15/11/2010,31.96,0.009431066
12/11/2010,31.66,-0.012555093
11/11/2010,32.06,-0.005908896
10/11/2010,32.25,-0.006490519
09/11/2010,32.46,-0.001539172
08/11/2010,32.51,-0.015565704
05/11/2010,33.02,-0.007242035
04/11/2010,33.26,0.009971377
03/11/2010,32.93,0.001823709
02/11/2010,32.87,0.021215246
01/11/2010,32.18,-0.004959713
29/10/2010,32.34,-0.003395589
28/10/2010,32.45,-0.005531667
27/10/2010,32.63,-0.023024343
26/10/2010,33.39,0.001798562
25/10/2010,33.33,0.002403125
22/10/2010,33.25,-0.016406035
21/10/2010,33.8,0.007125921
20/10/2010,33.56,0.007177064
19/10/2010,33.32,-0.012229832
18/10/2010,33.73,0.014332882
15/10/2010,33.25,0.004219416
14/10/2010,33.11,-0.008421102
13/10/2010,33.39,0.006610601
12/10/2010,33.17,-0.00750867
11/10/2010,33.42,-0.002689379
08/10/2010,33.51,0.003288002
07/10/2010,33.4,0.011139661
06/10/2010,33.03,-0.016216572
05/10/2010,33.57,0.014703941
04/10/2010,33.08,0
01/10/2010,33.08,0
30/09/2010,33.08,0.003634165
29/09/2010,32.96,-0.005446307
28/09/2010,33.14,0.00241692
27/09/2010,33.06,0.005763705
24/09/2010,32.87,0.02495124
23/09/2010,32.06,-0.010549276
22/09/2010,32.4,-0.001233806
21/09/2010,32.44,0.005564157
20/09/2010,32.26,0.012476768
17/09/2010,31.86,0.00851069
16/09/2010,31.59,0.004441632
15/09/2010,31.45,-0.015147024
14/09/2010,31.93,-0.002189896
13/09/2010,32,0.00250313
10/09/2010,31.92,-0.01369032
09/09/2010,32.36,0.007444203
08/09/2010,32.12,-0.011145626
07/09/2010,32.48,-0.013759581
03/09/2010,32.93,0.009458499
02/09/2010,32.62,-0.006417134
01/09/2010,32.83,0.026857611
31/08/2010,31.96,0.009431066
30/08/2010,31.66,-0.012866959
27/08/2010,32.07,0.021431643
26/08/2010,31.39,-0.011403354
25/08/2010,31.75,-0.011897448
24/08/2010,32.13,-0.002176279
23/08/2010,32.2,0.014703847
20/08/2010,31.73,0.002208551
19/08/2010,31.66,-0.016291087
18/08/2010,32.18,0.002800686
17/08/2010,32.09,0.017287874
16/08/2010,31.54,-0.005375507
13/08/2010,31.71,0.004741593
12/08/2010,31.56,-0.005687219
11/08/2010,31.74,-0.02427757
10/08/2010,32.52,-0.004601941
09/08/2010,32.67,-0.002140346
06/08/2010,32.74,0.010439149
05/08/2010,32.4,-0.015314235
04/08/2010,32.9,-0.005153869
03/08/2010,33.07,-0.007231125
02/08/2010,33.31,0.012384994
30/07/2010,32.9,-0.027579686
29/07/2010,33.82,-0.016713481
28/07/2010,34.39,-0.011276684
27/07/2010,34.78,0.021212476
26/07/2010,34.05,0.008257198
23/07/2010,33.77,0.002371777
22/07/2010,33.69,0.020693496
21/07/2010,33,-0.014440684
20/07/2010,33.48,0.005390849
19/07/2010,33.3,0.00995934
16/07/2010,32.97,-0.02308602
15/07/2010,33.74,0.006541802
14/07/2010,33.52,0.00149276
13/07/2010,33.47,0.000597729
12/07/2010,33.45,0.003293909
09/07/2010,33.34,0.005413547
08/07/2010,33.16,0.013357819
07/07/2010,32.72,0.031354423
06/07/2010,31.71,0.010461341
02/07/2010,31.38,0.007356502
01/07/2010,31.15,-0.00576186
30/06/2010,31.33,-0.008897421
29/06/2010,31.61,-0.025610394
28/06/2010,32.43,0.000925498
25/06/2010,32.4,0.0180634
24/06/2010,31.82,0.003462934
23/06/2010,31.71,-0.015023757
22/06/2010,32.19,-0.027273025
21/06/2010,33.08,-0.016192258
18/06/2010,33.62,-0.000594707
17/06/2010,33.64,0.013165959
16/06/2010,33.2,0.002412546
15/06/2010,33.12,0.024451096
14/06/2010,32.32,0.006518726
11/06/2010,32.11,-0.00404041
10/06/2010,32.24,0.011856613
09/06/2010,31.86,0.008827296
08/06/2010,31.58,0.024684696
07/06/2010,30.81,0.004554334
04/06/2010,30.67,-0.026385057
03/06/2010,31.49,0.011819336
02/06/2010,31.12,0.027363271
