Date,Close,PNC
05/07/2011,60.27,-0.01023449
01/07/2011,60.89,0.021245612
30/06/2011,59.61,0.011303368
29/06/2011,58.94,0.017629896
28/06/2011,57.91,0.001036628
27/06/2011,57.85,0.021667806
24/06/2011,56.61,-0.00141218
23/06/2011,56.69,0.00141218
22/06/2011,56.61,-0.005109693
21/06/2011,56.9,0.004226847
20/06/2011,56.66,-0.019747256
17/06/2011,57.79,-0.028656233
16/06/2011,59.47,0.016445229
15/06/2011,58.5,-0.022981748
14/06/2011,59.86,0.010242722
13/06/2011,59.25,0.003042599
10/06/2011,59.07,-0.001184333
09/06/2011,59.14,-0.001014027
08/06/2011,59.2,-0.006566233
07/06/2011,59.59,0.007073118
06/06/2011,59.17,-0.002868958
03/06/2011,59.34,-0.014222611
02/06/2011,60.19,0.003661788
01/06/2011,59.97,-0.0400413
31/05/2011,62.42,-0.001920615
27/05/2011,62.54,0.012874333
26/05/2011,61.74,0.0102565
25/05/2011,61.11,0.007061364
24/05/2011,60.68,-0.006734032
23/05/2011,61.09,-0.009449402
20/05/2011,61.67,-0.020860833
19/05/2011,62.97,-0.000952381
18/05/2011,63.03,0.004292876
17/05/2011,62.76,0.013797748
16/05/2011,61.9,0.001616815
13/05/2011,61.8,-0.022242696
12/05/2011,63.19,-0.003948517
11/05/2011,63.44,-0.000315209
10/05/2011,63.46,0.02198591
09/05/2011,62.08,-0.00706263
06/05/2011,62.52,0.000319949
05/05/2011,62.5,-0.016030817
04/05/2011,63.51,-0.009714899
03/05/2011,64.13,0.019525105
02/05/2011,62.89,0.008783894
29/04/2011,62.34,-0.00272327
28/04/2011,62.51,0.004168009
27/04/2011,62.25,0.003862873
26/04/2011,62.01,0.013475324
25/04/2011,61.18,-0.007166154
21/04/2011,61.62,0.014219411
20/04/2011,60.75,-0.003614858
19/04/2011,60.97,0
18/04/2011,60.97,-0.01513824
15/04/2011,61.9,0.00048477
14/04/2011,61.87,-0.010770942
13/04/2011,62.54,-0.00938974
12/04/2011,63.13,-0.002057125
11/04/2011,63.26,0.000474346
08/04/2011,63.23,-0.004103541
07/04/2011,63.49,-0.004400447
06/04/2011,63.77,0.011989416
05/04/2011,63.01,-0.009320026
04/04/2011,63.6,-0.001885015
01/04/2011,63.72,0.011522501
31/03/2011,62.99,0.000952986
30/03/2011,62.93,0.014404859
29/03/2011,62.03,0.009068888
