Date,Close,CI
12/12/2012,53.96,0.015877797
11/12/2012,53.11,0.003394949
10/12/2012,52.93,0.000566947
07/12/2012,52.9,0.007590169
06/12/2012,52.5,0.011109097
05/12/2012,51.92,0.005020285
04/12/2012,51.66,-0.008289204
03/12/2012,52.09,-0.003449601
30/11/2012,52.27,0.003641595
29/11/2012,52.08,0.002114369
28/11/2012,51.97,-0.008621569
27/11/2012,52.42,0.003439713
26/11/2012,52.24,-0.009904843
23/11/2012,52.76,0.01431732
21/11/2012,52.01,0.003081073
20/11/2012,51.85,-0.000963855
19/11/2012,51.9,0.02793969
16/11/2012,50.47,-0.007894258
15/11/2012,50.87,0.024677869
14/11/2012,49.63,-0.028210055
13/11/2012,51.05,-0.000587487
12/11/2012,51.08,-0.011097164
09/11/2012,51.65,-0.011358289
08/11/2012,52.24,-0.013688427
07/11/2012,52.96,-0.006587019
06/11/2012,53.31,0.0001876
05/11/2012,53.3,0.003947745
02/11/2012,53.09,-0.003384734
01/11/2012,53.27,0.043547688
31/10/2012,51,0.0258207
26/10/2012,49.7,-0.013390827
25/10/2012,50.37,0.004576667
24/10/2012,50.14,0.006001218
23/10/2012,49.84,-0.009783446
22/10/2012,50.33,0.013401541
19/10/2012,49.66,-0.009619313
18/10/2012,50.14,0.009015387
17/10/2012,49.69,-0.012996284
16/10/2012,50.34,0.007177064
15/10/2012,49.98,0.005416805
12/10/2012,49.71,-0.008612973
11/10/2012,50.14,0.027703723
10/10/2012,48.77,-0.008371667
09/10/2012,49.18,0.004687668
08/10/2012,48.95,0.00204499
05/10/2012,48.85,-0.006732658
04/10/2012,49.18,0.006527971
03/10/2012,48.86,0.004718441
02/10/2012,48.63,0.011166369
01/10/2012,48.09,0.019316158
28/09/2012,47.17,0.003185054
27/09/2012,47.02,0.006186686
26/09/2012,46.73,-0.002564652
25/09/2012,46.85,-0.006807089
24/09/2012,47.17,0.001485096
21/09/2012,47.1,0.003402811
20/09/2012,46.94,-0.004463819
19/09/2012,47.15,-0.006342516
18/09/2012,47.45,0.005706451
17/09/2012,47.18,-0.013055566
14/09/2012,47.8,0.010515344
13/09/2012,47.3,0.025046798
12/09/2012,46.13,-0.009063506
11/09/2012,46.55,0.012103022
10/09/2012,45.99,-0.003039516
07/09/2012,46.13,0.003039516
06/09/2012,45.99,0.01093146
05/09/2012,45.49,-0.000219804
04/09/2012,45.5,-0.005916529
31/08/2012,45.77,0.001968289
30/08/2012,45.68,0.017891145
29/08/2012,44.87,0.003348591
28/08/2012,44.72,-0.000670616
27/08/2012,44.75,0.005602256
24/08/2012,44.5,0.007669787
23/08/2012,44.16,-0.011706572
22/08/2012,44.68,0.005611057
21/08/2012,44.43,-0.001798966
20/08/2012,44.51,0.004729206
17/08/2012,44.3,-0.004279768
16/08/2012,44.49,0.014261702
15/08/2012,43.86,0.005028582
14/08/2012,43.64,0.003903116
13/08/2012,43.47,-0.008019289
10/08/2012,43.82,-0.001368301
09/08/2012,43.88,0.00022792
08/08/2012,43.87,0.008699689
07/08/2012,43.49,0.031296342
06/08/2012,42.15,0.001662116
03/08/2012,42.08,0.005241851
02/08/2012,41.86,0.039469191
01/08/2012,40.24,-0.000993542
31/07/2012,40.28,-0.026700913
30/07/2012,41.37,-0.000483325
27/07/2012,41.39,0.042696183
26/07/2012,39.66,-0.007285549
25/07/2012,39.95,-0.031294903
24/07/2012,41.22,0.001942691
23/07/2012,41.14,-0.013040513
20/07/2012,41.68,-0.016655155
19/07/2012,42.38,-0.015220994
18/07/2012,43.03,0.001395349
17/07/2012,42.97,-0.006032501
16/07/2012,43.23,-0.009210288
13/07/2012,43.63,0.027653673
12/07/2012,42.44,-0.014503178
11/07/2012,43.06,0.003955793
10/07/2012,42.89,-0.002096193
09/07/2012,42.98,0.010290081
06/07/2012,42.54,-0.00445644
05/07/2012,42.73,-0.000467946
03/07/2012,42.75,-0.005365696
02/07/2012,42.98,-0.023454743
29/06/2012,44,-0.004082564
28/06/2012,44.18,-0.027239907
27/06/2012,45.4,0.002205073
26/06/2012,45.3,0.013109842
25/06/2012,44.71,-0.00979309
22/06/2012,45.15,0.023303766
21/06/2012,44.11,-0.024189309
20/06/2012,45.19,-0.009908702
19/06/2012,45.64,0.012345836
18/06/2012,45.08,-0.004647568
15/06/2012,45.29,0.00376065
14/06/2012,45.12,0.009799633
13/06/2012,44.68,-0.004466287
12/06/2012,44.88,0.010527592
11/06/2012,44.41,-0.010304751
08/06/2012,44.87,0.017536421
07/06/2012,44.09,-0.002718008
06/06/2012,44.21,0.01918305
05/06/2012,43.37,0.016740684
04/06/2012,42.65,0.001642614
01/06/2012,42.58,-0.030757425
31/05/2012,43.91,-0.006582705
30/05/2012,44.2,-0.024140645
29/05/2012,45.28,0.017376245
25/05/2012,44.5,0.00925619
24/05/2012,44.09,0.019467007
23/05/2012,43.24,-0.007143711
22/05/2012,43.55,-0.0077768
21/05/2012,43.89,0.022581605
18/05/2012,42.91,-0.012045548
17/05/2012,43.43,-0.012357137
16/05/2012,43.97,-0.00363224
15/05/2012,44.13,-0.013728133
14/05/2012,44.74,-0.008235995
11/05/2012,45.11,0.004443464
10/05/2012,44.91,-0.001779756
09/05/2012,44.99,-0.016532946
08/05/2012,45.74,0.003284794
07/05/2012,45.59,0.007264754
04/05/2012,45.26,-0.017738339
03/05/2012,46.07,-0.010365025
02/05/2012,46.55,-0.001288107
01/05/2012,46.61,0.008186172
30/04/2012,46.23,-0.013748874
27/04/2012,46.87,-0.01461426
26/04/2012,47.56,-0.013574397
25/04/2012,48.21,0.002284291
24/04/2012,48.1,0.000415887
23/04/2012,48.08,0.001248699
20/04/2012,48.02,0.000208268
19/04/2012,48.01,-0.004157146
18/04/2012,48.21,-0.000207404
17/04/2012,48.22,0.01126185
16/04/2012,47.68,-0.013126556
13/04/2012,48.31,-0.002274373
12/04/2012,48.42,0.017500447
11/04/2012,47.58,0.004001269
