Date,Close,ED
16/08/2011,54.49,-0.005490497
15/08/2011,54.79,0.019536191
12/08/2011,53.73,-0.005753008
11/08/2011,54.04,0.037135546
10/08/2011,52.07,0.003270177
09/08/2011,51.9,0.029129222
08/08/2011,50.41,-0.055183753
05/08/2011,53.27,0.029142144
04/08/2011,51.74,-0.01724511
03/08/2011,52.64,0.006862398
02/08/2011,52.28,-0.008949884
01/08/2011,52.75,0.002847653
29/07/2011,52.6,-0.007009596
28/07/2011,52.97,-0.00395667
27/07/2011,53.18,-0.001315419
26/07/2011,53.25,-0.001126126
25/07/2011,53.31,-0.005051933
22/07/2011,53.58,-0.007067167
21/07/2011,53.96,0.011744007
20/07/2011,53.33,0.003757284
19/07/2011,53.13,0.011357305
18/07/2011,52.53,-0.01361337
15/07/2011,53.25,0.000939408
14/07/2011,53.2,-0.009540808
13/07/2011,53.71,0.000931359
12/07/2011,53.66,0.007106819
11/07/2011,53.28,-0.005241495
08/07/2011,53.56,-0.008921992
07/07/2011,54.04,0.003336426
06/07/2011,53.86,0.003161323
05/07/2011,53.69,-0.006867776
01/07/2011,54.06,0.015284547
30/06/2011,53.24,0.002633065
29/06/2011,53.1,0.003206642
28/06/2011,52.93,0.004544602
27/06/2011,52.69,0.005519093
24/06/2011,52.4,0.003058106
23/06/2011,52.24,-0.008956706
22/06/2011,52.71,-0.004542881
21/06/2011,52.95,-0.001132503
20/06/2011,53.01,0.004348244
17/06/2011,52.78,0.003226115
16/06/2011,52.61,0.010701421
15/06/2011,52.05,-0.003069252
14/06/2011,52.21,0.002301056
13/06/2011,52.09,0.00500386
10/06/2011,51.83,-0.009218425
09/06/2011,52.31,-0.004767817
08/06/2011,52.56,0.004959003
07/06/2011,52.3,0.00287219
06/06/2011,52.15,-0.003254526
03/06/2011,52.32,-0.00685717
02/06/2011,52.68,-0.001706971
01/06/2011,52.77,-0.005480501
31/05/2011,53.06,0.006238795
27/05/2011,52.73,0
26/05/2011,52.73,0.002278338
25/05/2011,52.61,-0.002657557
24/05/2011,52.75,-0.007554332
23/05/2011,53.15,-0.014197885
20/05/2011,53.91,-0.001297618
19/05/2011,53.98,0.006504995
18/05/2011,53.63,-0.000745573
17/05/2011,53.67,0.005980208
16/05/2011,53.35,-0.014329826
13/05/2011,54.12,-0.00221484
12/05/2011,54.24,0.010191879
11/05/2011,53.69,0.002610968
10/05/2011,53.55,0.00862721
09/05/2011,53.09,-0.000188342
06/05/2011,53.1,0.006613156
05/05/2011,52.75,-0.004539444
04/05/2011,52.99,0.003592026
03/05/2011,52.8,0.00951482
