Date,Close,KMI
11/09/2012,35.75,-0.000279681
10/09/2012,35.76,-0.002234638
07/09/2012,35.84,0.002794078
06/09/2012,35.74,0.006737813
05/09/2012,35.5,-0.005057611
04/09/2012,35.68,-0.002519246
31/08/2012,35.77,0.009268428
30/08/2012,35.44,0
29/08/2012,35.44,0.005943133
28/08/2012,35.23,-0.001418239
27/08/2012,35.28,-0.000283407
24/08/2012,35.29,0.0125465
23/08/2012,34.85,-0.003437414
22/08/2012,34.97,0
21/08/2012,34.97,0.003150511
20/08/2012,34.86,0.018529772
17/08/2012,34.22,-0.007279112
16/08/2012,34.47,-0.000580046
15/08/2012,34.49,-0.008085519
14/08/2012,34.77,0.001151079
13/08/2012,34.73,0.002594783
10/08/2012,34.64,-0.0332181
09/08/2012,35.81,-0.009173101
08/08/2012,36.14,-0.007992326
07/08/2012,36.43,0.007162565
06/08/2012,36.17,0.007771341
03/08/2012,35.89,0.013746885
02/08/2012,35.4,-0.00955869
01/08/2012,35.74,-0.001956674
31/07/2012,35.81,-0.000558347
30/07/2012,35.83,0.000558347
27/07/2012,35.81,0.002516428
26/07/2012,35.72,0.012961579
25/07/2012,35.26,0.011122316
24/07/2012,34.87,0.000286821
23/07/2012,34.86,-0.003722266
20/07/2012,34.99,-0.007403223
19/07/2012,35.25,-0.003963765
18/07/2012,35.39,0.009939028
17/07/2012,35.04,0.009750579
16/07/2012,34.7,0.004621614
13/07/2012,34.54,0.035360195
12/07/2012,33.34,0.008736311
11/07/2012,33.05,0.007897975
10/07/2012,32.79,0.001526019
09/07/2012,32.74,-0.006697133
06/07/2012,32.96,-0.009060769
05/07/2012,33.26,0.003011143
03/07/2012,33.16,0.012746758
02/07/2012,32.74,0.016010194
29/06/2012,32.22,0.031528463
28/06/2012,31.22,0.007394343
27/06/2012,30.99,0.007449427
26/06/2012,30.76,-0.002273097
25/06/2012,30.83,-0.027197325
22/06/2012,31.68,-0.00942514
21/06/2012,31.98,-0.011194147
20/06/2012,32.34,-0.000618238
19/06/2012,32.36,0.01588571
18/06/2012,31.85,-0.001568628
15/06/2012,31.9,0.013571299
14/06/2012,31.47,0.00765554
13/06/2012,31.23,-0.003835096
12/06/2012,31.35,-0.0028667
11/06/2012,31.44,-0.002858506
08/06/2012,31.53,0.001269438
07/06/2012,31.49,-0.012935975
06/06/2012,31.9,-0.034507429
05/06/2012,33.02,0.000605877
04/06/2012,33,0.019893541
01/06/2012,32.35,-0.055319183
31/05/2012,34.19,0.01532597
