Date,Close,HP
29/09/2011,43.35,0.007176787
28/09/2011,43.04,-0.054482905
27/09/2011,45.45,-0.019176879
26/09/2011,46.33,0.03783165
23/09/2011,44.61,-0.017333767
22/09/2011,45.39,-0.061518433
21/09/2011,48.27,-0.056386991
20/09/2011,51.07,-0.027615929
19/09/2011,52.5,-0.018868484
16/09/2011,53.5,-0.011706907
15/09/2011,54.13,0.001849113
14/09/2011,54.03,0.010044727
13/09/2011,53.49,0
12/09/2011,53.49,0.013172942
09/09/2011,52.79,-0.043009409
08/09/2011,55.11,-0.023846939
07/09/2011,56.44,0.05256233
06/09/2011,53.55,-0.021430711
02/09/2011,54.71,-0.048868496
01/09/2011,57.45,0.007512921
31/08/2011,57.02,0.007746518
30/08/2011,56.58,0.005849525
29/08/2011,56.25,0.044346718
26/08/2011,53.81,0.048548603
25/08/2011,51.26,-0.020659099
24/08/2011,52.33,0.008829232
23/08/2011,51.87,0.063883251
22/08/2011,48.66,-0.013877774
19/08/2011,49.34,-0.05730478
18/08/2011,52.25,-0.088063455
17/08/2011,57.06,-0.006289329
16/08/2011,57.42,-0.04594989
15/08/2011,60.12,0.020501474
12/08/2011,58.9,0.009553126
11/08/2011,58.34,0.064058691
10/08/2011,54.72,-0.00873368
09/08/2011,55.2,0.073077288
08/08/2011,51.31,-0.102354638
05/08/2011,56.84,-0.014843545
04/08/2011,57.69,-0.103799235
03/08/2011,64,-0.027736755
02/08/2011,65.8,-0.038460546
01/08/2011,68.38,-0.009750496
29/07/2011,69.05,-0.038496338
28/07/2011,71.76,0.01927601
27/07/2011,70.39,-0.030500406
26/07/2011,72.57,-0.000413309
25/07/2011,72.6,0.000551116
22/07/2011,72.56,0.009694024
21/07/2011,71.86,0.009367423
20/07/2011,71.19,-0.001543968
19/07/2011,71.3,0.031052203
18/07/2011,69.12,-0.013365148
15/07/2011,70.05,0.044815205
14/07/2011,66.98,-0.019369276
13/07/2011,68.29,0.019219988
12/07/2011,66.99,0.004188488
11/07/2011,66.71,-0.025748685
08/07/2011,68.45,-0.011186286
07/07/2011,69.22,0.013965895
06/07/2011,68.26,0.011789114
05/07/2011,67.46,-0.000148225
01/07/2011,67.47,0.020211782
30/06/2011,66.12,0.025271274
29/06/2011,64.47,0.022906555
28/06/2011,63.01,0.033239588
27/06/2011,60.95,0.004439701
24/06/2011,60.68,-0.009512947
23/06/2011,61.26,-0.004722751
22/06/2011,61.55,0.008484306
21/06/2011,61.03,0.028924889
20/06/2011,59.29,0.015981299
17/06/2011,58.35,-0.009551497
16/06/2011,58.91,-0.004234782
15/06/2011,59.16,-0.025368517
14/06/2011,60.68,0.029942858
13/06/2011,58.89,-0.027633007
10/06/2011,60.54,-0.033141435
09/06/2011,62.58,0.015783868
08/06/2011,61.6,0.001462107
07/06/2011,61.51,0.006360618
06/06/2011,61.12,-0.035520006
03/06/2011,63.33,-0.009429584
02/06/2011,63.93,0.020065449
01/06/2011,62.66,-0.000319132
31/05/2011,62.68,0.001756487
27/05/2011,62.57,0.005448731
26/05/2011,62.23,0.00790518
25/05/2011,61.74,0.026090577
24/05/2011,60.15,0.016088834
23/05/2011,59.19,-0.018745319
20/05/2011,60.31,0.000995355
19/05/2011,60.25,0.003824732
18/05/2011,60.02,0.038554491
17/05/2011,57.75,-0.002594035
16/05/2011,57.9,-0.019328405
13/05/2011,59.03,0.005776435
12/05/2011,58.69,-0.00051103
11/05/2011,58.72,-0.036124329
10/05/2011,60.88,0.024273844
09/05/2011,59.42,0.029893762
06/05/2011,57.67,-0.013092349
05/05/2011,58.43,0.001027397
04/05/2011,58.37,-0.039141639
03/05/2011,60.7,-0.039569151
02/05/2011,63.15,-0.049280185
29/04/2011,66.34,0.019636829
28/04/2011,65.05,-0.073053282
27/04/2011,69.98,-0.00513114
26/04/2011,70.34,0.018944309
25/04/2011,69.02,-0.00130312
21/04/2011,69.11,0.005950239
20/04/2011,68.7,0.017325349
19/04/2011,67.52,0.008328424
18/04/2011,66.96,-0.013056565
15/04/2011,67.84,0.023112935
14/04/2011,66.29,0.012294304
13/04/2011,65.48,0.011829003
12/04/2011,64.71,-0.032535554
11/04/2011,66.85,-0.030785258
08/04/2011,68.94,0.021108963
07/04/2011,67.5,0.006838142
06/04/2011,67.04,-0.024314172
05/04/2011,68.69,-0.000727643
04/04/2011,68.74,-0.00290529
01/04/2011,68.94,0.003632933
31/03/2011,68.69,0.016143585
30/03/2011,67.59,-0.006782686
29/03/2011,68.05,0.026807264
28/03/2011,66.25,0.012454596
25/03/2011,65.43,0.020848566
24/03/2011,64.08,0.005319994
23/03/2011,63.74,0.008191602
22/03/2011,63.22,-0.001580528
21/03/2011,63.32,0.034380896
18/03/2011,61.18,-0.032642178
17/03/2011,63.21,0.042662795
16/03/2011,60.57,-0.021235689
15/03/2011,61.87,-0.000646308
14/03/2011,61.91,0.004208488
11/03/2011,61.65,0.019822092
10/03/2011,60.44,-0.031753869
09/03/2011,62.39,-0.013215701
08/03/2011,63.22,-0.001738444
07/03/2011,63.33,-0.011460994
04/03/2011,64.06,-0.004205941
03/03/2011,64.33,0.009370676
02/03/2011,63.73,0.007718397
01/03/2011,63.24,-0.0272964
28/02/2011,64.99,0.003236498
25/02/2011,64.78,0.044992199
24/02/2011,61.93,-0.017606089
23/02/2011,63.03,0.020516828
22/02/2011,61.75,-0.006456842
18/02/2011,62.15,0.009213675
17/02/2011,61.58,-0.000811622
16/02/2011,61.63,0.024141085
15/02/2011,60.16,0.000166237
14/02/2011,60.15,0.015244453
11/02/2011,59.24,-0.004379323
10/02/2011,59.5,0.009286686
09/02/2011,58.95,-0.017654935
08/02/2011,60,0.006688988
