Date,Close,OXY
06/12/2010,93.05,0.014178494
03/12/2010,91.74,0.010960215
02/12/2010,90.74,0.005414677
01/12/2010,90.25,0.023316828
30/11/2010,88.17,-0.009144856
29/11/2010,88.98,0.015060014
26/11/2010,87.65,-0.014610374
24/11/2010,88.94,0.009716493
23/11/2010,88.08,-0.004418019
22/11/2010,88.47,0.003169934
19/11/2010,88.19,0.009914046
18/11/2010,87.32,0.019310307
17/11/2010,85.65,0.005619966
16/11/2010,85.17,-0.029842603
15/11/2010,87.75,0.003310316
12/11/2010,87.46,-0.003538211
11/11/2010,87.77,0.03678549
10/11/2010,84.6,0.006998427
09/11/2010,84.01,-0.00309009
08/11/2010,84.27,0.000474777
05/11/2010,84.23,-0.003082032
04/11/2010,84.49,0.033334414
03/11/2010,81.72,0.002573058
02/11/2010,81.51,0.020826338
01/11/2010,79.83,0.015146068
29/10/2010,78.63,-0.003047621
28/10/2010,78.87,-0.006823377
27/10/2010,79.41,0.004670251
26/10/2010,79.04,-0.0128223
25/10/2010,80.06,0.006013549
22/10/2010,79.58,0.009849808
21/10/2010,78.8,-0.027165719
20/10/2010,80.97,-0.002836531
19/10/2010,81.2,-0.051016162
18/10/2010,85.45,0.005986285
15/10/2010,84.94,0.000353253
14/10/2010,84.91,0.007328638
13/10/2010,84.29,0.012655374
12/10/2010,83.23,-0.005870038
11/10/2010,83.72,0.006470963
08/10/2010,83.18,0.009542864
07/10/2010,82.39,-0.006532808
06/10/2010,82.93,0.005683551
05/10/2010,82.46,0.022938755
04/10/2010,80.59,-0.002231037
01/10/2010,80.77,0.031058006
30/09/2010,78.3,0.021558958
29/09/2010,76.63,0.014723547
28/09/2010,75.51,0.009313532
27/09/2010,74.81,-0.019721372
24/09/2010,76.3,0.022934657
23/09/2010,74.57,-0.018205273
22/09/2010,75.94,-0.012822366
21/09/2010,76.92,-0.004022062
20/09/2010,77.23,0.01342652
17/09/2010,76.2,-0.00327547
16/09/2010,76.45,-0.021865157
15/09/2010,78.14,-0.002939111
14/09/2010,78.37,-0.003057717
13/09/2010,78.61,0.00522927
10/09/2010,78.2,0.008088893
09/09/2010,77.57,0.004522264
08/09/2010,77.22,0.010021558
07/09/2010,76.45,-0.024166066
03/09/2010,78.32,0.00614756
02/09/2010,77.84,0.012669853
01/09/2010,76.86,0.050430854
31/08/2010,73.08,-0.00966849
30/08/2010,73.79,-0.021849271
27/08/2010,75.42,0.04321702
26/08/2010,72.23,-0.009233167
25/08/2010,72.9,-0.015246688
24/08/2010,74.02,-0.020724052
23/08/2010,75.57,0.006771585
20/08/2010,75.06,-0.004386847
19/08/2010,75.39,-0.003046158
18/08/2010,75.62,-0.01587439
17/08/2010,76.83,0.012178504
16/08/2010,75.9,0.006742044
13/08/2010,75.39,-0.014093088
12/08/2010,76.46,0.001570681
11/08/2010,76.34,-0.01907291
10/08/2010,77.81,0.011114097
09/08/2010,76.95,0.008089814
06/08/2010,76.33,-0.016501381
05/08/2010,77.6,-0.015218658
04/08/2010,78.79,0.001524197
03/08/2010,78.67,-0.01913693
02/08/2010,80.19,0.028587831
30/07/2010,77.93,0.003084439
29/07/2010,77.69,-0.015201161
28/07/2010,78.88,-0.013348643
27/07/2010,79.94,-0.036599934
26/07/2010,82.92,0.009451179
23/07/2010,82.14,0.000243516
22/07/2010,82.12,0.025530153
21/07/2010,80.05,-0.011180241
20/07/2010,80.95,0.017823118
19/07/2010,79.52,0.001762115
16/07/2010,79.38,-0.033691569
15/07/2010,82.1,0.000365475
14/07/2010,82.07,-0.002798566
13/07/2010,82.3,0.017033682
12/07/2010,80.91,-0.002468832
09/07/2010,81.11,0.002468832
08/07/2010,80.91,0.016574621
07/07/2010,79.58,0.032957383
06/07/2010,77,0.008215473
02/07/2010,76.37,-0.004963438
01/07/2010,76.75,-0.005198192
30/06/2010,77.15,-0.017601791
29/06/2010,78.52,-0.029984056
28/06/2010,80.91,-0.010083706
25/06/2010,81.73,0.003309029
24/06/2010,81.46,-0.02844023
23/06/2010,83.81,0.001791366
22/06/2010,83.66,-0.02525804
21/06/2010,85.8,-0.013659201
18/06/2010,86.98,0.004147471
17/06/2010,86.62,-0.005296501
16/06/2010,87.08,0.003912098
15/06/2010,86.74,0.02368148
14/06/2010,84.71,-0.003535238
11/06/2010,85.01,0.018042032
10/06/2010,83.49,0.0430753
09/06/2010,79.97,-0.001499438
08/06/2010,80.09,0.016999717
07/06/2010,78.74,0.004072289
04/06/2010,78.42,-0.055797291
03/06/2010,82.92,0.012987984
02/06/2010,81.85,0.021987052
01/06/2010,80.07,-0.030018246
28/05/2010,82.51,0.00097005
27/05/2010,82.43,0.052935588
26/05/2010,78.18,-0.00967421
25/05/2010,78.94,0.013262117
24/05/2010,77.9,-0.019198352
21/05/2010,79.41,0.022283981
20/05/2010,77.66,-0.023919715
19/05/2010,79.54,-0.017324544
18/05/2010,80.93,0.004954798
17/05/2010,80.53,-0.017601538
14/05/2010,81.96,-0.017656765
13/05/2010,83.42,-0.015817657
12/05/2010,84.75,0.020503758
11/05/2010,83.03,-0.013517761
10/05/2010,84.16,0.043097038
07/05/2010,80.61,0.00235981
06/05/2010,80.42,-0.030130877
05/05/2010,82.88,-0.043212956
04/05/2010,86.54,-0.039091818
03/05/2010,89.99,0.014889724
30/04/2010,88.66,0.027558773
29/04/2010,86.25,0.015775963
28/04/2010,84.9,0.006499284
27/04/2010,84.35,-0.035634884
26/04/2010,87.41,-0.000800503
23/04/2010,87.48,0.025235741
22/04/2010,85.3,-0.006776519
21/04/2010,85.88,-0.008233362
20/04/2010,86.59,0.022186805
19/04/2010,84.69,-0.004359359
16/04/2010,85.06,-0.016440643
15/04/2010,86.47,0.0035915
14/04/2010,86.16,0.0054699
13/04/2010,85.69,-0.012755275
12/04/2010,86.79,0.002653593
09/04/2010,86.56,-0.000231027
08/04/2010,86.58,0.003239244
07/04/2010,86.3,-0.025059953
06/04/2010,88.49,0.000904466
05/04/2010,88.41,0.02068527
01/04/2010,86.6,0.02407502
31/03/2010,84.54,0.003198865
30/03/2010,84.27,0.001543852
29/03/2010,84.14,0.029060947
26/03/2010,81.73,0.002695419
25/03/2010,81.51,-0.017512305
24/03/2010,82.95,-0.0044506
23/03/2010,83.32,0.009042198
22/03/2010,82.57,-0.000121102
19/03/2010,82.58,0.000848022
18/03/2010,82.51,-0.008448035
