Date,Close,WFM
02/05/2011,59.64,-0.050991438
29/04/2011,62.76,0.005111832
28/04/2011,62.44,-0.042179177
27/04/2011,65.13,-0.007190423
26/04/2011,65.6,-0.004259209
25/04/2011,65.88,-0.006354992
21/04/2011,66.3,0.009547697
20/04/2011,65.67,0.027009899
19/04/2011,63.92,0.008957395
18/04/2011,63.35,-0.021240842
15/04/2011,64.71,-0.004009876
14/04/2011,64.97,0.005866025
13/04/2011,64.59,0.026513436
12/04/2011,62.9,-0.004125026
11/04/2011,63.16,0.004125026
08/04/2011,62.9,-0.024188395
07/04/2011,64.44,0.010608524
06/04/2011,63.76,-0.029668431
05/04/2011,65.68,-0.006374282
04/04/2011,66.1,-0.00948588
01/04/2011,66.73,0.012516185
31/03/2011,65.9,-0.000455132
30/03/2011,65.93,0.024256639
29/03/2011,64.35,0.015504187
28/03/2011,63.36,-0.00942514
25/03/2011,63.96,0.012270093
24/03/2011,63.18,0.02079077
23/03/2011,61.88,0.008275909
22/03/2011,61.37,-0.00584892
21/03/2011,61.73,0.021118899
18/03/2011,60.44,0.000662032
17/03/2011,60.4,0.005312097
16/03/2011,60.08,0.011719538
15/03/2011,59.38,0.006250548
14/03/2011,59.01,0.002035624
11/03/2011,58.89,0.010412316
10/03/2011,58.28,-0.010072642
09/03/2011,58.87,0.010244242
08/03/2011,58.27,0.006888266
07/03/2011,57.87,-0.020185427
04/03/2011,59.05,0.010726246
03/03/2011,58.42,0.009286395
02/03/2011,57.88,0.022009622
01/03/2011,56.62,-0.03368959
28/02/2011,58.56,0.011679968
25/02/2011,57.88,0.008153398
24/02/2011,57.41,0.006115158
23/02/2011,57.06,-0.020469058
22/02/2011,58.24,-0.030272033
18/02/2011,60.03,-0.007137552
17/02/2011,60.46,0.005306812
16/02/2011,60.14,0.015078188
15/02/2011,59.24,-0.000843668
14/02/2011,59.29,-0.006388724
11/02/2011,59.67,-0.006348167
10/02/2011,60.05,0.110833882
09/02/2011,53.75,0.01575131
08/02/2011,52.91,0.001513146
07/02/2011,52.83,-0.003212702
