Date,Close,ALTR
17/03/2011,40.23,0.008236662
16/03/2011,39.9,0.01642488
15/03/2011,39.25,-0.02441294
14/03/2011,40.22,-0.005949447
11/03/2011,40.46,0.006198111
10/03/2011,40.21,0.000248725
09/03/2011,40.2,-0.073361425
08/03/2011,43.26,-0.000462214
07/03/2011,43.28,-0.025774035
04/03/2011,44.41,0.00473988
03/03/2011,44.2,0.040162333
02/03/2011,42.46,0.02939631
01/03/2011,41.23,-0.01516457
28/02/2011,41.86,-0.018227514
25/02/2011,42.63,0.044366466
24/02/2011,40.78,0.022066099
23/02/2011,39.89,-0.00848732
22/02/2011,40.23,-0.036127922
18/02/2011,41.71,-0.002394637
17/02/2011,41.81,0.002154915
16/02/2011,41.72,0.016433429
15/02/2011,41.04,-0.013072082
14/02/2011,41.58,0.004338402
11/02/2011,41.4,0.009708814
10/02/2011,41,0.004399909
09/02/2011,40.82,0.003681437
08/02/2011,40.67,0.000245912
07/02/2011,40.66,-0.008571131
04/02/2011,41.01,0.039288992
03/02/2011,39.43,0.001776876
02/02/2011,39.36,-0.002030458
01/02/2011,39.44,0.04857467
31/01/2011,37.57,0.004267811
28/01/2011,37.41,-0.028200577
27/01/2011,38.48,0.04545633
26/01/2011,36.77,-0.030532634
25/01/2011,37.91,-0.009712637
24/01/2011,38.28,0.030502298
21/01/2011,37.13,-0.014173255
20/01/2011,37.66,-0.028790264
19/01/2011,38.76,-0.013072082
18/01/2011,39.27,-0.001526718
14/01/2011,39.33,0.06215134
13/01/2011,36.96,0.005698021
12/01/2011,36.75,0.018676731
11/01/2011,36.07,0.003332411
10/01/2011,35.95,-0.006930035
07/01/2011,36.2,-0.003584727
06/01/2011,36.33,0.011906551
05/01/2011,35.9,-0.006939653
04/01/2011,36.15,-0.002486533
03/01/2011,36.24,0.018379799
31/12/2010,35.58,-0.010067199
30/12/2010,35.94,-0.001945796
29/12/2010,36.01,0.000277739
28/12/2010,36,0.001668057
27/12/2010,35.94,-0.001945796
23/12/2010,36.01,-0.000277662
22/12/2010,36.02,0.005847156
21/12/2010,35.81,-0.005013938
20/12/2010,35.99,-0.017080305
17/12/2010,36.61,-0.003000139
16/12/2010,36.72,0.006283315
