Date,Close,URBN
16/08/2011,27.84,-0.064336453
15/08/2011,29.69,0.00033687
12/08/2011,29.68,0.049734006
11/08/2011,28.24,0.030926593
10/08/2011,27.38,-0.035519429
09/08/2011,28.37,0.034424339
08/08/2011,27.41,-0.06974657
05/08/2011,29.39,0.006485771
04/08/2011,29.2,-0.070088162
03/08/2011,31.32,0.018041726
02/08/2011,30.76,-0.046061819
01/08/2011,32.21,-0.010193138
29/07/2011,32.54,-0.001228501
28/07/2011,32.58,0.012975159
27/07/2011,32.16,-0.043504959
26/07/2011,33.59,0.033296054
25/07/2011,32.49,-0.002152191
22/07/2011,32.56,0.0120502
21/07/2011,32.17,0.021046795
20/07/2011,31.5,-0.002853069
19/07/2011,31.59,0.018208457
18/07/2011,31.02,-0.012494156
15/07/2011,31.41,0.003508216
14/07/2011,31.3,-0.017419284
13/07/2011,31.85,0.004720701
12/07/2011,31.7,0.012698583
11/07/2011,31.3,-0.023054866
08/07/2011,32.03,-0.01702564
07/07/2011,32.58,0.057808609
06/07/2011,30.75,0.054808236
05/07/2011,29.11,0.00654836
01/07/2011,28.92,0.026986043
30/06/2011,28.15,-0.00672688
29/06/2011,28.34,-0.011925781
28/06/2011,28.68,0.008051855
27/06/2011,28.45,0.000703235
24/06/2011,28.43,-0.02877647
23/06/2011,29.26,0.021766276
22/06/2011,28.63,-0.02244957
21/06/2011,29.28,0.010643877
20/06/2011,28.97,0.005538263
17/06/2011,28.81,0.018921377
16/06/2011,28.27,-0.015444322
15/06/2011,28.71,-0.015209419
14/06/2011,29.15,0.006539345
13/06/2011,28.96,-0.002414211
10/06/2011,29.03,-0.005496407
09/06/2011,29.19,0.024273036
08/06/2011,28.49,-0.027351541
07/06/2011,29.28,0.013063094
06/06/2011,28.9,-0.00998459
03/06/2011,29.19,-0.020682209
02/06/2011,29.8,-0.007355433
01/06/2011,30.02,-0.014550521
31/05/2011,30.46,0
27/05/2011,30.46,0.007248796
26/05/2011,30.24,0.001986098
25/05/2011,30.18,-0.025839541
24/05/2011,30.97,-0.012514201
23/05/2011,31.36,-0.00477176
20/05/2011,31.51,-0.032165146
19/05/2011,32.54,0.003386181
18/05/2011,32.43,-0.019240172
17/05/2011,33.06,0.023566508
16/05/2011,32.29,-0.010168012
13/05/2011,32.62,-0.011278888
12/05/2011,32.99,0.003644098
11/05/2011,32.87,-0.00091227
10/05/2011,32.9,0.045709807
09/05/2011,31.43,0.001592104
06/05/2011,31.38,-0.005402842
05/05/2011,31.55,-0.0179053
04/05/2011,32.12,-0.002176956
03/05/2011,32.19,0.010618463
02/05/2011,31.85,0.012002671
29/04/2011,31.47,-0.01137453
28/04/2011,31.83,-0.039124041
27/04/2011,33.1,0.013688427
26/04/2011,32.65,0.023238846
25/04/2011,31.9,0.004398373
21/04/2011,31.76,0.017789542
20/04/2011,31.2,-0.007344756
19/04/2011,31.43,0.033320242
18/04/2011,30.4,-0.007863736
15/04/2011,30.64,-0.02163119
14/04/2011,31.31,-0.012063638
13/04/2011,31.69,0.004110678
12/04/2011,31.56,0.008272398
11/04/2011,31.3,0.012538341
08/04/2011,30.91,-0.002907448
07/04/2011,31,-0.008991711
06/04/2011,31.28,0.019367939
05/04/2011,30.68,0.016100233
04/04/2011,30.19,-0.005285774
01/04/2011,30.35,0.017281919
31/03/2011,29.83,-0.023850087
30/03/2011,30.55,0.021506205
29/03/2011,29.9,0.009408672
28/03/2011,29.62,-0.014745575
25/03/2011,30.06,-0.004315359
24/03/2011,30.19,-0.006931865
23/03/2011,30.4,0
22/03/2011,30.4,-0.044709167
21/03/2011,31.79,0.017132399
18/03/2011,31.25,0.003205131
17/03/2011,31.15,-0.001283285
16/03/2011,31.19,-0.004159341
15/03/2011,31.32,-0.013005734
14/03/2011,31.73,-0.012216283
11/03/2011,32.12,0.014109029
10/03/2011,31.67,0.015913767
09/03/2011,31.17,-0.015597961
08/03/2011,31.66,-0.182268913
07/03/2011,37.99,-0.013335274
04/03/2011,38.5,0.004686288
03/03/2011,38.32,0.010229597
02/03/2011,37.93,-0.001843804
01/03/2011,38,-0.009950331
28/02/2011,38.38,0.02346226
25/02/2011,37.49,0.011266214
24/02/2011,37.07,0.007581948
23/02/2011,36.79,-0.020447309
22/02/2011,37.55,-0.006106484
18/02/2011,37.78,-0.002115284
17/02/2011,37.86,0.004765696
16/02/2011,37.68,-0.001061008
15/02/2011,37.72,-0.001589404
14/02/2011,37.78,0.00450989
11/02/2011,37.61,0.007740597
10/02/2011,37.32,0.000267989
09/02/2011,37.31,0.006723166
08/02/2011,37.06,0.054052231
07/02/2011,35.11,0.01001869
04/02/2011,34.76,0.026232924
03/02/2011,33.86,0.00770831
02/02/2011,33.6,-0.012128532
01/02/2011,34.01,0.005602256
31/01/2011,33.82,0
28/01/2011,33.82,-0.017294876
27/01/2011,34.41,0.004076884
26/01/2011,34.27,0.003800619
25/01/2011,34.14,-0.002632735
24/01/2011,34.23,-0.023102385
21/01/2011,35.03,0.000856776
20/01/2011,35,-0.001142205
19/01/2011,35.04,-0.016697714
18/01/2011,35.63,-0.008662902
14/01/2011,35.94,-0.010242304
13/01/2011,36.31,0.002757862
12/01/2011,36.21,0.008876619
11/01/2011,35.89,-0.005557113
10/01/2011,36.09,0.002219141
07/01/2011,36.01,-0.001664817
06/01/2011,36.07,0.008911226
05/01/2011,35.75,-0.003908436
04/01/2011,35.89,0.012335452
03/01/2011,35.45,-0.010103931
31/12/2010,35.81,-0.016066828
30/12/2010,36.39,0.005234893
29/12/2010,36.2,0.003597624
28/12/2010,36.07,0.009750739
27/12/2010,35.72,-0.004190536
23/12/2010,35.87,-0.005282926
22/12/2010,36.06,-0.020041851
21/12/2010,36.79,0
20/12/2010,36.79,0.0117568
17/12/2010,36.36,-0.008489713
16/12/2010,36.67,0.001364443
15/12/2010,36.62,0.007675476
14/12/2010,36.34,0.005242114
13/12/2010,36.15,-0.028631813
10/12/2010,37.2,-0.011492843
09/12/2010,37.63,-0.018170348
08/12/2010,38.32,0.005757671
07/12/2010,38.1,0.005791014
06/12/2010,37.88,-0.009981696
03/12/2010,38.26,-0.001566989
02/12/2010,38.32,0.005232874
01/12/2010,38.12,0.008694561
30/11/2010,37.79,-0.01157603
29/11/2010,38.23,-0.005998192
26/11/2010,38.46,0.001561281
24/11/2010,38.4,0.01733692
23/11/2010,37.74,0.010387628
22/11/2010,37.35,0.002412546
19/11/2010,37.26,0.016234123
18/11/2010,36.66,-0.016770747
17/11/2010,37.28,0.017589413
16/11/2010,36.63,0.112270005
15/11/2010,32.74,-0.004875086
12/11/2010,32.9,-0.006060625
11/11/2010,33.1,-0.009920418
10/11/2010,33.43,0.00479761
09/11/2010,33.27,-0.001801802
08/11/2010,33.33,0.027065663
05/11/2010,32.44,0.022444832
04/11/2010,31.72,0.005690815
03/11/2010,31.54,0.03977889
02/11/2010,30.31,0
01/11/2010,30.31,-0.015712271
29/10/2010,30.79,0.014722988
28/10/2010,30.34,-0.023131834
27/10/2010,31.05,-0.024181897
26/10/2010,31.81,0.020645485
25/10/2010,31.16,0.028647792
22/10/2010,30.28,0.030854225
21/10/2010,29.36,-0.001361471
20/10/2010,29.4,0.004089985
19/10/2010,29.28,-0.062872175
18/10/2010,31.18,0.005789659
15/10/2010,31,-0.008671967
14/10/2010,31.27,-0.016492603
13/10/2010,31.79,0.018413219
12/10/2010,31.21,0.012574726
11/10/2010,30.82,-0.014815086
08/10/2010,31.28,-0.005737982
07/10/2010,31.46,-0.01889225
06/10/2010,32.06,-0.002803304
05/10/2010,32.15,0.020742416
04/10/2010,31.49,0.000635324
01/10/2010,31.47,0.000953744
