Date,Close,NKE
11/08/2011,83.25,0.048231762
10/08/2011,79.33,-0.039181926
09/08/2011,82.5,0.040948265
08/08/2011,79.19,-0.057417953
05/08/2011,83.87,0.028051652
04/08/2011,81.55,-0.065610907
03/08/2011,87.08,0.022882699
02/08/2011,85.11,-0.048504778
01/08/2011,89.34,-0.009025634
29/07/2011,90.15,-0.003653882
28/07/2011,90.48,0.019643489
27/07/2011,88.72,-0.017984288
26/07/2011,90.33,-0.006620349
25/07/2011,90.93,-0.008541445
22/07/2011,91.71,-0.001416508
21/07/2011,91.84,0.01359372
20/07/2011,90.6,-0.001544061
19/07/2011,90.74,0.001102658
18/07/2011,90.64,-0.011626763
15/07/2011,91.7,-0.002831321
14/07/2011,91.96,-0.000978208
13/07/2011,92.05,0.008948117
12/07/2011,91.23,-0.002189862
11/07/2011,91.43,-0.019603162
08/07/2011,93.24,-0.00449439
07/07/2011,93.66,0.014085497
06/07/2011,92.35,0.006627217
05/07/2011,91.74,-0.00087165
01/07/2011,91.82,0.020242715
30/06/2011,89.98,0.00222519
29/06/2011,89.78,-0.001335708
28/06/2011,89.9,0.096623611
27/06/2011,81.62,0.005405419
24/06/2011,81.18,-0.012364729
23/06/2011,82.19,0.002924335
22/06/2011,81.95,-0.030760565
21/06/2011,84.51,0.015262011
20/06/2011,83.23,0.025801602
17/06/2011,81.11,0.010161178
16/06/2011,80.29,-0.00124471
15/06/2011,80.39,-0.022752011
14/06/2011,82.24,0.021260401
13/06/2011,80.51,0.010613823
10/06/2011,79.66,-0.012599181
09/06/2011,80.67,0.007090905
08/06/2011,80.1,-0.022223137
07/06/2011,81.9,0.026351497
06/06/2011,79.77,-0.007369046
03/06/2011,80.36,-0.009782754
02/06/2011,81.15,-0.012247551
01/06/2011,82.15,-0.027612799
31/05/2011,84.45,-0.002011002
27/05/2011,84.62,0.00652086
26/05/2011,84.07,0.010522637
25/05/2011,83.19,-0.013610525
24/05/2011,84.33,0.008454948
23/05/2011,83.62,-0.016956593
20/05/2011,85.05,-0.01238623
19/05/2011,86.11,0.014976295
18/05/2011,84.83,-0.000707047
17/05/2011,84.89,-0.004466392
16/05/2011,85.27,-0.011543298
13/05/2011,86.26,0.019668159
12/05/2011,84.58,0.022962023
11/05/2011,82.66,-0.010110823
10/05/2011,83.5,0.00709095
09/05/2011,82.91,0.010792562
06/05/2011,82.02,-0.007167619
05/05/2011,82.61,-0.002176543
04/05/2011,82.79,0.013742995
03/05/2011,81.66,-0.007077516
02/05/2011,82.24,-0.00097229
29/04/2011,82.32,-0.003032327
28/04/2011,82.57,0.017716879
27/04/2011,81.12,0.01440303
26/04/2011,79.96,-0.001874181
25/04/2011,80.11,-0.000998129
21/04/2011,80.19,0.001497567
20/04/2011,80.07,0.016876975
19/04/2011,78.73,0.001907063
18/04/2011,78.58,-0.001907063
15/04/2011,78.73,-0.017001858
14/04/2011,80.08,0.00840183
13/04/2011,79.41,0.015354657
12/04/2011,78.2,0.000895542
11/04/2011,78.13,0.009516533
08/04/2011,77.39,-0.009004434
07/04/2011,78.09,-0.007399881
06/04/2011,78.67,0.0094509
05/04/2011,77.93,0.006695017
04/04/2011,77.41,0.01143315
01/04/2011,76.53,0.01090466
31/03/2011,75.7,-0.013775226
30/03/2011,76.75,0.005094388
29/03/2011,76.36,0.006174075
28/03/2011,75.89,-0.010095137
25/03/2011,76.66,-0.000912706
24/03/2011,76.73,-0.006365725
23/03/2011,77.22,0.023188306
22/03/2011,75.45,-0.018255153
21/03/2011,76.84,-0.009713215
18/03/2011,77.59,-0.096024637
17/03/2011,85.41,0.006931826
16/03/2011,84.82,-0.005994729
15/03/2011,85.33,-0.010260088
14/03/2011,86.21,-0.011074055
11/03/2011,87.17,-0.011519945
10/03/2011,88.18,-0.008694234
09/03/2011,88.95,-0.002694512
08/03/2011,89.19,0.003031837
07/03/2011,88.92,-0.010738358
04/03/2011,89.88,0.000445137
03/03/2011,89.84,0.01695051
02/03/2011,88.33,0.007157901
01/03/2011,87.7,-0.015051492
28/02/2011,89.03,0.011863876
25/02/2011,87.98,0.016733915
24/02/2011,86.52,0.003821439
23/02/2011,86.19,-0.011994147
22/02/2011,87.23,-0.018063541
18/02/2011,88.82,0.031799545
17/02/2011,86.04,0.003376218
16/02/2011,85.75,0.002335086
15/02/2011,85.55,-0.002568295
14/02/2011,85.77,-0.005116885
11/02/2011,86.21,-0.006705227
10/02/2011,86.79,-0.005286153
09/02/2011,87.25,0.006208344
08/02/2011,86.71,0.002424803
07/02/2011,86.5,0.008824953
04/02/2011,85.74,0.022886454
03/02/2011,83.8,-0.001311788
02/02/2011,83.91,0.004299541
01/02/2011,83.55,0.012889415
31/01/2011,82.48,0.012443737
28/01/2011,81.46,-0.015953575
27/01/2011,82.77,-0.014751122
26/01/2011,84,0.01342302
25/01/2011,82.88,0.002657969
24/01/2011,82.66,0.004364701
21/01/2011,82.3,-0.009312518
20/01/2011,83.07,-0.00707734
19/01/2011,83.66,-0.004769864
18/01/2011,84.06,-0.000118956
14/01/2011,84.07,0.018124483
13/01/2011,82.56,-0.014072034
12/01/2011,83.73,-0.00345753
11/01/2011,84.02,-0.001783697
10/01/2011,84.17,0.007632714
07/01/2011,83.53,-0.002749718
06/01/2011,83.76,-0.009032626
05/01/2011,84.52,0.006528601
04/01/2011,83.97,-0.024933668
03/01/2011,86.09,0.007812995
31/12/2010,85.42,-0.003972432
30/12/2010,85.76,0.005730005
29/12/2010,85.27,-0.012354469
28/12/2010,86.33,0.005808567
27/12/2010,85.83,-0.002559927
23/12/2010,86.05,-0.010404718
22/12/2010,86.95,-0.059710901
21/12/2010,92.3,0.022238962
20/12/2010,90.27,0.002440108
17/12/2010,90.05,0.009147766
16/12/2010,89.23,0.007311207
15/12/2010,88.58,-0.0078714
14/12/2010,89.28,0.000560193
13/12/2010,89.23,0.016155805
10/12/2010,87.8,0.003765623
09/12/2010,87.47,0.001716346
08/12/2010,87.32,0.001489886
07/12/2010,87.19,-0.006174271
06/12/2010,87.73,0.002282324
03/12/2010,87.53,-0.003421536
02/12/2010,87.83,0.002165613
01/12/2010,87.64,0.017379732
30/11/2010,86.13,0.011325943
29/11/2010,85.16,-0.009350232
26/11/2010,85.96,-0.006609103
24/11/2010,86.53,0.014785763
23/11/2010,85.26,-0.007711219
22/11/2010,85.92,0.001281081
19/11/2010,85.81,0.039700959
18/11/2010,82.47,0.013182176
17/11/2010,81.39,0.010871015
16/11/2010,80.51,-0.015895843
15/11/2010,81.8,-0.009974538
12/11/2010,82.62,-0.012628708
11/11/2010,83.67,-0.002506716
10/11/2010,83.88,0.008139858
09/11/2010,83.2,-0.004915782
08/11/2010,83.61,-0.005962336
05/11/2010,84.11,0.00835726
04/11/2010,83.41,0.019124282
03/11/2010,81.83,0.000978115
02/11/2010,81.75,0.007982849
01/11/2010,81.1,-0.004183592
29/10/2010,81.44,0.004060295
28/10/2010,81.11,0.000986802
27/10/2010,81.03,-0.009702256
26/10/2010,81.82,-0.002807105
25/10/2010,82.05,0.001585656
22/10/2010,81.92,-0.00231665
21/10/2010,82.11,0.010652075
20/10/2010,81.24,0.006297483
19/10/2010,80.73,-0.011454032
18/10/2010,81.66,-0.004154961
15/10/2010,82,0.002808819
14/10/2010,81.77,-0.003052692
13/10/2010,82.02,0.001586237
12/10/2010,81.89,-0.001098432
11/10/2010,81.98,-0.000731618
08/10/2010,82.04,0.012881243
07/10/2010,80.99,-0.00394332
06/10/2010,81.31,0.000122994
05/10/2010,81.3,0.017620508
04/10/2010,79.88,-0.004621253
01/10/2010,80.25,0.001371657
30/09/2010,80.14,0.002623854
29/09/2010,79.93,-0.008843553
28/09/2010,80.64,0.019155515
27/09/2010,79.11,-0.005797848
24/09/2010,79.57,0.024168055
23/09/2010,77.67,0.004645769
22/09/2010,77.31,-0.004903236
21/09/2010,77.69,-0.008714652
20/09/2010,78.37,0.014264844
17/09/2010,77.26,0.008057224
16/09/2010,76.64,0.001044387
15/09/2010,76.56,0.016993098
14/09/2010,75.27,0.00786933
13/09/2010,74.68,0.012531323
10/09/2010,73.75,-0.002302432
09/09/2010,73.92,-0.00297177
08/09/2010,74.14,0.001619871
07/09/2010,74.02,-0.003102451
03/09/2010,74.25,0.017526432
02/09/2010,72.96,0.011441299
01/09/2010,72.13,0.029974804
31/08/2010,70,-0.005129678
30/08/2010,70.36,-0.008209529
27/08/2010,70.94,0.007783242
26/08/2010,70.39,0.003700545
25/08/2010,70.13,0.00114139
24/08/2010,70.05,-0.012766131
23/08/2010,70.95,-0.004359757
20/08/2010,71.26,-0.00112202
19/08/2010,71.34,-0.012536729
18/08/2010,72.24,0.007363701
17/08/2010,71.71,0.009105617
16/08/2010,71.06,0.006777772
13/08/2010,70.58,-0.013230313
12/08/2010,71.52,-0.007799482
11/08/2010,72.08,-0.025071523
10/08/2010,73.91,-0.002837265
09/08/2010,74.12,0.002160995
06/08/2010,73.96,-0.001351169
05/08/2010,74.06,0.000810482
04/08/2010,74,0.012236726
03/08/2010,73.1,-0.016551728
02/08/2010,74.32,0.009191738
30/07/2010,73.64,0.00149487
29/07/2010,73.53,0.00572833
28/07/2010,73.11,-0.007766236
27/07/2010,73.68,0.006262784
26/07/2010,73.22,0.006577168
23/07/2010,72.74,0.016355181
22/07/2010,71.56,0.027053558
21/07/2010,69.65,-0.002724211
20/07/2010,69.84,0.017768615
19/07/2010,68.61,-0.00508833
16/07/2010,68.96,-0.024211483
15/07/2010,70.65,0.001558184
14/07/2010,70.54,0.000992837
13/07/2010,70.47,0.009409821
12/07/2010,69.81,-0.004858541
09/07/2010,70.15,-0.001851457
08/07/2010,70.28,0.024777989
07/07/2010,68.56,0.019887228
06/07/2010,67.21,-0.009624713
02/07/2010,67.86,-0.003089828
01/07/2010,68.07,0.007668523
30/06/2010,67.55,-0.009136521
29/06/2010,68.17,-0.033608124
28/06/2010,70.5,0.00540465
25/06/2010,70.12,0.007012551
24/06/2010,69.63,-0.040666877
23/06/2010,72.52,0.0008277
22/06/2010,72.46,-0.025748987
21/06/2010,74.35,-0.00790412
18/06/2010,74.94,0.004949512
17/06/2010,74.57,0.009973128
16/06/2010,73.83,-0.002029633
15/06/2010,73.98,0.024077771
14/06/2010,72.22,-0.001521965
11/06/2010,72.33,0.008051126
10/06/2010,71.75,0.024549766
09/06/2010,70.01,-0.003564558
08/06/2010,70.26,0.009581768
07/06/2010,69.59,-0.016814303
04/06/2010,70.77,-0.039617369
03/06/2010,73.63,0.00859311
02/06/2010,73,0.025247561
01/06/2010,71.18,-0.016718138
28/05/2010,72.38,-0.02078281
27/05/2010,73.9,0.018850442
26/05/2010,72.52,-0.005363418
25/05/2010,72.91,0.021768624
24/05/2010,71.34,-0.000700624
21/05/2010,71.39,0.015243767
20/05/2010,70.31,-0.027218291
19/05/2010,72.25,-0.00936775
18/05/2010,72.93,-0.009552474
17/05/2010,73.63,-0.001492841
14/05/2010,73.74,-0.024249296
13/05/2010,75.55,-0.02998921
12/05/2010,77.85,0.018408609
11/05/2010,76.43,-0.002874316
