Date,Close,TSO
09/10/2012,40.99,-0.021957692
08/10/2012,41.9,-0.031480166
05/10/2012,43.24,-0.020826934
04/10/2012,44.15,0.036913072
03/10/2012,42.55,-0.012378997
02/10/2012,43.08,0.001858737
01/10/2012,43,0.025914289
28/09/2012,41.9,0.000477441
27/09/2012,41.88,0.028826024
26/09/2012,40.69,-0.008808474
25/09/2012,41.05,-0.015950072
24/09/2012,41.71,0.012302652
21/09/2012,41.2,-0.009902267
20/09/2012,41.61,0.021621151
19/09/2012,40.72,-0.000491039
18/09/2012,40.74,0.004428052
17/09/2012,40.56,-0.007124462
14/09/2012,40.85,0.010829542
13/09/2012,40.41,0.001733747
12/09/2012,40.34,0.000743955
11/09/2012,40.31,0.005223243
10/09/2012,40.1,-0.000997009
07/09/2012,40.14,0.014554837
06/09/2012,39.56,0.011951827
05/09/2012,39.09,-0.00561226
04/09/2012,39.31,-0.010879298
31/08/2012,39.74,0.00884626
30/08/2012,39.39,0.002796493
29/08/2012,39.28,-0.007103023
28/08/2012,39.56,0.007357638
27/08/2012,39.27,-0.004573179
24/08/2012,39.45,0.021522737
23/08/2012,38.61,-0.007996947
22/08/2012,38.92,-0.003078504
21/08/2012,39.04,-0.012978933
20/08/2012,39.55,0.004053717
17/08/2012,39.39,0.017672377
16/08/2012,38.7,0.007521758
15/08/2012,38.41,-0.004675333
14/08/2012,38.59,-0.007229569
13/08/2012,38.87,0.090690048
10/08/2012,35.5,0.005083321
09/08/2012,35.32,0.012249121
08/08/2012,34.89,0.013853035
07/08/2012,34.41,0.049138961
06/08/2012,32.76,0.030056484
03/08/2012,31.79,0
02/08/2012,31.79,0.133756107
01/08/2012,27.81,0.00576994
31/07/2012,27.65,-0.001806685
30/07/2012,27.7,-0.007194276
27/07/2012,27.9,0.028724025
26/07/2012,27.11,0.024646505
25/07/2012,26.45,0.004547185
24/07/2012,26.33,-0.039103846
23/07/2012,27.38,-0.001824485
20/07/2012,27.43,0.011365842
19/07/2012,27.12,-0.03157584
18/07/2012,27.99,0.020939393
17/07/2012,27.41,-0.005820315
16/07/2012,27.57,0.00910919
13/07/2012,27.32,0.018471157
12/07/2012,26.82,0.016541731
11/07/2012,26.38,0.026504336
10/07/2012,25.69,0.011352637
09/07/2012,25.4,-0.019879821
06/07/2012,25.91,0
05/07/2012,25.91,-0.013417874
03/07/2012,26.26,0.030153038
02/07/2012,25.48,0.020619287
29/06/2012,24.96,-0.003998406
28/06/2012,25.06,0.018526507
27/06/2012,24.6,0.019290563
26/06/2012,24.13,0.011671662
25/06/2012,23.85,-0.019103571
22/06/2012,24.31,0.037724507
21/06/2012,23.41,-0.021551648
20/06/2012,23.92,0.011774737
19/06/2012,23.64,0.059250777
18/06/2012,22.28,-0.023071121
15/06/2012,22.8,0.037537919
14/06/2012,21.96,-0.014466798
13/06/2012,22.28,-0.028320477
12/06/2012,22.92,0.040967438
11/06/2012,22,-0.018910964
08/06/2012,22.42,-0.006225009
07/06/2012,22.56,-0.001328904
06/06/2012,22.59,0.0088929
05/06/2012,22.39,0.009874407
04/06/2012,22.17,-0.014330742
01/06/2012,22.49,0.016588589
31/05/2012,22.12,-0.048101044
30/05/2012,23.21,-0.029713561
29/05/2012,23.91,0.006293287
25/05/2012,23.76,0.023851216
24/05/2012,23.2,-0.009864974
23/05/2012,23.43,0.022007361
22/05/2012,22.92,-0.01429524
21/05/2012,23.25,0.048919205
18/05/2012,22.14,-0.012121361
17/05/2012,22.41,0.013929679
16/05/2012,22.1,0.013209028
15/05/2012,21.81,-0.024905068
14/05/2012,22.36,-0.004462301
11/05/2012,22.46,-0.020710148
10/05/2012,22.93,0.030104088
09/05/2012,22.25,0.031966192
08/05/2012,21.55,-0.008778065
07/05/2012,21.74,-0.011433923
04/05/2012,21.99,-0.016238516
03/05/2012,22.35,-0.02431059
02/05/2012,22.9,-0.014738021
01/05/2012,23.24,-0.0004302
30/04/2012,23.25,-0.013669585
27/04/2012,23.57,0.003825722
26/04/2012,23.48,0.008554372
25/04/2012,23.28,0.006896579
24/04/2012,23.12,0.002164972
23/04/2012,23.07,0.00565096
20/04/2012,22.94,-0.006950506
19/04/2012,23.1,0.008695707
18/04/2012,22.9,-0.000872981
17/04/2012,22.92,0.016274826
16/04/2012,22.55,-0.047205127
13/04/2012,23.64,-0.037771662
12/04/2012,24.55,0.026415073
11/04/2012,23.91,-0.015356185
10/04/2012,24.28,-0.03917319
09/04/2012,25.25,-0.004741218
05/04/2012,25.37,-0.024529164
04/04/2012,26,-0.003838776
03/04/2012,26.1,-0.026466573
02/04/2012,26.8,-0.001491425
30/03/2012,26.84,-0.012588097
29/03/2012,27.18,-0.026503639
28/03/2012,27.91,-0.025819295
27/03/2012,28.64,-0.00069808
26/03/2012,28.66,0.004896827
23/03/2012,28.52,0.019830678
22/03/2012,27.96,-0.024029425
21/03/2012,28.64,-0.009037253
20/03/2012,28.9,-0.034351278
19/03/2012,29.91,0.009405511
16/03/2012,29.63,0.001350895
15/03/2012,29.59,0.006101714
14/03/2012,29.41,-0.016189224
13/03/2012,29.89,0.018913093
12/03/2012,29.33,-0.004422528
09/03/2012,29.46,0.016772599
08/03/2012,28.97,0.060473615
07/03/2012,27.27,0.040409538
06/03/2012,26.19,-0.035630996
05/03/2012,27.14,-0.016807118
02/03/2012,27.6,0.01607047
01/03/2012,27.16,0.023469135
29/02/2012,26.53,-0.014221797
28/02/2012,26.91,-0.018045049
27/02/2012,27.4,-0.0108894
24/02/2012,27.7,-0.03650946
23/02/2012,28.73,0.004884867
22/02/2012,28.59,0.007020036
21/02/2012,28.39,0.020281784
17/02/2012,27.82,-0.008946204
16/02/2012,28.07,0.00500001
15/02/2012,27.93,-0.020202707
14/02/2012,28.5,0.030640088
13/02/2012,27.64,-0.004332137
10/02/2012,27.76,-0.009322405
09/02/2012,28.02,0.022375528
08/02/2012,27.4,0.013225762
07/02/2012,27.04,0.046942759
06/02/2012,25.8,0.015231695
03/02/2012,25.41,0.031583677
02/02/2012,24.62,-0.008896136
01/02/2012,24.84,-0.007619848
31/01/2012,25.03,-0.020170745
30/01/2012,25.54,0.002744562
27/01/2012,25.47,0.013836947
26/01/2012,25.12,-0.014621877
25/01/2012,25.49,0.023418415
24/01/2012,24.9,0.010496665
23/01/2012,24.64,0.018845293
20/01/2012,24.18,0.004559593
19/01/2012,24.07,-0.012796872
18/01/2012,24.38,0.031669313
17/01/2012,23.62,0.024861975
13/01/2012,23.04,-0.013793322
12/01/2012,23.36,-0.001710864
11/01/2012,23.4,0.023347364
